timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,2.3,2.33,2.17,2.27,2.27,4307,0.0000,1.0
2020-12-10,2.23,2.2699,2.185,2.2,2.2,9731,0.0000,1.0
2020-12-09,2.1379,2.21,2.12,2.15,2.15,5831,0.0000,1.0
2020-12-08,2.22,2.22,2.13,2.13,2.13,2084,0.0000,1.0
2020-12-07,2.1054,2.15,2.1054,2.15,2.15,3416,0.0000,1.0
2020-12-04,2.1,2.18,2.1,2.18,2.18,4591,0.0000,1.0
2020-12-03,2.17,2.17,2.135,2.162,2.162,5434,0.0000,1.0
2020-12-02,2.06,2.1407,2.02,2.14,2.14,18271,0.0000,1.0
2020-12-01,2.205,2.205,2.16,2.16,2.16,1217,0.0000,1.0
2020-11-30,2.05,2.16,2.05,2.14,2.14,5756,0.0000,1.0
2020-11-27,2.1171,2.15,2.02,2.056,2.056,4480,0.0000,1.0
2020-11-25,2.15,2.21,2.05,2.064,2.064,17922,0.0000,1.0
2020-11-24,2.15,2.25,2.085,2.09,2.09,12504,0.0000,1.0
2020-11-23,2.21,2.21,2.1441,2.17,2.17,2327,0.0000,1.0
2020-11-20,2.17,2.21,2.17,2.21,2.21,5132,0.0000,1.0
2020-11-19,2.195,2.195,2.1,2.15,2.15,1467,0.0000,1.0
2020-11-18,2.21,2.22,2.1406,2.17,2.17,4088,0.0000,1.0
2020-11-17,2.12,2.12,2.12,2.12,2.12,272,0.0000,1.0
2020-11-16,2.17,2.23,2.02,2.12,2.12,17692,0.0000,1.0
2020-11-13,2.02,2.2,2.0,2.2,2.2,4620,0.0000,1.0
2020-11-12,2.18,2.18,2.18,2.18,2.18,49,0.0000,1.0
2020-11-11,2.17,2.202,2.08,2.18,2.18,3407,0.0000,1.0
2020-11-10,2.09,2.29,2.05,2.2,2.2,13760,0.0000,1.0
2020-11-09,2.15,2.15,2.15,2.15,2.15,376,0.0000,1.0
2020-11-06,2.15,2.15,2.15,2.15,2.15,441,0.0000,1.0
2020-11-05,2.03,2.03,2.03,2.03,2.03,288,0.0000,1.0
2020-11-04,2.05,2.06,2.05,2.0501,2.0501,1515,0.0000,1.0
2020-11-03,2.15,2.15,2.05,2.05,2.05,474,0.0000,1.0
2020-11-02,2.0576,2.155,2.05,2.13,2.13,5035,0.0000,1.0
2020-10-30,2.0836,2.1437,2.01,2.02,2.02,2019,0.0000,1.0
2020-10-29,2.08,2.08,2.08,2.08,2.08,1389,0.0000,1.0
2020-10-28,2.08,2.08,2.08,2.08,2.08,358,0.0000,1.0
2020-10-27,2.0423,2.31,2.0423,2.13,2.13,4306,0.0000,1.0
2020-10-26,2.25,2.25,2.06,2.14,2.14,1806,0.0000,1.0
2020-10-23,2.215,2.3,2.215,2.25,2.25,7422,0.0000,1.0
2020-10-22,2.205,2.28,2.1811,2.19,2.19,1717,0.0000,1.0
2020-10-21,2.11,2.29,2.11,2.1829,2.1829,1730,0.0000,1.0
2020-10-20,2.2,2.21,2.2,2.2,2.2,1839,0.0000,1.0
2020-10-19,2.18,2.33,2.06,2.28,2.28,26474,0.0000,1.0
2020-10-16,2.15,2.26,2.083,2.2,2.2,9165,0.0000,1.0
2020-10-15,1.97,2.2806,1.9,2.15,2.15,10167,0.0000,1.0
2020-10-14,2.305,2.39,2.2,2.275,2.275,86628,0.0000,1.0
2020-10-13,2.031,2.33,2.015,2.1,2.1,59780,0.0000,1.0
2020-10-12,2.05,2.05,1.97,2.0,2.0,5309,0.0000,1.0
2020-10-09,2.0,2.0,2.0,2.0,2.0,78,0.0000,1.0
2020-10-08,2.0,2.0,2.0,2.0,2.0,312,0.0000,1.0
2020-10-07,1.97,2.0,1.97,2.0,2.0,804,0.0000,1.0
2020-10-06,1.97,1.97,1.97,1.97,1.97,192,0.0000,1.0
2020-10-05,2.02,2.02,2.02,2.02,2.02,613,0.0000,1.0
2020-10-02,1.94,2.01,1.94,1.96,1.96,2643,0.0000,1.0
2020-10-01,2.0,2.17,1.9,2.0367,2.0367,1009,0.0000,1.0
2020-09-30,1.99,2.0,1.88,2.0,2.0,3036,0.0000,1.0
2020-09-29,1.98,2.03,1.98,1.98,1.98,2053,0.0000,1.0
2020-09-28,2.189,2.2,2.07,2.07,2.07,5841,0.0000,1.0
2020-09-25,2.06,2.06,2.06,2.06,2.06,580,0.0000,1.0
2020-09-24,1.9815,1.9815,1.9815,1.9815,1.9815,426,0.0000,1.0
2020-09-23,1.99,2.0,1.97,1.9815,1.9815,1764,0.0000,1.0
2020-09-22,2.2,2.2,2.05,2.13,2.13,2255,0.0000,1.0
2020-09-21,2.16,2.16,2.04,2.09,2.09,2253,0.0000,1.0
2020-09-18,2.06,2.18,2.04,2.14,2.14,9571,0.0000,1.0
2020-09-17,2.0,2.19,2.0,2.1,2.1,6751,0.0000,1.0
2020-09-16,1.96,2.05,1.96,2.0,2.0,1793,0.0000,1.0
2020-09-15,2.04,2.07,1.9012,2.01,2.01,4142,0.0000,1.0
2020-09-14,1.995,2.0,1.9301,2.0,2.0,10934,0.0000,1.0
2020-09-11,2.05,2.05,1.935,1.935,1.935,1288,0.0000,1.0
2020-09-10,2.0148,2.0287,1.96,1.96,1.96,768,0.0000,1.0
2020-09-09,2.1,2.1,1.96,1.96,1.96,2470,0.0000,1.0
2020-09-08,2.0,2.08,1.96,2.05,2.05,3455,0.0000,1.0
2020-09-04,2.03,2.03,1.97,2.02,2.02,4526,0.0000,1.0
2020-09-03,2.03,2.03,2.0,2.0,2.0,2768,0.0000,1.0
2020-09-02,2.05,2.08,1.9401,2.0288,2.0288,2756,0.0000,1.0
2020-09-01,1.91,2.04,1.91,2.03,2.03,4948,0.0000,1.0
2020-08-31,2.11,2.11,2.0,2.0,2.0,13830,0.0000,1.0
2020-08-28,2.08,2.1,2.05,2.09,2.09,4313,0.0000,1.0
2020-08-27,2.05,2.05,1.97,1.97,1.97,1506,0.0000,1.0
2020-08-26,2.17,2.17,1.8787,1.9372,1.9372,13625,0.0000,1.0
2020-08-25,1.9,1.965,1.9,1.95,1.95,2987,0.0000,1.0
2020-08-24,2.03,2.03,1.87,2.0,2.0,41146,0.0000,1.0
2020-08-21,2.03,2.28,2.03,2.04,2.04,14747,0.0000,1.0
2020-08-20,2.319,2.3653,2.05,2.05,2.05,32535,0.0000,1.0
2020-08-19,2.07,2.8165,2.07,2.295,2.295,185227,0.0000,1.0
2020-08-18,2.079,2.2315,2.05,2.1437,2.1437,6368,0.0000,1.0
2020-08-17,1.97,2.15,1.96,2.075,2.075,3032,0.0000,1.0
2020-08-14,2.095,2.19,1.9401,2.1,2.1,7572,0.0000,1.0
2020-08-13,2.09,2.095,2.09,2.095,2.095,1282,0.0000,1.0
2020-08-12,1.99,2.07,1.87,2.0,2.0,30862,0.0000,1.0
2020-08-11,1.76,2.6,1.76,1.9,1.9,94525,0.0000,1.0
2020-08-10,1.92,1.92,1.77,1.77,1.77,1064,0.0000,1.0
2020-08-07,1.88,1.94,1.8203,1.85,1.85,1921,0.0000,1.0
2020-08-06,1.93,1.93,1.84,1.86,1.86,2154,0.0000,1.0
2020-08-05,1.82,1.88,1.75,1.88,1.88,10326,0.0000,1.0
2020-08-04,1.8,1.84,1.69,1.8,1.8,14223,0.0000,1.0
2020-08-03,1.8465,1.93,1.8465,1.88,1.88,3330,0.0000,1.0
2020-07-31,1.88,1.92,1.85,1.85,1.85,2306,0.0000,1.0
2020-07-30,1.89,1.89,1.85,1.85,1.85,6577,0.0000,1.0
2020-07-29,1.77,1.87,1.77,1.87,1.87,10597,0.0000,1.0
2020-07-28,1.9,1.9,1.7911,1.83,1.83,2228,0.0000,1.0
2020-07-27,1.88,1.89,1.8,1.84,1.84,2443,0.0000,1.0
2020-07-24,1.89,1.89,1.77,1.805,1.805,3168,0.0000,1.0
2020-07-23,1.9,1.9,1.78,1.82,1.82,6182,0.0000,1.0
2020-07-22,1.805,1.87,1.799,1.83,1.83,3335,0.0000,1.0
2020-07-21,1.75,1.83,1.73,1.75,1.75,2132,0.0000,1.0
2020-07-20,1.71,1.84,1.71,1.71,1.71,4864,0.0000,1.0
2020-07-17,1.68,1.74,1.68,1.74,1.74,3500,0.0000,1.0
2020-07-16,1.69,1.7,1.68,1.7,1.7,1900,0.0000,1.0
2020-07-15,1.64,1.69,1.59,1.61,1.61,15000,0.0000,1.0
2020-07-14,1.63,1.69,1.59,1.69,1.69,3600,0.0000,1.0
2020-07-13,1.68,1.7,1.59,1.59,1.59,10700,0.0000,1.0
2020-07-10,1.64,1.69,1.63,1.68,1.68,2200,0.0000,1.0
2020-07-09,1.63,1.65,1.63,1.63,1.63,2100,0.0000,1.0
2020-07-08,1.62,1.69,1.62,1.65,1.65,2400,0.0000,1.0
2020-07-07,1.62,1.71,1.61,1.68,1.68,5800,0.0000,1.0
2020-07-06,1.65,1.67,1.62,1.62,1.62,3100,0.0000,1.0
2020-07-02,1.62,1.73,1.58,1.7,1.7,19800,0.0000,1.0
2020-07-01,1.64,1.71,1.62,1.65,1.65,12400,0.0000,1.0
2020-06-30,1.7,1.7,1.63,1.66,1.66,3900,0.0000,1.0
2020-06-29,1.75,1.79,1.64,1.65,1.65,5800,0.0000,1.0
2020-06-26,1.84,1.84,1.67,1.67,1.67,16039,0.0000,1.0
2020-06-25,1.73,1.98,1.63,1.875,1.875,72893,0.0000,1.0
2020-06-24,1.76,1.79,1.63,1.68,1.68,8593,0.0000,1.0
2020-06-23,1.88,1.99,1.75,1.75,1.75,22947,0.0000,1.0
2020-06-22,1.87,1.933,1.85,1.85,1.85,12248,0.0000,1.0
2020-06-19,2.15,2.15,1.95,1.955,1.955,24143,0.0000,1.0
2020-06-18,1.98,2.78,1.77,1.85,1.85,270238,0.0000,1.0
2020-06-17,1.87,3.48,1.87,2.77,2.77,106968,0.0000,1.0
2020-06-16,1.83,1.845,1.8101,1.8101,1.8101,3337,0.0000,1.0
2020-06-15,1.8304,1.88,1.8304,1.88,1.88,747,0.0000,1.0
2020-06-12,1.88,1.88,1.845,1.88,1.88,640,0.0000,1.0
2020-06-11,1.91,1.91,1.87,1.87,1.87,828,0.0000,1.0
2020-06-10,1.92,1.92,1.92,1.92,1.92,353,0.0000,1.0
2020-06-09,1.86,1.91,1.812,1.9,1.9,3503,0.0000,1.0
2020-06-08,1.83,1.85,1.82,1.85,1.85,5045,0.0000,1.0
2020-06-05,1.9,1.9,1.76,1.8,1.8,3888,0.0000,1.0
2020-06-04,1.7301,1.81,1.73,1.81,1.81,1349,0.0000,1.0
2020-06-03,1.805,1.805,1.73,1.73,1.73,2474,0.0000,1.0
2020-06-02,1.88,1.88,1.8692,1.8692,1.8692,671,0.0000,1.0
2020-06-01,1.83,1.83,1.83,1.83,1.83,772,0.0000,1.0
2020-05-29,1.86,1.88,1.76,1.77,1.77,5846,0.0000,1.0
2020-05-28,1.95,1.95,1.86,1.86,1.86,1146,0.0000,1.0
2020-05-27,1.95,1.95,1.95,1.95,1.95,453,0.0000,1.0
2020-05-26,1.95,1.95,1.95,1.95,1.95,281,0.0000,1.0
2020-05-22,1.97,1.97,1.81,1.95,1.95,1195,0.0000,1.0
2020-05-21,1.89,1.9,1.81,1.81,1.81,1758,0.0000,1.0
2020-05-20,1.8122,1.9,1.75,1.9,1.9,3023,0.0000,1.0
2020-05-19,1.95,1.95,1.8,1.8,1.8,481,0.0000,1.0
2020-05-18,1.7793,1.97,1.7793,1.93,1.93,1279,0.0000,1.0
2020-05-15,1.87,1.87,1.87,1.87,1.87,196,0.0000,1.0
2020-05-14,1.88,1.88,1.72,1.87,1.87,1448,0.0000,1.0
2020-05-13,1.8,1.88,1.8,1.88,1.88,927,0.0000,1.0
2020-05-12,1.87,1.92,1.87,1.88,1.88,915,0.0000,1.0
2020-05-11,1.8,1.87,1.77,1.77,1.77,14678,0.0000,1.0
2020-05-08,1.72,1.79,1.72,1.79,1.79,1489,0.0000,1.0
2020-05-07,1.79,1.79,1.79,1.79,1.79,955,0.0000,1.0
2020-05-06,1.8,1.8,1.79,1.79,1.79,515,0.0000,1.0
2020-05-05,1.65,1.8,1.65,1.8,1.8,813,0.0000,1.0
2020-05-04,1.8,1.8,1.715,1.77,1.77,938,0.0000,1.0
2020-05-01,1.62,1.8,1.62,1.78,1.78,937,0.0000,1.0
2020-04-30,1.78,1.8,1.7588,1.775,1.775,2573,0.0000,1.0
2020-04-29,1.61,1.7828,1.61,1.75,1.75,10270,0.0000,1.0
2020-04-28,1.58,1.79,1.58,1.61,1.61,7393,0.0000,1.0
2020-04-27,1.6,1.7368,1.597,1.63,1.63,4237,0.0000,1.0
2020-04-24,1.9023,1.9199,1.6069,1.63,1.63,30481,0.0000,1.0
2020-04-23,1.79,1.79,1.79,1.79,1.79,94,0.0000,1.0
2020-04-22,1.91,1.92,1.72,1.79,1.79,2775,0.0000,1.0
2020-04-21,1.85,1.85,1.67,1.67,1.67,7644,0.0000,1.0
2020-04-20,1.95,1.95,1.84,1.85,1.85,885,0.0000,1.0
2020-04-17,1.99,1.99,1.93,1.93,1.93,602,0.0000,1.0
2020-04-16,1.829,2.0,1.829,1.99,1.99,1775,0.0000,1.0
2020-04-15,2.0,2.0,1.86,1.943,1.943,2618,0.0000,1.0
2020-04-14,1.96,2.04,1.8994,2.04,2.04,1791,0.0000,1.0
2020-04-13,2.07,2.07,2.07,2.07,2.07,26,0.0000,1.0
2020-04-09,2.15,2.15,1.9759,2.07,2.07,2654,0.0000,1.0
2020-04-08,1.93,2.14,1.93,2.14,2.14,494,0.0000,1.0
2020-04-07,2.2,2.2,1.9,2.19,2.19,1269,0.0000,1.0
2020-04-06,2.1,2.21,2.1,2.21,2.21,904,0.0000,1.0
2020-04-03,2.09,2.1,2.03,2.1,2.1,494,0.0000,1.0
2020-04-02,2.19,2.19,1.91,2.1,2.1,3592,0.0000,1.0
2020-04-01,2.11,2.15,2.11,2.15,2.15,647,0.0000,1.0
2020-03-31,2.11,2.11,2.11,2.11,2.11,257,0.0000,1.0
2020-03-30,2.25,2.25,2.13,2.13,2.13,364,0.0000,1.0
2020-03-27,2.25,2.25,2.2092,2.25,2.25,510,0.0000,1.0
2020-03-26,2.29,2.29,2.08,2.28,2.28,1616,0.0000,1.0
2020-03-25,2.3,2.3,2.1202,2.1202,2.1202,1063,0.0000,1.0
2020-03-24,2.45,2.45,2.4,2.4,2.4,418,0.0000,1.0
2020-03-23,2.2377,2.2377,2.2377,2.2377,2.2377,217,0.0000,1.0
2020-03-20,2.31,2.31,2.31,2.31,2.31,112,0.0000,1.0
2020-03-19,2.435,2.435,2.4,2.4,2.4,347,0.0000,1.0
2020-03-18,2.2,2.2,2.2,2.2,2.2,70,0.0000,1.0
2020-03-17,2.38,2.38,2.2,2.2,2.2,6098,0.0000,1.0
2020-03-16,2.5,2.5,2.3928,2.42,2.42,1406,0.0000,1.0
2020-03-13,2.6,2.6,2.405,2.5,2.5,1647,0.0000,1.0
2020-03-12,2.31,2.6,2.31,2.52,2.52,1614,0.0000,1.0
2020-03-11,2.58,2.61,2.5799,2.581,2.581,1161,0.0000,1.0
2020-03-10,2.6,2.6,2.342,2.6,2.6,1444,0.0000,1.0
2020-03-09,2.3153,2.61,2.3153,2.55,2.55,2692,0.0000,1.0
2020-03-06,2.52,2.52,2.5,2.5,2.5,704,0.0000,1.0
2020-03-05,2.25,2.57,2.25,2.52,2.52,2165,0.0000,1.0
2020-03-04,2.57,2.57,2.57,2.57,2.57,81,0.0000,1.0
2020-03-03,2.61,2.61,2.55,2.57,2.57,685,0.0000,1.0
2020-03-02,2.48,2.61,2.16,2.61,2.61,1723,0.0000,1.0
2020-02-28,2.29,2.54,2.12,2.47,2.47,1890,0.0000,1.0
2020-02-27,2.3,2.3,2.17,2.17,2.17,7675,0.0000,1.0
2020-02-26,2.4,2.5,2.4,2.5,2.5,557,0.0000,1.0
2020-02-25,2.32,2.45,2.25,2.4,2.4,2724,0.0000,1.0
2020-02-24,2.55,2.55,2.53,2.53,2.53,698,0.0000,1.0
2020-02-21,2.61,2.61,2.5707,2.6,2.6,1182,0.0000,1.0
2020-02-20,2.51,2.6,2.21,2.25,2.25,2939,0.0000,1.0
2020-02-19,2.57,2.57,2.57,2.57,2.57,50,0.0000,1.0
2020-02-18,2.38,2.62,2.35,2.57,2.57,6805,0.0000,1.0
2020-02-14,2.29,2.29,2.29,2.29,2.29,87,0.0000,1.0
2020-02-13,2.01,2.29,2.01,2.29,2.29,6528,0.0000,1.0
2020-02-12,1.98,1.98,1.98,1.98,1.98,244,0.0000,1.0
2020-02-11,2.2039,2.2039,2.07,2.08,2.08,4837,0.0000,1.0
2020-02-10,2.0501,2.0501,2.0501,2.0501,2.0501,5796,0.0000,1.0
2020-02-07,2.19,2.19,2.19,2.19,2.19,813,0.0000,1.0
2020-02-06,2.23,2.23,2.19,2.19,2.19,759,0.0000,1.0
2020-02-05,2.2264,2.23,2.19,2.23,2.23,577,0.0000,1.0
2020-02-04,2.22,2.22,2.1844,2.21,2.21,1660,0.0000,1.0
2020-02-03,1.9989,2.23,1.93,1.93,1.93,856,0.0000,1.0
2020-01-31,1.9,2.23,1.9,2.21,2.21,12090,0.0000,1.0
2020-01-30,1.86,2.22,1.86,2.11,2.11,2243,0.0000,1.0
2020-01-29,2.22,2.23,1.82,2.02,2.02,4927,0.0000,1.0
2020-01-28,1.81,2.0,1.81,1.95,1.95,4667,0.0000,1.0
2020-01-27,1.78,1.97,1.78,1.8,1.8,1117,0.0000,1.0
2020-01-24,1.97,1.97,1.9,1.9,1.9,2600,0.0000,1.0
2020-01-23,1.85,1.95,1.85,1.86,1.86,2074,0.0000,1.0
2020-01-22,1.85,2.0,1.85,1.9,1.9,4508,0.0000,1.0
2020-01-21,1.82,2.0,1.81,1.9,1.9,2417,0.0000,1.0
2020-01-17,1.9,1.9,1.9,1.9,1.9,229,0.0000,1.0
2020-01-16,1.9338,1.9338,1.9,1.9,1.9,539,0.0000,1.0
2020-01-15,1.91,1.91,1.91,1.91,1.91,632,0.0000,1.0
2020-01-14,1.82,2.09,1.82,2.01,2.01,2240,0.0000,1.0
2020-01-13,1.82,2.22,1.82,1.98,1.98,2387,0.0000,1.0
2020-01-10,1.92,2.0,1.92,2.0,2.0,8432,0.0000,1.0
2020-01-09,1.8,2.0,1.8,1.86,1.86,1851,0.0000,1.0
2020-01-08,1.95,2.0,1.85,1.9,1.9,5653,0.0000,1.0
2020-01-07,1.86,1.9806,1.7977,1.7977,1.7977,2998,0.0000,1.0
