timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,40.6,40.99,40.12,40.22,40.22,151938,0.0000,1.0
2020-12-10,40.28,40.97,40.07,40.83,40.83,264797,0.0000,1.0
2020-12-09,41.0,41.79,40.39,40.65,40.65,398943,0.0000,1.0
2020-12-08,39.0,40.61,39.0,40.54,40.54,458910,0.0000,1.0
2020-12-07,39.59,39.92,39.245,39.47,39.47,304835,0.0000,1.0
2020-12-04,38.94,39.62,38.94,39.62,39.62,291674,0.0000,1.0
2020-12-03,38.53,39.46,38.18,38.92,38.92,194718,0.0000,1.0
2020-12-02,39.14,39.19,38.35,38.44,38.44,289986,0.0000,1.0
2020-12-01,39.1,39.44,38.285,38.95,38.95,301724,0.0000,1.0
2020-11-30,39.63,39.65,38.42,38.5,38.5,252567,0.0000,1.0
2020-11-27,40.18,40.18,39.38,39.96,39.96,103101,0.0000,1.0
2020-11-25,40.81,41.08,39.97,40.26,40.26,353209,0.0000,1.0
2020-11-24,39.76,41.17,39.13,41.11,41.11,350493,0.0000,1.0
2020-11-23,38.73,39.39,38.36,39.18,39.18,213944,0.0000,1.0
2020-11-20,38.08,38.51,37.65,38.25,38.25,395523,0.0000,1.0
2020-11-19,38.18,38.36,37.53,38.25,38.25,204697,0.0000,1.0
2020-11-18,38.91,39.15,38.37,38.38,38.38,192098,0.0000,1.0
2020-11-17,39.36,39.73,38.4,38.8,38.8,334719,0.0000,1.0
2020-11-16,39.46,40.12,38.98,39.67,39.67,464644,0.0000,1.0
2020-11-13,37.92,38.66,37.68,38.49,38.49,226090,0.0000,1.0
2020-11-12,38.64,38.81,37.34,37.56,37.56,303409,0.0000,1.0
2020-11-11,41.06,41.06,38.4345,39.0,39.0,344547,0.0000,1.0
2020-11-10,40.2,41.32,39.8424,40.94,40.94,541794,0.0000,1.0
2020-11-09,38.39,40.6,38.39,39.82,39.82,507350,0.0000,1.0
2020-11-06,37.4,37.45,36.485,36.82,36.82,216215,0.0000,1.0
2020-11-05,36.02,37.23,36.02,37.22,37.22,287672,0.0000,1.0
2020-11-04,35.99,36.82,35.49,35.84,35.84,235463,0.0000,1.0
2020-11-03,36.19,36.67,35.96,36.47,36.47,338473,0.0000,1.0
2020-11-02,35.21,35.76,35.0,35.44,35.44,251785,0.0000,1.0
2020-10-30,35.2,35.43,34.28,34.72,34.72,613718,0.0000,1.0
2020-10-29,34.98,35.99,34.615,35.41,35.41,296114,0.0000,1.0
2020-10-28,35.78,36.16,35.06,35.19,35.19,298599,0.0000,1.0
2020-10-27,35.94,36.71,35.1,36.39,36.39,371966,0.0000,1.0
2020-10-26,35.26,35.93,35.005,35.9,35.9,484028,0.0000,1.0
2020-10-23,35.05,35.75,34.925,35.67,35.67,391511,0.0000,1.0
2020-10-22,33.84,34.97,33.61,34.95,34.95,364605,0.0000,1.0
2020-10-21,33.99,34.11,33.51,33.73,33.73,165351,0.0000,1.0
2020-10-20,34.12,34.7,33.86,34.13,34.13,181707,0.0000,1.0
2020-10-19,34.75,34.97,33.76,33.88,33.88,298214,0.0000,1.0
2020-10-16,34.84,35.24,34.51,34.73,34.73,322373,0.0000,1.0
2020-10-15,35.76,35.82,34.91,34.98,34.98,400459,0.0000,1.0
2020-10-14,37.16,37.7599,36.26,36.29,36.29,193521,0.0000,1.0
2020-10-13,36.8,37.25,36.58,37.12,37.12,230219,0.0000,1.0
2020-10-12,36.91,37.31,36.78,37.15,37.15,313557,0.0000,1.0
2020-10-09,37.6,37.69,36.73,37.01,37.01,277338,0.0000,1.0
2020-10-08,37.59,37.9,37.14,37.48,37.48,316021,0.0000,1.0
2020-10-07,37.19,37.46,36.745,37.39,37.39,604193,0.0000,1.0
2020-10-06,36.97,37.775,36.62,36.92,36.92,740770,0.0000,1.0
2020-10-05,36.9,37.1,36.58,36.83,36.83,377443,0.0000,1.0
2020-10-02,36.08,37.04,36.08,36.7,36.7,349125,0.0000,1.0
2020-10-01,36.72,37.05,36.35,36.74,36.74,280633,0.0000,1.0
2020-09-30,36.95,37.47,36.36,36.66,36.66,419991,0.1850,1.0
2020-09-29,37.47,37.58,36.41,36.92,36.7346234224,359479,0.0000,1.0
2020-09-28,37.28,37.86,37.1,37.46,37.2719120641,497350,0.0000,1.0
2020-09-25,36.42,37.26,36.42,36.85,36.6649748948,507329,0.0000,1.0
2020-09-24,36.24,37.24,35.96,36.74,36.5555272086,340897,0.0000,1.0
2020-09-23,37.5,37.69,36.16,36.18,35.9983389877,517120,0.0000,1.0
2020-09-22,37.06,37.75,36.69,37.5,37.3117112227,339380,0.0000,1.0
2020-09-21,37.64,37.76,36.15,37.09,36.9037698467,438035,0.0000,1.0
2020-09-18,38.67,39.35,38.09,38.57,38.3763387162,1071879,0.0000,1.0
2020-09-17,37.2,39.12,36.86,38.43,38.237041661,507833,0.0000,1.0
2020-09-16,37.01,37.9,36.96,37.53,37.3415605917,362872,0.0000,1.0
2020-09-15,36.7,37.1,36.46,37.06,36.8739204777,277915,0.0000,1.0
2020-09-14,36.45,37.145,36.1,36.71,36.5256778396,284941,0.0000,1.0
2020-09-11,37.73,37.73,36.1,36.14,35.958539829,463142,0.0000,1.0
2020-09-10,38.9,38.9,37.09,37.78,37.5903053332,458760,0.0000,1.0
2020-09-09,37.78,39.5,36.9735,38.53,38.3365395576,718507,0.0000,1.0
2020-09-08,37.91,37.91,36.61,36.65,36.4659791016,313742,0.0000,1.0
2020-09-04,38.5,38.83,37.84,38.33,38.1375437644,274837,0.0000,1.0
2020-09-03,38.47,39.62,37.61,37.76,37.5704057538,242635,0.0000,1.0
2020-09-02,38.15,38.89,37.99,38.67,38.4758366128,138281,0.0000,1.0
2020-09-01,38.0,38.23,37.6,38.19,37.9982467092,197176,0.0000,1.0
2020-08-31,38.28,38.5,37.82,38.14,37.9484977609,322492,0.0000,1.0
2020-08-28,38.15,38.42,37.81,38.33,38.1375437644,193723,0.0000,1.0
2020-08-27,37.58,38.09,37.3365,37.88,37.6898032297,218424,0.0000,1.0
2020-08-26,37.46,37.67,36.9,37.33,37.1425647985,202763,0.0000,1.0
2020-08-25,38.24,38.25,37.33,37.55,37.361460171,195055,0.0000,1.0
2020-08-24,37.58,38.03,37.06,37.99,37.799250916,453782,0.0000,1.0
2020-08-21,37.06,37.49,36.01,37.22,37.0331171122,710311,0.0000,1.0
2020-08-20,36.18,37.305,36.066,37.16,36.9734183743,287686,0.0000,1.0
2020-08-19,37.17,37.29,36.405,36.61,36.426179943,271664,0.0000,1.0
2020-08-18,37.02,37.29,36.77,37.11,36.923669426,245747,0.0000,1.0
2020-08-17,38.02,38.02,37.225,37.29,37.1027656398,250182,0.0000,1.0
2020-08-14,38.02,38.48,37.72,37.84,37.6500040711,248519,0.0000,1.0
2020-08-13,38.45,39.08,38.08,38.41,38.2171420817,233255,0.0000,1.0
2020-08-12,39.79,39.85,38.39,38.59,38.3962382956,328366,0.0000,1.0
2020-08-11,39.81,40.21,38.89,39.08,38.8837779889,398437,0.0000,1.0
2020-08-10,38.82,39.85,38.69,39.25,39.0529244131,455219,0.0000,1.0
2020-08-07,37.67,38.8,37.67,38.77,38.5753345094,244844,0.0000,1.0
2020-08-06,37.13,37.91,37.13,37.88,37.6898032297,247082,0.0000,1.0
2020-08-05,36.53,37.34,36.19,37.31,37.1226652192,450343,0.0000,1.0
2020-08-04,35.63,36.4937,35.53,35.99,35.8092929841,242030,0.0000,1.0
2020-08-03,36.32,36.77,35.75,35.81,35.6301967703,367159,0.0000,1.0
2020-07-31,34.95,35.95,34.78,35.9,35.7197448772,1278067,0.0000,1.0
2020-07-30,35.34,35.77,34.8,35.2,35.023259601,264314,0.0000,1.0
2020-07-29,35.22,35.895,35.17,35.84,35.6600461392,416947,0.0000,1.0
2020-07-28,35.24,35.79,35.19,35.27,35.0929081286,391399,0.0000,1.0
2020-07-27,34.25,35.49,34.1,35.46,35.2819541322,566028,0.0000,1.0
2020-07-24,35.25,35.27,34.31,34.34,34.1675776903,324529,0.0000,1.0
2020-07-23,35.48,36.09,34.95,35.14,34.9635608631,451806,0.0000,1.0
2020-07-22,35.57,35.98,35.15,35.59,35.4113013977,344645,0.0000,1.0
2020-07-21,35.37,36.35,35.3,35.8,35.6202469806,309600,0.0000,1.0
2020-07-20,35.6,35.82,34.99,35.18,35.0033600217,375852,0.0000,1.0
2020-07-17,35.16,36.28,35.0,36.09,35.9087908807,523439,0.0000,1.0
2020-07-16,35.57,36.3,34.79,35.01,34.8342135975,422600,0.0000,1.0
2020-07-15,34.71,36.09,34.44,35.84,35.6600461392,363628,0.0000,1.0
2020-07-14,33.66,34.39,33.21,33.9,33.7297869453,293903,0.0000,1.0
2020-07-13,33.23,34.32,32.72,33.71,33.5407409418,561186,0.0000,1.0
2020-07-10,32.05,33.31,31.98,33.03,32.8641552449,399497,0.0000,1.0
2020-07-09,32.89,32.93,31.36,31.98,31.8194273307,495865,0.0000,1.0
2020-07-08,33.81,33.89,32.54,32.99,32.8243560863,392918,0.0000,1.0
2020-07-07,35.21,35.25,33.8,33.82,33.650188628,502123,0.0000,1.0
2020-07-06,36.06,36.06,35.04,35.57,35.3914018184,306741,0.0000,1.0
2020-07-02,36.5,36.7,35.26,35.39,35.2123056046,370726,0.0000,1.0
2020-07-01,36.18,36.72,35.69,35.94,35.7595440358,452158,0.1850,1.0
2020-06-30,36.36,36.8,36.02,36.3,35.9327736609,415514,0.0000,1.0
2020-06-29,35.5,36.95,35.43,36.49,36.1208515396,495890,0.0000,1.0
2020-06-26,35.64,35.68,34.88,34.97,34.6162285103,721058,0.0000,1.0
2020-06-25,35.48,36.1,35.02,35.73,35.3685400249,410704,0.0000,1.0
2020-06-24,37.67,38.0,35.51,35.57,35.2101586534,748192,0.0000,1.0
2020-06-23,39.51,39.57,37.63,38.01,37.6254745689,773611,0.0000,1.0
2020-06-22,37.88,39.26,37.47,38.99,38.5955604694,589802,0.0000,1.0
2020-06-19,39.43,40.78,37.82,38.29,37.902641969,1330642,0.0000,1.0
2020-06-18,35.4,39.45,35.01,39.03,38.6351558123,2574523,0.0000,1.0
2020-06-17,34.1,34.36,32.44,32.53,32.2009125948,841191,0.0000,1.0
2020-06-16,33.8,34.75,32.76,34.12,33.7748274741,592628,0.0000,1.0
2020-06-15,30.68,32.61,30.41,32.43,32.1019242376,308540,0.0000,1.0
2020-06-12,32.76,33.09,30.83,31.62,31.3001185443,421350,0.0000,1.0
2020-06-11,32.3,32.76,31.32,31.46,31.1417371728,375437,0.0000,1.0
2020-06-10,35.38,35.5,33.7,33.74,33.3986717168,393311,0.0000,1.0
2020-06-09,36.2,36.28,34.91,35.56,35.2002598177,346698,0.0000,1.0
2020-06-08,36.72,37.22,36.4,36.75,36.3782212683,392412,0.0000,1.0
2020-06-05,35.79,36.74,35.66,36.54,36.1703457182,547678,0.0000,1.0
2020-06-04,32.95,34.89,32.59,34.4,34.0519948743,459103,0.0000,1.0
2020-06-03,32.78,33.46,32.29,33.34,33.002718288,591926,0.0000,1.0
2020-06-02,32.63,32.85,32.03,32.16,31.8346556731,401438,0.0000,1.0
2020-06-01,31.0,33.12,30.97,32.23,31.9039475232,968278,0.0000,1.0
2020-05-29,33.13,33.42,30.47,30.73,30.4191221653,608562,0.0000,1.0
2020-05-28,33.87,34.12,33.25,33.48,33.1413019881,310586,0.0000,1.0
2020-05-27,34.33,34.44,32.73,33.5,33.1610996595,484262,0.0000,1.0
2020-05-26,33.73,34.57,33.65,34.16,33.814422817,343918,0.0000,1.0
2020-05-22,32.67,32.74,32.04,32.58,32.2504067733,201119,0.0000,1.0
2020-05-21,32.6,33.45,32.57,32.57,32.2405079376,270190,0.0000,1.0
2020-05-20,32.52,33.03,32.15,32.68,32.3493951305,258942,0.0000,1.0
2020-05-19,32.33,32.79,31.79,31.87,31.5475894373,263956,0.0000,1.0
2020-05-18,32.71,32.9,31.65,32.58,32.2504067733,415837,0.0000,1.0
2020-05-15,30.28,31.6,29.76,31.57,31.2506243657,609470,0.0000,1.0
2020-05-14,29.08,30.51,28.21,30.42,30.112258258,469533,0.0000,1.0
2020-05-13,31.69,31.74,29.39,29.66,29.3599467433,460205,0.0000,1.0
2020-05-12,33.83,33.83,32.06,32.07,31.7455661517,325248,0.0000,1.0
2020-05-11,33.03,33.83,32.15,33.7,33.3590763739,446198,0.0000,1.0
2020-05-08,32.3,33.57,32.03,33.5,33.1610996595,381004,0.0000,1.0
2020-05-07,31.58,31.87,31.4,31.58,31.2605232014,363926,0.0000,1.0
2020-05-06,32.04,32.71,30.98,31.06,30.745783744,294788,0.0000,1.0
2020-05-05,33.09,33.27,32.19,32.21,31.8841498517,329590,0.0000,1.0
2020-05-04,32.72,33.01,31.96,32.36,32.0326323875,551227,0.0000,1.0
2020-05-01,33.71,34.14,32.7,33.24,32.9037299308,418608,0.0000,1.0
2020-04-30,35.0,35.74,34.26,34.49,34.1410843957,1435543,0.0000,1.0
2020-04-29,35.07,36.5,34.8,35.95,35.5863144107,482165,0.0000,1.0
2020-04-28,33.8,34.48,33.35,34.09,33.745130967,421578,0.0000,1.0
2020-04-27,31.91,33.54,31.77,33.04,32.7057532164,337498,0.0000,1.0
2020-04-24,31.33,31.99,30.78,31.6,31.2803208729,479728,0.0000,1.0
2020-04-23,30.72,31.64,30.72,31.15,30.8348732655,409042,0.0000,1.0
2020-04-22,30.79,31.17,30.21,30.78,30.4686163439,336901,0.0000,1.0
2020-04-21,29.95,30.88,29.63,30.13,29.8251920221,360599,0.0000,1.0
2020-04-20,32.24,32.85,30.59,30.69,30.3795268224,543262,0.0000,1.0
2020-04-17,32.52,33.35,31.63,32.88,32.5473718449,767102,0.0000,1.0
2020-04-16,30.56,31.68,30.14,31.54,31.2209278585,722412,0.0000,1.0
2020-04-15,29.8,31.31,29.58,30.55,30.2409431223,933768,0.0000,1.0
2020-04-14,29.5,31.05,29.1,30.98,30.6665930583,808522,0.0000,1.0
2020-04-13,28.37,28.81,27.83,28.69,28.3997596786,446370,0.0000,1.0
2020-04-09,28.4,29.85,27.86,28.93,28.6373317358,555914,0.0000,1.0
2020-04-08,26.22,28.24,25.99,27.85,27.5682574781,511894,0.0000,1.0
2020-04-07,26.5,28.17,26.18,26.32,26.0537356131,930746,0.0000,1.0
2020-04-06,23.83,26.02,23.65,25.97,25.7072763629,622914,0.0000,1.0
2020-04-03,23.86,24.36,22.28,22.78,22.5495477685,384317,0.0000,1.0
2020-04-02,22.91,24.28,22.8,24.24,23.9947777835,468539,0.0000,1.0
2020-04-01,23.99,24.12,22.76,23.36,23.1236802402,530062,0.1850,1.0
2020-03-31,24.36,25.17,23.85,24.36,23.9240964388,853939,0.0000,1.0
2020-03-30,22.21,24.22,21.6,24.17,23.7374963434,602345,0.0000,1.0
2020-03-27,21.21,23.62,21.0,21.99,21.5965057754,1455738,0.0000,1.0
2020-03-26,21.0,22.45,20.73,22.05,21.6554321213,1031781,0.0000,1.0
2020-03-25,21.02,22.26,20.11,21.01,20.6340421256,1208873,0.0000,1.0
2020-03-24,21.7,22.71,19.79,21.02,20.6438631832,1118439,0.0000,1.0
2020-03-23,21.25,22.6,20.13,20.45,20.0840628971,581785,0.0000,1.0
2020-03-20,24.09,24.09,20.84,21.05,20.6733263562,979947,0.0000,1.0
2020-03-19,24.63,26.02,21.86,24.06,23.6294647092,630189,0.0000,1.0
2020-03-18,26.55,28.05,24.64,24.72,24.2776545142,789707,0.0000,1.0
2020-03-17,27.0,29.21,26.68,28.22,27.7150246922,785426,0.0000,1.0
2020-03-16,24.04,27.63,24.0,26.42,25.947234315,648398,0.0000,1.0
2020-03-13,25.7,27.29,24.66,27.28,26.791845273,613393,0.0000,1.0
2020-03-12,27.0,27.0,24.16,24.17,23.7374963434,608413,0.0000,1.0
2020-03-11,31.03,31.23,28.78,29.41,28.8837305527,344353,0.0000,1.0
2020-03-10,32.5,32.5,30.55,31.92,31.3488160232,365578,0.0000,1.0
2020-03-09,31.4,32.68,28.0,31.54,30.9756158325,363782,0.0000,1.0
2020-03-06,33.83,34.92,32.87,33.9,33.2933854382,520482,0.0000,1.0
2020-03-05,35.5,36.42,33.95,35.06,34.4326281258,737514,0.0000,1.0
2020-03-04,34.5,35.27,34.29,35.12,34.4915544717,500947,0.0000,1.0
2020-03-03,34.92,35.95,33.7,33.94,33.3326696688,481554,0.0000,1.0
2020-03-02,33.0,34.77,32.6,34.72,34.0987121656,690964,0.0000,1.0
2020-02-28,34.24,34.94,32.38,32.92,32.3309217884,585576,0.0000,1.0
2020-02-27,35.22,36.43,34.64,35.31,34.678154567,537032,0.0000,1.0
2020-02-26,35.92,36.49,35.34,35.84,35.1986706226,330520,0.0000,1.0
2020-02-25,37.26,37.26,35.7,35.73,35.0906389884,235075,0.0000,1.0
2020-02-24,37.08,37.5,36.8,37.27,36.6030818667,256974,0.0000,1.0
2020-02-21,38.9,39.1,38.42,38.42,37.7325034966,828806,0.0000,1.0
2020-02-20,38.57,39.21,38.43,38.99,38.2923037828,267541,0.0000,1.0
2020-02-19,38.72,39.1,38.68,38.82,38.1253458027,209426,0.0000,1.0
2020-02-18,38.81,39.0,38.24,38.7,38.0074931109,186239,0.0000,1.0
2020-02-14,39.2,39.3,38.74,38.87,38.1744510909,199218,0.0000,1.0
2020-02-13,38.97,39.3,38.51,39.12,38.4199775322,171679,0.0000,1.0
2020-02-12,39.35,39.35,38.71,39.19,38.4887249358,222061,0.0000,1.0
2020-02-11,38.74,39.19,38.74,38.98,38.2824827251,158499,0.0000,1.0
2020-02-10,38.31,38.57,38.03,38.54,37.8503561884,241637,0.0000,1.0
2020-02-07,39.38,39.4,38.39,38.42,37.7325034966,162509,0.0000,1.0
2020-02-06,40.74,40.74,39.42,39.52,38.8128198383,216918,0.0000,1.0
2020-02-05,40.05,40.705,40.05,40.55,39.8243887764,222573,0.0000,1.0
2020-02-04,39.4,40.18,39.38,39.85,39.1369147408,258566,0.0000,1.0
2020-02-03,38.34,38.89,38.18,38.73,38.0369562838,419416,0.0000,1.0
2020-01-31,38.64,38.9,37.96,38.14,37.4575138824,1083222,0.0000,1.0
2020-01-30,38.7,39.05,38.26,38.88,38.1842721486,170503,0.0000,1.0
2020-01-29,39.18,39.43,38.88,39.02,38.3217669557,265701,0.0000,1.0
2020-01-28,39.22,39.65,39.1,39.12,38.4199775322,192106,0.0000,1.0
2020-01-27,38.36,39.48,38.36,39.05,38.3512301287,490758,0.0000,1.0
2020-01-24,39.37,39.45,38.66,39.04,38.341409071,218739,0.0000,1.0
2020-01-23,39.59,39.59,38.99,39.3,38.59675657,317312,0.0000,1.0
2020-01-22,39.77,40.06,39.68,39.76,39.0485252219,246299,0.0000,1.0
2020-01-21,39.64,39.87,39.38,39.45,38.7440724347,329709,0.0000,1.0
2020-01-17,40.53,40.55,39.43,39.79,39.0779883949,334878,0.0000,1.0
