timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.26,1.28,1.21,1.23,1.23,63067,0.0000,1.0
2020-12-10,1.22,1.25,1.2,1.24,1.24,105552,0.0000,1.0
2020-12-09,1.28,1.3035,1.211,1.24,1.24,244866,0.0000,1.0
2020-12-08,1.36,1.37,1.2663,1.3,1.3,111897,0.0000,1.0
2020-12-07,1.33,1.39,1.32,1.34,1.34,301090,0.0000,1.0
2020-12-04,1.3,1.4,1.23,1.35,1.35,411192,0.0000,1.0
2020-12-03,1.32,1.3689,1.29,1.3,1.3,236786,0.0000,1.0
2020-12-02,1.28,1.3591,1.27,1.3,1.3,291033,0.0000,1.0
2020-12-01,1.41,1.41,1.25,1.31,1.31,204836,0.0000,1.0
2020-11-30,1.27,1.58,1.26,1.33,1.33,1415458,0.0000,1.0
2020-11-27,1.22,1.28,1.22,1.27,1.27,50085,0.0000,1.0
2020-11-25,1.29,1.29,1.2,1.26,1.26,157307,0.0000,1.0
2020-11-24,1.3,1.315,1.2,1.269,1.269,331080,0.0000,1.0
2020-11-23,1.15,1.42,1.15,1.33,1.33,1036812,0.0000,1.0
2020-11-20,1.21,1.22,1.15,1.16,1.16,72446,0.0000,1.0
2020-11-19,1.24,1.24,1.17,1.22,1.22,75978,0.0000,1.0
2020-11-18,1.15,1.21,1.15,1.21,1.21,109790,0.0000,1.0
2020-11-17,1.13,1.17,1.13,1.16,1.16,89463,0.0000,1.0
2020-11-16,1.13,1.2,1.13,1.16,1.16,75138,0.0000,1.0
2020-11-13,1.125,1.18,1.1,1.14,1.14,135648,0.0000,1.0
2020-11-12,1.13,1.17,1.11,1.11,1.11,64224,0.0000,1.0
2020-11-11,1.28,1.28,1.12,1.14,1.14,83778,0.0000,1.0
2020-11-10,1.14,1.19,1.11,1.13,1.13,113932,0.0000,1.0
2020-11-09,1.17,1.18,1.11,1.14,1.14,156826,0.0000,1.0
2020-11-06,1.08,1.12,1.01,1.1186,1.1186,450582,0.0000,1.0
2020-11-05,1.17,1.17,1.08,1.105,1.105,311593,0.0000,1.0
2020-11-04,1.09,1.1,1.05,1.0709,1.0709,200282,0.0000,1.0
2020-11-03,1.18,1.21,1.06,1.075,1.075,371920,0.0000,1.0
2020-11-02,1.17,1.3,1.16,1.3,1.3,1042137,0.0000,1.0
2020-10-30,1.37,1.53,1.14,1.32,1.32,17162710,0.0000,1.0
2020-10-29,0.9637,1.04,0.9386,1.0327,1.0327,1874746,0.0000,1.0
2020-10-28,0.9801,1.0,0.96,0.9637,0.9637,49163,0.0000,1.0
2020-10-27,0.9986,1.015,0.9856,0.9954,0.9954,62540,0.0000,1.0
2020-10-26,1.03,1.03,0.99,0.9901,0.9901,90462,0.0000,1.0
2020-10-23,1.03,1.05,1.02,1.0392,1.0392,54819,0.0000,1.0
2020-10-22,1.07,1.0724,1.03,1.03,1.03,79945,0.0000,1.0
2020-10-21,1.06,1.1499,1.05,1.07,1.07,208940,0.0000,1.0
2020-10-20,1.07,1.08,1.04,1.07,1.07,48919,0.0000,1.0
