timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.0,1.03,0.985,1.01,1.01,568340,0.0000,1.0
2020-12-10,1.02,1.07,0.9703,0.99,0.99,1450211,0.0000,1.0
2020-12-09,1.01,1.04,0.99,1.0,1.0,712842,0.0000,1.0
2020-12-08,1.03,1.0385,1.0,1.0,1.0,766624,0.0000,1.0
2020-12-07,1.05,1.0623,1.02,1.02,1.02,753954,0.0000,1.0
2020-12-04,1.03,1.08,1.03,1.05,1.05,653739,0.0000,1.0
2020-12-03,1.05,1.0676,1.02,1.04,1.04,864941,0.0000,1.0
2020-12-02,1.07,1.08,1.03,1.05,1.05,856938,0.0000,1.0
2020-12-01,1.09,1.12,1.06,1.07,1.07,778382,0.0000,1.0
2020-11-30,1.11,1.12,1.06,1.09,1.09,770874,0.0000,1.0
2020-11-27,1.07,1.1,1.05,1.09,1.09,425463,0.0000,1.0
2020-11-25,1.09,1.095,1.02,1.07,1.07,637115,0.0000,1.0
2020-11-24,1.0936,1.0999,1.04,1.05,1.05,821232,0.0000,1.0
2020-11-23,1.1,1.13,1.07,1.09,1.09,688384,0.0000,1.0
2020-11-20,1.06,1.1,1.04,1.07,1.07,895474,0.0000,1.0
2020-11-19,1.04,1.06,1.03,1.05,1.05,265898,0.0000,1.0
2020-11-18,1.05,1.07,1.02,1.03,1.03,475900,0.0000,1.0
2020-11-17,1.08,1.08,1.04,1.06,1.06,441918,0.0000,1.0
2020-11-16,1.09,1.09,1.04,1.07,1.07,511095,0.0000,1.0
2020-11-13,1.09,1.09,1.04,1.05,1.05,460424,0.0000,1.0
2020-11-12,1.1,1.1351,1.0,1.07,1.07,793892,0.0000,1.0
2020-11-11,1.08,1.12,1.07,1.12,1.12,266294,0.0000,1.0
2020-11-10,1.05,1.13,1.02,1.11,1.11,705567,0.0000,1.0
2020-11-09,1.13,1.17,1.065,1.07,1.07,749396,0.0000,1.0
2020-11-06,1.16,1.17,1.1,1.13,1.13,530516,0.0000,1.0
2020-11-05,1.2,1.2,1.13,1.16,1.16,515133,0.0000,1.0
2020-11-04,1.2,1.2165,1.15,1.18,1.18,431522,0.0000,1.0
2020-11-03,1.14,1.205,1.13,1.17,1.17,566974,0.0000,1.0
2020-11-02,1.18,1.2,1.09,1.13,1.13,832515,0.0000,1.0
2020-10-30,1.26,1.28,1.15,1.15,1.15,909889,0.0000,1.0
2020-10-29,1.23,1.33,1.2,1.26,1.26,642553,0.0000,1.0
2020-10-28,1.22,1.29,1.15,1.25,1.25,1358063,0.0000,1.0
2020-10-27,1.45,1.5,1.23,1.28,1.28,1390416,0.0000,1.0
2020-10-26,1.64,1.65,1.33,1.405,1.405,5511933,0.0000,1.0
2020-10-23,2.05,2.0764,1.9,1.9,1.9,867451,0.0000,1.0
2020-10-22,2.12,2.21,2.02,2.11,2.11,911862,0.0000,1.0
2020-10-21,2.25,2.26,1.95,2.025,2.025,1290837,0.0000,1.0
2020-10-20,1.79,2.47,1.758,2.29,2.29,5059270,0.0000,1.0
2020-10-19,1.97,1.97,1.73,1.74,1.74,636991,0.0000,1.0
2020-10-16,1.91,1.94,1.8,1.91,1.91,447384,0.0000,1.0
2020-10-15,2.09,2.0999,1.75,1.94,1.94,1811327,0.0000,1.0
2020-10-14,2.0568,2.2,1.9,2.135,2.135,3448049,0.0000,1.0
2020-10-13,1.69,2.1,1.6702,1.9,1.9,2765907,0.0000,1.0
2020-10-12,1.6,1.85,1.56,1.65,1.65,1633007,0.0000,1.0
2020-10-09,1.68,1.69,1.46,1.55,1.55,829625,0.0000,1.0
2020-10-08,1.35,1.68,1.33,1.62,1.62,2443611,0.0000,1.0
2020-10-07,1.24,1.35,1.22,1.33,1.33,585469,0.0000,1.0
2020-10-06,1.25,1.29,1.21,1.23,1.23,158899,0.0000,1.0
2020-10-05,1.18,1.25,1.174,1.24,1.24,222042,0.0000,1.0
2020-10-02,1.2,1.225,1.15,1.16,1.16,269835,0.0000,1.0
2020-10-01,1.33,1.33,1.23,1.23,1.23,157825,0.0000,1.0
2020-09-30,1.25,1.29,1.22,1.29,1.29,302189,0.0000,1.0
2020-09-29,1.26,1.2667,1.2,1.22,1.22,117064,0.0000,1.0
2020-09-28,1.27,1.3,1.25,1.26,1.26,107320,0.0000,1.0
2020-09-25,1.24,1.3,1.2294,1.27,1.27,180325,0.0000,1.0
2020-09-24,1.27,1.2899,1.15,1.26,1.26,246616,0.0000,1.0
2020-09-23,1.38,1.38,1.22,1.23,1.23,399189,0.0000,1.0
2020-09-22,1.32,1.43,1.26,1.33,1.33,273047,0.0000,1.0
2020-09-21,1.35,1.375,1.25,1.28,1.28,331078,0.0000,1.0
2020-09-18,1.32,1.45,1.28,1.36,1.36,738502,0.0000,1.0
2020-09-17,1.21,1.35,1.2,1.34,1.34,735709,0.0000,1.0
2020-09-16,1.32,1.33,1.21,1.24,1.24,401613,0.0000,1.0
2020-09-15,1.24,1.45,1.21,1.31,1.31,1000992,0.0000,1.0
2020-09-14,1.29,1.2963,1.19,1.25,1.25,264644,0.0000,1.0
2020-09-11,1.19,1.25,1.16,1.18,1.18,173251,0.0000,1.0
2020-09-10,1.25,1.25,1.18,1.21,1.21,170699,0.0000,1.0
2020-09-09,1.16,1.25,1.14,1.21,1.21,265313,0.0000,1.0
2020-09-08,1.14,1.19,1.08,1.16,1.16,192273,0.0000,1.0
2020-09-04,1.15,1.17,1.04,1.16,1.16,444147,0.0000,1.0
2020-09-03,1.2,1.2049,1.15,1.15,1.15,312822,0.0000,1.0
2020-09-02,1.22,1.26,1.17,1.19,1.19,290115,0.0000,1.0
2020-09-01,1.27,1.3103,1.21,1.22,1.22,228348,0.0000,1.0
2020-08-31,1.24,1.3,1.22,1.28,1.28,332644,0.0000,1.0
2020-08-28,1.21,1.37,1.18,1.22,1.22,847183,0.0000,1.0
2020-08-27,1.19,1.2239,1.16,1.21,1.21,215885,0.0000,1.0
2020-08-26,1.24,1.26,1.15,1.19,1.19,272649,0.0000,1.0
2020-08-25,1.18,1.25,1.15,1.23,1.23,434872,0.0000,1.0
2020-08-24,1.28,1.28,1.15,1.18,1.18,521706,0.0000,1.0
2020-08-21,1.28,1.305,1.22,1.23,1.23,311681,0.0000,1.0
2020-08-20,1.35,1.35,1.2502,1.3,1.3,399409,0.0000,1.0
2020-08-19,1.42,1.42,1.33,1.35,1.35,315722,0.0000,1.0
2020-08-18,1.34,1.38,1.3,1.34,1.34,476312,0.0000,1.0
2020-08-17,1.38,1.41,1.33,1.33,1.33,355080,0.0000,1.0
2020-08-14,1.35,1.44,1.3,1.41,1.41,873712,0.0000,1.0
2020-08-13,1.18,1.44,1.17,1.38,1.38,1221948,0.0000,1.0
2020-08-12,1.21,1.25,1.15,1.18,1.18,615431,0.0000,1.0
2020-08-11,1.28,1.32,1.22,1.27,1.27,648387,0.0000,1.0
2020-08-10,1.4244,1.43,1.2,1.24,1.24,1275584,0.0000,1.0
2020-08-07,1.48,1.54,1.42,1.45,1.45,786070,0.0000,1.0
2020-08-06,1.29,1.63,1.26,1.53,1.53,3378624,0.0000,1.0
2020-08-05,1.29,1.72,1.22,1.48,1.48,17644115,0.0000,1.0
2020-08-04,0.91,1.15,0.9093,1.1,1.1,2410363,0.0000,1.0
2020-08-03,0.9,0.93,0.8811,0.9066,0.9066,422401,0.0000,1.0
2020-07-31,0.95,0.9502,0.84,0.88,0.88,312321,0.0000,1.0
2020-07-30,0.9079,0.93,0.88,0.93,0.93,301729,0.0000,1.0
2020-07-29,0.971,0.971,0.9016,0.92,0.92,195374,0.0000,1.0
2020-07-28,0.9373,0.9664,0.91,0.955,0.955,174248,0.0000,1.0
2020-07-27,0.9765,0.977,0.93,0.95,0.95,179203,0.0000,1.0
2020-07-24,0.94,0.98,0.91,0.969,0.969,333852,0.0000,1.0
2020-07-23,1.05,1.05,0.95,0.952,0.952,525218,0.0000,1.0
2020-07-22,1.07,1.07,1.02,1.05,1.05,261464,0.0000,1.0
2020-07-21,1.11,1.11,1.0,1.06,1.06,399680,0.0000,1.0
2020-07-20,1.05,1.09,1.05,1.08,1.08,440252,0.0000,1.0
2020-07-17,0.972,1.06,0.97,1.05,1.05,454368,0.0000,1.0
2020-07-16,0.96,0.999,0.94,0.96,0.96,315961,0.0000,1.0
2020-07-15,0.91,1.0,0.91,0.96,0.96,458159,0.0000,1.0
2020-07-14,0.899,0.93,0.8,0.874,0.874,490689,0.0000,1.0
2020-07-13,1.11,1.11,0.85,0.878,0.878,1808036,0.0000,1.0
2020-07-10,1.12,1.12,1.03,1.07,1.07,772563,0.0000,1.0
2020-07-09,1.16,1.16,1.075,1.12,1.12,398899,0.0000,1.0
2020-07-08,1.14,1.14,1.02,1.1,1.1,596423,0.0000,1.0
2020-07-07,1.18,1.18,1.13,1.15,1.15,194472,0.0000,1.0
2020-07-06,1.16,1.18,1.12,1.16,1.16,386479,0.0000,1.0
2020-07-02,1.14,1.18,1.1,1.16,1.16,338564,0.0000,1.0
2020-07-01,1.15,1.19,1.12,1.13,1.13,361721,0.0000,1.0
2020-06-30,1.22,1.22,1.15,1.18,1.18,393744,0.0000,1.0
2020-06-29,1.11,1.22,1.1,1.18,1.18,789394,0.0000,1.0
