timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,11.15,11.32,11.09,11.3,11.3,961734,0.0000,1.0
2020-12-10,11.12,11.28,11.05,11.16,11.16,977653,0.0000,1.0
2020-12-09,11.49,11.49,11.131,11.24,11.24,793641,0.0000,1.0
2020-12-08,11.16,11.42,11.1364,11.36,11.36,755157,0.0000,1.0
2020-12-07,11.47,11.51,11.15,11.24,11.24,1303598,0.0000,1.0
2020-12-04,11.29,11.6,11.29,11.51,11.51,1294881,0.0000,1.0
2020-12-03,11.4,11.455,11.115,11.15,11.15,897432,0.0000,1.0
2020-12-02,11.07,11.36,10.9799,11.27,11.27,987238,0.0000,1.0
2020-12-01,10.98,11.175,10.9,11.06,11.06,1256205,0.0000,1.0
2020-11-30,11.2,11.26,10.74,10.78,10.78,1358449,0.0000,1.0
2020-11-27,11.29,11.51,11.19,11.2,11.2,650115,0.0000,1.0
2020-11-25,11.38,11.45,11.11,11.32,11.32,865532,0.0000,1.0
2020-11-24,11.35,11.705,11.32,11.41,11.41,1584649,0.0000,1.0
2020-11-23,10.74,11.16,10.74,11.09,11.09,1411743,0.0000,1.0
2020-11-20,10.8,10.8407,10.4801,10.63,10.63,954046,0.0000,1.0
2020-11-19,10.67,10.85,10.5,10.84,10.84,652125,0.0000,1.0
2020-11-18,10.93,11.17,10.72,10.73,10.73,1270397,0.0000,1.0
2020-11-17,10.64,10.93,10.57,10.86,10.86,824057,0.0000,1.0
2020-11-16,10.72,10.95,10.5885,10.75,10.75,1417530,0.0000,1.0
2020-11-13,10.04,10.32,10.04,10.24,10.24,890293,0.0000,1.0
2020-11-12,10.13,10.3,9.86,9.99,9.99,1014343,0.0000,1.0
2020-11-11,11.13,11.15,10.2,10.3,10.3,1709952,0.0000,1.0
2020-11-10,10.08,11.21,10.04,11.06,11.06,2728755,0.0000,1.0
2020-11-09,9.08,10.38,9.08,10.01,10.01,3156471,0.0000,1.0
2020-11-06,8.9,8.93,8.63,8.64,8.64,1024303,0.0000,1.0
2020-11-05,8.84,8.9899,8.79,8.86,8.86,1019416,0.0000,1.0
2020-11-04,9.01,9.11,8.73,8.79,8.79,1201723,0.0000,1.0
2020-11-03,9.17,9.285,8.94,9.1,9.1,865924,0.0000,1.0
2020-11-02,8.85,9.16,8.75,9.0,9.0,1003717,0.0000,1.0
2020-10-30,8.58,8.72,8.46,8.7,8.7,1332375,0.0000,1.0
2020-10-29,8.41,8.7,8.32,8.63,8.63,1369398,0.0000,1.0
2020-10-28,8.7,8.81,8.36,8.48,8.48,1763709,0.0000,1.0
2020-10-27,9.0,9.54,8.96,9.02,9.02,1588786,0.0000,1.0
2020-10-26,9.04,9.04,8.44,8.66,8.66,1550142,0.0000,1.0
2020-10-23,9.01,9.215,9.01,9.18,9.18,678274,0.0000,1.0
2020-10-22,8.88,9.04,8.88,8.99,8.99,954099,0.0000,1.0
2020-10-21,8.83,8.985,8.76,8.89,8.89,955340,0.0000,1.0
2020-10-20,8.94,9.085,8.87,8.88,8.88,1159087,0.0000,1.0
2020-10-19,9.14,9.14,8.89,8.89,8.89,1221932,0.0000,1.0
2020-10-16,9.2,9.26,9.0,9.14,9.14,823328,0.0000,1.0
2020-10-15,9.23,9.32,9.12,9.25,9.25,750138,0.0000,1.0
2020-10-14,9.25,9.46,9.21,9.22,9.22,747377,0.0000,1.0
2020-10-13,9.19,9.34,9.13,9.24,9.24,844078,0.0000,1.0
2020-10-12,9.21,9.325,9.12,9.29,9.29,802213,0.0000,1.0
2020-10-09,9.56,9.62,9.215,9.24,9.24,981529,0.0000,1.0
2020-10-08,9.21,9.56,9.21,9.52,9.52,1105679,0.0000,1.0
2020-10-07,9.32,9.45,9.075,9.14,9.14,1212453,0.0000,1.0
2020-10-06,9.55,9.695,9.26,9.26,9.26,1493735,0.0000,1.0
2020-10-05,9.52,9.62,9.425,9.46,9.46,893186,0.0000,1.0
2020-10-02,8.95,9.48,8.91,9.44,9.44,1416322,0.0000,1.0
2020-10-01,9.02,9.16,8.95,9.16,9.16,1106979,0.0000,1.0
2020-09-30,8.99,9.12,8.95,9.01,9.01,1552974,0.0000,1.0
2020-09-29,8.97,9.06,8.78,8.99,8.99,1757275,0.3500,1.0
2020-09-28,9.18,9.57,9.17,9.4,9.047751606,1445919,0.0000,1.0
2020-09-25,8.69,9.1,8.69,9.07,8.73011777302,1467889,0.0000,1.0
2020-09-24,8.53,8.94,8.41,8.74,8.41248394004,1826958,0.0000,1.0
2020-09-23,8.98,9.09,8.53,8.53,8.21035331906,1489049,0.0000,1.0
2020-09-22,9.01,9.15,8.94,8.95,8.61461456103,1086718,0.0000,1.0
2020-09-21,9.3,9.3,8.96,8.97,8.63386509636,1580484,0.0000,1.0
2020-09-18,9.55,9.64,9.32,9.46,9.10550321199,4904458,0.0000,1.0
2020-09-17,9.1,9.53,9.01,9.5,9.14400428266,1529043,0.0000,1.0
2020-09-16,9.02,9.42,8.96,9.21,8.86487152034,1622288,0.0000,1.0
2020-09-15,9.05,9.11,8.96,8.97,8.63386509636,1011822,0.0000,1.0
2020-09-14,8.81,9.09,8.79,9.03,8.69161670236,1527108,0.0000,1.0
2020-09-11,8.93,8.93,8.67,8.77,8.44135974304,1826437,0.0000,1.0
2020-09-10,9.03,9.095,8.85,8.85,8.51836188437,1192445,0.0000,1.0
2020-09-09,8.9,9.095,8.81,9.04,8.70124197002,1454007,0.0000,1.0
2020-09-08,9.03,9.19,8.91,8.91,8.57611349036,1524683,0.0000,1.0
2020-09-04,9.14,9.2454,8.99,9.12,8.77824411135,1375530,0.0000,1.0
2020-09-03,9.09,9.275,8.99,9.01,8.67236616702,1094037,0.0000,1.0
2020-09-02,8.99,9.0754,8.91,9.03,8.69161670236,839795,0.0000,1.0
2020-09-01,8.85,9.14,8.82,9.02,8.68199143469,910277,0.0000,1.0
2020-08-31,9.21,9.2399,8.94,8.94,8.60498929336,1112610,0.0000,1.0
2020-08-28,9.25,9.315,9.12,9.28,8.932248394,626627,0.0000,1.0
2020-08-27,9.0,9.3,9.0,9.18,8.83599571734,666415,0.0000,1.0
2020-08-26,9.18,9.26,8.965,9.0,8.66274089936,966858,0.0000,1.0
2020-08-25,9.37,9.46,9.09,9.22,8.87449678801,733274,0.0000,1.0
2020-08-24,8.99,9.395,8.87,9.38,9.02850107066,886843,0.0000,1.0
2020-08-21,8.92,9.06,8.85,8.95,8.61461456103,1039287,0.0000,1.0
2020-08-20,9.1,9.215,9.0,9.0,8.66274089936,773864,0.0000,1.0
2020-08-19,9.26,9.36,9.16,9.2,8.85524625268,846576,0.0000,1.0
2020-08-18,9.41,9.495,9.25,9.27,8.92262312634,829555,0.0000,1.0
2020-08-17,9.4,9.47,9.315,9.41,9.05737687366,674740,0.0000,1.0
2020-08-14,9.2,9.56,9.09,9.43,9.07662740899,1152717,0.0000,1.0
2020-08-13,9.39,9.58,9.215,9.25,8.90337259101,997851,0.0000,1.0
2020-08-12,9.8,9.9,9.4,9.45,9.09587794433,1342449,0.0000,1.0
2020-08-11,10.0,10.15,9.59,9.6,9.24025695931,1627773,0.0000,1.0
2020-08-10,9.53,9.98,9.53,9.8,9.43276231263,1310387,0.0000,1.0
2020-08-07,9.37,9.55,9.23,9.49,9.13437901499,1124193,0.0000,1.0
2020-08-06,9.47,9.645,9.4,9.43,9.07662740899,1166212,0.0000,1.0
2020-08-05,9.33,9.52,9.19,9.49,9.13437901499,1503719,0.0000,1.0
2020-08-04,9.15,9.335,9.095,9.25,8.90337259101,1201861,0.0000,1.0
2020-08-03,9.33,9.36,8.94,9.16,8.81674518201,1690969,0.0000,1.0
2020-07-31,9.45,9.92,9.265,9.3,8.95149892934,2017911,0.0000,1.0
2020-07-30,9.15,9.32,9.09,9.31,8.961124197,861286,0.0000,1.0
2020-07-29,9.32,9.39,9.19,9.37,9.018875803,742991,0.0000,1.0
2020-07-28,8.95,9.43,8.95,9.31,8.961124197,1620305,0.0000,1.0
2020-07-27,9.08,9.15,8.97,9.06,8.72049250535,1017038,0.0000,1.0
2020-07-24,9.42,9.505,9.13,9.13,8.78786937901,860429,0.0000,1.0
