timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,38.84,39.885,38.83,39.36,39.36,25295,0.0000,1.0
2020-12-10,39.42,39.66,38.71,39.17,39.17,26988,0.0000,1.0
2020-12-09,38.73,39.45,38.35,39.24,39.24,20788,0.0000,1.0
2020-12-08,38.21,38.82,38.11,38.8,38.8,26502,0.0000,1.0
2020-12-07,38.22,38.76,38.06,38.5,38.5,9528,0.0000,1.0
2020-12-04,37.9788,38.49,37.88,38.08,38.08,20346,0.0000,1.0
2020-12-03,38.17,38.17,37.6,37.6,37.6,13101,0.0000,1.0
2020-12-02,37.76,38.26,36.31,38.08,38.08,20347,0.0000,1.0
2020-12-01,37.57,38.26,37.275,37.48,37.48,21193,0.0000,1.0
2020-11-30,38.38,38.38,36.62,36.97,36.97,25228,0.0000,1.0
2020-11-27,38.56,38.56,37.9,38.1,38.1,7339,0.0000,1.0
2020-11-25,37.98,38.51,37.52,38.3,38.3,21883,0.0000,1.0
2020-11-24,37.77,38.5,37.39,38.14,38.14,34187,0.0000,1.0
2020-11-23,37.47,37.9,37.14,37.39,37.39,19735,0.0000,1.0
2020-11-20,37.46,38.0126,37.19,37.32,37.32,23858,0.0000,1.0
2020-11-19,39.02,39.02,37.26,37.93,37.93,23075,0.0000,1.0
2020-11-18,39.29,39.61,38.04,38.3,38.3,13733,0.0000,1.0
2020-11-17,39.33,39.68,38.93,38.93,38.93,15529,0.0000,1.0
2020-11-16,39.19,39.96,38.765,39.72,39.72,15952,0.0000,1.0
2020-11-13,38.73,39.545,38.592,39.06,39.06,12278,0.0000,1.0
2020-11-12,40.0,40.26,38.2601,38.65,38.65,17635,0.0000,1.0
2020-11-11,40.26,40.26,39.21,40.11,40.11,13613,0.0000,1.0
2020-11-10,37.46,39.94,37.33,39.85,39.85,46367,0.0000,1.0
2020-11-09,35.99,38.395,35.99,37.1,37.1,40669,0.0000,1.0
2020-11-06,35.92,35.92,35.44,35.65,35.65,28139,0.2571,1.0
2020-11-05,35.48,36.38,35.48,36.1,35.8415188083,16635,0.0000,1.0
2020-11-04,36.09,36.55,35.5,35.58,35.325242083,14448,0.0000,1.0
2020-11-03,35.57,36.6,35.505,36.49,36.2287263522,17858,0.0000,1.0
2020-11-02,35.58,35.66,35.1039,35.27,35.0174617276,34335,0.0000,1.0
2020-10-30,35.16,35.67,35.035,35.23,34.9777481334,23821,0.0000,1.0
2020-10-29,35.3,35.47,34.5,35.16,34.9082493434,32857,0.0000,1.0
2020-10-28,36.0,36.18,35.1,35.12,34.8685357492,13597,0.0000,1.0
2020-10-27,36.34,36.61,36.0636,36.21,35.9507311924,11710,0.0000,1.0
2020-10-26,36.085,36.29,35.85,36.27,36.0103015838,14057,0.0000,1.0
2020-10-23,36.77,36.77,36.25,36.34,36.0798003737,16621,0.0000,1.0
2020-10-22,36.6166,37.38,36.32,36.72,36.4570795191,23148,0.0000,1.0
2020-10-21,36.36,36.9,36.36,36.58,36.3180819392,13923,0.0000,1.0
2020-10-20,37.22,37.5099,35.98,36.53,36.2684399464,24693,0.0000,1.0
2020-10-19,37.29,38.22,37.07,37.16,36.8939290558,17229,0.0000,1.0
2020-10-16,37.02,38.805,36.67,37.18,36.9137858529,146865,0.0000,1.0
2020-10-15,36.3,37.18,35.4,37.18,36.9137858529,32009,0.0000,1.0
2020-10-14,35.91,36.6,35.91,36.43,36.1691559608,29381,0.0000,1.0
2020-10-13,36.2,36.49,35.9,36.18,35.9209459968,34277,0.0000,1.0
2020-10-12,34.8,36.6,34.65,36.27,36.0103015838,80108,0.0000,1.0
2020-10-09,35.1,35.1,34.7,34.81,34.5607553938,31646,0.0000,1.0
2020-10-08,35.12,35.29,34.91,35.1,34.8486789521,13431,0.0000,1.0
2020-10-07,34.82,35.025,34.79,34.9,34.6501109808,22270,0.0000,1.0
2020-10-06,35.3,35.3,34.53,34.64,34.3919726182,22780,0.0000,1.0
2020-10-05,35.06,35.25,35.0,35.08,34.8288221549,15840,0.0000,1.0
2020-10-02,34.63,35.23,34.5,35.08,34.8288221549,15269,0.0000,1.0
2020-10-01,34.69,34.78,34.37,34.78,34.5309701981,21791,0.0000,1.0
2020-09-30,34.51,34.9116,34.36,34.47,34.2231898427,29393,0.0000,1.0
2020-09-29,34.3,34.62,34.1,34.3,34.0544070671,14961,0.0000,1.0
2020-09-28,33.95,34.42,33.8947,34.27,34.0246218714,18938,0.0000,1.0
2020-09-25,33.34,33.86,33.34,33.76,33.5182735448,20438,0.0000,1.0
2020-09-24,33.01,33.59,33.01,33.34,33.1012808052,14760,0.0000,1.0
2020-09-23,33.35,33.88,33.09,33.11,32.8729276383,20184,0.0000,1.0
2020-09-22,33.92,34.3411,33.21,33.38,33.1409943994,20980,0.0000,1.0
2020-09-21,34.11,34.4594,33.52,33.95,33.7069131175,25676,0.0000,1.0
2020-09-18,34.54,34.66,34.0,34.66,34.4118294154,81106,0.0000,1.0
2020-09-17,33.9,34.61,33.9,34.45,34.2033330456,19093,0.0000,1.0
2020-09-16,34.34,34.72,34.25,34.27,34.0246218714,22735,0.0000,1.0
2020-09-15,34.58,34.89,34.24,34.24,33.9948366758,10321,0.0000,1.0
2020-09-14,34.07,34.615,34.07,34.44,34.193404647,15468,0.0000,1.0
