timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,7.83,7.86,7.62,7.86,7.86,244541,0.0000,1.0
2020-12-10,7.91,7.9579,7.73,7.78,7.78,249553,0.0000,1.0
2020-12-09,8.24,8.3126,7.91,7.95,7.95,229785,0.0000,1.0
2020-12-08,8.31,8.49,8.21,8.24,8.24,180977,0.0000,1.0
2020-12-07,8.44,8.47,8.14,8.25,8.25,192627,0.0000,1.0
2020-12-04,8.32,8.41,8.31,8.41,8.41,147254,0.0000,1.0
2020-12-03,8.23,8.33,8.19,8.25,8.25,94763,0.0000,1.0
2020-12-02,8.29,8.31,8.1,8.19,8.19,127701,0.0000,1.0
2020-12-01,8.09,8.31,8.03,8.31,8.31,166156,0.0000,1.0
2020-11-30,8.13,8.1854,8.0,8.05,8.05,165070,0.0000,1.0
2020-11-27,8.16,8.18,8.08,8.13,8.13,87730,0.0000,1.0
2020-11-25,8.25,8.26,8.08,8.15,8.15,170677,0.0000,1.0
2020-11-24,8.3,8.38,8.19,8.23,8.23,248992,0.0000,1.0
2020-11-23,8.3,8.3,8.2,8.27,8.27,167397,0.0000,1.0
2020-11-20,8.12,8.27,8.11,8.21,8.21,158782,0.0000,1.0
2020-11-19,8.07,8.1899,8.05,8.12,8.12,129620,0.0000,1.0
2020-11-18,8.22,8.3,8.13,8.13,8.13,201682,0.0000,1.0
2020-11-17,8.13,8.26,8.0,8.25,8.25,182300,0.0000,1.0
2020-11-16,8.08,8.23,8.0,8.14,8.14,236042,0.0000,1.0
2020-11-13,8.08,8.17,7.87,7.99,7.99,298890,0.0000,1.0
2020-11-12,8.01,8.24,7.85,8.15,8.15,257211,0.2600,1.0
2020-11-11,8.22,8.56,8.215,8.4,8.14030915577,482297,0.0000,1.0
2020-11-10,7.98,8.2299,7.9,8.21,7.95618311534,292939,0.0000,1.0
2020-11-09,8.16,8.22,7.92,7.92,7.67514863258,179310,0.0000,1.0
2020-11-06,7.93,8.0,7.8501,7.94,7.69453032105,201362,0.0000,1.0
2020-11-05,7.84,8.0,7.76,7.95,7.70422116528,225485,0.0000,1.0
2020-11-04,7.53,7.7299,7.47,7.65,7.41349583829,140956,0.0000,1.0
2020-11-03,7.3,7.47,7.3,7.42,7.19060642093,191407,0.0000,1.0
2020-11-02,7.26,7.32,7.18,7.24,7.01617122473,233020,0.0000,1.0
2020-10-30,7.11,7.26,7.035,7.2,6.9774078478,304919,0.0000,1.0
2020-10-29,7.12,7.24,7.06,7.19,6.96771700357,188828,0.0000,1.0
2020-10-28,7.33,7.34,7.06,7.09,6.87080856124,347616,0.0000,1.0
2020-10-27,7.6,7.6,7.43,7.46,7.22936979786,102496,0.0000,1.0
2020-10-26,7.63,7.66,7.45,7.54,7.30689655172,103551,0.0000,1.0
2020-10-23,7.67,7.67,7.6235,7.67,7.43287752675,124842,0.0000,1.0
2020-10-22,7.72,7.72,7.55,7.62,7.38442330559,104705,0.0000,1.0
2020-10-21,7.64,7.7,7.625,7.69,7.45225921522,179615,0.0000,1.0
2020-10-20,7.47,7.64,7.47,7.62,7.38442330559,119270,0.0000,1.0
