timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.34,14.49,13.3719,13.77,13.77,73026,0.0000,1.0
2020-12-10,13.85,14.465,13.6201,14.38,14.38,79993,0.0000,1.0
2020-12-09,13.375,13.95,13.37,13.95,13.95,55913,0.0000,1.0
2020-12-08,13.01,13.63,12.97,13.58,13.58,29664,0.0000,1.0
2020-12-07,13.04,13.26,12.8283,13.2,13.2,29530,0.0000,1.0
2020-12-04,13.11,13.14,12.88,13.13,13.13,28329,0.0000,1.0
2020-12-03,13.18,13.2362,12.9,12.95,12.95,26077,0.0000,1.0
2020-12-02,12.79,13.35,12.7283,13.18,13.18,23877,0.0000,1.0
2020-12-01,13.3,13.9,12.9,13.0,13.0,65980,0.0000,1.0
2020-11-30,13.0,13.35,12.66,13.18,13.18,37493,0.0000,1.0
2020-11-27,13.38,13.5993,12.6601,13.05,13.05,40357,0.0000,1.0
2020-11-25,13.2,13.95,12.7309,13.565,13.565,54437,0.0000,1.0
2020-11-24,12.72,13.42,12.7,13.32,13.32,54539,0.0000,1.0
2020-11-23,13.05,13.05,12.22,12.71,12.71,66997,0.0000,1.0
2020-11-20,12.57,13.0,12.425,12.87,12.87,21648,0.0000,1.0
2020-11-19,12.42,12.84,12.0417,12.74,12.74,25811,0.0000,1.0
2020-11-18,12.71,13.16,12.45,12.56,12.56,36024,0.0000,1.0
2020-11-17,12.22,12.85,12.0501,12.79,12.79,38050,0.0000,1.0
2020-11-16,11.98,12.73,11.98,12.68,12.68,34447,0.0000,1.0
2020-11-13,11.76,11.8701,11.305,11.66,11.66,37129,0.0000,1.0
2020-11-12,12.25,12.25,11.15,11.42,11.42,49950,0.0000,1.0
2020-11-11,12.63,12.66,12.06,12.35,12.35,30611,0.0000,1.0
2020-11-10,12.27,12.87,12.174,12.48,12.48,38738,0.0000,1.0
2020-11-09,11.6,12.7645,11.565,11.98,11.98,95547,0.0000,1.0
2020-11-06,11.36,11.38,10.86,11.05,11.05,33273,0.0000,1.0
2020-11-05,11.22,11.62,11.2,11.31,11.31,56877,0.0000,1.0
2020-11-04,11.24,11.45,10.88,11.11,11.11,38342,0.0000,1.0
2020-11-03,11.33,11.7682,11.29,11.5,11.5,44352,0.0000,1.0
2020-11-02,11.12,11.4753,10.98,11.2,11.2,40246,0.0000,1.0
2020-10-30,11.3,11.44,10.77,11.13,11.13,49779,0.0000,1.0
2020-10-29,11.33,11.7896,10.81,11.14,11.14,65142,0.0000,1.0
2020-10-28,11.65,11.83,10.92,11.14,11.14,63769,0.0000,1.0
2020-10-27,12.29,12.71,11.93,11.95,11.95,76337,0.0000,1.0
2020-10-26,12.54,12.695,12.11,12.29,12.29,54775,0.0000,1.0
2020-10-23,13.18,13.28,12.65,12.66,12.66,39727,0.0000,1.0
2020-10-22,13.1,13.41,12.89,13.11,13.11,31182,0.0000,1.0
2020-10-21,13.36,13.5252,13.08,13.12,13.12,40515,0.0000,1.0
2020-10-20,13.29,13.8,13.19,13.32,13.32,69961,0.0000,1.0
2020-10-19,13.33,13.825,13.19,13.24,13.24,87251,0.0000,1.0
2020-10-16,13.31,13.42,13.03,13.03,13.03,59639,0.0000,1.0
2020-10-15,13.24,13.68,13.01,13.4,13.4,61870,0.0000,1.0
2020-10-14,13.08,13.49,12.7,13.34,13.34,58201,0.0000,1.0
2020-10-13,13.12,13.39,13.0,13.18,13.18,52392,0.0000,1.0
2020-10-12,13.27,13.59,13.02,13.46,13.46,66113,0.0000,1.0
2020-10-09,13.12,13.62,12.97,13.38,13.38,48009,0.0000,1.0
2020-10-08,13.15,13.48,12.95,13.11,13.11,61160,0.0000,1.0
2020-10-07,13.22,13.37,12.92,13.13,13.13,54500,0.0000,1.0
2020-10-06,12.99,13.55,12.81,13.11,13.11,83341,0.0000,1.0
2020-10-05,13.39,13.395,12.5,12.91,12.91,76196,0.0000,1.0
2020-10-02,12.58,13.2,12.12,13.14,13.14,42210,0.0000,1.0
2020-10-01,12.69,12.98,12.19,12.92,12.92,46048,0.0000,1.0
2020-09-30,13.1,13.32,12.52,12.67,12.67,45769,0.0000,1.0
2020-09-29,12.47,13.445,12.29,13.1,13.1,95914,0.0000,1.0
2020-09-28,12.18,13.57,12.18,12.51,12.51,121061,0.0000,1.0
2020-09-25,12.32,12.43,11.88,12.02,12.02,67660,0.0000,1.0
2020-09-24,13.3,13.3,12.3,12.3,12.3,127920,0.0000,1.0
2020-09-23,13.04,13.715,12.93,13.34,13.34,154633,0.0000,1.0
2020-09-22,13.42,13.65,12.775,13.09,13.09,109236,0.0000,1.0
2020-09-21,13.25,13.25,12.6,13.22,13.22,96208,0.0000,1.0
2020-09-18,13.23,13.75,13.23,13.51,13.51,86102,0.0000,1.0
2020-09-17,13.76,13.972,13.09,13.28,13.28,64389,0.0000,1.0
2020-09-16,13.75,13.91,13.54,13.81,13.81,77517,0.0000,1.0
2020-09-15,13.49,14.27,13.48,13.72,13.72,84483,0.0000,1.0
2020-09-14,12.91,13.67,12.59,13.35,13.35,97578,0.0000,1.0
2020-09-11,13.29,13.6648,12.19,12.59,12.59,87714,0.0000,1.0
2020-09-10,13.81,14.25,12.6,13.07,13.07,199333,0.0000,1.0
2020-09-09,12.74,14.0,12.16,13.72,13.72,258603,0.0000,1.0
2020-09-08,10.96,12.49,10.72,12.05,12.05,192597,0.0000,1.0
2020-09-04,10.81,10.92,10.2,10.7,10.7,69122,0.0000,1.0
2020-09-03,11.46,11.6161,10.4601,10.6,10.6,95935,0.0000,1.0
2020-09-02,11.65,11.89,11.01,11.39,11.39,87314,0.0000,1.0
2020-09-01,11.32,11.58,11.15,11.51,11.51,67000,0.0000,1.0
2020-08-31,10.61,11.7519,10.54,11.27,11.27,175760,0.0000,1.0
2020-08-28,10.58,10.77,10.37,10.6,10.6,74484,0.0000,1.0
2020-08-27,10.42,10.64,10.25,10.52,10.52,55388,0.0000,1.0
2020-08-26,10.21,10.44,10.05,10.36,10.36,58275,0.0000,1.0
2020-08-25,10.09,10.23,9.89,10.13,10.13,58490,0.0000,1.0
2020-08-24,9.99,10.12,9.7,9.93,9.93,69561,0.0000,1.0
2020-08-21,10.17,10.27,9.83,10.05,10.05,67547,0.0000,1.0
2020-08-20,9.75,10.2948,9.75,10.18,10.18,72842,0.0000,1.0
2020-08-19,9.78,10.18,9.6327,9.87,9.87,83944,0.0000,1.0
2020-08-18,10.1,10.1,9.25,9.54,9.54,112354,0.0000,1.0
2020-08-17,9.85,10.39,9.82,10.16,10.16,159273,0.0000,1.0
2020-08-14,8.67,9.89,8.21,9.85,9.85,544178,0.0000,1.0
2020-08-13,8.58,8.99,8.38,8.425,8.425,151005,0.0000,1.0
2020-08-12,9.03,9.13,8.51,8.59,8.59,127114,0.0000,1.0
2020-08-11,8.75,9.395,8.75,9.0,9.0,148551,0.0000,1.0
2020-08-10,9.21,9.34,8.58,8.76,8.76,283838,0.0000,1.0
2020-08-07,9.83,10.27,9.21,9.28,9.28,243015,0.0000,1.0
2020-08-06,13.01,13.15,9.75,9.79,9.79,622307,0.0000,1.0
2020-08-05,13.21,14.09,13.0,14.08,14.08,79209,0.0000,1.0
2020-08-04,13.65,13.67,12.89,13.0,13.0,88804,0.0000,1.0
2020-08-03,13.46,13.78,13.32,13.69,13.69,35046,0.0000,1.0
2020-07-31,14.13,14.22,13.27,13.43,13.43,46993,0.0000,1.0
2020-07-30,14.64,14.75,13.78,14.16,14.16,61221,0.0000,1.0
2020-07-29,14.02,14.97,14.02,14.82,14.82,93196,0.0000,1.0
2020-07-28,13.8,14.07,13.4832,14.03,14.03,66086,0.0000,1.0
2020-07-27,13.47,13.96,13.25,13.85,13.85,88632,0.0000,1.0
2020-07-24,13.44,13.55,12.5667,13.39,13.39,58843,0.0000,1.0
2020-07-23,13.77,14.1,13.4,13.56,13.56,72435,0.0000,1.0
2020-07-22,12.91,14.02,12.91,13.77,13.77,85702,0.0000,1.0
2020-07-21,12.72,13.1,12.3,13.05,13.05,83023,0.0000,1.0
2020-07-20,12.39,12.58,11.92,12.52,12.52,61313,0.0000,1.0
2020-07-17,11.79,12.59,11.58,12.45,12.45,63000,0.0000,1.0
2020-07-16,12.02,12.02,11.5,11.82,11.82,69200,0.0000,1.0
2020-07-15,11.61,12.19,11.61,12.11,12.11,84200,0.0000,1.0
2020-07-14,11.66,11.99,11.22,11.4,11.4,63700,0.0000,1.0
2020-07-13,12.43,12.55,11.01,11.66,11.66,216700,0.0000,1.0
2020-07-10,12.4,13.02,11.82,12.4,12.4,102700,0.0000,1.0
2020-07-09,13.8,13.9,12.13,12.38,12.38,104300,0.0000,1.0
2020-07-08,14.2,14.49,13.59,13.87,13.87,130400,0.0000,1.0
2020-07-07,14.66,14.66,13.92,14.29,14.29,127100,0.0000,1.0
2020-07-06,14.82,15.2,14.42,14.84,14.84,105600,0.0000,1.0
2020-07-02,14.91,14.99,14.01,14.54,14.54,114700,0.0000,1.0
2020-07-01,14.74,15.3,14.23,14.61,14.61,104400,0.0000,1.0
2020-06-30,14.75,15.27,14.54,14.74,14.74,92800,0.0000,1.0
2020-06-29,15.22,15.24,14.21,14.83,14.83,129200,0.0000,1.0
2020-06-26,13.21,15.09,13.04,15.08,15.08,373361,0.0000,1.0
2020-06-25,12.45,13.42,12.06,13.42,13.42,134655,0.0000,1.0
2020-06-24,12.49,12.78,12.06,12.61,12.61,130787,0.0000,1.0
2020-06-23,13.75,14.15,12.39,12.75,12.75,176511,0.0000,1.0
2020-06-22,11.67,13.28,11.5,13.2,13.2,165406,0.0000,1.0
2020-06-19,11.82,12.03,11.37,11.7,11.7,153184,0.0000,1.0
2020-06-18,12.275,12.557,11.5201,11.67,11.67,103177,0.0000,1.0
2020-06-17,12.83,12.83,12.07,12.42,12.42,100539,0.0000,1.0
2020-06-16,12.89,13.37,12.32,12.81,12.81,130213,0.0000,1.0
2020-06-15,11.97,12.58,11.17,12.24,12.24,168728,0.0000,1.0
2020-06-12,13.04,13.04,11.54,12.15,12.15,187233,0.0000,1.0
2020-06-11,13.13,13.4234,11.7,11.74,11.74,168354,0.0000,1.0
2020-06-10,14.81,14.88,13.84,13.88,13.88,176065,0.0000,1.0
2020-06-09,14.55,15.17,14.11,14.88,14.88,161625,0.0000,1.0
2020-06-08,15.7,15.96,14.534,14.89,14.89,231699,0.0000,1.0
2020-06-05,14.84,15.95,14.57,15.74,15.74,185790,0.0000,1.0
2020-06-04,15.89,16.2,14.01,14.56,14.56,240576,0.0000,1.0
2020-06-03,15.31,16.32,15.14,15.89,15.89,195251,0.0000,1.0
2020-06-02,15.0,15.57,14.871,15.06,15.06,141963,0.0000,1.0
2020-06-01,14.27,15.3499,14.23,14.88,14.88,167736,0.0000,1.0
2020-05-29,15.67,15.67,14.01,14.23,14.23,431802,0.0000,1.0
2020-05-28,16.45,16.8,15.64,15.67,15.67,307642,0.0000,1.0
2020-05-27,15.72,16.8203,13.81,15.67,15.67,407094,0.0000,1.0
2020-05-26,14.54,15.71,13.47,15.41,15.41,689969,0.0000,1.0
2020-05-22,11.52,12.75,11.4,12.42,12.42,254885,0.0000,1.0
2020-05-21,10.1,10.92,9.98,10.82,10.82,191559,0.0000,1.0
2020-05-20,8.74,10.06,8.71,9.95,9.95,107847,0.0000,1.0
2020-05-19,8.6,8.8991,8.38,8.54,8.54,60205,0.0000,1.0
2020-05-18,8.65,8.86,8.39,8.61,8.61,74302,0.0000,1.0
2020-05-15,8.17,8.4,7.89,8.31,8.31,115987,0.0000,1.0
2020-05-14,8.13,8.27,7.575,8.17,8.17,75768,0.0000,1.0
2020-05-13,8.02,8.32,7.5265,8.26,8.26,130276,0.0000,1.0
2020-05-12,8.78,9.0,8.06,8.16,8.16,144815,0.0000,1.0
2020-05-11,8.56,8.86,8.1,8.7,8.7,93326,0.0000,1.0
2020-05-08,7.34,8.6,7.34,8.55,8.55,106079,0.0000,1.0
2020-05-07,7.16,7.27,6.71,7.12,7.12,158970,0.0000,1.0
2020-05-06,7.06,7.23,6.53,6.98,6.98,134764,0.0000,1.0
2020-05-05,7.67,7.84,6.9334,7.06,7.06,79222,0.0000,1.0
2020-05-04,7.82,8.21,7.21,7.49,7.49,123816,0.0000,1.0
2020-05-01,8.2,8.3369,7.88,8.0,8.0,56439,0.0000,1.0
2020-04-30,8.42,8.5,7.47,8.35,8.35,136173,0.0000,1.0
2020-04-29,7.76,8.25,7.6,8.02,8.02,173805,0.0000,1.0
2020-04-28,6.99,7.55,6.99,7.41,7.41,159363,0.0000,1.0
2020-04-27,6.68,7.0801,6.5884,6.92,6.92,111118,0.0000,1.0
2020-04-24,6.52,6.86,6.25,6.75,6.75,69739,0.0000,1.0
2020-04-23,6.34,6.78,6.24,6.52,6.52,139630,0.0000,1.0
2020-04-22,6.39,6.55,6.0,6.31,6.31,111707,0.0000,1.0
2020-04-21,6.28,6.57,6.16,6.35,6.35,84178,0.0000,1.0
2020-04-20,6.77,6.96,6.5,6.53,6.53,70701,0.0000,1.0
2020-04-17,6.7,7.14,6.53,6.92,6.92,80673,0.0000,1.0
2020-04-16,6.57,6.76,6.0,6.57,6.57,133345,0.0000,1.0
2020-04-15,6.84,6.84,6.1255,6.59,6.59,165240,0.0000,1.0
2020-04-14,7.33,7.56,6.85,6.88,6.88,78847,0.0000,1.0
2020-04-13,8.21,8.21,7.28,7.28,7.28,89356,0.0000,1.0
2020-04-09,8.1,8.86,7.8,8.2,8.2,160839,0.0000,1.0
2020-04-08,7.38,7.92,7.38,7.86,7.86,153779,0.0000,1.0
2020-04-07,7.39,7.95,6.8,7.28,7.28,240850,0.0000,1.0
2020-04-06,7.3,7.6599,6.71,6.86,6.86,126438,0.0000,1.0
2020-04-03,6.73,7.24,6.46,6.97,6.97,168844,0.0000,1.0
2020-04-02,6.6,7.34,6.52,6.6,6.6,168616,0.0000,1.0
2020-04-01,7.28,7.48,6.55,6.56,6.56,94614,0.0000,1.0
2020-03-31,7.78,8.0469,7.54,7.67,7.67,54404,0.0000,1.0
2020-03-30,7.66,7.74,6.89,7.74,7.74,119668,0.0000,1.0
2020-03-27,7.73,8.04,7.52,7.7,7.7,82885,0.0000,1.0
2020-03-26,7.04,7.96,7.04,7.95,7.95,105640,0.0000,1.0
2020-03-25,7.17,8.17,6.77,7.03,7.03,163416,0.0000,1.0
