timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,12.04,12.3,11.36,11.59,11.59,678467,0.0000,1.0
2020-12-10,11.52,12.1,11.33,12.05,12.05,568715,0.0000,1.0
2020-12-09,12.14,12.3,11.36,11.62,11.62,860197,0.0000,1.0
2020-12-08,11.97,12.29,11.6,12.12,12.12,1335810,0.0000,1.0
2020-12-07,11.59,11.97,11.41,11.89,11.89,1190213,0.0000,1.0
2020-12-04,10.96,11.4,10.6,11.34,11.34,926010,0.0000,1.0
2020-12-03,10.44,11.04,10.325,10.935,10.935,775225,0.0000,1.0
2020-12-02,10.23,10.5,10.05,10.46,10.46,702764,0.0000,1.0
2020-12-01,10.68,10.71,10.2,10.23,10.23,575717,0.0000,1.0
2020-11-30,10.57,10.645,9.77,10.5,10.5,1370142,0.0000,1.0
2020-11-27,11.1,11.28,9.3,10.6,10.6,1650713,0.0000,1.0
2020-11-25,10.57,11.5099,10.47,10.95,10.95,2145689,0.0000,1.0
2020-11-24,10.69,10.88,10.37,10.57,10.57,1237061,0.0000,1.0
2020-11-23,10.94,10.97,10.43,10.55,10.55,861230,0.0000,1.0
2020-11-20,10.23,10.99,10.23,10.8,10.8,763632,0.0000,1.0
2020-11-19,10.61,10.82,10.03,10.31,10.31,754147,0.0000,1.0
2020-11-18,10.22,10.78,10.07,10.57,10.57,1151177,0.0000,1.0
2020-11-17,9.95,10.48,9.69,10.22,10.22,613788,0.0000,1.0
2020-11-16,10.4,10.5,9.8757,9.97,9.97,400877,0.0000,1.0
2020-11-13,10.03,10.31,9.84,10.27,10.27,489934,0.0000,1.0
2020-11-12,9.53,10.08,9.53,9.91,9.91,424869,0.0000,1.0
2020-11-11,9.74,9.91,9.26,9.63,9.63,881759,0.0000,1.0
2020-11-10,9.83,9.95,9.5,9.73,9.73,719435,0.0000,1.0
2020-11-09,10.56,11.0,9.63,9.82,9.82,1519523,0.0000,1.0
2020-11-06,9.85,10.47,9.4248,10.16,10.16,1855275,0.0000,1.0
2020-11-05,9.41,9.71,9.19,9.38,9.38,789930,0.0000,1.0
2020-11-04,9.29,9.7,9.0,9.29,9.29,778530,0.0000,1.0
2020-11-03,8.63,9.44,8.61,9.34,9.34,720084,0.0000,1.0
2020-11-02,8.69,8.69,8.32,8.49,8.49,344848,0.0000,1.0
2020-10-30,8.87,9.11,8.38,8.54,8.54,773605,0.0000,1.0
2020-10-29,8.46,9.12,8.34,8.97,8.97,628396,0.0000,1.0
2020-10-28,8.28,8.72,8.27,8.46,8.46,850700,0.0000,1.0
2020-10-27,9.02,9.02,8.37,8.67,8.67,1148638,0.0000,1.0
2020-10-26,9.43,9.43,8.77,8.89,8.89,1224143,0.0000,1.0
2020-10-23,9.5,9.7,9.17,9.54,9.54,661183,0.0000,1.0
2020-10-22,9.86,10.15,8.8,9.35,9.35,1672499,0.0000,1.0
2020-10-21,9.98,10.2594,9.49,9.75,9.75,995849,0.0000,1.0
2020-10-20,10.33,10.5917,9.99,10.0,10.0,2246484,0.0000,1.0
2020-10-19,10.16,10.79,9.69,9.88,9.88,1717569,0.0000,1.0
2020-10-16,10.26,10.359,9.855,10.105,10.105,1868377,0.0000,1.0
2020-10-15,9.96,10.85,9.96,10.28,10.28,2947481,0.0000,1.0
2020-10-14,10.38,11.38,9.84,9.97,9.97,7345631,0.0000,1.0
2020-10-13,9.58,10.59,9.51,10.25,10.25,1782907,0.0000,1.0
2020-10-12,9.6207,9.77,9.22,9.75,9.75,1383862,0.0000,1.0
2020-10-09,9.2,10.1,9.17,9.68,9.68,3540971,0.0000,1.0
2020-10-08,8.0635,9.55,8.05,9.42,9.42,11222238,0.0000,1.0
2020-10-07,6.85,6.97,6.76,6.88,6.88,826324,0.0000,1.0
2020-10-06,6.77,6.96,6.72,6.75,6.75,412195,0.0000,1.0
2020-10-05,6.53,6.81,6.53,6.7,6.7,288068,0.0000,1.0
2020-10-02,6.2,6.59,6.11,6.51,6.51,308217,0.0000,1.0
2020-10-01,6.76,6.98,6.26,6.37,6.37,438018,0.0000,1.0
2020-09-30,6.88,7.05,6.51,6.64,6.64,501433,0.0000,1.0
2020-09-29,6.95,7.24,6.75,6.87,6.87,586219,0.0000,1.0
2020-09-28,6.83,7.28,6.8,6.94,6.94,980492,0.0000,1.0
2020-09-25,6.5,6.9774,6.5,6.94,6.94,1017828,0.0000,1.0
2020-09-24,6.16,6.6,6.09,6.55,6.55,808385,0.0000,1.0
2020-09-23,6.13,6.31,5.98,6.19,6.19,359263,0.0000,1.0
2020-09-22,6.03,6.15,5.89,6.15,6.15,381394,0.0000,1.0
2020-09-21,6.0,6.06,5.88,6.0,6.0,297173,0.0000,1.0
2020-09-18,6.08,6.29,5.9718,6.17,6.17,686580,0.0000,1.0
2020-09-17,6.02,6.095,5.905,5.99,5.99,181516,0.0000,1.0
2020-09-16,6.14,6.25,5.99,6.1,6.1,230282,0.0000,1.0
2020-09-15,6.31,6.37,5.93,6.08,6.08,244232,0.0000,1.0
2020-09-14,6.05,6.31,6.05,6.28,6.28,197341,0.0000,1.0
2020-09-11,6.14,6.21,5.87,6.0,6.0,153919,0.0000,1.0
2020-09-10,6.1,6.228,5.96,6.135,6.135,235372,0.0000,1.0
2020-09-09,5.76,6.06,5.685,6.04,6.04,225712,0.0000,1.0
2020-09-08,5.67,5.7659,5.5951,5.71,5.71,143889,0.0000,1.0
2020-09-04,5.76,5.88,5.52,5.715,5.715,335825,0.0000,1.0
2020-09-03,6.29,6.49,5.81,5.825,5.825,351187,0.0000,1.0
2020-09-02,6.49,6.52,5.98,6.09,6.09,527354,0.0000,1.0
2020-09-01,5.98,6.59,5.85,6.5,6.5,477203,0.0000,1.0
2020-08-31,5.98,6.07,5.87,5.99,5.99,342344,0.0000,1.0
2020-08-28,5.92,6.03,5.77,5.99,5.99,241216,0.0000,1.0
2020-08-27,5.79,5.86,5.67,5.84,5.84,96552,0.0000,1.0
2020-08-26,5.7,5.82,5.58,5.82,5.82,180666,0.0000,1.0
2020-08-25,5.79,5.79,5.4899,5.66,5.66,473981,0.0000,1.0
2020-08-24,5.73,5.8,5.45,5.77,5.77,249698,0.0000,1.0
2020-08-21,5.78,5.79,5.575,5.65,5.65,159117,0.0000,1.0
2020-08-20,5.82,6.01,5.78,5.83,5.83,197827,0.0000,1.0
2020-08-19,5.75,5.97,5.51,5.87,5.87,264059,0.0000,1.0
2020-08-18,5.8,5.88,5.72,5.76,5.76,107687,0.0000,1.0
2020-08-17,5.9,6.02,5.7663,5.78,5.78,260156,0.0000,1.0
2020-08-14,5.95,6.05,5.81,5.89,5.89,137613,0.0000,1.0
2020-08-13,5.85,6.08,5.79,6.03,6.03,240268,0.0000,1.0
2020-08-12,5.93,6.09,5.83,5.89,5.89,300348,0.0000,1.0
2020-08-11,6.42,6.42,5.83,5.86,5.86,538736,0.0000,1.0
2020-08-10,6.68,6.8366,6.16,6.43,6.43,579265,0.0000,1.0
2020-08-07,6.05,6.94,5.82,6.76,6.76,1333643,0.0000,1.0
2020-08-06,5.51,6.26,5.51,6.11,6.11,680032,0.0000,1.0
2020-08-05,5.2,5.56,5.1823,5.55,5.55,374925,0.0000,1.0
2020-08-04,5.04,5.2328,4.96,5.16,5.16,195900,0.0000,1.0
2020-08-03,4.99,5.35,4.99,5.04,5.04,461962,0.0000,1.0
2020-07-31,5.08,5.1299,4.87,4.97,4.97,258993,0.0000,1.0
2020-07-30,4.99,5.16,4.91,5.14,5.14,156167,0.0000,1.0
2020-07-29,4.88,5.11,4.88,5.08,5.08,191946,0.0000,1.0
2020-07-28,5.15,5.2,4.88,4.88,4.88,187154,0.0000,1.0
2020-07-27,5.15,5.15,4.9973,5.12,5.12,612408,0.0000,1.0
2020-07-24,4.95,5.17,4.84,5.1,5.1,197762,0.0000,1.0
2020-07-23,4.94,5.08,4.87,5.05,5.05,266827,0.0000,1.0
2020-07-22,5.14,5.21,4.93,4.93,4.93,177639,0.0000,1.0
2020-07-21,5.11,5.2,5.01,5.17,5.17,285318,0.0000,1.0
2020-07-20,5.1,5.13,4.97,5.06,5.06,191310,0.0000,1.0
2020-07-17,4.93,5.14,4.91,5.12,5.12,186600,0.0000,1.0
2020-07-16,5.06,5.06,4.84,4.93,4.93,234500,0.0000,1.0
2020-07-15,5.02,5.26,4.92,5.11,5.11,592000,0.0000,1.0
2020-07-14,4.56,4.87,4.52,4.86,4.86,465800,0.0000,1.0
2020-07-13,4.5,4.61,4.39,4.5,4.5,228000,0.0000,1.0
2020-07-10,4.42,4.6,4.31,4.45,4.45,192900,0.0000,1.0
2020-07-09,4.5,4.59,4.37,4.43,4.43,258300,0.0000,1.0
2020-07-08,4.55,4.64,4.42,4.48,4.48,319400,0.0000,1.0
2020-07-07,4.68,4.76,4.54,4.55,4.55,207400,0.0000,1.0
2020-07-06,4.99,5.04,4.68,4.68,4.68,276600,0.0000,1.0
2020-07-02,4.8,5.05,4.7,4.96,4.96,319000,0.0000,1.0
2020-07-01,4.68,4.82,4.52,4.7,4.7,923600,0.0000,1.0
2020-06-30,4.62,4.78,4.58,4.7,4.7,306200,0.0000,1.0
2020-06-29,4.46,4.82,4.45,4.65,4.65,310100,0.0000,1.0
2020-06-26,4.6,4.68,4.38,4.4,4.4,1247546,0.0000,1.0
2020-06-25,4.85,5.0,4.55,4.6,4.6,647589,0.0000,1.0
2020-06-24,5.07,5.13,4.85,4.87,4.87,375146,0.0000,1.0
2020-06-23,5.25,5.28,5.1,5.18,5.18,318519,0.0000,1.0
2020-06-22,5.14,5.24,5.01,5.16,5.16,324394,0.0000,1.0
2020-06-19,4.9,5.27,4.89,5.15,5.15,513307,0.0000,1.0
2020-06-18,5.24,5.24,4.78,4.78,4.78,308133,0.0000,1.0
2020-06-17,5.05,5.1557,4.74,4.88,4.88,374773,0.0000,1.0
2020-06-16,5.33,5.42,4.99,5.02,5.02,349048,0.0000,1.0
2020-06-15,4.92,5.25,4.79,5.23,5.23,292472,0.0000,1.0
2020-06-12,4.96,5.23,4.8,4.96,4.96,377422,0.0000,1.0
2020-06-11,4.91,5.09,4.68,4.72,4.72,602641,0.0000,1.0
2020-06-10,5.33,5.3449,5.04,5.16,5.16,347416,0.0000,1.0
2020-06-09,5.31,5.43,5.21,5.33,5.33,171736,0.0000,1.0
2020-06-08,5.67,5.67,5.3,5.41,5.41,357483,0.0000,1.0
2020-06-05,5.65,5.74,5.08,5.59,5.59,823533,0.0000,1.0
2020-06-04,5.08,5.72,5.0,5.47,5.47,638162,0.0000,1.0
2020-06-03,4.75,4.98,4.645,4.94,4.94,320433,0.0000,1.0
2020-06-02,4.62,4.83,4.565,4.65,4.65,250739,0.0000,1.0
2020-06-01,4.46,4.67,4.36,4.57,4.57,268416,0.0000,1.0
2020-05-29,4.37,4.57,4.32,4.45,4.45,247212,0.0000,1.0
2020-05-28,4.72,4.73,4.39,4.4,4.4,178839,0.0000,1.0
2020-05-27,4.65,4.72,4.33,4.68,4.68,209190,0.0000,1.0
2020-05-26,4.76,4.9,4.55,4.6,4.6,415021,0.0000,1.0
2020-05-22,4.48,4.58,4.36,4.56,4.56,150045,0.0000,1.0
2020-05-21,4.39,4.5,4.24,4.47,4.47,127135,0.0000,1.0
2020-05-20,4.34,4.51,4.28,4.39,4.39,227989,0.0000,1.0
2020-05-19,4.54,4.54,4.2,4.2,4.2,491369,0.0000,1.0
2020-05-18,4.36,4.565,4.31,4.56,4.56,459259,0.0000,1.0
2020-05-15,4.03,4.24,3.986,4.2,4.2,218587,0.0000,1.0
2020-05-14,4.01,4.13,3.76,4.03,4.03,640871,0.0000,1.0
2020-05-13,4.5,4.5,4.05,4.06,4.06,612155,0.0000,1.0
2020-05-12,4.64,4.85,4.3299,4.49,4.49,699125,0.0000,1.0
2020-05-11,4.77,4.84,4.39,4.58,4.58,365539,0.0000,1.0
2020-05-08,4.63,4.98,4.63,4.88,4.88,329550,0.0000,1.0
2020-05-07,4.4,4.67,4.33,4.66,4.66,283819,0.0000,1.0
2020-05-06,4.39,4.5265,4.3,4.3,4.3,213933,0.0000,1.0
2020-05-05,4.52,4.61,4.38,4.43,4.43,223771,0.0000,1.0
2020-05-04,4.41,4.49,4.29,4.39,4.39,179385,0.0000,1.0
2020-05-01,4.35,4.555,4.24,4.45,4.45,490555,0.0000,1.0
2020-04-30,4.85,4.93,4.485,4.53,4.53,1046510,0.0000,1.0
2020-04-29,4.68,4.98,4.43,4.91,4.91,676296,0.0000,1.0
2020-04-28,4.11,4.69,4.03,4.54,4.54,989957,0.0000,1.0
2020-04-27,3.87,4.2,3.8,3.94,3.94,767639,0.0000,1.0
2020-04-24,3.81,3.845,3.66,3.83,3.83,344938,0.0000,1.0
2020-04-23,3.79,3.93,3.76,3.79,3.79,341371,0.0000,1.0
2020-04-22,3.59,3.84,3.5,3.76,3.76,561839,0.0000,1.0
2020-04-21,3.45,3.61,3.38,3.53,3.53,463352,0.0000,1.0
2020-04-20,3.55,3.66,3.46,3.54,3.54,608897,0.0000,1.0
2020-04-17,3.81,3.8228,3.54,3.625,3.625,569816,0.0000,1.0
2020-04-16,3.8,3.86,3.53,3.58,3.58,663841,0.0000,1.0
2020-04-15,3.83,4.0182,3.76,3.8,3.8,557376,0.0000,1.0
2020-04-14,4.05,4.32,4.03,4.09,4.09,651874,0.0000,1.0
2020-04-13,3.98,4.0099,3.6,3.93,3.93,488912,0.0000,1.0
2020-04-09,4.18,4.18,3.78,3.94,3.94,656736,0.0000,1.0
2020-04-08,3.64,4.105,3.57,4.04,4.04,829639,0.0000,1.0
2020-04-07,3.74,3.74,3.4,3.57,3.57,718680,0.0000,1.0
2020-04-06,3.4,3.62,3.3,3.58,3.58,524112,0.0000,1.0
2020-04-03,3.2,3.28,3.08,3.2,3.2,481026,0.0000,1.0
2020-04-02,3.1,3.34,3.1,3.22,3.22,476105,0.0000,1.0
2020-04-01,3.23,3.4,3.02,3.05,3.05,447236,0.0000,1.0
2020-03-31,3.57,3.69,3.32,3.45,3.45,743018,0.0000,1.0
2020-03-30,3.64,3.73,3.5,3.6,3.6,503602,0.0000,1.0
2020-03-27,3.65,3.78,3.3,3.78,3.78,1405233,0.0000,1.0
2020-03-26,3.16,3.72,3.08,3.7,3.7,1289167,0.0000,1.0
2020-03-25,2.87,3.245,2.71,3.05,3.05,1502066,0.0000,1.0
2020-03-24,2.55,3.0,2.52,2.72,2.72,1262840,0.0000,1.0
2020-03-23,2.38,2.48,2.19,2.26,2.26,917152,0.0000,1.0
2020-03-20,2.51,2.75,2.32,2.35,2.35,1128407,0.0000,1.0
2020-03-19,2.34,2.72,2.31,2.44,2.44,1167717,0.0000,1.0
2020-03-18,2.82,2.94,2.3,2.31,2.31,1289147,0.0000,1.0
2020-03-17,3.46,3.5,2.89,3.05,3.05,1545963,0.0000,1.0
2020-03-16,3.51,3.74,3.2,3.32,3.32,1431895,0.0000,1.0
2020-03-13,3.84,3.978,3.74,3.88,3.88,1177859,0.0000,1.0
2020-03-12,3.75,3.9601,3.44,3.51,3.51,1715276,0.0000,1.0
2020-03-11,4.72,4.82,4.305,4.41,4.41,860446,0.0000,1.0
2020-03-10,5.21,5.25,4.75,4.8,4.8,888393,0.0000,1.0
2020-03-09,5.1,5.2,4.74,4.91,4.91,1014552,0.0000,1.0
2020-03-06,5.8,5.88,5.36,5.55,5.55,869411,0.0000,1.0
2020-03-05,5.96,6.35,5.855,5.92,5.92,575876,0.0000,1.0
