timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,19.3,22.3499,19.2971,21.63,21.63,63194,0.0000,1.0
2020-12-10,19.28,20.5635,19.2,20.15,20.15,31651,0.0000,1.0
2020-12-09,18.52,19.8999,18.52,19.36,19.36,24877,0.0000,1.0
2020-12-08,17.37,19.1107,17.37,18.46,18.46,37681,0.0000,1.0
2020-12-07,17.4,17.535,16.34,17.42,17.42,30431,0.0000,1.0
2020-12-04,16.5,17.76,16.5,17.4,17.4,25112,0.0000,1.0
2020-12-03,15.9,16.86,15.9,16.39,16.39,13519,0.0000,1.0
2020-12-02,15.28,16.08,15.28,15.71,15.71,11305,0.0000,1.0
2020-12-01,15.36,16.06,15.36,15.51,15.51,13816,0.0000,1.0
2020-11-30,15.85,16.24,15.0,15.0,15.0,13707,0.0000,1.0
2020-11-27,15.73,16.1178,15.69,15.69,15.69,5767,0.0000,1.0
2020-11-25,15.56,15.97,15.485,15.63,15.63,12383,0.0000,1.0
2020-11-24,14.84,16.0,14.84,15.67,15.67,38126,0.0000,1.0
2020-11-23,15.0,15.0,14.75,14.83,14.83,9222,0.0000,1.0
2020-11-20,14.13,14.97,14.13,14.81,14.81,9700,0.0000,1.0
2020-11-19,14.46,14.73,14.32,14.32,14.32,11578,0.0000,1.0
2020-11-18,15.59,15.98,14.38,14.515,14.515,21974,0.0000,1.0
2020-11-17,15.77,16.7,15.68,16.21,16.21,17039,0.0000,1.0
2020-11-16,14.85,16.3,14.55,16.29,16.29,38214,0.0000,1.0
2020-11-13,13.56,14.51,13.56,14.5,14.5,4623,0.0000,1.0
2020-11-12,14.9,14.9,13.195,13.53,13.53,12489,0.0000,1.0
2020-11-11,15.02,15.3,14.33,15.3,15.3,11293,0.0000,1.0
2020-11-10,14.45,15.8329,14.45,15.24,15.24,18102,0.0000,1.0
2020-11-09,13.88,14.65,13.88,14.47,14.47,20175,0.0000,1.0
2020-11-06,13.94,13.94,13.15,13.43,13.43,6469,0.0000,1.0
2020-11-05,13.27,13.85,13.22,13.76,13.76,10715,0.0000,1.0
2020-11-04,13.05,13.45,13.05,13.05,13.05,2806,0.0000,1.0
2020-11-03,12.3,13.49,12.3,13.49,13.49,8767,0.0000,1.0
2020-11-02,11.5,12.4,11.5,12.4,12.4,13125,0.0000,1.0
2020-10-30,11.5175,11.74,11.2,11.45,11.45,6600,0.0000,1.0
2020-10-29,11.27,12.0,11.2,11.56,11.56,6287,0.0000,1.0
2020-10-28,12.21,12.21,11.78,11.93,11.93,9209,0.0000,1.0
2020-10-27,12.175,12.435,12.17,12.2,12.2,5889,0.0000,1.0
2020-10-26,12.43,12.5512,12.1,12.22,12.22,8919,0.0000,1.0
2020-10-23,12.62,12.62,12.355,12.36,12.36,3065,0.0000,1.0
2020-10-22,12.3418,12.72,12.31,12.31,12.31,5858,0.0000,1.0
2020-10-21,12.61,12.61,12.225,12.42,12.42,3086,0.0000,1.0
2020-10-20,12.06,12.58,12.04,12.58,12.58,3965,0.0000,1.0
2020-10-19,12.33,12.33,12.03,12.04,12.04,3847,0.0000,1.0
2020-10-16,12.66,13.1208,11.7,12.11,12.11,17340,0.0000,1.0
2020-10-15,12.67,12.83,12.5,12.83,12.83,3867,0.0000,1.0
2020-10-14,12.8399,13.05,12.65,12.65,12.65,4285,0.0000,1.0
2020-10-13,13.3,13.425,13.2,13.25,13.25,2823,0.0000,1.0
2020-10-12,13.7,13.7,13.03,13.67,13.67,9648,0.0000,1.0
2020-10-09,14.0,14.0,13.44,13.67,13.67,10989,0.0000,1.0
2020-10-08,13.53,13.9,13.32,13.71,13.71,6036,0.0000,1.0
2020-10-07,12.22,13.58,12.22,13.58,13.58,5331,0.0000,1.0
2020-10-06,13.3,13.7298,13.0065,13.12,13.12,5752,0.0000,1.0
2020-10-05,13.1289,13.47,13.1289,13.3,13.3,4789,0.0000,1.0
2020-10-02,12.6,13.8,12.6,12.73,12.73,8910,0.0000,1.0
2020-10-01,11.615,12.67,11.615,12.67,12.67,5781,0.0000,1.0
2020-09-30,11.9,11.9,11.9,11.9,11.9,843,0.0000,1.0
2020-09-29,12.225,12.225,11.81,12.04,12.04,4054,0.0000,1.0
2020-09-28,12.33,12.84,11.52,12.09,12.09,8131,0.0000,1.0
2020-09-25,12.03,12.27,11.63,12.27,12.27,2818,0.0000,1.0
2020-09-24,12.13,13.34,11.88,12.38,12.38,10373,0.0000,1.0
2020-09-23,13.3,13.53,13.11,13.2,13.2,6704,0.0000,1.0
2020-09-22,13.49,13.49,12.99,13.47,13.47,6480,0.0000,1.0
2020-09-21,12.9,13.74,12.9,13.3,13.3,12296,0.0000,1.0
2020-09-18,13.99,13.99,12.7541,12.9,12.9,33992,0.0000,1.0
2020-09-17,13.31,13.88,13.2,13.7,13.7,5903,0.0000,1.0
2020-09-16,12.02,13.9,12.02,13.69,13.69,15836,0.0000,1.0
2020-09-15,12.33,12.6999,11.99,11.99,11.99,6327,0.0000,1.0
2020-09-14,11.55,12.22,11.34,12.07,12.07,7609,0.0000,1.0
2020-09-11,11.33,11.65,11.33,11.34,11.34,9266,0.0000,1.0
2020-09-10,11.7,11.7,11.34,11.42,11.42,7672,0.0000,1.0
2020-09-09,11.85,11.85,11.33,11.33,11.33,16558,0.0000,1.0
2020-09-08,9.9011,11.75,9.9011,11.33,11.33,15270,0.0000,1.0
2020-09-04,9.93,10.36,9.54,10.19,10.19,11853,0.0000,1.0
2020-09-03,9.51,9.835,9.355,9.82,9.82,15747,0.0000,1.0
2020-09-02,9.13,9.82,9.13,9.82,9.82,6946,0.0000,1.0
2020-09-01,8.47,9.9,8.47,9.49,9.49,12163,0.0000,1.0
2020-08-31,8.51,8.96,8.5,8.5,8.5,9111,0.0000,1.0
2020-08-28,9.03,9.22,8.58,8.85,8.85,7814,0.0000,1.0
2020-08-27,9.18,9.35,8.88,8.88,8.88,9109,0.0000,1.0
2020-08-26,8.6747,9.53,8.6747,9.04,9.04,12378,0.0000,1.0
2020-08-25,9.48,9.63,9.19,9.19,9.19,8967,0.0000,1.0
2020-08-24,9.76,9.7714,9.21,9.44,9.44,6671,0.0000,1.0
2020-08-21,9.17,10.04,9.17,9.7,9.7,17740,0.0000,1.0
2020-08-20,8.72,9.54,8.5,9.27,9.27,28456,0.0000,1.0
2020-08-19,8.1852,8.92,8.15,8.92,8.92,3060,0.0000,1.0
2020-08-18,8.6,9.07,8.44,8.65,8.65,11483,0.0000,1.0
2020-08-17,8.03,8.83,7.82,8.58,8.58,19150,0.0000,1.0
2020-08-14,7.999,8.09,7.71,8.0,8.0,4904,0.0000,1.0
2020-08-13,7.89,7.99,7.88,7.99,7.99,8173,0.0000,1.0
2020-08-12,7.91,7.95,7.82,7.91,7.91,15195,0.0000,1.0
2020-08-11,7.91,8.045,7.6,7.82,7.82,9997,0.0000,1.0
2020-08-10,7.97,8.22,7.5,7.82,7.82,11834,0.0000,1.0
2020-08-07,7.93,7.93,7.7511,7.9,7.9,6996,0.0000,1.0
2020-08-06,7.98,8.015,7.6,7.96,7.96,15630,0.0000,1.0
2020-08-05,8.23,8.23,7.4415,8.07,8.07,9658,0.0000,1.0
2020-08-04,8.2,8.24,8.11,8.24,8.24,2044,0.0000,1.0
2020-08-03,7.945,8.23,7.945,8.23,8.23,7497,0.0000,1.0
2020-07-31,8.27,8.33,8.113,8.17,8.17,5221,0.0000,1.0
2020-07-30,7.93,8.39,7.92,8.39,8.39,14715,0.0000,1.0
2020-07-29,8.71,8.99,8.03,8.22,8.22,10562,0.0000,1.0
2020-07-28,9.4,9.4,8.45,8.675,8.675,9026,0.0000,1.0
2020-07-27,9.36,9.55,9.36,9.41,9.41,4178,0.0000,1.0
2020-07-24,9.65,9.86,9.23,9.23,9.23,12966,0.0000,1.0
2020-07-23,10.0,10.15,9.54,9.9,9.9,18201,0.0000,1.0
2020-07-22,10.14,10.185,9.84,10.11,10.11,5028,0.0000,1.0
2020-07-21,9.8,10.36,9.73,10.26,10.26,6467,0.0000,1.0
2020-07-20,10.0,10.18,9.65,9.71,9.71,5239,0.0000,1.0
2020-07-17,10.4,10.45,9.94,9.94,9.94,4700,0.0000,1.0
2020-07-16,10.63,10.96,10.31,10.5,10.5,7000,0.0000,1.0
2020-07-15,10.19,10.74,10.19,10.63,10.63,11800,0.0000,1.0
2020-07-14,9.68,10.25,9.66,10.03,10.03,3800,0.0000,1.0
2020-07-13,10.4,10.4,9.55,9.55,9.55,9900,0.0000,1.0
2020-07-10,9.43,10.28,9.43,10.21,10.21,8400,0.0000,1.0
2020-07-09,10.51,10.51,9.45,9.95,9.95,23200,0.0000,1.0
2020-07-08,10.48,10.62,10.17,10.49,10.49,11000,0.0000,1.0
2020-07-07,11.3,11.3,9.95,10.6,10.6,15000,0.0000,1.0
2020-07-06,10.97,11.87,10.97,11.36,11.36,16200,0.0000,1.0
2020-07-02,10.39,11.2,10.39,10.87,10.87,11400,0.0000,1.0
2020-07-01,10.39,10.9,10.04,10.29,10.29,44200,0.0000,1.0
