timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,2.79,2.84,2.69,2.72,2.72,337718,0.0000,1.0
2020-12-10,2.99,3.05,2.82,2.83,2.83,200881,0.0000,1.0
2020-12-09,2.87,3.1,2.82,2.97,2.97,541555,0.0000,1.0
2020-12-08,2.8,2.9301,2.75,2.81,2.81,735826,0.0000,1.0
2020-12-07,2.84,2.86,2.72,2.8,2.8,277281,0.0000,1.0
2020-12-04,2.8,2.96,2.7,2.83,2.83,254754,0.0000,1.0
2020-12-03,2.91,2.96,2.71,2.77,2.77,290188,0.0000,1.0
2020-12-02,2.99,3.02,2.82,2.92,2.92,249285,0.0000,1.0
2020-12-01,3.2,3.2335,2.8993,3.01,3.01,450236,0.0000,1.0
2020-11-30,3.4,3.58,3.0901,3.22,3.22,1014670,0.0000,1.0
2020-11-27,3.05,3.54,2.84,3.3,3.3,1194936,0.0000,1.0
2020-11-25,2.79,3.03,2.7001,3.02,3.02,495867,0.0000,1.0
2020-11-24,2.55,2.8,2.54,2.77,2.77,524086,0.0000,1.0
2020-11-23,2.59,2.605,2.41,2.565,2.565,336232,0.0000,1.0
2020-11-20,2.68,2.72,2.521,2.61,2.61,514671,0.0000,1.0
2020-11-19,2.3,2.7226,2.26,2.64,2.64,974743,0.0000,1.0
2020-11-18,2.31,2.35,2.24,2.31,2.31,341318,0.0000,1.0
2020-11-17,2.33,2.39,2.225,2.32,2.32,196963,0.0000,1.0
2020-11-16,2.31,2.39,2.26,2.29,2.29,179260,0.0000,1.0
2020-11-13,2.45,2.46,2.32,2.37,2.37,148263,0.0000,1.0
2020-11-12,2.35,2.42,2.23,2.4,2.4,243298,0.0000,1.0
2020-11-11,2.33,2.36,2.2096,2.36,2.36,173926,0.0000,1.0
2020-11-10,2.35,2.4,2.15,2.24,2.24,310556,0.0000,1.0
2020-11-09,2.53,2.6,2.28,2.29,2.29,686701,0.0000,1.0
2020-11-06,3.25,3.44,2.22,2.32,2.32,1562277,0.0000,1.0
2020-11-05,3.87,3.9485,3.66,3.84,3.84,255802,0.0000,1.0
2020-11-04,3.27,3.88,3.22,3.71,3.71,621926,0.0000,1.0
2020-11-03,3.34,3.4,3.21,3.23,3.23,78785,0.0000,1.0
2020-11-02,3.15,3.4,3.15,3.28,3.28,89159,0.0000,1.0
2020-10-30,3.495,3.495,3.07,3.09,3.09,164251,0.0000,1.0
2020-10-29,3.23,3.4222,3.1101,3.4,3.4,84144,0.0000,1.0
2020-10-28,3.35,3.43,3.18,3.22,3.22,177987,0.0000,1.0
2020-10-27,3.59,3.6889,3.3901,3.53,3.53,179983,0.0000,1.0
2020-10-26,3.75,3.92,3.47,3.67,3.67,182263,0.0000,1.0
2020-10-23,3.78,3.94,3.61,3.84,3.84,106409,0.0000,1.0
2020-10-22,3.86,3.8917,3.61,3.78,3.78,138752,0.0000,1.0
2020-10-21,3.88,3.99,3.76,3.86,3.86,96266,0.0000,1.0
2020-10-20,4.19,4.19,3.85,3.87,3.87,246935,0.0000,1.0
2020-10-19,4.39,4.39,4.01,4.08,4.08,189652,0.0000,1.0
2020-10-16,4.35,4.6,4.16,4.22,4.22,261704,0.0000,1.0
2020-10-15,4.44,4.452,4.1,4.3,4.3,245353,0.0000,1.0
2020-10-14,4.34,4.8399,4.27,4.36,4.36,397307,0.0000,1.0
2020-10-13,4.28,4.47,4.0,4.24,4.24,419201,0.0000,1.0
2020-10-12,3.95,4.78,3.9,4.5,4.5,1101591,0.0000,1.0
2020-10-09,3.435,3.88,3.43,3.74,3.74,543450,0.0000,1.0
2020-10-08,3.32,3.5499,3.3,3.5,3.5,133649,0.0000,1.0
2020-10-07,3.31,3.45,3.26,3.32,3.32,169779,0.0000,1.0
2020-10-06,3.5,3.52,3.26,3.3,3.3,189436,0.0000,1.0
2020-10-05,3.2,3.6,3.18,3.45,3.45,469636,0.0000,1.0
2020-10-02,3.17,3.3883,3.13,3.14,3.14,241771,0.0000,1.0
2020-10-01,3.13,3.36,3.05,3.27,3.27,591229,0.0000,1.0
2020-09-30,3.19,3.3,3.09,3.14,3.14,149704,0.0000,1.0
2020-09-29,3.2,3.25,3.03,3.19,3.19,147146,0.0000,1.0
2020-09-28,3.05,3.25,3.03,3.22,3.22,226832,0.0000,1.0
2020-09-25,2.956,3.12,2.82,2.95,2.95,165955,0.0000,1.0
2020-09-24,3.315,3.315,2.81,2.91,2.91,341770,0.0000,1.0
2020-09-23,3.49,3.61,3.17,3.2,3.2,368712,0.0000,1.0
