timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.27,14.6,14.27,14.49,14.49,142458,0.0000,1.0
2020-12-10,14.42,14.6,14.2391,14.56,14.56,195253,0.0000,1.0
2020-12-09,14.85,14.99,14.45,14.71,14.71,292784,0.0000,1.0
2020-12-08,14.38,14.74,14.33,14.68,14.68,87166,0.0000,1.0
2020-12-07,14.55,14.72,14.28,14.63,14.63,101570,0.0000,1.0
2020-12-04,14.23,14.69,14.17,14.64,14.64,155801,0.0000,1.0
2020-12-03,14.12,14.19,13.77,14.0,14.0,88356,0.0000,1.0
2020-12-02,13.8,14.24,13.68,14.11,14.11,133829,0.0000,1.0
2020-12-01,13.7,13.93,13.54,13.76,13.76,169890,0.0000,1.0
2020-11-30,13.81,13.9,13.18,13.3,13.3,364990,0.0000,1.0
2020-11-27,14.17,14.18,13.77,14.03,14.03,114905,0.0000,1.0
2020-11-25,14.16,14.39,13.9,14.24,14.24,113647,0.0000,1.0
2020-11-24,14.1,14.72,14.05,14.37,14.37,180945,0.0000,1.0
2020-11-23,13.47,13.8,13.02,13.77,13.77,295444,0.0000,1.0
2020-11-20,13.29,13.29,12.94,13.2,13.2,103695,0.0000,1.0
2020-11-19,13.37,13.57,13.21,13.51,13.51,152193,0.0000,1.0
2020-11-18,13.62,13.97,13.43,13.43,13.43,340141,0.0000,1.0
2020-11-17,13.49,13.74,13.25,13.47,13.47,222953,0.0000,1.0
2020-11-16,13.63,14.08,13.27,13.8,13.8,166899,0.0000,1.0
2020-11-13,12.95,13.35,12.78,13.06,13.06,252896,0.0000,1.0
2020-11-12,12.95,13.16,12.37,12.66,12.66,429011,0.0000,1.0
2020-11-11,13.92,13.92,13.08,13.24,13.24,155767,0.0000,1.0
2020-11-10,14.02,14.18,13.685,13.84,13.84,317258,0.0000,1.0
2020-11-09,13.71,14.3,13.46,13.76,13.76,386732,0.0000,1.0
2020-11-06,12.62,12.62,12.08,12.13,12.13,103127,0.0000,1.0
2020-11-05,11.75,12.67,11.74,12.49,12.49,239655,0.0000,1.0
2020-11-04,12.47,12.47,11.55,11.68,11.68,284602,0.0000,1.0
