timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.7,4.99,4.65,4.67,4.67,806806,0.0000,1.0
2020-12-10,4.8,4.9,4.5,4.75,4.75,1670617,0.0000,1.0
2020-12-09,5.2261,5.6308,4.77,4.81,4.81,1738361,0.0000,1.0
2020-12-08,5.5,5.61,5.1,5.16,5.16,1311195,0.0000,1.0
2020-12-07,5.77,5.88,5.5,5.52,5.52,1018548,0.0000,1.0
2020-12-04,5.43,5.85,5.41,5.77,5.77,786048,0.0000,1.0
2020-12-03,5.43,5.49,5.05,5.46,5.46,830022,0.0000,1.0
2020-12-02,5.5,5.68,5.38,5.44,5.44,747431,0.0000,1.0
2020-12-01,5.5,5.6,5.32,5.52,5.52,1007719,0.0000,1.0
2020-11-30,5.31,5.59,4.97,5.525,5.525,1387020,0.0000,1.0
2020-11-27,5.06,5.285,4.85,5.25,5.25,888677,0.0000,1.0
2020-11-25,5.16,5.44,4.85,4.99,4.99,2037236,0.0000,1.0
2020-11-24,4.83,5.24,4.68,5.18,5.18,2526362,0.0000,1.0
2020-11-23,4.45,4.85,4.13,4.81,4.81,3088904,0.0000,1.0
2020-11-20,4.2,4.62,4.12,4.34,4.34,3455801,0.0000,1.0
2020-11-19,3.96,4.3,3.81,4.26,4.26,3687909,0.0000,1.0
2020-11-18,4.1,4.21,3.93,3.99,3.99,3685957,0.0000,1.0
2020-11-17,4.26,4.47,3.8,4.02,4.02,15829969,0.0000,1.0
2020-11-16,11.9,12.3,11.55,11.94,11.94,691152,0.0000,1.0
2020-11-13,12.63,12.7,11.58,11.65,11.65,734154,0.0000,1.0
2020-11-12,12.0,12.81,12.0,12.43,12.43,593822,0.0000,1.0
2020-11-11,11.84,12.23,11.4,11.97,11.97,579149,0.0000,1.0
2020-11-10,11.39,11.85,11.25,11.68,11.68,472180,0.0000,1.0
2020-11-09,11.9,12.25,11.165,11.43,11.43,825443,0.0000,1.0
2020-11-06,11.0,11.81,10.71,11.39,11.39,576602,0.0000,1.0
2020-11-05,10.76,11.1199,10.5601,11.02,11.02,305941,0.0000,1.0
2020-11-04,10.77,11.0,10.27,10.57,10.57,563395,0.0000,1.0
2020-11-03,10.63,11.04,10.33,10.77,10.77,502890,0.0000,1.0
2020-11-02,10.26,10.68,10.05,10.62,10.62,529734,0.0000,1.0
2020-10-30,10.64,10.73,9.88,10.03,10.03,572425,0.0000,1.0
2020-10-29,10.21,10.8356,10.05,10.75,10.75,542242,0.0000,1.0
2020-10-28,10.34,10.55,9.9245,10.08,10.08,530829,0.0000,1.0
2020-10-27,10.18,10.99,10.05,10.56,10.56,758100,0.0000,1.0
2020-10-26,10.84,11.19,9.89,10.21,10.21,1059867,0.0000,1.0
2020-10-23,10.24,10.9,10.2,10.75,10.75,722804,0.0000,1.0
2020-10-22,9.75,10.8923,9.75,10.185,10.185,1637785,0.0000,1.0
2020-10-21,10.34,10.809,9.31,9.51,9.51,1603154,0.0000,1.0
2020-10-20,12.4,12.71,8.71,10.15,10.15,5539028,0.0000,1.0
2020-10-19,14.0,14.1697,12.29,12.37,12.37,1429553,0.0000,1.0
2020-10-16,15.31,15.4499,13.79,13.86,13.86,917160,0.0000,1.0
2020-10-15,16.82,17.1515,14.6,15.29,15.29,1137774,0.0000,1.0
2020-10-14,17.05,17.3,16.64,16.69,16.69,270377,0.0000,1.0
2020-10-13,17.01,17.3819,16.6,16.95,16.95,297092,0.0000,1.0
2020-10-12,17.73,17.73,16.55,16.8,16.8,333635,0.0000,1.0
2020-10-09,17.74,17.95,17.06,17.55,17.55,361063,0.0000,1.0
2020-10-08,17.08,17.85,16.9,17.73,17.73,782961,0.0000,1.0
2020-10-07,16.39,17.17,16.08,17.01,17.01,423815,0.0000,1.0
2020-10-06,16.7594,16.78,15.9648,16.37,16.37,241944,0.0000,1.0
2020-10-05,15.38,16.67,15.19,16.6,16.6,462738,0.0000,1.0
2020-10-02,15.26,16.26,15.02,15.29,15.29,450659,0.0000,1.0
2020-10-01,16.98,17.39,15.86,15.97,15.97,663443,0.0000,1.0
2020-09-30,16.21,17.08,16.21,16.92,16.92,1020140,0.0000,1.0
2020-09-29,15.94,16.26,15.715,16.19,16.19,438771,0.0000,1.0
2020-09-28,15.0,16.5,14.96,15.95,15.95,713585,0.0000,1.0
2020-09-25,14.15,15.03,14.1333,14.95,14.95,285525,0.0000,1.0
2020-09-24,13.95,14.22,13.67,14.19,14.19,237423,0.0000,1.0
2020-09-23,14.65,14.86,13.9,13.98,13.98,241720,0.0000,1.0
2020-09-22,14.55,14.71,14.01,14.59,14.59,213617,0.0000,1.0
2020-09-21,14.9,14.98,14.29,14.5,14.5,286162,0.0000,1.0
2020-09-18,14.77,15.21,14.56,15.09,15.09,612671,0.0000,1.0
2020-09-17,14.48,14.8283,14.26,14.62,14.62,242511,0.0000,1.0
2020-09-16,14.27,14.89,14.06,14.45,14.45,256807,0.0000,1.0
2020-09-15,14.16,14.56,14.0427,14.15,14.15,174948,0.0000,1.0
2020-09-14,13.6,14.56,13.47,14.14,14.14,400197,0.0000,1.0
2020-09-11,13.88,13.95,13.235,13.37,13.37,193370,0.0000,1.0
2020-09-10,13.5,14.18,13.5,13.76,13.76,328790,0.0000,1.0
2020-09-09,13.24,13.65,13.18,13.39,13.39,341030,0.0000,1.0
2020-09-08,12.16,13.28,12.135,13.02,13.02,276181,0.0000,1.0
2020-09-04,12.75,12.84,11.85,12.58,12.58,348774,0.0000,1.0
2020-09-03,13.05,13.31,12.305,12.73,12.73,370274,0.0000,1.0
2020-09-02,12.2,13.4,12.125,13.21,13.21,409487,0.0000,1.0
2020-09-01,12.55,12.67,12.02,12.27,12.27,205217,0.0000,1.0
2020-08-31,12.69,12.76,12.26,12.61,12.61,247881,0.0000,1.0
2020-08-28,12.1,12.83,12.0,12.51,12.51,236618,0.0000,1.0
2020-08-27,12.0,12.3186,11.55,12.1,12.1,319839,0.0000,1.0
2020-08-26,11.83,12.46,11.72,12.15,12.15,287668,0.0000,1.0
2020-08-25,11.74,11.92,11.3575,11.85,11.85,389156,0.0000,1.0
2020-08-24,12.88,13.03,11.69,11.74,11.74,785568,0.0000,1.0
2020-08-21,12.66,13.05,12.42,12.87,12.87,658387,0.0000,1.0
2020-08-20,13.29,13.39,12.75,12.75,12.75,457288,0.0000,1.0
2020-08-19,13.85,14.1392,13.25,13.43,13.43,516263,0.0000,1.0
2020-08-18,14.27,14.33,13.79,13.86,13.86,467443,0.0000,1.0
2020-08-17,13.27,14.61,13.27,14.39,14.39,505941,0.0000,1.0
2020-08-14,13.46,13.62,13.0,13.27,13.27,376315,0.0000,1.0
2020-08-13,13.07,13.7,12.9,13.39,13.39,484047,0.0000,1.0
2020-08-12,12.71,13.2554,12.71,13.02,13.02,356970,0.0000,1.0
2020-08-11,13.33,13.4,12.7,12.75,12.75,284977,0.0000,1.0
2020-08-10,12.95,13.37,12.7236,13.27,13.27,401660,0.0000,1.0
2020-08-07,12.5,13.1008,12.47,12.79,12.79,476237,0.0000,1.0
2020-08-06,12.71,12.8,12.0,12.15,12.15,648759,0.0000,1.0
2020-08-05,13.39,13.68,12.3,13.11,13.11,1018031,0.0000,1.0
2020-08-04,14.07,14.15,13.3,13.39,13.39,473265,0.0000,1.0
2020-08-03,13.36,14.2,13.36,14.08,14.08,340704,0.0000,1.0
2020-07-31,14.07,14.47,13.1,13.55,13.55,689753,0.0000,1.0
2020-07-30,13.75,14.45,13.71,14.23,14.23,512335,0.0000,1.0
2020-07-29,14.71,15.15,13.72,13.89,13.89,1087202,0.0000,1.0
2020-07-28,15.4,15.75,14.86,14.93,14.93,621552,0.0000,1.0
