timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.15,1.32,1.14,1.22,1.22,306805,0.0000,1.0
2020-12-10,1.35,1.35,1.25,1.285,1.285,385384,0.0000,1.0
2020-12-09,1.4,1.68,1.26,1.35,1.35,1456151,0.0000,1.0
2020-12-08,1.25,1.8,1.24,1.75,1.75,6622307,0.0000,1.0
2020-12-07,1.17,1.25,1.17,1.2,1.2,130680,0.0000,1.0
2020-12-04,1.15,1.18,1.14,1.155,1.155,63161,0.0000,1.0
2020-12-03,1.15,1.19,1.14,1.15,1.15,87516,0.0000,1.0
2020-12-02,1.25,1.28,1.13,1.18,1.18,333051,0.0000,1.0
2020-12-01,1.12,1.5069,1.1,1.33,1.33,1293073,0.0000,1.0
2020-11-30,1.16,1.16,1.08,1.14,1.14,165221,0.0000,1.0
2020-11-27,1.11,1.1642,1.11,1.14,1.14,137836,0.0000,1.0
2020-11-25,1.08,1.16,1.0753,1.1,1.1,185539,0.0000,1.0
2020-11-24,1.13,1.1489,1.02,1.06,1.06,213768,0.0000,1.0
2020-11-23,1.02,1.15,0.985,1.1186,1.1186,487426,0.0000,1.0
2020-11-20,0.9667,1.02,0.944,0.995,0.995,127724,0.0000,1.0
2020-11-19,0.96,1.0187,0.95,0.9899,0.9899,89753,0.0000,1.0
2020-11-18,0.95,1.0,0.95,0.99,0.99,111967,0.0000,1.0
2020-11-17,1.04,1.1463,0.973501,1.0,1.0,528451,0.0000,1.0
2020-11-16,0.9298,1.0,0.9131,0.942,0.942,312486,0.0000,1.0
2020-11-13,0.94,0.95,0.8796,0.9151,0.9151,123401,0.0000,1.0
2020-11-12,0.92,0.96,0.9016,0.93,0.93,109893,0.0000,1.0
2020-11-11,0.9202,0.98,0.871,0.9577,0.9577,336227,0.0000,1.0
2020-11-10,1.01,1.02,0.9401,0.98,0.98,151207,0.0000,1.0
2020-11-09,1.01,1.01,0.9418,0.9418,0.9418,149559,0.0000,1.0
2020-11-06,0.9802,1.03,0.96,0.97,0.97,78389,0.0000,1.0
2020-11-05,1.08,1.08,0.97,0.9869,0.9869,250437,0.0000,1.0
2020-11-04,1.01,1.065,0.9502,0.9871,0.9871,182375,0.0000,1.0
2020-11-03,1.13,1.13,1.0,1.0501,1.0501,108109,0.0000,1.0
2020-11-02,1.16,1.185,1.04,1.1501,1.1501,440425,0.0000,1.0
2020-10-30,1.44,1.445,1.27,1.27,1.27,191443,0.0000,1.0
2020-10-29,1.5,1.5599,1.31,1.45,1.45,284248,0.0000,1.0
2020-10-28,1.48,1.64,1.35,1.5615,1.5615,332825,0.0000,1.0
2020-10-27,1.37,1.58,1.34,1.57,1.57,337404,0.0000,1.0
2020-10-26,1.35,1.44,1.27,1.38,1.38,123267,0.0000,1.0
2020-10-23,1.5,1.5,1.3467,1.39,1.39,175399,0.0000,1.0
2020-10-22,1.25,1.45,1.25,1.42,1.42,335139,0.0000,1.0
2020-10-21,1.22,1.2997,1.19,1.2738,1.2738,169134,0.0000,1.0
2020-10-20,1.3,1.3,1.18,1.26,1.26,416050,0.0000,1.0
2020-10-19,1.11,1.58,1.1055,1.44,1.44,1952135,0.0000,1.0
2020-10-16,1.16,1.19,1.1,1.1301,1.1301,201768,0.0000,1.0
2020-10-15,1.25,1.4,1.15,1.19,1.19,543887,0.0000,1.0
2020-10-14,1.44,1.47,1.25,1.4,1.4,1930790,0.0000,1.0
2020-10-13,1.12,2.15,1.0101,1.5,1.5,26984555,0.0000,1.0
2020-10-12,1.17,1.21,1.06,1.1191,1.1191,274119,0.0000,1.0
2020-10-09,1.08,1.2,1.0,1.18,1.18,474505,0.0000,1.0
2020-10-08,0.93,1.08,0.9272,1.0654,1.0654,542706,0.0000,1.0
2020-10-07,0.9076,0.96,0.8923,0.9317,0.9317,184136,0.0000,1.0
2020-10-06,0.952,0.9799,0.89,0.9228,0.9228,122652,0.0000,1.0
2020-10-05,0.9825,1.049,0.9284,0.9429,0.9429,357594,0.0000,1.0
2020-10-02,0.8243,1.15,0.8,1.015,1.015,2174448,0.0000,1.0
2020-10-01,0.807,0.85,0.807,0.8243,0.8243,63239,0.0000,1.0
2020-09-30,0.82,0.8599,0.82,0.8201,0.8201,68131,0.0000,1.0
2020-09-29,0.8771,0.8771,0.807,0.8203,0.8203,106789,0.0000,1.0
2020-09-28,0.83,0.89,0.82,0.863441,0.863441,166900,0.0000,1.0
2020-09-25,0.9014,0.91,0.8261,0.8644,0.8644,139576,0.0000,1.0
2020-09-24,0.8349,1.03,0.8101,0.9,0.9,1064767,0.0000,1.0
2020-09-23,0.84,0.9249,0.84,0.9,0.9,669800,0.0000,1.0
2020-09-22,0.7604,1.26,0.7548,0.93,0.93,6494602,0.0000,1.0
2020-09-21,0.83,0.83,0.752,0.765,0.765,78879,0.0000,1.0
2020-09-18,0.8284,0.83,0.77,0.77,0.77,73562,0.0000,1.0
2020-09-17,0.76,0.8196,0.76,0.804599,0.804599,74535,0.0000,1.0
2020-09-16,0.7317,0.83,0.7317,0.7925,0.7925,62874,0.0000,1.0
2020-09-15,0.8,0.8299,0.7807,0.79,0.79,98162,0.0000,1.0
2020-09-14,0.84,0.84,0.8001,0.8131,0.8131,115843,0.0000,1.0
2020-09-11,0.8141,0.8423,0.8005,0.8423,0.8423,73466,0.0000,1.0
2020-09-10,0.8191,0.864,0.8001,0.82,0.82,175183,0.0000,1.0
2020-09-09,0.84,0.8798,0.812,0.8378,0.8378,41508,0.0000,1.0
2020-09-08,0.8621,0.8621,0.81,0.8392,0.8392,61548,0.0000,1.0
2020-09-04,0.83,0.92,0.8011,0.8753,0.8753,203762,0.0000,1.0
2020-09-03,0.8623,0.8899,0.8301,0.87,0.87,193300,0.0000,1.0
2020-09-02,0.88,0.8821,0.84,0.87,0.87,517842,0.0000,1.0
2020-09-01,0.9,0.9434,0.881101,0.889868,0.889868,124768,0.0000,1.0
2020-08-31,1.06,1.08,0.91,0.9434,0.9434,385990,0.0000,1.0
2020-08-28,0.8999,1.22,0.8701,1.06,1.06,608381,0.0000,1.0
2020-08-27,0.93,0.97,0.86771,0.8737,0.8737,125655,0.0000,1.0
2020-08-26,0.9505,0.9798,0.9194,0.9522,0.9522,146739,0.0000,1.0
2020-08-25,0.9251,0.98,0.9,0.9632,0.9632,288586,0.0000,1.0
2020-08-24,0.97,1.1,0.9211,0.93,0.93,602031,0.0000,1.0
2020-08-21,1.05,1.06,0.97,0.9884,0.9884,675476,0.0000,1.0
2020-08-20,1.21,1.325,1.1,1.13,1.13,3240423,0.0000,1.0
2020-08-19,1.6,3.8,1.31,1.35,1.35,93971916,0.0000,1.0
2020-08-18,0.795,0.8052,0.7601,0.7601,0.7601,522156,0.0000,1.0
2020-08-17,0.795,0.8,0.795,0.795,0.795,13923,0.0000,1.0
2020-08-14,0.79,0.8187,0.75,0.765,0.765,5715,0.0000,1.0
2020-08-13,0.8175,0.8175,0.75,0.79,0.79,8702,0.0000,1.0
2020-08-12,0.7779,0.8201,0.77,0.78,0.78,11481,0.0000,1.0
2020-08-11,0.85,0.85,0.77,0.780001,0.780001,30072,0.0000,1.0
2020-08-10,0.79,0.8198,0.7551,0.8099,0.8099,78349,0.0000,1.0
2020-08-07,0.75,0.82,0.75,0.774,0.774,111563,0.0000,1.0
2020-08-06,0.86,0.86,0.782,0.8,0.8,36958,0.0000,1.0
2020-08-05,0.7502,0.85,0.7502,0.8305,0.8305,259076,0.0000,1.0
2020-08-04,0.7877,0.8,0.7361,0.7775,0.7775,29354,0.0000,1.0
2020-08-03,0.745,0.8751,0.7275,0.7652,0.7652,263012,0.0000,1.0
2020-07-31,0.7399,0.98,0.725,0.735,0.735,471466,0.0000,1.0
2020-07-30,0.65,0.74271,0.65,0.731,0.731,11249,0.0000,1.0
2020-07-29,0.7184,0.749999,0.692,0.715,0.715,42428,0.0000,1.0
2020-07-28,0.715,0.76,0.711101,0.711101,0.711101,20626,0.0000,1.0
2020-07-27,0.72,0.83,0.7,0.735,0.735,174049,0.0000,1.0
2020-07-24,0.7389,0.76,0.735,0.735,0.735,3410,0.0000,1.0
2020-07-23,0.7725,0.78,0.73,0.735,0.735,14082,0.0000,1.0
2020-07-22,0.74,0.7991,0.74,0.75,0.75,16560,0.0000,1.0
2020-07-21,0.74,0.82,0.74,0.74,0.74,18935,0.0000,1.0
2020-07-20,0.74,0.77,0.74,0.74,0.74,18424,0.0000,1.0
2020-07-17,0.75,0.82,0.72,0.72,0.72,67800,0.0000,1.0
2020-07-16,0.71,0.76,0.71,0.71,0.71,11500,0.0000,1.0
2020-07-15,0.71,0.79,0.71,0.71,0.71,23500,0.0000,1.0
2020-07-14,0.72,0.8,0.71,0.74,0.74,4600,0.0000,1.0
2020-07-13,0.78,0.8,0.77,0.77,0.77,53100,0.0000,1.0
2020-07-10,0.7826,0.784,0.7101,0.7497,0.7497,27700,0.0000,1.0
2020-07-09,0.78,0.78,0.71,0.75,0.75,12000,0.0000,1.0
2020-07-08,0.72,0.75,0.71,0.74,0.74,14200,0.0000,1.0
2020-07-07,0.71,0.76,0.71,0.72,0.72,19800,0.0000,1.0
2020-07-06,0.71,0.76,0.71,0.74,0.74,45000,0.0000,1.0
2020-07-02,0.67,0.71,0.63,0.69,0.69,14700,0.0000,1.0
2020-07-01,0.72,0.73,0.66,0.7,0.7,12700,0.0000,1.0
2020-06-30,0.69,0.74,0.67,0.72,0.72,10800,0.0000,1.0
2020-06-29,0.69,0.74,0.66,0.69,0.69,21700,0.0000,1.0
2020-06-26,0.72,0.75,0.69,0.6902,0.6902,20331,0.0000,1.0
2020-06-25,0.7651,0.794,0.7155,0.716,0.716,10541,0.0000,1.0
2020-06-24,0.7,0.8097,0.69,0.7099,0.7099,105592,0.0000,1.0
2020-06-23,0.7573,0.793,0.704999,0.704999,0.704999,68975,0.0000,1.0
2020-06-22,0.8167,0.85,0.7,0.76,0.76,29357,0.0000,1.0
2020-06-19,0.73,0.84,0.73,0.82,0.82,115448,0.0000,1.0
2020-06-18,0.98,1.0,0.73,0.8,0.8,253461,0.0000,1.0
2020-06-17,0.66,1.1,0.65,1.0,1.0,1126407,0.0000,1.0
2020-06-16,0.5836,0.77,0.5836,0.6679,0.6679,200418,0.0000,1.0
2020-06-15,0.6237,0.63,0.5502,0.603,0.603,17492,0.0000,1.0
2020-06-12,0.56,0.645,0.56,0.625,0.625,116761,0.0000,1.0
