timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.79,14.83,14.79,14.82,14.82,21284,0.0000,1.0
2020-12-10,14.7979,14.81,14.7979,14.8,14.8,8946,0.0000,1.0
2020-12-09,14.7901,14.82,14.79,14.79,14.79,11756,0.0000,1.0
2020-12-08,14.8068,14.81,14.8,14.8,14.8,9751,0.0000,1.0
2020-12-07,14.82,14.82,14.7962,14.8,14.8,22670,0.0000,1.0
2020-12-04,14.7999,14.8,14.79,14.79,14.79,9734,0.0000,1.0
2020-12-03,14.7918,14.7999,14.79,14.79,14.79,23213,0.0000,1.0
2020-12-02,14.7954,14.7954,14.79,14.79,14.79,2070,0.0000,1.0
2020-12-01,14.78,14.81,14.78,14.79,14.79,15448,0.0000,1.0
2020-11-30,14.79,14.79,14.78,14.78,14.78,21098,0.0000,1.0
2020-11-27,14.78,14.79,14.78,14.78,14.78,1979,0.0000,1.0
2020-11-25,14.781,14.79,14.78,14.78,14.78,9564,0.0000,1.0
2020-11-24,14.79,14.79,14.78,14.78,14.78,6586,0.0000,1.0
2020-11-23,14.785,14.7872,14.78,14.78,14.78,5664,0.0000,1.0
2020-11-20,14.8,14.8,14.78,14.78,14.78,31125,0.0000,1.0
2020-11-19,14.81,14.81,14.79,14.79,14.79,2233,0.0000,1.0
2020-11-18,14.79,14.81,14.7801,14.79,14.79,15527,0.0000,1.0
2020-11-17,14.79,14.79,14.78,14.78,14.78,8386,0.0000,1.0
2020-11-16,14.79,14.79,14.78,14.78,14.78,12588,0.0000,1.0
2020-11-13,14.7832,14.79,14.775,14.78,14.78,9711,0.0025,1.0
2020-11-12,14.75,14.7794,14.75,14.77,14.767502114,1388,0.0000,1.0
2020-11-11,14.75,14.79,14.75,14.75,14.7475054964,5422,0.0000,1.0
2020-11-10,14.75,14.75,14.75,14.75,14.7475054964,1538,0.0000,1.0
2020-11-09,14.79,14.79,14.7358,14.74,14.7375071876,31422,0.0000,1.0
2020-11-06,14.7751,14.7751,14.77,14.77,14.767502114,2011,0.0000,1.0
2020-11-05,14.78,14.79,14.78,14.78,14.7775004228,13463,0.0000,1.0
2020-11-04,14.76,14.77,14.76,14.77,14.767502114,2856,0.0000,1.0
2020-11-03,14.76,14.76,14.75,14.7572,14.7547042787,19101,0.0000,1.0
2020-11-02,14.755,14.755,14.75,14.75,14.7475054964,8674,0.0000,1.0
2020-10-30,14.75,14.752,14.75,14.75,14.7475054964,4339,0.0000,1.0
2020-10-29,14.74,14.75,14.74,14.75,14.7475054964,5595,0.0000,1.0
2020-10-28,14.74,14.76,14.74,14.74,14.7375071876,3336,0.0000,1.0
2020-10-27,14.7365,14.7403,14.73,14.74,14.7375071876,13791,0.0000,1.0
2020-10-26,14.735,14.7491,14.73,14.74,14.7375071876,8373,0.0000,1.0
2020-10-23,14.72,14.72,14.72,14.72,14.7175105699,586,0.0000,1.0
2020-10-22,14.75,14.75,14.72,14.72,14.7175105699,8147,0.0000,1.0
2020-10-21,14.75,14.75,14.73,14.73,14.7275088787,3801,0.0000,1.0
2020-10-20,14.75,14.75,14.72,14.72,14.7175105699,2859,0.0000,1.0
2020-10-19,14.73,14.73,14.73,14.73,14.7275088787,818,0.0000,1.0
2020-10-16,14.72,14.73,14.72,14.73,14.7275088787,9458,0.0000,1.0
2020-10-15,14.72,14.72,14.72,14.72,14.7175105699,4007,0.0000,1.0
2020-10-14,14.73,14.73,14.73,14.73,14.7275088787,336,0.0025,1.0
2020-10-13,14.73,14.73,14.7,14.71,14.7050165014,8679,0.0000,1.0
2020-10-12,14.72,14.72,14.7,14.7,14.6950198892,21901,0.0000,1.0
