timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,15.35,15.45,15.3,15.39,15.39,13732,0.0000,1.0
2020-12-10,15.35,15.42,15.35,15.38,15.38,17356,0.0000,1.0
2020-12-09,15.42,15.45,15.3689,15.37,15.37,10806,0.0000,1.0
2020-12-08,15.28,15.37,15.28,15.34,15.34,19817,0.0000,1.0
2020-12-07,15.22,15.3,15.22,15.27,15.27,22421,0.0000,1.0
2020-12-04,15.31,15.31,15.22,15.22,15.22,24583,0.0000,1.0
2020-12-03,15.32,15.36,15.24,15.27,15.27,27206,0.0000,1.0
2020-12-02,15.44,15.47,15.13,15.22,15.22,84603,0.0000,1.0
2020-12-01,15.4,15.41,15.36,15.4,15.4,22793,0.0000,1.0
2020-11-30,15.37,15.4,15.3,15.35,15.35,7438,0.0000,1.0
2020-11-27,15.36,15.37,15.3,15.33,15.33,12741,0.0000,1.0
2020-11-25,15.35,15.35,15.2603,15.3,15.3,9630,0.0000,1.0
2020-11-24,15.3,15.3,15.2399,15.27,15.27,12651,0.0000,1.0
2020-11-23,15.2,15.2999,15.13,15.23,15.23,42452,0.0000,1.0
2020-11-20,15.13,15.2199,15.13,15.15,15.15,24002,0.0000,1.0
2020-11-19,15.18,15.1895,15.1,15.15,15.15,15236,0.0000,1.0
2020-11-18,15.17,15.22,15.1,15.15,15.15,29224,0.0000,1.0
2020-11-17,15.16,15.16,15.08,15.08,15.08,22267,0.0000,1.0
2020-11-16,15.1,15.15,15.0918,15.1401,15.1401,32963,0.0000,1.0
2020-11-13,15.05,15.22,15.05,15.16,15.16,47628,0.0620,1.0
2020-11-12,15.15,15.26,15.105,15.23,15.1679674156,12810,0.0000,1.0
2020-11-11,15.15,15.15,15.06,15.149,15.0872973328,24045,0.0000,1.0
2020-11-10,15.05,15.27,14.97,15.15,15.0882932598,22547,0.0000,1.0
2020-11-09,15.0,15.08,15.0,15.02,14.9588227565,33164,0.0000,1.0
2020-11-06,14.88,14.98,14.84,14.9628,14.9018557351,25689,0.0000,1.0
2020-11-05,14.86,14.92,14.75,14.9,14.8393115228,27478,0.0000,1.0
2020-11-04,14.69,14.82,14.59,14.82,14.759637367,42189,0.0000,1.0
2020-11-03,14.55,14.66,14.46,14.61,14.5504927079,54264,0.0000,1.0
2020-11-02,14.58,14.58,14.42,14.47,14.4110629352,36878,0.0000,1.0
2020-10-30,14.63,14.63,14.35,14.44,14.3811851268,18141,0.0000,1.0
2020-10-29,14.4,14.579,14.37,14.53,14.4708185521,50517,0.0000,1.0
2020-10-28,14.43,14.43,14.26,14.35,14.2915517015,42945,0.0000,1.0
2020-10-27,14.35,14.49,14.33,14.33,14.2716331625,33574,0.0000,1.0
2020-10-26,14.45,14.555,14.24,14.28,14.2218368151,79734,0.0000,1.0
2020-10-23,14.62,14.72,14.53,14.53,14.4708185521,28500,0.0000,1.0
2020-10-22,14.76,14.8103,14.6,14.64,14.5803705164,38415,0.0000,1.0
2020-10-21,14.91,14.91,14.7,14.75,14.6899224806,64131,0.0000,1.0
2020-10-20,14.9,14.959,14.85,14.91,14.8492707923,25282,0.0000,1.0
2020-10-19,14.99,14.99,14.85,14.88,14.8193929838,28486,0.0000,1.0
2020-10-16,15.28,15.28,14.96,14.99,14.9289449481,28479,0.0000,1.0
2020-10-15,15.3,15.49,15.05,15.08,15.0185783734,32330,0.0000,1.0
2020-10-14,15.32,15.32,15.1,15.262,15.1998370779,18328,0.0620,1.0
2020-10-13,15.23,15.23,15.11,15.16,15.0371658902,19014,0.0000,1.0
2020-10-12,15.06,15.24,15.03,15.2,15.0768417896,48886,0.0000,1.0
2020-10-09,15.11,15.33,15.1,15.16,15.0371658902,32855,0.0000,1.0
2020-10-08,15.12,15.35,15.12,15.153,15.0302226078,17408,0.0000,1.0
2020-10-07,15.08,15.13,14.9904,15.08,14.9578140913,39188,0.0000,1.0
2020-10-06,15.08,15.14,14.9834,15.06,14.9379761416,37025,0.0000,1.0
2020-10-05,15.1,15.15,14.97,15.0,14.8784622924,28021,0.0000,1.0
2020-10-02,15.0,15.09,14.96,15.08,14.9578140913,19282,0.0000,1.0
2020-10-01,15.07,15.1,14.94,15.01,14.8883812673,36851,0.0000,1.0
2020-09-30,15.04,15.1,14.9,14.9,14.7792725438,34424,0.0000,1.0
2020-09-29,15.15,15.16,14.97,15.04,14.9181381918,34012,0.0000,1.0
2020-09-28,15.05,15.23,15.0362,15.08,14.9578140913,21778,0.0000,1.0
2020-09-25,15.11,15.1209,14.52,14.93,14.8090294684,36677,0.0000,1.0
2020-09-24,15.1,15.37,14.95,15.18,15.0570038399,34068,0.0000,1.0
2020-09-23,15.05,15.22,15.02,15.05,14.9280571667,20685,0.0000,1.0
2020-09-22,15.0,15.25,15.0,15.1,14.977652041,22388,0.0000,1.0
2020-09-21,15.32,15.32,14.99,15.04,14.9181381918,39466,0.0000,1.0
2020-09-18,15.37,15.49,15.22,15.25,15.1264366639,19544,0.0000,1.0
2020-09-17,15.37,15.69,15.09,15.29,15.1661125634,12722,0.0000,1.0
2020-09-16,15.32,15.32,15.16,15.29,15.1661125634,20791,0.0000,1.0
2020-09-15,15.34,15.35,15.21,15.31,15.1859505131,27756,0.0000,1.0
2020-09-14,15.24,15.35,15.21,15.27,15.1462746137,17584,0.0600,1.0
2020-09-11,15.62,15.7,15.3,15.35,15.1660349197,56243,0.0000,1.0
2020-09-10,14.86,15.68,14.86,15.66,15.4723196641,163770,0.0000,1.0
2020-09-09,14.7,14.84,14.6,14.84,14.6621471146,25709,0.0000,1.0
2020-09-08,14.68,14.69,14.52,14.67,14.4941845129,17426,0.0000,1.0
2020-09-04,14.85,14.85,14.5,14.65,14.4744242068,71294,0.0000,1.0
2020-09-03,14.86,14.94,14.63,14.71,14.533705125,50649,0.0000,1.0
2020-09-02,14.84,14.9,14.8,14.87,14.6917875737,27259,0.0000,1.0
2020-09-01,14.91,15.0,14.77,14.8,14.6226265024,55491,0.0000,1.0
2020-08-31,14.73,14.86,14.73,14.83,14.6522669616,31034,0.0000,1.0
2020-08-28,14.8,14.8,14.63,14.76,14.5831058903,66548,0.0000,1.0
2020-08-27,14.75,14.79,14.71,14.73,14.5534654311,22474,0.0000,1.0
2020-08-26,14.98,15.03,14.6,14.68,14.5040646659,73531,0.0000,1.0
2020-08-25,14.96,15.05,14.94,14.94,14.760948645,26076,0.0000,1.0
2020-08-24,15.05,15.07,14.81,14.99,14.8103494102,76864,0.0000,1.0
2020-08-21,15.1,15.1,14.98,15.05,14.8696303285,39325,0.0000,1.0
2020-08-20,15.3,15.34,15.035,15.06,14.8795104815,55190,0.0000,1.0
2020-08-19,15.45,15.45,15.26,15.26,15.0771135424,40001,0.0000,1.0
2020-08-18,15.67,15.69,15.36,15.37,15.1857952258,43577,0.0000,1.0
2020-08-17,15.53,15.65,15.46,15.57,15.3833982867,18256,0.0000,1.0
2020-08-14,15.5,15.61,15.5,15.5688,15.3822126683,13180,0.0000,1.0
2020-08-13,15.68,15.75,15.5,15.53,15.3438776745,33950,0.0600,1.0
2020-08-12,15.65,15.73,15.56,15.7,15.4521410834,21942,0.0000,1.0
2020-08-11,15.7,15.7,15.67,15.69,15.4422989553,26222,0.0000,1.0
2020-08-10,15.67,15.75,15.61,15.74,15.4915095957,26718,0.0000,1.0
2020-08-07,15.77,15.79,15.58,15.58,15.3340355464,25975,0.0000,1.0
2020-08-06,15.88,15.88,15.59,15.6584,15.4111978306,50118,0.0000,1.0
2020-08-05,15.82,15.87,15.76,15.78,15.530878108,24042,0.0000,1.0
2020-08-04,15.76,15.76,15.67,15.7,15.4521410834,23926,0.0000,1.0
2020-08-03,15.74,15.7457,15.62,15.66,15.4127725711,46831,0.0000,1.0
2020-07-31,15.51,15.85,15.5,15.6,15.3537198026,43752,0.0000,1.0
