timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,53.13,53.845,53.09,53.8,53.8,854830,0.0000,1.0
2020-12-10,53.23,53.77,53.07,53.68,53.68,650921,0.0000,1.0
2020-12-09,53.59,53.72,53.1,53.36,53.36,826911,0.0000,1.0
2020-12-08,52.5,53.35,52.5,53.22,53.22,1200691,0.0000,1.0
2020-12-07,52.54,52.8,52.32,52.52,52.52,1195704,0.0000,1.0
2020-12-04,51.96,53.0,51.76,52.84,52.84,1526294,0.0000,1.0
2020-12-03,51.3,51.88,51.3,51.68,51.68,1317482,0.0000,1.0
2020-12-02,50.56,51.21,49.99,51.21,51.21,1880534,0.0000,1.0
2020-12-01,49.78,50.79,49.64,50.25,50.25,1354295,0.0000,1.0
2020-11-30,49.88,50.04,48.69,48.76,48.76,1194661,0.0000,1.0
2020-11-27,49.91,50.34,49.84,50.11,50.11,661668,0.0000,1.0
2020-11-25,49.34,49.825,49.18,49.73,49.73,1048865,0.0000,1.0
2020-11-24,49.38,49.775,49.34,49.63,49.63,1482540,0.0000,1.0
2020-11-23,49.03,49.15,48.665,48.84,48.84,1100132,0.0000,1.0
2020-11-20,48.28,48.595,48.07,48.51,48.51,804904,0.0000,1.0
2020-11-19,47.77,48.3,47.65,48.28,48.28,1067506,0.0000,1.0
2020-11-18,47.65,48.41,47.45,48.06,48.06,1007322,0.0000,1.0
2020-11-17,47.1,47.72,46.96,47.36,47.36,1273331,0.0000,1.0
2020-11-16,47.3,47.55,47.02,47.41,47.41,1415850,0.0000,1.0
2020-11-13,46.48,46.59,46.2333,46.27,46.27,997230,0.0000,1.0
2020-11-12,46.4,46.77,46.04,46.35,46.35,1326406,0.0000,1.0
2020-11-11,47.45,47.45,46.9,47.07,47.07,984867,0.0000,1.0
2020-11-10,46.11,47.275,45.88,47.0,47.0,1633857,0.0000,1.0
2020-11-09,45.09,46.97,45.09,45.95,45.95,3205621,0.0000,1.0
2020-11-06,43.58,43.65,43.13,43.31,43.31,701492,0.0000,1.0
2020-11-05,43.39,43.765,43.305,43.4,43.4,1110611,0.0000,1.0
2020-11-04,42.54,43.33,42.05,42.94,42.94,1361207,0.0000,1.0
2020-11-03,42.73,43.12,42.5804,42.81,42.81,1456065,0.0000,1.0
2020-11-02,42.0,42.07,41.52,42.04,42.04,986763,0.0000,1.0
2020-10-30,41.32,41.67,41.02,41.56,41.56,991023,0.0000,1.0
2020-10-29,40.61,41.68,40.28,41.48,41.48,1149150,0.0000,1.0
2020-10-28,41.5,41.63,40.76,40.78,40.78,1955320,0.0000,1.0
2020-10-27,42.8,42.83,42.12,42.31,42.31,1185590,0.0000,1.0
2020-10-26,43.28,43.28,42.51,42.93,42.93,1110654,0.0000,1.0
