timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,10.78,10.78,10.66,10.7,10.7,124561,0.0000,1.0
2020-12-10,10.87,10.9,10.76,10.78,10.78,143974,0.0000,1.0
2020-12-09,10.9,10.97,10.85,10.87,10.87,137011,0.0000,1.0
2020-12-08,10.78,10.93,10.754,10.88,10.88,304780,0.0000,1.0
2020-12-07,10.76,10.79,10.66,10.75,10.75,212350,0.0000,1.0
2020-12-04,10.74,10.81,10.66,10.81,10.81,296807,0.0000,1.0
2020-12-03,10.62,10.7,10.61,10.68,10.68,112402,0.0000,1.0
2020-12-02,10.67,10.73,10.59,10.63,10.63,117133,0.0000,1.0
2020-12-01,10.65,10.73,10.645,10.71,10.71,170206,0.0000,1.0
2020-11-30,10.57,10.61,10.53,10.58,10.58,187501,0.0000,1.0
2020-11-27,10.59,10.65,10.57,10.65,10.65,99431,0.0000,1.0
2020-11-25,10.53,10.6,10.49,10.6,10.6,141792,0.0000,1.0
2020-11-24,10.53,10.64,10.51,10.53,10.53,199628,0.0000,1.0
2020-11-23,10.46,10.53,10.45,10.51,10.51,123697,0.0000,1.0
2020-11-20,10.43,10.5,10.43,10.43,10.43,133422,0.0000,1.0
2020-11-19,10.39,10.48,10.37,10.47,10.47,88556,0.0000,1.0
2020-11-18,10.45,10.5,10.4,10.43,10.43,119091,0.0000,1.0
2020-11-17,10.44,10.46,10.3,10.44,10.44,127951,0.0000,1.0
2020-11-16,10.33,10.44,10.3232,10.44,10.44,81385,0.0000,1.0
2020-11-13,10.18,10.27,10.175,10.27,10.27,70094,0.0630,1.0
2020-11-12,10.19,10.3,10.162,10.2,10.1378108971,327813,0.0000,1.0
2020-11-11,10.08,10.27,10.08,10.21,10.1477499274,296477,0.0000,1.0
2020-11-10,10.04,10.12,10.03,10.05,9.98872544276,188921,0.0000,1.0
2020-11-09,10.12,10.21,10.03,10.06,9.99866447305,194807,0.0000,1.0
2020-11-06,9.89,9.89,9.8,9.82,9.76012774606,85878,0.0000,1.0
2020-11-05,9.77,9.88,9.77,9.84,9.78000580664,152520,0.0000,1.0
2020-11-04,9.55,9.77,9.53,9.7,9.64085938256,199009,0.0000,1.0
2020-11-03,9.35,9.54,9.35,9.53,9.47189586761,206196,0.0000,1.0
2020-11-02,9.22,9.36,9.22,9.3,9.24329817091,173522,0.0000,1.0
2020-10-30,9.26,9.281,9.12,9.18,9.12402980741,168211,0.0000,1.0
2020-10-29,9.24,9.2955,9.17,9.28,9.22342011033,156211,0.0000,1.0
2020-10-28,9.43,9.43,9.21,9.26,9.20354204974,298132,0.0000,1.0
