timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,47.47,49.21,45.8244,47.13,47.13,73691,0.0000,1.0
2020-12-10,45.93,48.44,45.03,47.88,47.88,169925,0.0000,1.0
2020-12-09,46.59,47.38,45.3137,45.84,45.84,63603,0.0000,1.0
2020-12-08,45.01,46.39,44.1069,46.06,46.06,81848,0.0000,1.0
2020-12-07,45.19,46.6,43.7601,45.59,45.59,109703,0.0000,1.0
2020-12-04,43.67,45.8,43.09,45.61,45.61,218587,0.0000,1.0
2020-12-03,43.19,43.66,42.72,43.14,43.14,71124,0.0000,1.0
2020-12-02,41.88,43.47,41.095,43.0,43.0,77968,0.0000,1.0
2020-12-01,41.22,41.99,40.695,41.88,41.88,99001,0.0000,1.0
2020-11-30,41.51,41.63,40.745,40.85,40.85,114369,0.0000,1.0
2020-11-27,42.4,42.66,40.26,41.89,41.89,32919,0.0000,1.0
2020-11-25,42.56,42.96,41.8,42.73,42.73,88348,0.0000,1.0
2020-11-24,44.35,45.07,42.725,43.15,43.15,140886,0.0000,1.0
2020-11-23,41.85,43.64,41.04,43.31,43.31,202537,0.0000,1.0
2020-11-20,40.36,42.0499,39.82,41.33,41.33,119518,0.0000,1.0
2020-11-19,41.66,41.77,39.54,40.64,40.64,113500,0.0000,1.0
2020-11-18,41.86,42.835,41.265,41.77,41.77,140473,0.0000,1.0
2020-11-17,40.33,41.9,39.6254,41.59,41.59,137145,0.0000,1.0
2020-11-16,38.63,41.18,38.0,41.16,41.16,198115,0.0000,1.0
2020-11-13,36.46,37.9,36.03,37.46,37.46,134660,0.0000,1.0
2020-11-12,36.95,37.61,35.785,36.22,36.22,108064,0.0000,1.0
2020-11-11,38.21,39.08,36.8475,37.57,37.57,134784,0.0000,1.0
2020-11-10,38.46,39.63,36.9836,37.81,37.81,257650,0.0000,1.0
2020-11-09,38.2,39.24,37.33,38.21,38.21,155173,0.0000,1.0
2020-11-06,36.01,36.01,35.26,35.36,35.36,62057,0.0000,1.0
2020-11-05,35.26,36.35,34.84,36.0,36.0,118494,0.0000,1.0
2020-11-04,36.05,36.185,34.28,35.23,35.23,149949,0.0000,1.0
2020-11-03,36.68,37.5,35.812,36.29,36.29,93076,0.0000,1.0
2020-11-02,35.71,36.56,34.95,36.28,36.28,76529,0.0000,1.0
2020-10-30,34.58,36.2299,34.58,35.57,35.57,72762,0.0000,1.0
2020-10-29,33.05,35.1,32.52,34.97,34.97,80989,0.0000,1.0
2020-10-28,33.45,34.07,33.01,33.61,33.61,123899,0.0000,1.0
2020-10-27,35.2,36.13,33.685,34.3,34.3,142082,0.0000,1.0
2020-10-26,37.06,37.2862,34.49,35.31,35.31,128901,0.0000,1.0
2020-10-23,37.4,42.54,36.065,37.41,37.41,341457,0.0000,1.0
2020-10-22,33.56,35.11,33.12,34.68,34.68,104211,0.0000,1.0
2020-10-21,33.34,33.58,32.78,33.36,33.36,59170,0.0000,1.0
2020-10-20,32.91,33.81,32.39,33.42,33.42,46985,0.0000,1.0
2020-10-19,33.02,34.39,32.685,32.79,32.79,78858,0.0000,1.0
2020-10-16,34.14,34.55,33.05,33.22,33.22,50364,0.0000,1.0
2020-10-15,33.71,34.56,33.46,34.33,34.33,58901,0.0000,1.0
2020-10-14,33.94,35.05,33.86,34.6,34.6,42346,0.0000,1.0
2020-10-13,33.87,34.2778,33.03,33.86,33.86,64916,0.0000,1.0
2020-10-12,33.92,34.25,33.03,34.19,34.19,72005,0.0000,1.0
2020-10-09,34.7,34.7,33.775,34.05,34.05,65404,0.0000,1.0
2020-10-08,34.25,34.66,33.92,34.25,34.25,86558,0.0000,1.0
