timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,2.6,2.69,2.6,2.66,2.66,9415,0.0000,1.0
2020-12-10,2.56,2.77,2.56,2.69,2.69,20398,0.0000,1.0
2020-12-09,2.6,2.663,2.5397,2.59,2.59,5345,0.0000,1.0
2020-12-08,2.6,2.7056,2.56,2.57,2.57,5419,0.0000,1.0
2020-12-07,2.66,2.69,2.53,2.682,2.682,20694,0.0000,1.0
2020-12-04,2.65,2.67,2.62,2.66,2.66,10144,0.0000,1.0
2020-12-03,2.65,2.7,2.5469,2.63,2.63,40656,0.0000,1.0
2020-12-02,2.8,2.83,2.43,2.7012,2.7012,6674,0.0000,1.0
2020-12-01,2.95,2.95,2.71,2.8466,2.8466,44879,0.0000,1.0
2020-11-30,2.93,3.0,2.6401,2.9,2.9,97974,0.0000,1.0
2020-11-27,2.75,2.97,2.6807,2.8882,2.8882,116190,0.0000,1.0
2020-11-25,2.66,2.68,2.58,2.67,2.67,16407,0.0000,1.0
2020-11-24,2.5,2.74,2.5,2.59,2.59,20878,0.0000,1.0
2020-11-23,2.57,2.59,2.41,2.5,2.5,5209,0.0000,1.0
2020-11-20,2.52,2.5781,2.4502,2.5,2.5,4985,0.0000,1.0
2020-11-19,2.57,2.6133,2.39,2.45,2.45,5543,0.0000,1.0
2020-11-18,2.64,2.64,2.5,2.5105,2.5105,7131,0.0000,1.0
2020-11-17,2.63,2.63,2.3901,2.56,2.56,6037,0.0000,1.0
2020-11-16,2.6,2.649,2.57,2.61,2.61,6680,0.0000,1.0
2020-11-13,2.705,2.705,2.5,2.535,2.535,6030,0.0000,1.0
2020-11-12,2.465,2.465,2.39,2.46,2.46,737,0.0000,1.0
2020-11-11,2.46,2.489,2.43,2.47,2.47,2747,0.0000,1.0
2020-11-10,2.44,2.494,2.3802,2.3802,2.3802,2889,0.0000,1.0
2020-11-09,2.57,2.57,2.3929,2.43,2.43,4436,0.0000,1.0
2020-11-06,2.42,2.49,2.42,2.4515,2.4515,1367,0.0000,1.0
2020-11-05,2.57,2.65,2.3921,2.445,2.445,6453,0.0000,1.0
2020-11-04,2.495,2.56,2.495,2.56,2.56,1673,0.0000,1.0
2020-11-03,2.5516,2.5573,2.4,2.475,2.475,7337,0.0000,1.0
2020-11-02,2.57,2.57,2.34,2.5268,2.5268,3398,0.0000,1.0
2020-10-30,2.5191,2.55,2.48,2.48,2.48,785,0.0000,1.0
2020-10-29,2.5562,2.5562,2.52,2.52,2.52,5477,0.0000,1.0
2020-10-28,2.6651,2.6651,2.42,2.6,2.6,16799,0.0000,1.0
2020-10-27,2.68,2.7,2.6,2.654,2.654,1329,0.0000,1.0
2020-10-26,2.67,2.67,2.585,2.65,2.65,1688,0.0000,1.0
2020-10-23,2.5,2.74,2.5,2.65,2.65,48234,0.0000,1.0
2020-10-22,2.51,2.58,2.46,2.53,2.53,4765,0.0000,1.0
2020-10-21,2.645,2.645,2.5,2.5,2.5,6982,0.0000,1.0
2020-10-20,2.6059,2.66,2.54,2.545,2.545,5865,0.0000,1.0
2020-10-19,2.52,2.75,2.52,2.57,2.57,5484,0.0000,1.0
2020-10-16,2.6188,2.78,2.51,2.5485,2.5485,51385,0.0000,1.0
2020-10-15,2.51,2.6,2.51,2.55,2.55,5776,0.0000,1.0
2020-10-14,2.47,2.5102,2.4614,2.4811,2.4811,3785,0.0000,1.0
2020-10-13,2.5,2.5,2.45,2.49,2.49,588,0.0000,1.0
2020-10-12,2.53,2.535,2.4601,2.4945,2.4945,4175,0.0000,1.0
2020-10-09,2.5635,2.5635,2.46,2.49,2.49,7041,0.0000,1.0
2020-10-08,2.61,2.6285,2.462,2.47,2.47,14654,0.0000,1.0
2020-10-07,2.5611,2.64,2.5,2.6399,2.6399,3615,0.0000,1.0
2020-10-06,2.571,2.571,2.51,2.51,2.51,3376,0.0000,1.0
2020-10-05,2.53,2.53,2.5,2.5,2.5,4191,0.0000,1.0
2020-10-02,2.41,2.4699,2.41,2.4699,2.4699,1192,0.0000,1.0
2020-10-01,2.49,2.63,2.49,2.49,2.49,8036,0.0000,1.0
2020-09-30,2.5,2.5,2.4182,2.43,2.43,922,0.0000,1.0
2020-09-29,2.5,2.5081,2.415,2.4902,2.4902,3708,0.0000,1.0
2020-09-28,2.33,2.46,2.29,2.45,2.45,4579,0.0000,1.0
2020-09-25,2.334,2.64,2.334,2.545,2.545,5189,0.0000,1.0
2020-09-24,2.5507,2.67,2.49,2.5,2.5,16598,0.0000,1.0
2020-09-23,2.5027,2.585,2.49,2.49,2.49,2650,0.0000,1.0
2020-09-22,2.5127,2.54,2.51,2.54,2.54,1001,0.0000,1.0
2020-09-21,2.64,2.64,2.4633,2.4633,2.4633,578,0.0000,1.0
2020-09-18,2.26,2.64,2.26,2.52,2.52,4094,0.0000,1.0
2020-09-17,2.5,2.5,2.4713,2.5,2.5,10206,0.0000,1.0
2020-09-16,2.64,2.6532,2.43,2.63,2.63,15600,0.0000,1.0
2020-09-15,2.21,2.67,2.21,2.5237,2.5237,24646,0.0000,1.0
2020-09-14,2.44,2.44,2.435,2.435,2.435,787,0.0000,1.0
2020-09-11,2.35,2.36,2.35,2.36,2.36,1788,0.0000,1.0
2020-09-10,2.34,2.4166,2.34,2.355,2.355,10936,0.0000,1.0
2020-09-09,2.32,2.4,2.31,2.395,2.395,10587,0.0000,1.0
2020-09-08,2.38,2.41,2.22,2.41,2.41,5551,0.0000,1.0
2020-09-04,2.37,2.58,2.37,2.47,2.47,6336,0.0000,1.0
2020-09-03,2.51,2.58,2.5,2.5,2.5,2287,0.0000,1.0
2020-09-02,2.5,2.5,2.435,2.49,2.49,2664,0.0000,1.0
2020-09-01,2.5,2.55,2.3648,2.5,2.5,17129,0.0000,1.0
2020-08-31,2.58,2.61,2.53,2.54,2.54,4019,0.0000,1.0
2020-08-28,2.47,2.71,2.47,2.54,2.54,20413,0.0000,1.0
2020-08-27,2.6026,2.7,2.34,2.7,2.7,6670,0.0000,1.0
2020-08-26,2.5,2.763,2.09,2.684,2.684,94157,0.0000,1.0
2020-08-25,2.99,2.99,2.765,2.88,2.88,13762,0.0000,1.0
2020-08-24,2.99,2.99,2.5301,2.9702,2.9702,9504,0.0000,1.0
2020-08-21,2.99,2.99,2.75,2.75,2.75,13536,0.0000,1.0
2020-08-20,2.765,2.9,2.71,2.85,2.85,5633,0.0000,1.0
2020-08-19,2.81,2.81,2.81,2.81,2.81,257,0.0000,1.0
