timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.5,4.5,4.0,4.06,4.06,365139,0.0000,1.0
2020-12-10,3.8277,4.7,3.8277,4.45,4.45,1042358,0.0000,1.0
2020-12-09,3.6,4.49,3.54,3.86,3.86,1732923,0.0000,1.0
2020-12-08,3.48,3.7,3.4219,3.56,3.56,293817,0.0000,1.0
2020-12-07,3.36,3.53,3.35,3.48,3.48,195804,0.0000,1.0
2020-12-04,3.3799,3.4,3.32,3.33,3.33,87233,0.0000,1.0
2020-12-03,3.43,3.43,3.32,3.35,3.35,74396,0.0000,1.0
2020-12-02,3.38,3.45,3.3,3.39,3.39,108591,0.0000,1.0
2020-12-01,3.52,3.52,3.35,3.36,3.36,121344,0.0000,1.0
2020-11-30,3.52,3.6,3.29,3.54,3.54,206020,0.0000,1.0
2020-11-27,3.51,3.58,3.44,3.5,3.5,79936,0.0000,1.0
2020-11-25,3.42,3.51,3.42,3.48,3.48,92896,0.0000,1.0
2020-11-24,3.52,3.53,3.39,3.47,3.47,259696,0.0000,1.0
2020-11-23,3.7,3.759,3.4432,3.56,3.56,420918,0.0000,1.0
2020-11-20,3.31,3.69,3.3,3.67,3.67,726890,0.0000,1.0
2020-11-19,3.37,3.42,3.25,3.34,3.34,212055,0.0000,1.0
2020-11-18,3.32,3.39,3.28,3.32,3.32,139466,0.0000,1.0
2020-11-17,3.25,3.35,3.21,3.28,3.28,147202,0.0000,1.0
2020-11-16,3.35,3.35,3.19,3.3,3.3,256247,0.0000,1.0
2020-11-13,3.36,3.55,3.3,3.35,3.35,403229,0.0000,1.0
2020-11-12,3.4,3.64,3.4,3.59,3.59,375006,0.0000,1.0
2020-11-11,3.48,3.57,3.34,3.38,3.38,237192,0.0000,1.0
2020-11-10,3.31,3.53,3.23,3.41,3.41,232396,0.0000,1.0
2020-11-09,3.4,3.4688,3.26,3.34,3.34,283967,0.0000,1.0
2020-11-06,3.21,3.26,3.15,3.21,3.21,162821,0.0000,1.0
2020-11-05,3.33,3.34,3.12,3.24,3.24,152327,0.0000,1.0
2020-11-04,3.4,3.48,3.16,3.27,3.27,236660,0.0000,1.0
2020-11-03,3.31,3.55,3.3,3.37,3.37,264820,0.0000,1.0
2020-11-02,3.28,3.415,3.21,3.28,3.28,183705,0.0000,1.0
2020-10-30,3.45,3.48,3.18,3.28,3.28,308487,0.0000,1.0
2020-10-29,3.46,3.53,3.28,3.4,3.4,618021,0.0000,1.0
2020-10-28,3.54,3.64,3.32,3.48,3.48,723896,0.0000,1.0
2020-10-27,4.13,4.16,3.69,3.72,3.72,601205,0.0000,1.0
2020-10-26,4.41,4.49,3.97,4.08,4.08,786098,0.0000,1.0
2020-10-23,4.94,4.94,4.5,4.71,4.71,1642523,0.0000,1.0
2020-10-22,5.3135,6.09,4.77,5.26,5.26,49275243,0.0000,1.0
2020-10-21,4.02,4.2,3.94,4.09,4.09,39680,0.0000,1.0
2020-10-20,4.0824,4.12,4.05,4.06,4.06,4495,0.0000,1.0
2020-10-19,4.1,4.2137,4.02,4.04,4.04,15663,0.0000,1.0
2020-10-16,4.2,4.205,4.1,4.11,4.11,8693,0.0000,1.0
2020-10-15,4.2126,4.22,4.1296,4.17,4.17,10733,0.0000,1.0
2020-10-14,4.2881,4.3193,4.09,4.18,4.18,24164,0.0000,1.0
2020-10-13,4.23,4.32,4.2,4.26,4.26,20006,0.0000,1.0
2020-10-12,4.31,4.32,4.17,4.31,4.31,12117,0.0000,1.0
2020-10-09,4.4,4.5199,4.31,4.34,4.34,12640,0.0000,1.0
2020-10-08,4.4,4.47,4.3065,4.43,4.43,17166,0.0000,1.0
2020-10-07,4.41,4.5,4.3,4.35,4.35,32165,0.0000,1.0
2020-10-06,4.3131,4.58,4.2512,4.29,4.29,49032,0.0000,1.0
2020-10-05,4.3555,4.3555,4.1,4.23,4.23,41535,0.0000,1.0
2020-10-02,4.19,4.34,4.09,4.14,4.14,22189,0.0000,1.0
2020-10-01,4.26,4.4734,4.21,4.34,4.34,17907,0.0000,1.0
2020-09-30,4.34,4.5,4.24,4.24,4.24,65847,0.0000,1.0
2020-09-29,4.22,4.33,4.2,4.32,4.32,19879,0.0000,1.0
2020-09-28,4.1,4.3,3.97,4.19,4.19,44575,0.0000,1.0
2020-09-25,3.95,4.21,3.8252,4.11,4.11,38839,0.0000,1.0
2020-09-24,3.92,4.075,3.88,3.95,3.95,27692,0.0000,1.0
2020-09-23,4.1,4.15,3.98,3.9968,3.9968,25957,0.0000,1.0
2020-09-22,4.24,4.26,4.11,4.11,4.11,22074,0.0000,1.0
2020-09-21,4.4,4.4,4.06,4.27,4.27,121274,0.0000,1.0
2020-09-18,4.32,4.82,4.1,4.44,4.44,698008,0.0000,1.0
2020-09-17,4.11,4.31,4.1,4.25,4.25,32128,0.0000,1.0
2020-09-16,4.39,4.57,4.1001,4.11,4.11,97269,0.0000,1.0
2020-09-15,4.15,4.409,4.1306,4.32,4.32,48863,0.0000,1.0
2020-09-14,3.88,4.21,3.8,4.11,4.11,63894,0.0000,1.0
2020-09-11,4.1,4.17,3.84,3.89,3.89,46204,0.0000,1.0
2020-09-10,3.9,4.14,3.9,4.09,4.09,79387,0.0000,1.0
2020-09-09,3.88,3.98,3.87,3.94,3.94,16677,0.0000,1.0
2020-09-08,3.75,3.925,3.7244,3.86,3.86,14472,0.0000,1.0
2020-09-04,3.81,3.9098,3.67,3.85,3.85,29194,0.0000,1.0
2020-09-03,3.91,4.07,3.81,3.88,3.88,49950,0.0000,1.0
2020-09-02,3.83,4.05,3.8,3.99,3.99,58904,0.0000,1.0
2020-09-01,4.3,4.3,3.67,3.86,3.86,212432,0.0000,1.0
2020-08-31,4.4,4.54,4.27,4.3,4.3,61399,0.0000,1.0
2020-08-28,4.3,4.3999,4.115,4.34,4.34,38109,0.0000,1.0
2020-08-27,4.33,4.4299,4.15,4.32,4.32,79896,0.0000,1.0
2020-08-26,4.63,4.7099,4.32,4.38,4.38,162181,0.0000,1.0
2020-08-25,4.91,4.91,4.495,4.6,4.6,90908,0.0000,1.0
2020-08-24,4.89,5.11,4.32,4.92,4.92,551537,0.0000,1.0
2020-08-21,3.93,5.54,3.93,5.16,5.16,6154285,0.0000,1.0
2020-08-20,4.22,4.23,3.945,3.96,3.96,83458,0.0000,1.0
2020-08-19,4.435,4.48,4.2058,4.24,4.24,38431,0.0000,1.0
2020-08-18,4.75,4.7806,4.28,4.37,4.37,102967,0.0000,1.0
2020-08-17,4.98,4.98,4.7,4.75,4.75,65800,0.0000,1.0
2020-08-14,5.6,5.6,4.925,4.95,4.95,166371,0.0000,1.0
2020-08-13,5.1017,5.56,4.81,5.5,5.5,281885,0.0000,1.0
2020-08-12,4.87,4.89,4.7,4.74,4.74,37553,0.0000,1.0
2020-08-11,4.94,4.99,4.8,4.81,4.81,52128,0.0000,1.0
2020-08-10,4.94,4.9849,4.85,4.97,4.97,30399,0.0000,1.0
2020-08-07,5.02,5.11,4.92,4.965,4.965,29288,0.0000,1.0
2020-08-06,5.0,5.08,4.96,5.08,5.08,21000,0.0000,1.0
2020-08-05,5.09,5.1362,4.9928,5.05,5.05,20935,0.0000,1.0
2020-08-04,5.06,5.1,4.98,5.035,5.035,30891,0.0000,1.0
2020-08-03,5.05,5.17,5.05,5.0671,5.0671,24427,0.0000,1.0
2020-07-31,5.165,5.165,5.05,5.07,5.07,21653,0.0000,1.0
2020-07-30,5.14,5.22,5.0701,5.19,5.19,28757,0.0000,1.0
2020-07-29,5.22,5.3,5.15,5.24,5.24,35872,0.0000,1.0
2020-07-28,5.23,5.4,5.21,5.29,5.29,11449,0.0000,1.0
2020-07-27,5.0749,5.29,5.05,5.29,5.29,23729,0.0000,1.0
2020-07-24,5.4,5.4,5.03,5.04,5.04,46697,0.0000,1.0
2020-07-23,5.5,5.55,5.3039,5.4,5.4,40148,0.0000,1.0
2020-07-22,5.36,5.5292,5.36,5.45,5.45,39097,0.0000,1.0
2020-07-21,5.52,5.52,5.27,5.37,5.37,59190,0.0000,1.0
2020-07-20,5.55,5.55,5.36,5.37,5.37,71305,0.0000,1.0
2020-07-17,5.16,5.64,5.09,5.49,5.49,177754,0.0000,1.0
2020-07-16,4.96,5.2,4.96,5.16,5.16,29936,0.0000,1.0
2020-07-15,5.06,5.23,4.92,5.04,5.04,57613,0.0000,1.0
2020-07-14,4.94,4.96,4.8,4.94,4.94,64199,0.0000,1.0
2020-07-13,5.1,5.1,4.95,4.97,4.97,46478,0.0000,1.0
2020-07-10,5.09,5.21,5.03,5.08,5.08,22225,0.0000,1.0
2020-07-09,5.19,5.2,5.0,5.2,5.2,58220,0.0000,1.0
2020-07-08,5.13,5.31,5.02,5.13,5.13,37405,0.0000,1.0
2020-07-07,5.15,5.25,5.08,5.15,5.15,27657,0.0000,1.0
2020-07-06,5.1,5.21,5.03,5.15,5.15,31239,0.0000,1.0
2020-07-02,5.11,5.28,5.02,5.07,5.07,55526,0.0000,1.0
2020-07-01,5.01,5.55,5.01,5.11,5.11,135765,0.0000,1.0
2020-06-30,5.1,5.12,5.01,5.05,5.05,36437,0.0000,1.0
2020-06-29,5.07,5.21,5.01,5.12,5.12,27384,0.0000,1.0
2020-06-26,5.19,5.2,5.01,5.01,5.01,56538,0.0000,1.0
2020-06-25,5.1,5.3,5.076,5.18,5.18,59091,0.0000,1.0
2020-06-24,5.11,5.28,5.0126,5.11,5.11,31552,0.0000,1.0
2020-06-23,5.15,5.34,5.04,5.04,5.04,52142,0.0000,1.0
2020-06-22,5.2,5.48,5.07,5.07,5.07,65916,0.0000,1.0
2020-06-19,5.04,5.34,5.03,5.19,5.19,77333,0.0000,1.0
2020-06-18,5.01,5.19,4.97,4.98,4.98,48689,0.0000,1.0
2020-06-17,5.21,5.275,5.02,5.02,5.02,33488,0.0000,1.0
2020-06-16,5.45,5.4506,5.01,5.21,5.21,37139,0.0000,1.0
2020-06-15,5.08,5.36,5.08,5.24,5.24,31419,0.0000,1.0
2020-06-12,5.2,5.37,5.01,5.205,5.205,45910,0.0000,1.0
2020-06-11,5.26,5.5214,5.07,5.07,5.07,74220,0.0000,1.0
2020-06-10,5.77,5.79,5.4,5.58,5.58,54324,0.0000,1.0
2020-06-09,5.42,6.06,5.24,5.68,5.68,355437,0.0000,1.0
2020-06-08,5.44,5.66,5.27,5.38,5.38,93279,0.0000,1.0
2020-06-05,5.49,5.6,5.21,5.31,5.31,39919,0.0000,1.0
2020-06-04,5.42,5.79,4.8701,5.49,5.49,87043,0.0000,1.0
2020-06-03,5.64,5.69,5.4775,5.5,5.5,47009,0.0000,1.0
2020-06-02,5.32,5.65,5.17,5.65,5.65,73318,0.0000,1.0
