timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,46.3,48.13,46.3,47.95,47.95,398679,0.0000,1.0
2020-12-10,45.88,47.0,45.84,46.75,46.75,240964,0.0000,1.0
2020-12-09,45.9,46.43,45.57,46.19,46.19,290787,0.0000,1.0
2020-12-08,45.02,45.91,44.86,45.76,45.76,325649,0.0000,1.0
2020-12-07,46.13,46.174,45.4,45.53,45.53,146395,0.0000,1.0
2020-12-04,44.8,46.15,44.74,46.01,46.01,180583,0.0000,1.0
2020-12-03,44.49,45.06,44.04,44.71,44.71,138025,0.0000,1.0
2020-12-02,44.87,45.135,44.065,44.42,44.42,185999,0.0000,1.0
2020-12-01,44.74,45.16,44.13,44.87,44.87,244935,0.0000,1.0
2020-11-30,44.75,44.75,43.37,44.18,44.18,303311,0.0000,1.0
2020-11-27,45.54,45.99,44.54,45.23,45.23,99851,0.0000,1.0
2020-11-25,46.49,46.49,44.62,45.6,45.6,228553,0.0000,1.0
2020-11-24,46.03,46.79,45.55,46.69,46.69,334503,0.0000,1.0
2020-11-23,46.51,46.88,45.1,45.47,45.47,333997,0.0000,1.0
2020-11-20,45.24,46.21,44.61,46.17,46.17,312026,0.0000,1.0
2020-11-19,47.57,47.78,44.74,45.4,45.4,310194,0.0000,1.0
2020-11-18,47.45,47.45,46.24,46.62,46.62,358431,0.0000,1.0
2020-11-17,45.79,47.57,45.38,47.42,47.42,403252,0.0000,1.0
2020-11-16,45.21,46.4,44.955,46.33,46.33,358040,0.0000,1.0
2020-11-13,42.91,44.38,42.755,44.14,44.14,181492,0.0000,1.0
2020-11-12,42.76,42.76,41.71,42.45,42.45,205650,0.0000,1.0
2020-11-11,43.2,43.25,41.645,43.22,43.22,191942,0.0000,1.0
2020-11-10,42.53,43.27,42.085,43.06,43.06,252289,0.0000,1.0
2020-11-09,42.87,44.68,42.2,42.23,42.23,244091,0.0000,1.0
2020-11-06,40.49,40.49,39.56,39.89,39.89,137637,0.0000,1.0
2020-11-05,40.03,40.75,39.915,40.23,40.23,158470,0.0000,1.0
2020-11-04,38.91,40.23,38.65,39.74,39.74,205642,0.0000,1.0
2020-11-03,39.05,39.8,39.02,39.69,39.69,253398,0.0000,1.0
2020-11-02,38.3,39.155,38.08,38.39,38.39,208840,0.0000,1.0
2020-10-30,38.15,38.54,37.47,37.72,37.72,460060,0.0000,1.0
2020-10-29,38.04,38.63,37.55,38.24,38.24,229490,0.0000,1.0
2020-10-28,39.1,39.45,38.25,38.37,38.37,190243,0.0000,1.0
2020-10-27,41.06,41.285,39.8,39.8,39.8,298893,0.0000,1.0
2020-10-26,41.43,41.595,40.79,41.27,41.27,225478,0.0000,1.0
2020-10-23,41.72,42.21,41.49,41.88,41.88,197946,0.0000,1.0
2020-10-22,40.42,41.545,40.42,41.35,41.35,197775,0.0000,1.0
2020-10-21,40.28,40.7825,40.19,40.49,40.49,136448,0.0000,1.0
2020-10-20,40.61,40.9,40.11,40.41,40.41,233703,0.0000,1.0
2020-10-19,42.02,42.09,40.29,40.35,40.35,171505,0.0000,1.0
