timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.51,14.88,14.26,14.74,14.74,26524,0.0000,1.0
2020-12-10,14.67,14.76,14.5,14.65,14.65,17059,0.0000,1.0
2020-12-09,14.96,15.03,14.51,14.64,14.64,23957,0.0000,1.0
2020-12-08,14.74,15.2224,14.55,14.84,14.84,32291,0.0000,1.0
2020-12-07,14.55,14.85,14.2,14.74,14.74,57671,0.0000,1.0
2020-12-04,13.97,14.55,13.9468,14.51,14.51,28366,0.0000,1.0
2020-12-03,13.51,14.0,13.51,13.83,13.83,29319,0.0000,1.0
2020-12-02,13.22,13.59,13.16,13.54,13.54,28149,0.0000,1.0
2020-12-01,13.23,13.62,13.12,13.15,13.15,33064,0.0000,1.0
2020-11-30,13.57,13.59,13.03,13.06,13.06,46646,0.0000,1.0
2020-11-27,13.34,13.65,13.02,13.57,13.57,16664,0.0000,1.0
2020-11-25,13.45,13.555,13.04,13.21,13.21,38305,0.0000,1.0
2020-11-24,13.49,13.94,13.45,13.59,13.59,41667,0.0000,1.0
2020-11-23,13.2,13.78,13.2,13.37,13.37,29056,0.0000,1.0
2020-11-20,13.19,13.4,12.9722,13.27,13.27,29314,0.0000,1.0
2020-11-19,13.25,13.44,13.15,13.38,13.38,30302,0.0000,1.0
2020-11-18,13.96,13.96,13.25,13.27,13.27,24904,0.0000,1.0
2020-11-17,13.91,14.0,13.4801,13.8,13.8,31093,0.0000,1.0
2020-11-16,13.56,14.26,13.39,13.96,13.96,68414,0.0000,1.0
2020-11-13,12.99,13.465,12.92,13.2,13.2,32622,0.0000,1.0
2020-11-12,13.59,13.9,12.78,12.97,12.97,58412,0.0000,1.0
2020-11-11,14.29,14.29,13.19,13.54,13.54,56044,0.0000,1.0
2020-11-10,13.02,14.5723,13.02,14.2,14.2,76810,0.0000,1.0
2020-11-09,12.66,13.695,12.66,13.07,13.07,81567,0.0000,1.0
2020-11-06,12.67,12.8484,12.3,12.49,12.49,36506,0.0000,1.0
2020-11-05,12.33,13.0,12.33,12.7,12.7,34736,0.0000,1.0
2020-11-04,12.69,12.69,12.11,12.31,12.31,38284,0.0000,1.0
2020-11-03,12.39,13.07,12.31,12.87,12.87,51563,0.0000,1.0
2020-11-02,12.5,12.5,12.19,12.25,12.25,20189,0.0000,1.0
2020-10-30,12.1,12.5,12.07,12.45,12.45,27314,0.0000,1.0
2020-10-29,12.07,12.3,11.9,12.09,12.09,48763,0.0000,1.0
2020-10-28,12.44,12.565,12.13,12.22,12.22,72775,0.0000,1.0
2020-10-27,12.55,12.95,12.35,12.38,12.38,41781,0.0000,1.0
2020-10-26,12.74,12.7904,12.45,12.66,12.66,44410,0.0000,1.0
2020-10-23,12.4999,13.0,12.37,12.82,12.82,37596,0.0000,1.0
2020-10-22,12.33,12.435,12.21,12.36,12.36,20129,0.0000,1.0
2020-10-21,12.12,12.22,11.87,12.19,12.19,22556,0.0000,1.0
2020-10-20,12.02,12.3,11.91,12.12,12.12,21572,0.0000,1.0
2020-10-19,12.44,12.44,11.92,12.01,12.01,29558,0.0000,1.0
2020-10-16,12.29,12.69,12.25,12.28,12.28,40978,0.0000,1.0
2020-10-15,12.25,12.72,12.25,12.35,12.35,27777,0.0000,1.0
2020-10-14,12.57,12.9,12.3,12.37,12.37,31736,0.0000,1.0
2020-10-13,12.81,13.0068,12.6,12.66,12.66,23277,0.0000,1.0
2020-10-12,13.04,13.04,12.75,12.81,12.81,30566,0.0000,1.0
2020-10-09,12.89,12.96,12.795,12.82,12.82,21630,0.0000,1.0
2020-10-08,12.8,13.1782,12.8,12.84,12.84,47281,0.0000,1.0
2020-10-07,12.49,12.72,12.28,12.64,12.64,25337,0.0000,1.0
2020-10-06,12.31,12.99,12.17,12.4,12.4,35597,0.0000,1.0
2020-10-05,12.39,12.629,12.07,12.23,12.23,48902,0.0000,1.0
2020-10-02,12.08,12.43,12.08,12.3,12.3,22397,0.0000,1.0
2020-10-01,11.81,12.29,11.755,12.26,12.26,35157,0.0000,1.0
2020-09-30,11.89,12.105,11.58,11.78,11.78,23570,0.0000,1.0
2020-09-29,12.07,12.07,11.71,11.89,11.89,19158,0.0000,1.0
2020-09-28,11.82,12.22,11.82,12.07,12.07,24847,0.0000,1.0
2020-09-25,11.18,11.65,11.18,11.6,11.6,34571,0.0000,1.0
2020-09-24,11.25,11.5903,11.05,11.38,11.38,92790,0.2200,1.0
2020-09-23,12.2,12.329,11.395,11.49,11.2720862069,94696,0.0000,1.0
2020-09-22,12.21,12.33,11.87,12.15,11.9195689655,60380,0.0000,1.0
2020-09-21,12.49,12.58,12.05,12.15,11.9195689655,65883,0.0000,1.0
2020-09-18,12.97,12.975,12.52,12.56,12.3217931034,79573,0.0000,1.0
2020-09-17,12.81,12.95,12.615,12.84,12.5964827586,30822,0.0000,1.0
2020-09-16,12.68,13.16,12.58,12.94,12.6945862069,48383,0.0000,1.0
2020-09-15,12.48,12.9431,12.48,12.61,12.3708448276,46359,0.0000,1.0
2020-09-14,12.88,13.0737,12.25,12.41,12.174637931,71724,0.0000,1.0
2020-09-11,12.91,12.99,12.42,12.64,12.4002758621,58885,0.0000,1.0
2020-09-10,13.14,13.4,12.79,12.83,12.5866724138,55386,0.0000,1.0
2020-09-09,13.0,13.33,12.938,13.13,12.8809827586,30935,0.0000,1.0
2020-09-08,12.93,13.055,12.58,12.87,12.6259137931,42520,0.0000,1.0
2020-09-04,13.42,13.483,12.91,13.12,12.8711724138,58548,0.0000,1.0
