timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,8.61,8.81,8.49,8.74,8.74,1747615,0.0000,1.0
2020-12-10,8.39,8.73,8.38,8.73,8.73,870440,0.0000,1.0
2020-12-09,8.38,8.43,8.17,8.25,8.25,1064800,0.0000,1.0
2020-12-08,8.43,8.54,8.33,8.36,8.36,1240676,0.0000,1.0
2020-12-07,8.4,8.58,8.31,8.36,8.36,2124241,0.0000,1.0
2020-12-04,7.96,8.16,7.93,8.12,8.12,1425578,0.0000,1.0
2020-12-03,8.22,8.41,7.97,8.02,8.02,2269787,0.0000,1.0
2020-12-02,7.94,8.08,7.91,8.05,8.05,1146793,0.0000,1.0
2020-12-01,7.65,8.13,7.65,7.94,7.94,1745369,0.0000,1.0
2020-11-30,7.43,7.53,7.21,7.28,7.28,1508755,0.0000,1.0
2020-11-27,7.56,7.69,7.525,7.54,7.54,624640,0.0000,1.0
2020-11-25,7.39,7.655,7.38,7.53,7.53,1513931,0.0000,1.0
2020-11-24,7.37,7.52,7.315,7.47,7.47,803276,0.0000,1.0
2020-11-23,7.11,7.13,6.99,7.11,7.11,725482,0.0000,1.0
2020-11-20,7.14,7.17,6.98,7.0,7.0,763946,0.0000,1.0
2020-11-19,7.24,7.385,7.16,7.33,7.33,1300522,0.0000,1.0
2020-11-18,7.26,7.37,7.135,7.18,7.18,1607385,0.0000,1.0
2020-11-17,6.95,7.3,6.935,7.29,7.29,2094926,0.0000,1.0
2020-11-16,6.79,7.0,6.77,7.0,7.0,1195200,0.0000,1.0
2020-11-13,6.36,6.55,6.36,6.54,6.54,769249,0.0000,1.0
2020-11-12,6.53,6.56,6.33,6.41,6.41,1111211,0.0000,1.0
2020-11-11,6.69,6.78,6.6,6.63,6.63,876975,0.0000,1.0
2020-11-10,6.44,6.82,6.395,6.8,6.8,4355722,0.0000,1.0
2020-11-09,6.38,6.44,6.22,6.34,6.34,2100924,0.0000,1.0
2020-11-06,5.79,5.92,5.7,5.92,5.92,1167147,0.0000,1.0
2020-11-05,5.69,5.84,5.63,5.84,5.84,1383914,0.0476,1.0
2020-11-04,5.55,5.65,5.52,5.6,5.55476952819,1545632,0.0000,1.0
2020-11-03,5.71,5.725,5.56,5.62,5.57460799079,1424668,0.0000,1.0
2020-11-02,5.64,5.71,5.535,5.56,5.51509260299,1408339,0.0000,1.0
2020-10-30,5.66,5.69,5.465,5.54,5.49525414039,3372665,0.0000,1.0
2020-10-29,5.43,5.745,5.345,5.73,5.68371953509,1528236,0.0000,1.0
2020-10-28,5.62,5.7,5.5,5.52,5.47541567779,1003183,0.0000,1.0
2020-10-27,6.1,6.1099,5.77,5.79,5.7432349229,1000546,0.0000,1.0
2020-10-26,6.02,6.18,5.965,6.1,6.05073109321,1168788,0.0000,1.0
2020-10-23,6.11,6.12,5.93,5.96,5.911861855,756894,0.0000,1.0
2020-10-22,5.72,5.96,5.715,5.93,5.8821041611,927224,0.0000,1.0
2020-10-21,5.58,5.795,5.56,5.67,5.62420414729,876343,0.0000,1.0
2020-10-20,5.67,5.73,5.62,5.64,5.59444645339,748622,0.0000,1.0
2020-10-19,5.47,5.66,5.43,5.51,5.46549644649,850005,0.0000,1.0
2020-10-16,5.57,5.59,5.41,5.42,5.37622336478,1179560,0.0000,1.0
2020-10-15,5.57,5.725,5.5525,5.58,5.53493106559,970059,0.0000,1.0
2020-10-14,5.74,5.845,5.62,5.64,5.59444645339,1130210,0.0000,1.0
2020-10-13,5.56,5.69,5.465,5.66,5.61428491599,1794228,0.0000,1.0
2020-10-12,5.63,5.68,5.57,5.68,5.63412337859,359697,0.0000,1.0
2020-10-09,5.48,5.79,5.41,5.64,5.59444645339,1467240,0.0000,1.0
2020-10-08,5.05,5.495,5.05,5.47,5.42581952128,1098112,0.0000,1.0
2020-10-07,5.15,5.15,5.02,5.04,4.99929257537,610207,0.0000,1.0
2020-10-06,5.15,5.255,5.025,5.08,5.03896950057,816805,0.0000,1.0
2020-10-05,4.99,5.11,4.93,5.07,5.02905026927,740698,0.0000,1.0
2020-10-02,4.89,5.12,4.89,5.01,4.96953488147,1098450,0.0000,1.0
2020-10-01,4.91,4.92,4.795,4.91,4.87034256847,642610,0.0000,1.0
2020-09-30,4.77,4.95,4.77,4.94,4.90010026237,1100284,0.0000,1.0
2020-09-29,4.89,4.97,4.77,4.77,4.73147333026,776507,0.0000,1.0
2020-09-28,5.21,5.25,4.855,4.92,4.88026179977,1483596,0.0000,1.0
2020-09-25,4.86,4.9,4.78,4.9,4.86042333717,478198,0.0000,1.0
2020-09-24,4.83,5.02,4.76,4.96,4.91993872497,562097,0.0000,1.0
