timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,28.0,28.19,27.81,28.1,28.1,465470,0.0000,1.0
2020-12-10,28.0,28.26,27.72,28.2,28.2,532516,0.0000,1.0
2020-12-09,28.6,28.7,27.82,28.19,28.19,724343,0.0000,1.0
2020-12-08,27.84,28.63,27.82,28.41,28.41,705552,0.0000,1.0
2020-12-07,28.59,28.6,27.82,28.06,28.06,795674,0.0000,1.0
2020-12-04,27.97,28.6,27.85,28.6,28.6,1422786,0.0000,1.0
2020-12-03,28.0,28.24,27.45,27.72,27.72,1202419,0.0000,1.0
2020-12-02,27.17,28.17,27.09,27.9,27.9,1846805,0.0000,1.0
2020-12-01,26.31,26.97,26.06,26.87,26.87,970936,0.0000,1.0
2020-11-30,26.67,26.85,25.77,25.98,25.98,1539253,0.0000,1.0
2020-11-27,27.21,27.45,26.68,26.83,26.83,358571,0.0000,1.0
2020-11-25,27.8,27.8,27.07,27.16,27.16,870330,0.0000,1.0
2020-11-24,26.97,28.155,26.77,27.88,27.88,1676520,0.0000,1.0
2020-11-23,25.99,26.52,25.81,26.21,26.21,965518,0.0000,1.0
2020-11-20,25.63,25.89,25.29,25.73,25.73,581701,0.0000,1.0
2020-11-19,25.5,25.73,25.12,25.72,25.72,504566,0.0000,1.0
2020-11-18,25.92,26.44,25.61,25.61,25.61,711807,0.0000,1.0
2020-11-17,25.77,26.0,25.34,25.74,25.74,799169,0.0000,1.0
2020-11-16,25.91,26.33,25.595,25.98,25.98,1279922,0.0000,1.0
2020-11-13,24.69,25.41,24.54,25.21,25.21,652192,0.0000,1.0
2020-11-12,25.03,25.3,24.38,24.54,24.54,1156101,0.0000,1.0
2020-11-11,26.06,26.0799,25.0611,25.39,25.39,884044,0.0000,1.0
2020-11-10,24.87,26.06,24.66,26.05,26.05,1880638,0.0000,1.0
2020-11-09,23.97,25.59,23.73,24.64,24.64,3777981,0.0000,1.0
2020-11-06,22.62,22.62,21.71,21.8,21.8,687283,0.0000,1.0
2020-11-05,22.52,22.87,22.1,22.46,22.46,858703,0.0000,1.0
2020-11-04,22.42,22.66,21.745,22.27,22.27,727905,0.0000,1.0
2020-11-03,22.55,22.755,22.35,22.69,22.69,837944,0.0000,1.0
2020-11-02,21.92,22.38,21.87,22.21,22.21,776527,0.0000,1.0
2020-10-30,22.08,22.45,21.52,21.7,21.7,768472,0.0000,1.0
2020-10-29,21.25,22.27,21.04,22.04,22.04,1487899,0.0000,1.0
2020-10-28,21.46,21.69,20.7,21.03,21.03,1332619,0.0000,1.0
2020-10-27,21.76,22.16,21.66,21.77,21.77,699432,0.0000,1.0
2020-10-26,22.25,22.25,21.45,21.68,21.68,1237444,0.0000,1.0
2020-10-23,22.27,22.52,22.135,22.44,22.44,687629,0.0000,1.0
2020-10-22,22.04,22.37,22.039,22.09,22.09,736534,0.0000,1.0
2020-10-21,22.23,22.39,21.92,22.14,22.14,1044904,0.0000,1.0
2020-10-20,22.79,23.03,22.135,22.31,22.31,952158,0.0000,1.0
2020-10-19,23.17,23.17,22.48,22.55,22.55,1035786,0.0000,1.0
2020-10-16,23.04,23.27,22.61,23.04,23.04,849235,0.0000,1.0
2020-10-15,23.01,23.17,22.8,23.12,23.12,733519,0.0000,1.0
2020-10-14,23.1,23.62,23.01,23.01,23.01,692215,0.0000,1.0
2020-10-13,23.42,23.5,23.05,23.17,23.17,800735,0.0000,1.0
2020-10-12,23.34,23.64,23.14,23.5,23.5,936577,0.0000,1.0
2020-10-09,24.2,24.38,23.0,23.36,23.36,1275825,0.0000,1.0
2020-10-08,22.92,24.23,22.85,24.21,24.21,1834302,0.0000,1.0
2020-10-07,22.95,23.15,22.49,22.72,22.72,897045,0.0000,1.0
2020-10-06,23.0,23.48,22.78,22.83,22.83,1121403,0.0000,1.0
2020-10-05,22.85,23.0,22.59,22.94,22.94,765042,0.0000,1.0
2020-10-02,21.84,22.74,21.82,22.56,22.56,1031139,0.0000,1.0
2020-10-01,22.04,22.39,21.74,22.37,22.37,927525,0.0000,1.0
2020-09-30,22.2,22.535,21.85,21.97,21.97,922449,0.0000,1.0
2020-09-29,22.45,22.57,21.665,22.18,22.18,1142932,0.6200,1.0
2020-09-28,22.78,23.47,22.705,23.17,22.5399385965,1115251,0.0000,1.0
2020-09-25,21.5,22.44,21.46,22.3,21.6935964912,831374,0.0000,1.0
2020-09-24,21.81,22.15,21.19,21.59,21.0029035088,1490296,0.0000,1.0
2020-09-23,22.56,22.74,21.69,21.69,21.1001842105,1193464,0.0000,1.0
2020-09-22,22.6,23.07,22.35,22.55,21.9367982456,894895,0.0000,1.0
2020-09-21,23.1,23.14,22.475,22.5,21.8881578947,1406919,0.0000,1.0
2020-09-18,23.72,23.92,23.31,23.5,22.8609649123,1800683,0.0000,1.0
2020-09-17,23.46,23.88,23.0,23.65,23.0068859649,964044,0.0000,1.0
2020-09-16,23.62,23.83,23.35,23.68,23.0360701754,1397342,0.0000,1.0
2020-09-15,23.61,23.91,23.315,23.36,22.7247719298,871565,0.0000,1.0
2020-09-14,22.97,23.65,22.87,23.59,22.9485175439,1274297,0.0000,1.0
2020-09-11,23.88,23.88,22.37,22.89,22.2675526316,2183757,0.0000,1.0
2020-09-10,24.29,24.29,23.88,23.9,23.2500877193,833357,0.0000,1.0
2020-09-09,23.93,24.21,23.77,24.05,23.3960087719,795235,0.0000,1.0
2020-09-08,24.14,24.47,23.89,23.89,23.2403596491,814962,0.0000,1.0
2020-09-04,24.63,24.795,23.89,24.28,23.619754386,768403,0.0000,1.0
2020-09-03,24.8,24.91,24.0,24.31,23.6489385965,961804,0.0000,1.0
2020-09-02,24.51,24.74,24.22,24.72,24.0477894737,1270911,0.0000,1.0
2020-09-01,24.0,24.87,23.93,24.31,23.6489385965,1517220,0.0000,1.0
2020-08-31,24.0,24.19,23.635,23.77,23.123622807,1528585,0.0000,1.0
2020-08-28,24.04,24.1,23.76,24.09,23.4349210526,477754,0.0000,1.0
2020-08-27,23.41,24.07,23.3201,23.8,23.1528070175,694881,0.0000,1.0
2020-08-26,23.67,23.72,23.3,23.51,22.8706929825,712483,0.0000,1.0
2020-08-25,24.32,24.37,23.51,23.78,23.1333508772,540421,0.0000,1.0
2020-08-24,23.52,24.11,23.28,24.06,23.4057368421,554139,0.0000,1.0
2020-08-21,23.05,23.56,23.02,23.41,22.7734122807,860853,0.0000,1.0
