timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,12.62,12.775,12.6045,12.74,12.74,254307,0.0000,1.0
2020-12-10,12.71,12.84,12.59,12.6,12.6,208054,0.0000,1.0
2020-12-09,12.76,12.8183,12.7,12.71,12.71,292325,0.0000,1.0
2020-12-08,12.63,12.75,12.63,12.7,12.7,153098,0.0000,1.0
2020-12-07,12.72,12.73,12.64,12.72,12.72,165408,0.0000,1.0
2020-12-04,12.63,12.72,12.59,12.72,12.72,215392,0.0000,1.0
2020-12-03,12.6,12.65,12.54,12.59,12.59,242439,0.0000,1.0
2020-12-02,12.57,12.61,12.51,12.55,12.55,185653,0.0000,1.0
2020-12-01,12.49,12.62,12.44,12.59,12.59,251415,0.0000,1.0
2020-11-30,12.45,12.46,12.32,12.45,12.45,326866,0.0000,1.0
2020-11-27,12.48,12.48,12.39,12.44,12.44,90573,0.0000,1.0
2020-11-25,12.39,12.41,12.33,12.39,12.39,213574,0.0000,1.0
2020-11-24,12.4,12.46,12.36,12.41,12.41,272904,0.0000,1.0
2020-11-23,12.38,12.3899,12.3,12.34,12.34,266103,0.0000,1.0
2020-11-20,12.25,12.33,12.25,12.29,12.29,431261,0.0000,1.0
2020-11-19,12.15,12.3,12.149,12.29,12.29,266488,0.0000,1.0
2020-11-18,12.22,12.24,12.16,12.2,12.2,238197,0.0000,1.0
2020-11-17,12.08,12.19,12.0467,12.17,12.17,282217,0.0000,1.0
2020-11-16,11.95,12.18,11.9385,12.12,12.12,397309,0.0000,1.0
2020-11-13,11.82,11.91,11.805,11.91,11.91,236815,0.0000,1.0
2020-11-12,11.85,11.86,11.74,11.82,11.82,298027,0.0000,1.0
2020-11-11,11.79,11.87,11.7763,11.87,11.87,252293,0.0000,1.0
2020-11-10,11.78,11.8,11.68,11.77,11.77,433157,0.0000,1.0
2020-11-09,11.97,12.0,11.83,11.85,11.85,508804,0.0000,1.0
2020-11-06,11.72,11.7385,11.59,11.65,11.65,222426,0.0000,1.0
2020-11-05,11.61,11.7199,11.58,11.7,11.7,181183,0.0000,1.0
2020-11-04,11.15,11.49,11.15,11.46,11.46,414315,0.0000,1.0
2020-11-03,10.98,11.16,10.98,11.12,11.12,353319,0.0000,1.0
2020-11-02,10.92,11.02,10.891,10.93,10.93,250503,0.0000,1.0
2020-10-30,10.94,11.015,10.8,10.88,10.88,340119,0.0000,1.0
2020-10-29,10.94,11.06,10.904,10.99,10.99,193181,0.0000,1.0
2020-10-28,11.02,11.17,10.93,10.95,10.95,416594,0.0000,1.0
2020-10-27,11.23,11.26,11.18,11.19,11.19,270837,0.0000,1.0
2020-10-26,11.3,11.35,11.211,11.29,11.29,436561,0.0000,1.0
2020-10-23,11.44,11.5126,11.34,11.39,11.39,353686,0.0000,1.0
2020-10-22,11.46,11.49,11.41,11.44,11.44,292853,0.0000,1.0
2020-10-21,11.36,11.465,11.36,11.44,11.44,270482,0.0000,1.0
2020-10-20,11.35,11.49,11.35,11.37,11.37,386022,0.0000,1.0
2020-10-19,11.49,11.5899,11.34,11.36,11.36,286030,0.0000,1.0
2020-10-16,11.57,11.6389,11.5,11.5,11.5,226585,0.0000,1.0
2020-10-15,11.52,11.6,11.5,11.56,11.56,142431,0.0000,1.0
2020-10-14,11.7,11.73,11.5661,11.62,11.62,198688,0.0000,1.0
2020-10-13,11.83,11.83,11.6,11.64,11.64,302242,0.0000,1.0
2020-10-12,11.69,11.82,11.68,11.82,11.82,304996,0.0000,1.0
2020-10-09,11.65,11.7,11.593,11.67,11.67,298133,0.0000,1.0
2020-10-08,11.5,11.62,11.4941,11.62,11.62,310729,0.0000,1.0
2020-10-07,11.38,11.48,11.38,11.48,11.48,268382,0.0000,1.0
2020-10-06,11.42,11.48,11.315,11.33,11.33,357341,0.0000,1.0
2020-10-05,11.37,11.42,11.33,11.42,11.42,327798,0.0000,1.0
2020-10-02,11.26,11.32,11.25,11.32,11.32,194844,0.0000,1.0
2020-10-01,11.39,11.42,11.31,11.37,11.37,409156,0.0000,1.0
2020-09-30,11.18,11.32,11.161,11.28,11.28,357339,0.0000,1.0
2020-09-29,11.16,11.2,11.12,11.18,11.18,265927,0.0000,1.0
2020-09-28,11.18,11.21,11.14,11.16,11.16,233555,0.0000,1.0
2020-09-25,10.91,11.09,10.9,11.07,11.07,255815,0.0000,1.0
2020-09-24,10.92,11.03,10.88,10.95,10.95,346956,0.0000,1.0
2020-09-23,11.26,11.26,11.0,11.0,11.0,266339,0.0000,1.0
2020-09-22,11.19,11.2,11.1,11.2,11.2,210657,0.0000,1.0
2020-09-21,11.06,11.16,10.98,11.16,11.16,278374,0.0000,1.0
2020-09-18,11.33,11.33,11.11,11.19,11.19,155135,0.0000,1.0
2020-09-17,11.25,11.28,11.17,11.28,11.28,384198,0.0000,1.0
2020-09-16,11.42,11.4358,11.35,11.36,11.36,297276,0.0000,1.0
2020-09-15,11.41,11.43,11.36,11.4,11.4,235765,0.0000,1.0
2020-09-14,11.32,11.43,11.19,11.35,11.35,306286,0.2150,1.0
2020-09-11,11.51,11.53,11.43,11.48,11.2665801989,248496,0.0000,1.0
2020-09-10,11.58,11.61,11.45,11.48,11.2665801989,262689,0.0000,1.0
2020-09-09,11.45,11.6,11.44,11.53,11.3156506701,268233,0.0000,1.0
2020-09-08,11.39,11.43,11.34,11.38,11.1684392564,350621,0.0000,1.0
2020-09-04,11.54,11.65,11.3101,11.52,11.3058365759,318344,0.0000,1.0
2020-09-03,12.01,12.01,11.52,11.56,11.3450929529,312205,0.0000,1.0
2020-09-02,11.94,12.04,11.91,12.03,11.8063553826,233904,0.0000,1.0
2020-09-01,11.89,11.95,11.88,11.95,11.7278426286,200043,0.0000,1.0
2020-08-31,11.83,11.897,11.83,11.89,11.6689580631,161570,0.0000,1.0
2020-08-28,11.88,11.8809,11.83,11.87,11.6493298746,189843,0.0000,1.0
2020-08-27,11.83,11.86,11.8025,11.86,11.6395157804,233093,0.0000,1.0
