timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,36.21,36.715,36.12,36.27,36.27,24482,0.0000,1.0
2020-12-10,36.59,36.73,36.355,36.59,36.59,17198,0.0000,1.0
2020-12-09,36.96,37.16,36.31,36.79,36.79,51338,0.0000,1.0
2020-12-08,36.12,36.56,35.975,36.54,36.54,33231,0.0000,1.0
2020-12-07,36.22,36.62,36.105,36.46,36.46,23374,0.0000,1.0
2020-12-04,36.01,36.7,35.58,36.66,36.66,48961,0.0000,1.0
2020-12-03,35.86,36.19,35.58,35.67,35.67,20460,0.0000,1.0
2020-12-02,35.2,36.26,34.97,35.8,35.8,32769,0.0000,1.0
2020-12-01,35.28,35.79,34.67,35.16,35.16,37870,0.0000,1.0
2020-11-30,35.62,35.81,34.33,34.35,34.35,43937,0.0000,1.0
2020-11-27,36.8,37.695,35.4,35.76,35.76,16508,0.0000,1.0
2020-11-25,37.39,37.44,36.4,36.81,36.81,23867,0.0000,1.0
2020-11-24,37.89,38.0,36.53,37.85,37.85,65417,0.0000,1.0
2020-11-23,36.83,36.83,35.91,36.11,36.11,23894,0.0000,1.0
2020-11-20,35.67,35.92,35.24,35.86,35.86,21392,0.0000,1.0
2020-11-19,35.72,36.17,35.41,36.08,36.08,22296,0.0000,1.0
2020-11-18,38.135,38.135,35.89,35.9,35.9,24775,0.0000,1.0
2020-11-17,35.97,36.96,35.79,36.76,36.76,28822,0.0000,1.0
2020-11-16,36.39,36.97,36.255,36.86,36.86,36214,0.0000,1.0
2020-11-13,35.15,35.73,35.03,35.4,35.4,22529,0.0000,1.0
2020-11-12,35.34,35.34,34.21,34.71,34.71,24938,0.0000,1.0
2020-11-11,37.24,37.24,35.3,35.92,35.92,26383,0.0000,1.0
2020-11-10,36.14,37.19,35.92,36.92,36.92,53866,0.0000,1.0
2020-11-09,34.26,37.38,33.1,35.49,35.49,93001,0.0000,1.0
2020-11-06,33.19,33.19,31.8342,31.88,31.88,54347,0.0000,1.0
2020-11-05,31.53,32.8399,31.53,32.8,32.8,32284,0.0000,1.0
2020-11-04,33.12,33.12,31.07,31.54,31.54,57475,0.0000,1.0
2020-11-03,33.2,33.79,33.1587,33.72,33.72,66631,0.0000,1.0
2020-11-02,32.31,32.78,32.31,32.72,32.72,32069,0.0000,1.0
2020-10-30,31.73,32.36,31.73,31.97,31.97,44283,0.0000,1.0
2020-10-29,31.06,31.91,30.7,31.83,31.83,33075,0.0000,1.0
2020-10-28,31.43,32.22,31.07,31.09,31.09,40766,0.0000,1.0
2020-10-27,33.93,33.94,31.83,31.96,31.96,33446,0.0000,1.0
2020-10-26,32.88,33.07,32.55,32.96,32.96,30502,0.0000,1.0
2020-10-23,33.69,33.88,33.01,33.46,33.46,23264,0.0000,1.0
2020-10-22,32.3,33.54,32.3,33.48,33.48,34203,0.0000,1.0
2020-10-21,31.87,32.4888,31.87,32.35,32.35,20234,0.0000,1.0
2020-10-20,31.94,32.43,31.74,32.05,32.05,19301,0.0000,1.0
2020-10-19,32.23,32.23,31.53,31.55,31.55,24729,0.0000,1.0
2020-10-16,31.75,32.21,31.5,32.04,32.04,25827,0.0000,1.0
2020-10-15,30.39,32.01,30.39,31.91,31.91,30294,0.0000,1.0
2020-10-14,31.56,31.895,30.91,30.99,30.99,22456,0.3300,1.0
2020-10-13,32.65,32.65,31.85,32.05,31.7123084291,34293,0.0000,1.0
2020-10-12,32.52,32.8,32.28,32.72,32.3752490421,54750,0.0000,1.0
2020-10-09,33.43,33.43,32.5,32.52,32.1773563218,37579,0.0000,1.0
2020-10-08,33.11,33.23,32.6,33.04,32.6918773946,33654,0.0000,1.0
2020-10-07,32.35,32.79,32.24,32.63,32.286197318,36587,0.0000,1.0
2020-10-06,32.49,33.02,31.03,31.89,31.5539942529,36977,0.0000,1.0
2020-10-05,31.36,32.05,31.36,32.02,31.6826245211,28808,0.0000,1.0
2020-10-02,29.94,31.1871,29.88,31.05,30.7228448276,27837,0.0000,1.0
2020-10-01,30.14,30.3,29.76,30.3,29.9807471264,39764,0.0000,1.0
