timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,23.9,24.15,23.6801,24.11,24.11,55801,0.0000,1.0
2020-12-10,23.88,24.12,23.88,24.12,24.12,57496,0.0000,1.0
2020-12-09,23.85,24.17,23.85,23.97,23.97,79269,0.0000,1.0
2020-12-08,23.83,24.0,23.7,23.85,23.85,37270,0.0000,1.0
2020-12-07,24.01,24.11,23.8897,24.0,24.0,73956,0.0000,1.0
2020-12-04,24.05,24.18,24.05,24.14,24.14,74121,0.0000,1.0
2020-12-03,23.88,24.0407,23.75,23.96,23.96,80690,0.0000,1.0
2020-12-02,23.74,23.95,23.67,23.92,23.92,55629,0.0000,1.0
2020-12-01,23.77,23.88,23.53,23.84,23.84,67477,0.0000,1.0
2020-11-30,23.16,23.75,23.027,23.42,23.42,104718,0.0000,1.0
2020-11-27,23.11,23.41,23.11,23.35,23.35,34789,0.0000,1.0
2020-11-25,23.39,23.39,22.85,22.96,22.96,50871,0.0000,1.0
2020-11-24,23.57,23.6,23.34,23.44,23.44,51110,0.0000,1.0
2020-11-23,23.35,23.65,23.35,23.58,23.58,50178,0.0000,1.0
2020-11-20,23.21,23.39,23.13,23.35,23.35,29923,0.0000,1.0
2020-11-19,23.01,23.25,22.965,23.25,23.25,18123,0.0000,1.0
2020-11-18,23.04,23.26,23.04,23.22,23.22,20567,0.0000,1.0
2020-11-17,23.1,23.15,22.7,23.06,23.06,64222,0.0000,1.0
2020-11-16,23.05,23.19,22.91,23.15,23.15,55545,0.0000,1.0
2020-11-13,22.95,22.95,22.75,22.89,22.89,71470,0.0000,1.0
2020-11-12,23.12,23.2099,23.0,23.0,23.0,67180,0.0000,1.0
2020-11-11,23.21,23.23,23.0,23.22,23.22,59063,0.0000,1.0
2020-11-10,23.04,23.15,22.65,23.15,23.15,75741,0.0000,1.0
2020-11-09,23.39,23.5,23.0727,23.12,23.12,54773,0.0000,1.0
2020-11-06,23.14,23.145,23.04,23.06,23.06,105177,0.0000,1.0
2020-11-05,22.91,23.22,22.91,23.17,23.17,78398,0.0000,1.0
2020-11-04,22.28,22.765,22.28,22.73,22.73,72669,0.0000,1.0
2020-11-03,22.08,22.22,22.04,22.18,22.18,47421,0.0000,1.0
2020-11-02,22.14,22.24,21.9,21.97,21.97,59727,0.0000,1.0
2020-10-30,22.0,22.0,21.9,21.93,21.93,55835,0.0000,1.0
2020-10-29,21.85,22.34,21.825,22.19,22.19,62983,0.0000,1.0
2020-10-28,21.98,21.98,21.7,21.7,21.7,43724,0.0000,1.0
2020-10-27,21.95,22.07,21.95,22.07,22.07,47009,0.0000,1.0
2020-10-26,22.11,22.15,22.04,22.06,22.06,58818,0.0000,1.0
2020-10-23,22.19,22.37,22.16,22.35,22.35,121125,0.0000,1.0
2020-10-22,22.21,22.31,22.149,22.31,22.31,47342,0.0000,1.0
2020-10-21,22.14,22.2,22.09,22.1,22.1,58769,0.0000,1.0
2020-10-20,21.9,22.08,21.9,22.0,22.0,53312,0.0000,1.0
2020-10-19,21.85,22.05,21.77,21.91,21.91,217992,0.0000,1.0
2020-10-16,21.67,21.925,21.6,21.9,21.9,84617,0.0000,1.0
2020-10-15,21.5,21.71,21.375,21.65,21.65,51609,0.0000,1.0
2020-10-14,21.9,21.94,21.79,21.8,21.8,126815,0.0000,1.0
2020-10-13,21.94,22.0,21.88,21.99,21.99,27927,0.0000,1.0
2020-10-12,21.75,21.9402,21.75,21.89,21.89,31689,0.0000,1.0
2020-10-09,21.52,21.56,21.375,21.54,21.54,19537,0.0000,1.0
2020-10-08,21.08,21.36,21.07,21.36,21.36,12594,0.0000,1.0
2020-10-07,21.16,21.26,21.0955,21.14,21.14,18064,0.0000,1.0
2020-10-06,21.01,21.17,20.88,20.88,20.88,38899,0.0000,1.0
2020-10-05,20.98,21.207,20.98,21.1,21.1,23479,0.0000,1.0
2020-10-02,21.07,21.16,21.0,21.08,21.08,13340,0.0000,1.0
2020-10-01,21.21,21.35,21.12,21.2,21.2,42281,0.0000,1.0
2020-09-30,21.13,21.255,21.01,21.12,21.12,38142,0.0000,1.0
2020-09-29,21.03,21.21,20.81,21.16,21.16,41101,0.0000,1.0
2020-09-28,20.98,21.21,20.98,21.21,21.21,35986,0.0000,1.0
2020-09-25,20.99,21.2,20.75,21.0,21.0,49353,0.0000,1.0
2020-09-24,21.13,21.1785,21.034,21.14,21.14,18100,0.0000,1.0
2020-09-23,21.7,21.7,21.15,21.41,21.41,67540,0.0000,1.0
2020-09-22,21.67,21.7077,21.41,21.62,21.62,63494,0.0000,1.0
2020-09-21,21.7,21.75,21.54,21.73,21.73,25782,0.0000,1.0
2020-09-18,21.83,21.96,21.81,21.93,21.93,24882,0.0000,1.0
2020-09-17,21.62,21.6657,21.499,21.66,21.66,17276,0.0000,1.0
2020-09-16,21.82,21.84,21.54,21.68,21.68,20029,0.0000,1.0
2020-09-15,21.8,21.82,21.6638,21.8,21.8,35741,0.0000,1.0
2020-09-14,21.58,21.65,21.51,21.62,21.62,15461,0.0000,1.0
2020-09-11,21.32,21.39,21.25,21.37,21.37,59126,0.0000,1.0
2020-09-10,21.5,21.5,21.2,21.21,21.21,77522,0.0000,1.0
2020-09-09,21.38,21.595,21.27,21.5,21.5,61885,0.0000,1.0
2020-09-08,21.55,21.55,21.07,21.2,21.2,53388,0.0000,1.0
2020-09-04,21.77,21.93,21.6,21.82,21.82,37704,0.0000,1.0
2020-09-03,22.12,22.145,21.66,21.79,21.79,94276,0.0000,1.0
2020-09-02,22.37,22.38,22.1301,22.24,22.24,27439,0.0000,1.0
2020-09-01,22.2,22.3,22.16,22.28,22.28,29764,0.0000,1.0
2020-08-31,22.18,22.18,21.98,22.05,22.05,23501,0.0000,1.0
2020-08-28,22.05,22.33,22.05,22.3,22.3,41177,0.0000,1.0
2020-08-27,21.79,21.97,21.79,21.87,21.87,21734,0.0000,1.0
2020-08-26,21.95,21.95,21.834,21.88,21.88,84529,0.0000,1.0
2020-08-25,22.0758,22.15,22.03,22.1,22.1,60449,0.0000,1.0
2020-08-24,22.22,22.22,22.086,22.18,22.18,49940,0.0000,1.0
2020-08-21,21.9,22.095,21.9,22.06,22.06,42215,0.0000,1.0
2020-08-20,21.9,22.12,21.9,22.07,22.07,62613,0.0000,1.0
2020-08-19,22.19,22.2,22.08,22.13,22.13,59032,0.0000,1.0
2020-08-18,22.24,22.33,22.13,22.21,22.21,63648,0.0000,1.0
2020-08-17,22.0,22.34,21.96,22.24,22.24,51611,0.0000,1.0
2020-08-14,21.68,21.85,21.68,21.84,21.84,50475,0.0000,1.0
2020-08-13,21.69,21.75,21.5271,21.65,21.65,50015,0.0000,1.0
2020-08-12,21.76,21.76,21.603,21.69,21.69,38702,0.0000,1.0
2020-08-11,21.694,21.75,21.54,21.69,21.69,87161,0.0000,1.0
2020-08-10,21.46,21.76,21.46,21.74,21.74,54520,0.0000,1.0
2020-08-07,21.7,21.7,21.3,21.46,21.46,124890,0.0000,1.0
2020-08-06,21.75,21.91,21.62,21.89,21.89,37456,0.0000,1.0
2020-08-05,21.77,21.96,21.7281,21.77,21.77,84018,0.0000,1.0
2020-08-04,21.38,21.81,21.2384,21.81,21.81,154663,0.0000,1.0
2020-08-03,20.99,21.3,20.916,21.23,21.23,78217,0.0000,1.0
2020-07-31,20.58,20.87,20.5266,20.87,20.87,65048,0.0000,1.0
2020-07-30,20.9,20.9,20.42,20.7,20.7,38066,0.0000,1.0
2020-07-29,20.6,20.92,20.6,20.86,20.86,35917,0.0000,1.0
2020-07-28,20.5,20.5,20.42,20.42,20.42,37007,0.0000,1.0
2020-07-27,20.46,20.485,20.27,20.45,20.45,57804,0.0000,1.0
2020-07-24,20.58,20.58,20.16,20.4,20.4,109051,0.0000,1.0
2020-07-23,20.99,21.18,20.86,20.98,20.98,50521,0.0000,1.0
2020-07-22,21.25,21.31,21.021,21.14,21.14,89812,0.0000,1.0
2020-07-21,21.35,21.46,21.27,21.38,21.38,62611,0.0000,1.0
2020-07-20,21.03,21.26,21.03,21.21,21.21,40990,0.0000,1.0
2020-07-17,20.7,20.82,20.67,20.76,20.76,90900,0.0000,1.0
2020-07-16,21.13,21.14,20.55,20.75,20.75,137900,0.0000,1.0
2020-07-15,21.78,21.88,21.43,21.61,21.61,97400,0.0000,1.0
2020-07-14,21.65,21.94,21.65,21.9,21.9,131800,0.0000,1.0
2020-07-13,21.9,22.12,21.85,21.85,21.85,126800,0.0000,1.0
2020-07-10,21.82,22.06,21.61,21.83,21.83,115300,0.0000,1.0
2020-07-09,22.06,22.15,21.68,21.92,21.92,218500,0.0000,1.0
