timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,6.27,6.285,6.08,6.2,6.2,262424,0.0000,1.0
2020-12-10,5.83,6.33,5.8161,6.26,6.26,394954,0.0000,1.0
2020-12-09,6.205,6.205,5.66,5.77,5.77,185904,0.0000,1.0
2020-12-08,6.14,6.275,6.03,6.115,6.115,110761,0.0000,1.0
2020-12-07,6.23,6.23,6.03,6.13,6.13,192133,0.0000,1.0
2020-12-04,5.87,6.39,5.8595,6.19,6.19,334085,0.0000,1.0
2020-12-03,5.83,5.83,5.62,5.71,5.71,222487,0.0000,1.0
2020-12-02,5.97,5.99,5.6999,5.78,5.78,386238,0.0000,1.0
2020-12-01,6.35,6.35,5.9,5.96,5.96,158697,0.0000,1.0
2020-11-30,5.95,6.25,5.81,6.2,6.2,231388,0.0000,1.0
2020-11-27,5.81,5.97,5.81,5.95,5.95,59186,0.0000,1.0
2020-11-25,5.64,5.85,5.64,5.8,5.8,63000,0.0000,1.0
2020-11-24,5.71,5.85,5.62,5.69,5.69,96173,0.0000,1.0
2020-11-23,5.85,5.85,5.68,5.7,5.7,71482,0.0000,1.0
2020-11-20,5.68,5.84,5.65,5.81,5.81,82721,0.0000,1.0
2020-11-19,5.83,5.92,5.7,5.73,5.73,327075,0.0000,1.0
2020-11-18,5.85,5.97,5.69,5.77,5.77,137597,0.0000,1.0
2020-11-17,5.91,5.9228,5.66,5.8,5.8,183012,0.0000,1.0
2020-11-16,5.99,6.0756,5.69,5.98,5.98,336139,0.0000,1.0
2020-11-13,5.99,6.18,5.8,5.92,5.92,263034,0.0000,1.0
2020-11-12,5.95,6.04,5.76,6.02,6.02,141855,0.0000,1.0
2020-11-11,5.96,6.0,5.65,5.89,5.89,258032,0.0000,1.0
2020-11-10,5.53,6.03,5.47,5.97,5.97,264767,0.0000,1.0
2020-11-09,5.57,5.8,5.5,5.52,5.52,314843,0.0000,1.0
2020-11-06,5.75,5.8,5.4,5.53,5.53,106189,0.0000,1.0
2020-11-05,5.62,5.88,5.47,5.81,5.81,254321,0.0000,1.0
2020-11-04,5.41,5.67,5.28,5.56,5.56,90648,0.0000,1.0
2020-11-03,5.59,5.79,5.33,5.46,5.46,138105,0.0000,1.0
2020-11-02,5.51,5.675,5.34,5.54,5.54,272582,0.0000,1.0
2020-10-30,5.85,5.87,5.34,5.48,5.48,372724,0.0000,1.0
2020-10-29,5.73,5.865,5.43,5.83,5.83,445034,0.0000,1.0
2020-10-28,5.39,5.7,5.21,5.66,5.66,329967,0.0000,1.0
2020-10-27,5.76,5.76,5.55,5.6,5.6,285124,0.0000,1.0
2020-10-26,5.37,5.74,5.2135,5.72,5.72,314675,0.0000,1.0
2020-10-23,5.27,5.5431,5.19,5.5,5.5,130985,0.0000,1.0
2020-10-22,5.07,5.27,5.05,5.25,5.25,173013,0.0000,1.0
