timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,7.23,7.287,7.12,7.21,7.21,24532,0.0000,1.0
2020-12-10,7.18,7.34,7.15,7.31,7.31,35632,0.0000,1.0
2020-12-09,7.66,7.75,7.22,7.3,7.3,215694,0.0000,1.0
2020-12-08,7.5,7.6862,7.41,7.56,7.56,98232,0.0000,1.0
2020-12-07,7.5,7.63,7.31,7.57,7.57,71969,0.0000,1.0
2020-12-04,7.34,7.54,7.32,7.52,7.52,75922,0.0000,1.0
2020-12-03,7.47,7.475,7.2,7.25,7.25,50135,0.0000,1.0
2020-12-02,7.52,7.66,7.34,7.4,7.4,47071,0.0000,1.0
2020-12-01,7.56,7.56,7.4,7.51,7.51,54590,0.0000,1.0
2020-11-30,7.69,7.7,7.35,7.4,7.4,61049,0.0000,1.0
2020-11-27,7.7,7.71,7.55,7.7,7.7,43386,0.0000,1.0
2020-11-25,7.75,7.86,7.39,7.67,7.67,53049,0.0000,1.0
2020-11-24,7.5,8.0,7.45,7.75,7.75,203871,0.0000,1.0
2020-11-23,7.29,7.45,7.16,7.43,7.43,34950,0.0000,1.0
2020-11-20,7.2,7.2,7.06,7.19,7.19,51300,0.0000,1.0
2020-11-19,7.29,7.35,7.07,7.29,7.29,34009,0.0000,1.0
2020-11-18,7.32,7.465,7.26,7.29,7.29,38176,0.0000,1.0
2020-11-17,7.44,7.49,7.22,7.31,7.31,82802,0.0000,1.0
2020-11-16,8.01,8.08,7.3,7.47,7.47,121351,0.0000,1.0
2020-11-13,7.64,8.0,7.64,7.9,7.9,135160,0.0000,1.0
2020-11-12,7.49,7.58,7.33,7.58,7.58,124039,0.0000,1.0
2020-11-11,7.68,7.68,7.09,7.59,7.59,90530,0.0000,1.0
2020-11-10,6.64,7.8877,6.63,7.69,7.69,372960,0.0000,1.0
2020-11-09,6.24,6.88,6.24,6.47,6.47,126379,0.0000,1.0
2020-11-06,6.35,6.35,5.95,5.97,5.97,60732,0.0000,1.0
2020-11-05,6.02,6.36,6.02,6.25,6.25,91807,0.0000,1.0
2020-11-04,6.52,6.606,6.03,6.21,6.21,126393,0.0000,1.0
2020-11-03,7.2,7.24,6.71,6.76,6.76,192310,0.0000,1.0
2020-11-02,7.13,7.3,7.03,7.19,7.19,49531,0.0000,1.0
2020-10-30,7.03,7.15,6.88,7.08,7.08,72488,0.0000,1.0
2020-10-29,7.05,7.14,6.89,7.09,7.09,74062,0.0000,1.0
2020-10-28,7.25,7.38,6.93,7.01,7.01,100168,0.0000,1.0
2020-10-27,7.5,7.5,7.4,7.4,7.4,44894,0.0000,1.0
2020-10-26,7.6,7.63,7.41,7.54,7.54,50337,0.0000,1.0
2020-10-23,7.8,7.83,7.61,7.63,7.63,91864,0.0000,1.0
2020-10-22,7.7,7.78,7.61,7.73,7.73,36629,0.0000,1.0
2020-10-21,7.82,7.84,7.64,7.66,7.66,28819,0.0000,1.0
2020-10-20,7.81,8.15,7.79,7.86,7.86,78362,0.0000,1.0
2020-10-19,7.87,7.95,7.62,7.71,7.71,84313,0.0000,1.0
2020-10-16,7.78,7.92,7.59,7.86,7.86,76103,0.0000,1.0
2020-10-15,7.72,7.87,7.7,7.82,7.82,30935,0.0000,1.0
2020-10-14,7.99,7.99,7.78,7.83,7.83,63940,0.0000,1.0
2020-10-13,7.98,8.04,7.78,7.96,7.96,38110,0.0000,1.0
2020-10-12,7.98,8.21,7.94,8.12,8.12,94198,0.0000,1.0
2020-10-09,8.1,8.13,7.94,7.99,7.99,90628,0.0000,1.0
2020-10-08,7.98,8.05,7.85,8.0,8.0,48419,0.0000,1.0
2020-10-07,7.97,8.095,7.81,7.93,7.93,83670,0.0000,1.0
2020-10-06,7.85,8.08,7.62,7.89,7.89,77962,0.0000,1.0
2020-10-05,7.47,7.88,7.47,7.76,7.76,74186,0.0000,1.0
2020-10-02,7.0,7.54,7.0,7.45,7.45,98853,0.0000,1.0
2020-10-01,7.29,7.32,7.04,7.15,7.15,44433,0.0000,1.0
2020-09-30,7.37,7.7,7.236,7.29,7.29,35985,0.0000,1.0
2020-09-29,7.34,7.37,7.15,7.3,7.3,32574,0.0000,1.0
2020-09-28,7.26,7.5,7.26,7.36,7.36,43741,0.0000,1.0
2020-09-25,7.07,7.37,6.95,7.14,7.14,60080,0.0000,1.0
2020-09-24,7.09,7.24,6.97,7.04,7.04,55359,0.0000,1.0
2020-09-23,7.44,7.55,6.99,7.05,7.05,89950,0.0000,1.0
2020-09-22,7.62,7.7,7.27,7.39,7.39,40485,0.0000,1.0
2020-09-21,8.1,8.195,7.4,7.5,7.5,100936,0.0000,1.0
2020-09-18,8.19,8.49,8.12,8.33,8.33,312108,0.0000,1.0
2020-09-17,8.26,8.6999,7.98,8.02,8.02,85708,0.0000,1.0
2020-09-16,8.28,8.52,8.28,8.35,8.35,54248,0.0000,1.0
2020-09-15,8.15,8.33,8.07,8.23,8.23,32937,0.0000,1.0
