timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,11.8,11.8,11.4,11.62,11.62,881777,0.0000,1.0
2020-12-10,11.17,12.06,11.17,12.0,12.0,752351,0.0000,1.0
2020-12-09,12.25,12.44,11.26,11.55,11.55,860940,0.0000,1.0
2020-12-08,11.65,12.27,11.39,12.09,12.09,1276853,0.0000,1.0
2020-12-07,12.04,12.85,11.64,11.83,11.83,2169076,0.0000,1.0
2020-12-04,11.35,12.14,11.19,12.04,12.04,865812,0.0000,1.0
2020-12-03,11.1,11.59,10.81,11.19,11.19,1167963,0.0000,1.0
2020-12-02,10.97,11.09,10.58,10.99,10.99,826274,0.0000,1.0
2020-12-01,10.56,11.06,10.54,10.935,10.935,1478542,0.0000,1.0
2020-11-30,10.35,10.38,9.93,10.15,10.15,747681,0.0000,1.0
2020-11-27,10.58,10.7,10.15,10.4,10.4,305602,0.0000,1.0
2020-11-25,10.53,10.75,10.19,10.34,10.34,690471,0.0000,1.0
2020-11-24,10.35,10.855,10.34,10.64,10.64,1195757,0.0000,1.0
2020-11-23,9.77,10.38,9.77,10.29,10.29,1093463,0.0000,1.0
2020-11-20,9.68,9.84,9.485,9.65,9.65,536673,0.0000,1.0
2020-11-19,9.25,9.75,9.1,9.74,9.74,735285,0.0000,1.0
2020-11-18,9.4,9.65,9.31,9.31,9.31,3016727,0.0000,1.0
2020-11-17,9.05,9.37,8.83,9.33,9.33,875178,0.0000,1.0
2020-11-16,9.13,9.24,8.89,9.19,9.19,1058994,0.0000,1.0
2020-11-13,7.99,8.92,7.99,8.88,8.88,1258757,0.0000,1.0
2020-11-12,7.82,8.05,7.66,7.82,7.82,1124845,0.0000,1.0
2020-11-11,8.07,8.07,7.76,7.96,7.96,755676,0.0000,1.0
2020-11-10,7.88,8.03,7.75,7.99,7.99,735976,0.0000,1.0
2020-11-09,7.71,8.25,7.5,7.76,7.76,1012911,0.0000,1.0
2020-11-06,7.18,7.355,7.02,7.26,7.26,1014990,0.0000,1.0
2020-11-05,6.89,7.29,6.83,7.09,7.09,1067667,0.0000,1.0
2020-11-04,7.12,7.18,6.73,6.76,6.76,1132006,0.0000,1.0
2020-11-03,6.85,7.29,6.82,7.24,7.24,994441,0.0000,1.0
2020-11-02,6.61,6.78,6.5,6.7,6.7,779430,0.0000,1.0
2020-10-30,6.75,6.92,6.27,6.58,6.58,1029431,0.0000,1.0
2020-10-29,6.67,7.08,6.45,7.01,7.01,868055,0.0000,1.0
2020-10-28,7.0,7.005,6.73,6.74,6.74,538594,0.0000,1.0
2020-10-27,7.18,7.29,7.08,7.19,7.19,552431,0.0000,1.0
2020-10-26,7.42,7.493,7.11,7.21,7.21,853188,0.0000,1.0
2020-10-23,7.67,7.8,7.515,7.6,7.6,816585,0.0000,1.0
2020-10-22,7.6,7.6,7.29,7.54,7.54,804103,0.0000,1.0
2020-10-21,7.68,7.78,7.58,7.61,7.61,734902,0.0000,1.0
2020-10-20,7.66,7.83,7.56,7.725,7.725,588645,0.0000,1.0
2020-10-19,7.75,8.03,7.48,7.5,7.5,925290,0.0000,1.0
2020-10-16,7.8,7.84,7.55,7.655,7.655,694321,0.0000,1.0
2020-10-15,7.71,7.9,7.58,7.83,7.83,631066,0.0000,1.0
2020-10-14,7.81,8.08,7.7284,7.98,7.98,854023,0.0000,1.0
2020-10-13,7.59,7.8,7.5,7.74,7.74,549489,0.0000,1.0
2020-10-12,7.98,8.0382,7.625,7.78,7.78,1474575,0.0000,1.0
2020-10-09,7.84,8.14,7.65,7.97,7.97,1439601,0.0000,1.0
2020-10-08,7.35,7.61,7.27,7.59,7.59,895485,0.0000,1.0
2020-10-07,7.07,7.36,7.0205,7.21,7.21,744245,0.0000,1.0
2020-10-06,7.3,7.46,6.87,6.88,6.88,1179502,0.0000,1.0
2020-10-05,7.23,7.3599,7.01,7.15,7.15,888772,0.0000,1.0
2020-10-02,6.71,7.235,6.71,7.13,7.13,701313,0.0000,1.0
2020-10-01,7.17,7.19,6.6601,6.935,6.935,1244781,0.0000,1.0
2020-09-30,7.09,7.31,6.98,7.12,7.12,1064343,0.0000,1.0
2020-09-29,7.31,7.43,7.04,7.13,7.13,973666,0.0000,1.0
2020-09-28,7.35,7.53,7.24,7.35,7.35,1321686,0.0000,1.0
2020-09-25,7.16,7.28,7.03,7.11,7.11,880427,0.0000,1.0
2020-09-24,7.45,7.56,7.2,7.27,7.27,896958,0.0000,1.0
2020-09-23,7.92,8.05,7.49,7.49,7.49,927875,0.0000,1.0
2020-09-22,8.08,8.15,7.79,7.96,7.96,641317,0.0000,1.0
2020-09-21,8.79,8.82,7.93,7.99,7.99,1521513,0.0000,1.0
2020-09-18,9.45,9.62,8.97,9.2,9.2,4374119,0.0000,1.0
2020-09-17,9.43,9.63,9.23,9.35,9.35,938062,0.0000,1.0
2020-09-16,9.5,9.83,9.2101,9.69,9.69,1696299,0.0000,1.0
2020-09-15,10.66,11.08,9.265,9.33,9.33,3350288,0.0000,1.0
2020-09-14,9.87,11.11,9.86,10.51,10.51,2282830,0.0000,1.0
2020-09-11,9.65,10.02,9.59,9.69,9.69,685005,0.0000,1.0
2020-09-10,9.41,9.75,9.41,9.58,9.58,996211,0.0000,1.0
2020-09-09,9.56,9.6299,9.28,9.44,9.44,1500927,0.0000,1.0
2020-09-08,9.6,9.73,9.265,9.42,9.42,660098,0.0000,1.0
2020-09-04,10.34,10.41,9.585,9.82,9.82,748886,0.0000,1.0
2020-09-03,10.21,10.385,9.9999,10.15,10.15,819695,0.0000,1.0
2020-09-02,10.14,10.35,9.76,10.32,10.32,888990,0.0000,1.0
2020-09-01,9.91,10.17,9.55,10.17,10.17,803786,0.0000,1.0
2020-08-31,9.98,10.06,9.73,9.87,9.87,1365276,0.0000,1.0
2020-08-28,9.4,9.91,9.22,9.9,9.9,1636495,0.0000,1.0
2020-08-27,9.36,9.38,9.05,9.29,9.29,612413,0.0000,1.0
2020-08-26,9.33,9.48,9.28,9.32,9.32,452853,0.0000,1.0
2020-08-25,9.48,9.48,9.09,9.32,9.32,836211,0.0000,1.0
2020-08-24,9.183,9.29,9.03,9.24,9.24,719764,0.0000,1.0
2020-08-21,9.33,9.3327,9.01,9.07,9.07,804374,0.0000,1.0
2020-08-20,9.49,9.525,9.0766,9.43,9.43,614102,0.0000,1.0
2020-08-19,9.63,9.97,9.434,9.68,9.68,727483,0.0000,1.0
2020-08-18,9.9,9.98,9.63,9.65,9.65,429326,0.0000,1.0
2020-08-17,10.04,10.1,9.77,9.85,9.85,463362,0.0000,1.0
2020-08-14,10.0,10.07,9.67,9.94,9.94,642840,0.0000,1.0
2020-08-13,10.33,10.41,10.025,10.11,10.11,735343,0.0000,1.0
2020-08-12,10.56,10.69,10.13,10.31,10.31,876537,0.0000,1.0
2020-08-11,11.0,11.05,10.18,10.24,10.24,1242357,0.0000,1.0
2020-08-10,10.61,11.3301,10.5,10.83,10.83,1544284,0.0000,1.0
2020-08-07,10.44,10.56,9.65,10.53,10.53,1058325,0.0000,1.0
2020-08-06,8.83,10.95,8.6,10.56,10.56,3427745,0.0000,1.0
2020-08-05,9.79,10.76,9.6,10.32,10.32,2505261,0.0000,1.0
2020-08-04,9.24,9.656,9.11,9.575,9.575,1548947,0.0000,1.0
2020-08-03,8.74,9.54,8.73,9.27,9.27,2587922,0.0000,1.0
2020-07-31,7.64,8.7379,7.6001,8.71,8.71,5059545,0.0000,1.0
2020-07-30,7.55,7.73,7.4,7.68,7.68,513079,0.0000,1.0
2020-07-29,7.64,7.81,7.57,7.77,7.77,455511,0.0000,1.0
2020-07-28,7.67,7.73,7.535,7.59,7.59,927353,0.0000,1.0
2020-07-27,7.53,7.76,7.46,7.74,7.74,1070354,0.0000,1.0
2020-07-24,7.43,7.62,7.21,7.47,7.47,1089188,0.0000,1.0
2020-07-23,7.73,7.83,7.44,7.53,7.53,1162784,0.0000,1.0
2020-07-22,7.75,7.9,7.648,7.71,7.71,758108,0.0000,1.0
2020-07-21,7.78,7.93,7.74,7.81,7.81,1342642,0.0000,1.0
2020-07-20,7.66,7.8,7.58,7.65,7.65,474271,0.0000,1.0
2020-07-17,7.7,7.84,7.61,7.73,7.73,880000,0.0000,1.0
2020-07-16,7.49,7.84,7.42,7.67,7.67,908400,0.0000,1.0
2020-07-15,7.63,7.67,7.31,7.61,7.61,901200,0.0000,1.0
2020-07-14,7.1,7.46,7.06,7.46,7.46,1183300,0.0000,1.0
2020-07-13,7.42,7.62,7.12,7.15,7.15,811600,0.0000,1.0
2020-07-10,6.97,7.34,6.94,7.33,7.33,863400,0.0000,1.0
2020-07-09,7.23,7.37,6.96,6.97,6.97,787600,0.0000,1.0
2020-07-08,7.0,7.24,7.0,7.2,7.2,831600,0.0000,1.0
2020-07-07,7.17,7.17,6.92,6.99,6.99,647300,0.0000,1.0
2020-07-06,7.22,7.3,7.02,7.25,7.25,1751500,0.0000,1.0
2020-07-02,6.98,7.26,6.94,6.96,6.96,912700,0.0000,1.0
2020-07-01,7.12,7.2,6.72,6.81,6.81,1231100,0.0000,1.0
2020-06-30,6.9,7.23,6.68,7.13,7.13,2251600,0.0000,1.0
2020-06-29,6.88,7.19,6.72,6.96,6.96,1614200,0.0000,1.0
2020-06-26,6.63,6.79,6.48,6.77,6.77,1928719,0.0000,1.0
2020-06-25,6.42,6.7524,6.26,6.72,6.72,1238166,0.0000,1.0
2020-06-24,7.15,7.28,6.8,6.91,6.91,1676330,0.0000,1.0
2020-06-23,7.16,7.3,7.11,7.29,7.29,866646,0.0000,1.0
2020-06-22,6.79,6.99,6.61,6.97,6.97,693132,0.0000,1.0
2020-06-19,7.03,7.09,6.78,6.85,6.85,680108,0.0000,1.0
2020-06-18,7.02,7.15,6.88,6.93,6.93,573127,0.0000,1.0
2020-06-17,7.06,7.26,6.9,7.08,7.08,996225,0.0000,1.0
2020-06-16,7.326,7.326,6.9,7.06,7.06,1012094,0.0000,1.0
2020-06-15,6.48,6.82,6.3,6.69,6.69,1157059,0.0000,1.0
2020-06-12,6.48,6.73,6.4,6.7,6.7,1184472,0.0000,1.0
2020-06-11,7.34,7.34,6.11,6.12,6.12,1482514,0.0000,1.0
2020-06-10,7.8,7.85,7.57,7.64,7.64,1955304,0.0000,1.0
2020-06-09,7.6,7.9,7.551,7.83,7.83,1131793,0.0000,1.0
2020-06-08,7.5,7.885,7.5,7.87,7.87,1361847,0.0000,1.0
2020-06-05,6.86,7.59,6.82,7.43,7.43,2633755,0.0000,1.0
2020-06-04,6.58,6.86,6.43,6.74,6.74,1682357,0.0000,1.0
2020-06-03,6.29,6.66,6.2,6.63,6.63,1870985,0.0000,1.0
2020-06-02,6.15,6.25,6.12,6.18,6.18,585642,0.0000,1.0
2020-06-01,5.99,6.27,5.87,6.08,6.08,1351197,0.0000,1.0
2020-05-29,5.89,5.99,5.56,5.96,5.96,1992270,0.0000,1.0
2020-05-28,5.74,6.11,5.73,5.895,5.895,2405890,0.0000,1.0
2020-05-27,5.28,5.74,5.204,5.735,5.735,2227613,0.0000,1.0
2020-05-26,5.14,5.27,5.035,5.18,5.18,1814812,0.0000,1.0
2020-05-22,4.87,4.915,4.715,4.89,4.89,711706,0.0000,1.0
2020-05-21,5.06,5.12,4.77,4.84,4.84,1154079,0.0000,1.0
2020-05-20,5.02,5.2,5.01,5.1,5.1,554377,0.0000,1.0
2020-05-19,4.91,5.1601,4.76,4.9,4.9,900121,0.0000,1.0
2020-05-18,4.58,5.0,4.58,4.92,4.92,1020139,0.0000,1.0
2020-05-15,4.27,4.418,4.22,4.37,4.37,750907,0.0000,1.0
2020-05-14,4.3,4.3959,4.08,4.295,4.295,640811,0.0000,1.0
2020-05-13,4.6,4.6,4.19,4.29,4.29,1015243,0.0000,1.0
2020-05-12,4.67,4.88,4.48,4.545,4.545,2669653,0.0000,1.0
2020-05-11,4.76,4.77,4.53,4.66,4.66,1454645,0.0000,1.0
2020-05-08,4.71,4.84,4.64,4.84,4.84,852280,0.0000,1.0
2020-05-07,4.4594,4.78,4.4594,4.63,4.63,588018,0.0000,1.0
2020-05-06,4.94,5.05,4.515,4.535,4.535,1046038,0.0000,1.0
2020-05-05,4.85,5.195,4.82,4.93,4.93,1484987,0.0000,1.0
2020-05-04,4.46,4.985,4.41,4.73,4.73,1708754,0.0000,1.0
2020-05-01,4.65,5.23,4.32,4.55,4.55,3265302,0.0000,1.0
2020-04-30,4.64,4.64,4.31,4.35,4.35,1018240,0.0000,1.0
2020-04-29,4.49,4.765,4.44,4.68,4.68,1034136,0.0000,1.0
2020-04-28,4.39,4.47,4.18,4.34,4.34,855907,0.0000,1.0
2020-04-27,4.13,4.35,3.99,4.3,4.3,2529745,0.0000,1.0
2020-04-24,4.07,4.17,3.92,4.06,4.06,554974,0.0000,1.0
2020-04-23,3.77,4.146,3.72,4.02,4.02,1055513,0.0000,1.0
2020-04-22,3.9,3.98,3.71,3.71,3.71,573518,0.0000,1.0
2020-04-21,3.91,4.3,3.76,3.79,3.79,1086277,0.0000,1.0
2020-04-20,3.97,4.2,3.89,4.0,4.0,846446,0.0000,1.0
2020-04-17,4.05,4.16,3.97,4.04,4.04,839065,0.0000,1.0
2020-04-16,3.91,4.13,3.825,3.89,3.89,622770,0.0000,1.0
2020-04-15,4.09,4.14,3.8701,3.95,3.95,781566,0.0000,1.0
2020-04-14,4.15,4.51,4.15,4.31,4.31,1502366,0.0000,1.0
2020-04-13,4.2845,4.315,4.035,4.14,4.14,1078224,0.0000,1.0
2020-04-09,4.03,4.33,4.005,4.12,4.12,2424964,0.0000,1.0
2020-04-08,3.82,4.0,3.82,3.91,3.91,826557,0.0000,1.0
2020-04-07,3.65,4.08,3.63,3.77,3.77,1677495,0.0000,1.0
2020-04-06,3.16,3.56,3.16,3.52,3.52,1211459,0.0000,1.0
