timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,36.28,36.76,36.28,36.75,36.75,1988,0.3800,1.0
2020-12-10,36.36,37.0,36.36,36.84,36.4629679504,12843,0.0000,1.0
2020-12-09,37.25,37.25,36.22,36.5,36.1264476165,22153,0.0000,1.0
2020-12-08,36.78,37.03,36.6,36.88,36.502558578,11149,0.0000,1.0
2020-12-07,36.4,37.65,36.4,36.73,36.3540937248,6611,0.0000,1.0
2020-12-04,37.5,37.5,36.0,36.4,36.0274710477,18830,0.0000,1.0
2020-12-03,37.49,37.78,37.11,37.11,36.7302046862,1726,0.0000,1.0
2020-12-02,37.3079,37.775,36.72,37.5,37.1162133046,7133,0.0000,1.0
2020-12-01,37.79,37.88,37.79,37.8,37.413143011,3107,0.0000,1.0
2020-11-30,38.9,39.9,37.5,37.5,37.1162133046,11065,0.0000,1.0
2020-11-27,38.86,39.3,38.02,39.3,38.8977915432,2866,0.0000,1.0
2020-11-25,41.53,41.53,39.66,39.66,39.254107191,3655,0.0000,1.0
2020-11-24,41.6,41.75,38.445,41.48,41.0554807433,6557,0.0000,1.0
2020-11-23,41.18,41.8,41.025,41.05,40.6298814974,6465,0.0000,1.0
2020-11-20,41.0,41.05,40.45,40.45,40.0360220846,4385,0.0000,1.0
2020-11-19,39.56,41.6,39.56,41.14,40.7189604094,7830,0.0000,1.0
2020-11-18,37.8,40.3,37.45,39.77,39.3629814166,14525,0.0000,1.0
2020-11-17,36.6,38.0,35.31,37.25,36.8687718826,8212,0.0000,1.0
2020-11-16,36.0,37.33,36.0,36.93,36.5520468624,11524,0.0000,1.0
2020-11-13,33.9351,35.17,33.9351,34.65,34.2953810935,7341,0.0000,1.0
2020-11-12,35.36,35.36,33.6,33.63,33.2858200916,6046,0.0000,1.0
2020-11-11,36.01,36.01,35.4,35.4,35.0377053595,4332,0.0000,1.0
2020-11-10,33.58,36.85,33.58,35.78,35.413816321,13444,0.0000,1.0
2020-11-09,34.14,36.26,33.28,33.28,32.9394021007,8900,0.0000,1.0
2020-11-06,32.07,32.36,32.03,32.03,31.7021949906,2689,0.0000,1.0
2020-11-05,31.6,32.17,31.55,32.0,31.6725020199,2074,0.0000,1.0
2020-11-04,32.03,32.03,31.3,31.3,30.9796660382,2207,0.0000,1.0
2020-11-03,32.14,32.85,32.12,32.65,32.3158497172,6685,0.0000,1.0
2020-11-02,31.87,31.87,31.87,31.87,31.5438324805,2140,0.0000,1.0
2020-10-30,31.6,31.605,31.01,31.15,30.831201185,6433,0.0000,1.0
2020-10-29,30.81,31.5,30.71,31.5,31.1776191759,4868,0.0000,1.0
2020-10-28,31.1,31.99,30.47,31.0,30.6827363318,10672,0.0000,1.0
2020-10-27,30.53,32.0,30.17,31.36,31.0390519795,21369,0.0000,1.0
2020-10-26,31.2,31.4,30.79,30.95,30.6332480474,5444,0.0000,1.0
2020-10-23,30.5,31.6,30.4,31.17,30.8509964988,31038,0.0000,1.0
2020-10-22,30.25,30.7,30.25,30.5,30.1878534877,4764,0.0000,1.0
2020-10-21,29.6471,30.48,29.6471,30.48,30.168058174,1355,0.0000,1.0
2020-10-20,29.61,30.3,29.6,30.3,29.9899003501,3076,0.0000,1.0
2020-10-19,30.76,30.76,29.5,29.8,29.4950175061,6179,0.0000,1.0
2020-10-16,29.07,31.15,29.07,30.99,30.6728386749,24288,0.0000,1.0
2020-10-15,29.15,29.42,28.8,29.18,28.8813627794,12247,0.0000,1.0
2020-10-14,30.1,30.1,29.23,29.33,29.0298276326,11838,0.0000,1.0
2020-10-13,30.26,30.75,30.23,30.23,29.920616752,2721,0.0000,1.0
