timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,13.32,13.34,13.13,13.18,13.18,190931,0.0800,1.0
2020-12-10,13.3,13.4397,13.19,13.41,13.3290950226,195608,0.0000,1.0
2020-12-09,13.55,13.55,13.21,13.31,13.2296983409,262358,0.0000,1.0
2020-12-08,13.22,13.5,13.22,13.5,13.4185520362,196110,0.0000,1.0
2020-12-07,13.19,13.33,13.161,13.28,13.1998793363,328240,0.0000,1.0
2020-12-04,13.07,13.28,13.07,13.25,13.1700603318,210264,0.0000,1.0
2020-12-03,12.82,13.1247,12.8,13.1,13.0209653092,246226,0.0000,1.0
2020-12-02,12.88,12.8942,12.78,12.86,12.782413273,258923,0.0000,1.0
2020-12-01,12.9,13.01,12.87,12.95,12.8718702866,277882,0.0000,1.0
2020-11-30,12.66,12.91,12.65,12.88,12.8022926094,302422,0.0000,1.0
2020-11-27,12.69,12.79,12.6716,12.74,12.6631372549,142793,0.0000,1.0
2020-11-25,12.63,12.7,12.57,12.69,12.613438914,243296,0.0000,1.0
2020-11-24,12.6,12.69,12.55,12.62,12.5438612368,285517,0.0000,1.0
2020-11-23,12.49,12.62,12.47,12.55,12.4742835596,379163,0.0000,1.0
2020-11-20,12.37,12.46,12.3548,12.4,12.325188537,186174,0.0000,1.0
2020-11-19,11.8789,12.36,11.8789,12.34,12.2655505279,202132,0.0000,1.0
2020-11-18,12.18,12.29,12.1657,12.21,12.1363348416,201966,0.0000,1.0
2020-11-17,12.08,12.18,12.05,12.15,12.0766968326,259154,0.0000,1.0
2020-11-16,11.99,12.1,11.9533,12.09,12.0170588235,166244,0.0000,1.0
2020-11-13,11.84,11.95,11.78,11.95,11.8779034691,151126,0.0000,1.0
2020-11-12,11.85,11.89,11.73,11.75,11.6791101056,246885,0.0800,1.0
2020-11-11,11.77,11.9,11.77,11.9,11.748217266,359197,0.0000,1.0
2020-11-10,11.85,11.85,11.61,11.74,11.5902580422,181452,0.0000,1.0
2020-11-09,12.0,12.0,11.76,11.76,11.6100029452,351950,0.0000,1.0
2020-11-06,11.64,11.74,11.57,11.73,11.5803855907,147251,0.0000,1.0
2020-11-05,11.39,11.65,11.39,11.62,11.4717886244,274507,0.0000,1.0
2020-11-04,11.24,11.46,11.24,11.33,11.1854875314,247747,0.0000,1.0
2020-11-03,10.98,11.19,10.98,11.12,10.9781660502,174441,0.0000,1.0
2020-11-02,10.94,11.0799,10.91,10.94,10.8004619235,102736,0.0000,1.0
2020-10-30,11.01,11.1005,10.84,10.89,10.7510996661,178178,0.0000,1.0
2020-10-29,11.05,11.1795,11.02,11.15,11.0077834047,171097,0.0000,1.0
2020-10-28,11.26,11.39,11.07,11.07,10.9288037928,252739,0.0000,1.0
2020-10-27,11.33,11.44,11.29,11.42,11.2743395947,106161,0.0000,1.0
2020-10-26,11.44,11.47,11.23,11.33,11.1854875314,233184,0.0000,1.0
2020-10-23,11.53,11.6099,11.43,11.48,11.3335743036,186060,0.0000,1.0
2020-10-22,11.55,11.5999,11.45,11.5,11.3533192066,94383,0.0000,1.0
2020-10-21,11.44,11.59,11.421,11.53,11.3829365611,224010,0.0000,1.0
2020-10-20,11.56,11.713,11.49,11.51,11.3631916581,194924,0.0000,1.0
2020-10-19,11.66,11.69,11.48,11.56,11.4125539155,139221,0.0000,1.0
2020-10-16,11.66,11.745,11.6301,11.65,11.5014059789,161134,0.0000,1.0
2020-10-15,11.59,11.6695,11.53,11.62,11.4717886244,165315,0.0000,1.0
2020-10-14,11.72,11.83,11.67,11.74,11.5902580422,159516,0.0000,1.0
2020-10-13,11.84,11.86,11.71,11.72,11.5705131393,223328,0.0800,1.0
2020-10-12,11.85,11.93,11.83,11.91,11.678373855,239198,0.0000,1.0
2020-10-09,11.69,11.88,11.69,11.85,11.6195407373,212307,0.0000,1.0
2020-10-08,11.65,11.7027,11.63,11.66,11.4332358647,173385,0.0000,1.0
2020-10-07,11.39,11.68,11.39,11.61,11.3842082667,259623,0.0000,1.0
2020-10-06,11.29,11.47,11.25,11.34,11.1194592372,267678,0.0000,1.0
2020-10-05,11.14,11.33,11.14,11.28,11.0606261196,301790,0.0000,1.0
2020-10-02,11.03,11.18,10.9701,11.15,10.9331543646,168575,0.0000,1.0
2020-10-01,11.0,11.205,11.0,11.16,10.9429598842,204165,0.0000,1.0
2020-09-30,11.02,11.115,10.97,11.0,10.7860715705,233881,0.0000,1.0
2020-09-29,10.96,11.06,10.96,11.01,10.7958770901,157193,0.0000,1.0
2020-09-28,10.98,11.05,10.94,11.02,10.8056826097,175160,0.0000,1.0
2020-09-25,10.7,10.9187,10.7,10.87,10.6585998156,205330,0.0000,1.0
2020-09-24,10.71,10.87,10.54,10.76,10.5507390999,354975,0.0000,1.0
2020-09-23,11.18,11.18,10.72,10.8,10.5899611783,385813,0.0000,1.0
2020-09-22,11.11,11.21,11.01,11.21,10.9919874823,201894,0.0000,1.0
2020-09-21,11.07,11.15,10.98,11.08,10.8645157274,311084,0.0000,1.0
2020-09-18,11.27,11.33,11.18,11.24,11.0214040411,203969,0.0000,1.0
2020-09-17,11.19,11.2779,11.14,11.22,11.0017930019,248341,0.0000,1.0
