timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,37.63,38.66,37.25,37.89,37.89,381657,0.0000,1.0
2020-12-10,37.02,38.85,37.02,38.1,38.1,385043,0.0000,1.0
2020-12-09,36.18,37.82,36.03,37.34,37.34,823079,0.0000,1.0
2020-12-08,35.04,36.21,35.04,36.05,36.05,148247,0.0000,1.0
2020-12-07,35.16,35.95,34.63,35.38,35.38,222907,0.0000,1.0
2020-12-04,33.52,35.41,33.52,35.22,35.22,494615,0.0000,1.0
2020-12-03,33.0,33.5,32.83,33.41,33.41,256149,0.0000,1.0
2020-12-02,32.5,32.96,32.215,32.94,32.94,150249,0.0000,1.0
2020-12-01,31.04,32.3,31.005,32.3,32.3,202400,0.0000,1.0
2020-11-30,30.7,31.3,30.3,30.45,30.45,459541,0.0000,1.0
2020-11-27,30.73,30.88,30.3,30.79,30.79,118041,0.0000,1.0
2020-11-25,31.35,31.44,30.71,30.85,30.85,100029,0.0000,1.0
2020-11-24,31.0,31.43,30.79,31.34,31.34,243263,0.0000,1.0
2020-11-23,30.25,30.65,30.25,30.39,30.39,98852,0.0000,1.0
2020-11-20,29.76,30.38,29.5,30.18,30.18,114590,0.0000,1.0
2020-11-19,30.0,30.26,29.63,29.87,29.87,221724,0.0000,1.0
2020-11-18,29.67,30.66,29.61,30.24,30.24,429425,0.0000,1.0
2020-11-17,30.76,30.76,29.46,29.61,29.61,317080,0.0000,1.0
2020-11-16,30.08,31.14,29.48,31.13,31.13,163167,0.0000,1.0
2020-11-13,29.27,29.69,28.98,29.22,29.22,135022,0.0000,1.0
2020-11-12,29.22,29.3,28.2,28.84,28.84,213732,0.0000,1.0
2020-11-11,29.33,29.45,29.13,29.35,29.35,77793,0.0000,1.0
2020-11-10,29.37,29.39,29.03,29.28,29.28,167242,0.0000,1.0
2020-11-09,28.86,29.75,28.64,29.16,29.16,475823,0.0000,1.0
2020-11-06,26.63,27.24,26.63,27.24,27.24,213632,0.0000,1.0
2020-11-05,26.55,27.18,26.55,27.0,27.0,116797,0.0000,1.0
2020-11-04,26.26,26.78,26.24,26.3,26.3,77606,0.0000,1.0
2020-11-03,26.2,26.39,25.85,26.27,26.27,102867,0.0000,1.0
