timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.66,18.025,17.3,17.74,17.74,313017,0.0000,1.0
2020-12-10,17.25,18.26,16.97,17.83,17.83,375486,0.0000,1.0
2020-12-09,18.34,18.7399,16.31,17.27,17.27,998683,0.0000,1.0
2020-12-08,18.56,18.86,17.82,18.3,18.3,592346,0.0000,1.0
2020-12-07,19.82,19.95,18.57,18.7,18.7,522410,0.0000,1.0
2020-12-04,19.7,19.96,18.93,19.61,19.61,588881,0.0000,1.0
2020-12-03,21.88,22.19,19.29,19.8,19.8,1172127,0.0000,1.0
2020-12-02,21.75,22.23,21.27,21.89,21.89,1574826,0.0000,1.0
2020-12-01,22.74,23.04,21.14,21.77,21.77,1150500,0.0000,1.0
2020-11-30,22.92,22.97,21.7386,22.5,22.5,1008255,0.0000,1.0
2020-11-27,21.98,23.4,21.83,22.75,22.75,285128,0.0000,1.0
2020-11-25,22.24,22.47,21.1,21.75,21.75,497716,0.0000,1.0
2020-11-24,21.41,22.79,21.41,22.25,22.25,675712,0.0000,1.0
2020-11-23,20.1,21.705,19.96,21.25,21.25,1419641,0.0000,1.0
2020-11-20,19.92,20.5,19.38,19.92,19.92,480590,0.0000,1.0
2020-11-19,19.82,20.1,19.05,20.0,20.0,755521,0.0000,1.0
2020-11-18,19.28,20.03,19.16,19.61,19.61,380218,0.0000,1.0
2020-11-17,19.21,19.22,18.04,19.02,19.02,435399,0.0000,1.0
2020-11-16,20.09,20.69,19.28,19.37,19.37,373626,0.0000,1.0
2020-11-13,20.18,20.2974,19.15,19.97,19.97,332267,0.0000,1.0
2020-11-12,19.82,20.85,19.3601,19.95,19.95,628518,0.0000,1.0
2020-11-11,19.68,20.335,18.39,20.0,20.0,665058,0.0000,1.0
2020-11-10,18.46,20.0,17.81,19.49,19.49,569901,0.0000,1.0
2020-11-09,18.1,18.98,16.75,18.59,18.59,504839,0.0000,1.0
2020-11-06,17.22,19.0,17.22,18.03,18.03,377532,0.0000,1.0
2020-11-05,18.09,18.1,17.55,17.82,17.82,492315,0.0000,1.0
2020-11-04,16.33,18.1,16.0991,17.78,17.78,648824,0.0000,1.0
2020-11-03,16.43,16.43,15.6321,16.05,16.05,556756,0.0000,1.0
2020-11-02,15.85,16.71,15.39,16.13,16.13,288037,0.0000,1.0
2020-10-30,15.15,15.9,14.56,15.84,15.84,367977,0.0000,1.0
2020-10-29,15.56,15.6,15.0,15.38,15.38,233813,0.0000,1.0
2020-10-28,15.4,15.5,14.72,15.37,15.37,304158,0.0000,1.0
2020-10-27,15.31,16.74,14.6,15.85,15.85,279528,0.0000,1.0
2020-10-26,15.99,16.32,15.11,15.4,15.4,278791,0.0000,1.0
2020-10-23,16.53,17.05,16.18,16.32,16.32,243866,0.0000,1.0
2020-10-22,16.59,17.15,16.215,16.49,16.49,356121,0.0000,1.0
2020-10-21,16.29,17.2375,15.8801,16.69,16.69,466001,0.0000,1.0
2020-10-20,16.08,16.48,15.68,16.28,16.28,303206,0.0000,1.0
2020-10-19,16.61,17.0,16.15,16.2,16.2,584029,0.0000,1.0
2020-10-16,15.79,15.98,15.28,15.76,15.76,502219,0.0000,1.0
2020-10-15,16.04,16.26,15.16,15.44,15.44,431549,0.0000,1.0
2020-10-14,17.1,17.31,15.4,16.33,16.33,717988,0.0000,1.0
2020-10-13,16.92,17.58,16.56,17.15,17.15,417001,0.0000,1.0
2020-10-12,17.27,17.72,16.81,16.89,16.89,331094,0.0000,1.0
2020-10-09,17.25,17.505,16.87,17.13,17.13,600842,0.0000,1.0
