timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,11.65,11.75,11.64,11.7,11.7,1136803,0.0000,1.0
2020-12-10,11.67,11.72,11.61,11.68,11.68,902923,0.0000,1.0
2020-12-09,11.7,11.73,11.63,11.65,11.65,694427,0.0000,1.0
2020-12-08,11.63,11.69,11.57,11.67,11.67,736777,0.0000,1.0
2020-12-07,11.5,11.61,11.49,11.61,11.61,818206,0.0000,1.0
2020-12-04,11.38,11.49,11.37,11.49,11.49,525037,0.0000,1.0
2020-12-03,11.37,11.39,11.33,11.3876,11.3876,469447,0.0000,1.0
2020-12-02,11.35,11.37,11.3,11.32,11.32,501000,0.0000,1.0
2020-12-01,11.3,11.35,11.29,11.33,11.33,666682,0.0000,1.0
2020-11-30,11.23,11.26,11.22,11.26,11.26,621569,0.0000,1.0
2020-11-27,11.18,11.25,11.17,11.22,11.22,422965,0.0000,1.0
2020-11-25,11.15,11.18,11.12,11.18,11.18,286340,0.0000,1.0
2020-11-24,11.14,11.18,11.09,11.13,11.13,658321,0.0000,1.0
2020-11-23,11.14,11.15,11.09,11.13,11.13,484861,0.0000,1.0
2020-11-20,11.14,11.14,11.06,11.09,11.09,441919,0.0000,1.0
2020-11-19,11.08,11.14,11.06,11.13,11.13,358655,0.0000,1.0
2020-11-18,11.07,11.145,11.07,11.09,11.09,396651,0.0000,1.0
2020-11-17,11.05,11.09,10.99,11.06,11.06,568544,0.0000,1.0
2020-11-16,11.11,11.13,11.05,11.05,11.05,733394,0.0000,1.0
2020-11-13,11.06,11.15,11.02,11.14,11.14,862243,0.1853,1.0
2020-11-12,11.22,11.29,11.19,11.24,11.0560956443,1090340,0.0000,1.0
2020-11-11,11.28,11.3,11.2,11.26,11.0757684123,797202,0.0000,1.0
2020-11-10,11.24,11.27,11.17,11.26,11.0757684123,761323,0.0000,1.0
2020-11-09,11.22,11.3599,11.1001,11.22,11.0364228762,1303215,0.0000,1.0
2020-11-06,11.1,11.11,10.9519,11.06,10.8790407318,524472,0.0000,1.0
2020-11-05,10.98,11.1701,10.9544,11.1,10.9183862679,799857,0.0000,1.0
2020-11-04,10.94,10.99,10.83,10.87,10.6921494353,694652,0.0000,1.0
2020-11-03,10.66,10.78,10.65,10.75,10.574112827,638203,0.0000,1.0
2020-11-02,10.81,10.85,10.41,10.55,10.3773851465,1683928,0.0000,1.0
2020-10-30,10.88,10.88,10.71,10.77,10.5937855951,818849,0.0000,1.0
2020-10-29,10.73,10.95,10.69,10.89,10.7118222034,473873,0.0000,1.0
2020-10-28,10.8,10.83,10.66,10.75,10.574112827,1112005,0.0000,1.0
2020-10-27,10.91,11.038,10.89,10.95,10.7708405075,459049,0.0000,1.0
2020-10-26,10.96,10.98,10.81,10.93,10.7511677395,972734,0.0000,1.0
2020-10-23,10.93,11.04,10.85,10.97,10.7905132756,564653,0.0000,1.0
2020-10-22,10.9,10.9,10.8419,10.88,10.7019858194,346177,0.0000,1.0
2020-10-21,10.88,10.925,10.85,10.87,10.6921494353,398406,0.0000,1.0
2020-10-20,10.85,10.96,10.8328,10.88,10.7019858194,369919,0.0000,1.0
2020-10-19,10.9,10.9434,10.83,10.83,10.6528038992,734219,0.0000,1.0
2020-10-16,11.03,11.055,10.93,10.95,10.7708405075,565473,0.0000,1.0
2020-10-15,11.01,11.07,11.0,11.04,10.8593679638,421304,0.0000,1.0
2020-10-14,11.08,11.1401,11.04,11.08,10.8987134999,703455,0.1853,1.0
2020-10-13,11.3,11.31,11.26,11.29,10.922609732,791180,0.0000,1.0
2020-10-12,11.26,11.31,11.22,11.29,10.922609732,838846,0.0000,1.0
2020-10-09,11.24,11.25,11.17,11.19,10.825863853,699600,0.0000,1.0
2020-10-08,11.2,11.22,11.16,11.2,10.8355384409,433062,0.0000,1.0
2020-10-07,11.21,11.21,11.1,11.17,10.8065146772,538807,0.0000,1.0
2020-10-06,11.17,11.26,11.05,11.08,10.7194433862,770520,0.0000,1.0
2020-10-05,11.15,11.2,11.082,11.2,10.8355384409,456397,0.0000,1.0
2020-10-02,10.82,11.12,10.82,11.02,10.6613958588,751421,0.0000,1.0
2020-10-01,11.17,11.2127,11.05,11.15,10.7871655014,588492,0.0000,1.0
2020-09-30,10.97,11.13,10.93,11.09,10.7291179741,583290,0.0000,1.0
2020-09-29,10.94,10.97,10.9,10.93,10.5743245678,427343,0.0000,1.0
2020-09-28,10.88,10.9299,10.8,10.87,10.5162770404,500896,0.0000,1.0
2020-09-25,10.66,10.7,10.59,10.67,10.3227852826,540721,0.0000,1.0
2020-09-24,10.69,10.7438,10.59,10.6601,10.3132074405,707050,0.0000,1.0
2020-09-23,10.92,10.98,10.73,10.75,10.4001819857,556862,0.0000,1.0
2020-09-22,10.84,10.91,10.8,10.91,10.554975392,493565,0.0000,1.0
2020-09-21,10.85,10.88,10.69,10.78,10.4292057494,1330897,0.0000,1.0
2020-09-18,11.0,11.0048,10.9,10.91,10.554975392,720791,0.0000,1.0
2020-09-17,10.9,10.98,10.85,10.91,10.554975392,1006965,0.0000,1.0
2020-09-16,11.06,11.1,11.0,11.0,10.642046683,584804,0.0000,1.0
2020-09-15,11.18,11.22,11.04,11.08,10.7194433862,523686,0.0000,1.0
2020-09-14,11.19,11.24,11.11,11.14,10.7774909136,724599,0.1853,1.0
2020-09-11,11.3,11.31,11.13,11.26,10.7153494995,1135193,0.0000,1.0
2020-09-10,11.39,11.4299,11.21,11.21,10.6677680186,978188,0.0000,1.0
2020-09-09,11.13,11.39,11.13,11.33,10.7819635728,822266,0.0000,1.0
2020-09-08,11.15,11.15,11.01,11.02,10.4869583912,1166469,0.0000,1.0
2020-09-04,11.29,11.37,10.98,11.27,10.7248657957,1189615,0.0000,1.0
2020-09-03,11.41,11.46,11.24,11.26,10.7153494995,1066867,0.0000,1.0
2020-09-02,11.35,11.52,11.342,11.46,10.9056754231,875572,0.0000,1.0
2020-09-01,11.3,11.37,11.28,11.34,10.7914798689,567053,0.0000,1.0
2020-08-31,11.26,11.31,11.21,11.28,10.7343820919,590936,0.0000,1.0
2020-08-28,11.19,11.27,11.1899,11.19,10.6487354262,393380,0.0000,1.0
2020-08-27,11.12,11.19,11.1,11.18,10.63921913,279227,0.0000,1.0
2020-08-26,10.98,11.12,10.962,11.12,10.582121353,406201,0.0000,1.0
2020-08-25,10.85,11.0,10.85,10.95,10.4203443179,429912,0.0000,1.0
