timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,87.26,87.47,86.81,87.31,87.31,155783,0.0000,1.0
2020-12-10,87.06,88.15,87.06,87.73,87.73,217640,0.0000,1.0
2020-12-09,87.55,87.88,86.97,87.2,87.2,275524,0.0000,1.0
2020-12-08,87.15,87.39,86.89,87.08,87.08,228083,0.0000,1.0
2020-12-07,86.46,87.4,85.8246,87.33,87.33,357553,0.0000,1.0
2020-12-04,86.19,86.83,86.05,86.73,86.73,275754,0.0000,1.0
2020-12-03,85.2,86.02,85.17,85.72,85.72,312183,0.0000,1.0
2020-12-02,85.21,85.31,84.74,85.1,85.1,274268,0.0000,1.0
2020-12-01,85.15,85.74,85.0,85.17,85.17,308778,0.0000,1.0
2020-11-30,85.35,85.56,84.17,84.2,84.2,381127,0.0000,1.0
2020-11-27,85.74,86.2,85.1519,85.43,85.43,139298,0.0000,1.0
2020-11-25,85.09,85.81,84.49,85.76,85.76,344233,0.0000,1.0
2020-11-24,84.35,85.55,84.34,85.42,85.42,411764,0.0000,1.0
2020-11-23,84.26,84.94,83.64,83.68,83.68,351027,0.0000,1.0
2020-11-20,83.88,84.01,83.13,83.99,83.99,225721,0.0000,1.0
2020-11-19,83.31,83.8,83.0,83.8,83.8,235934,0.0000,1.0
2020-11-18,83.56,84.25,83.24,83.62,83.62,284205,0.0000,1.0
2020-11-17,81.73,83.395,81.65,83.13,83.13,312950,0.0000,1.0
2020-11-16,82.0,82.5,81.88,82.34,82.34,314260,0.0000,1.0
2020-11-13,80.91,81.32,80.66,80.96,80.96,358985,0.0000,1.0
2020-11-12,80.56,80.97,80.16,80.69,80.69,209743,0.0000,1.0
2020-11-11,81.34,81.62,80.92,81.51,81.51,285231,0.0000,1.0
2020-11-10,78.94,81.16,78.94,80.9,80.9,541815,0.0000,1.0
2020-11-09,80.6,81.19,78.42,78.5,78.5,513975,0.0000,1.0
2020-11-06,78.52,78.56,77.42,77.66,77.66,215187,0.0000,1.0
2020-11-05,78.67,79.05,77.97,78.07,78.07,265699,0.0000,1.0
2020-11-04,77.13,78.532,76.32,77.93,77.93,265977,0.0000,1.0
2020-11-03,76.74,78.0,76.72,77.55,77.55,327622,0.0000,1.0
2020-11-02,75.2,75.81,74.62,75.67,75.67,232850,0.0000,1.0
2020-10-30,74.03,74.71,73.6,74.62,74.62,364362,0.0000,1.0
2020-10-29,72.87,74.38,72.07,74.04,74.04,299020,0.0000,1.0
2020-10-28,74.32,74.55,72.85,73.01,73.01,438323,0.0000,1.0
2020-10-27,76.43,76.43,75.29,75.63,75.63,244181,0.0000,1.0
2020-10-26,77.3,77.47,75.88,76.58,76.58,272628,0.0000,1.0
2020-10-23,77.71,78.095,77.54,78.03,78.03,179867,0.0000,1.0
2020-10-22,76.79,77.66,76.78,77.26,77.26,238301,0.0000,1.0
2020-10-21,76.49,77.08,76.31,76.79,76.79,234949,0.0000,1.0
2020-10-20,76.31,76.94,76.0284,76.5,76.5,203159,0.0000,1.0
2020-10-19,77.03,77.03,75.772,75.95,75.95,204080,0.0000,1.0
2020-10-16,76.09,76.99,76.0011,76.61,76.61,259029,0.0000,1.0
2020-10-15,75.41,76.44,75.22,76.11,76.11,206384,0.0000,1.0
2020-10-14,76.66,76.99,76.21,76.31,76.31,191766,0.0000,1.0
2020-10-13,77.47,77.5,76.27,76.55,76.55,240797,0.0000,1.0
2020-10-12,77.37,77.95,77.17,77.9,77.9,144388,0.0000,1.0
2020-10-09,77.8,78.09,77.25,77.37,77.37,380815,0.0000,1.0
2020-10-08,77.18,77.83,77.18,77.67,77.67,303486,0.0000,1.0
2020-10-07,77.0,77.47,76.895,76.94,76.94,244257,0.0000,1.0
2020-10-06,76.84,77.36,76.09,76.36,76.36,436201,0.0000,1.0
2020-10-05,75.63,76.54,75.1,76.25,76.25,223955,0.0000,1.0
2020-10-02,73.63,75.15,73.44,74.8,74.8,396406,0.0000,1.0
2020-10-01,74.97,75.11,74.39,74.75,74.75,245806,0.0000,1.0
2020-09-30,74.76,75.61,74.58,74.72,74.72,357389,0.0000,1.0
2020-09-29,75.44,75.51,74.05,74.55,74.55,430195,0.0000,1.0
2020-09-28,75.55,76.49,75.34,75.64,75.64,489955,0.0000,1.0
2020-09-25,74.57,74.62,73.75,74.53,74.53,402618,1.0930,1.0
2020-09-24,75.5,76.69,75.01,76.03,74.9311175172,1767192,0.0000,1.0
2020-09-23,76.69,77.57,75.52,75.83,74.7340081721,555188,0.0000,1.0
2020-09-22,76.61,77.38,76.33,76.57,75.4633127488,510859,0.0000,1.0
2020-09-21,75.92,76.565,74.79,76.49,75.3844690108,599503,0.0000,1.0
2020-09-18,77.63,77.75,77.18,77.23,76.1137735874,335690,0.0000,1.0
2020-09-17,76.79,78.03,76.55,78.03,76.9022109676,306095,0.0000,1.0
2020-09-16,77.9,78.41,77.55,77.67,76.5474141465,303147,0.0000,1.0
2020-09-15,78.15,78.71,77.75,77.84,76.7149570898,261080,0.0000,1.0
2020-09-14,78.22,78.46,77.75,77.92,76.7938008278,352626,0.0000,1.0
2020-09-11,77.84,78.19,77.43,77.82,76.6952461553,424599,0.0000,1.0
2020-09-10,79.19,79.24,76.96,77.53,76.409437605,449981,0.0000,1.0
2020-09-09,78.58,79.82,78.53,78.99,77.8483358238,313413,0.0000,1.0
2020-09-08,78.38,78.52,77.64,78.24,77.1091757799,324359,0.0000,1.0
2020-09-04,80.12,80.23,78.63,79.79,78.6367732039,359146,0.0000,1.0
2020-09-03,79.91,80.48,78.91,79.55,78.4002419899,463003,0.0000,1.0
2020-09-02,79.6,80.151,79.46,79.78,78.6269177367,491325,0.0000,1.0
2020-09-01,79.04,79.85,78.7,79.6,78.4495193261,588655,0.0000,1.0
2020-08-31,79.53,79.72,78.77,79.35,78.2031326448,616197,0.0000,1.0
2020-08-28,80.0,80.17,79.04,79.47,78.3213982519,389427,0.0000,1.0
2020-08-27,78.21,79.9,78.21,79.27,78.1242889068,644470,0.0000,1.0
2020-08-26,75.48,77.6168,75.46,77.57,76.448859474,636731,0.0000,1.0
2020-08-25,75.44,75.585,74.76,75.48,74.3890668183,334356,0.0000,1.0
2020-08-24,74.79,75.41,74.71,74.93,73.8470161194,308821,0.0000,1.0
2020-08-21,73.57,74.31,73.46,74.29,73.2162662153,237099,0.0000,1.0
2020-08-20,73.35,74.29,73.29,74.14,73.0684342065,247704,0.0000,1.0
2020-08-19,73.74,74.51,73.57,74.12,73.048723272,289010,0.0000,1.0
2020-08-18,73.86,74.04,73.25,73.33,72.2701413591,253988,0.0000,1.0
2020-08-17,73.25,73.84,73.25,73.81,72.7432037872,263257,0.0000,1.0
2020-08-14,72.96,73.89,72.79,73.35,72.2898522936,203899,0.0000,1.0
2020-08-13,73.5,74.0,73.21,73.39,72.3292741626,199556,0.0000,1.0
2020-08-12,73.71,74.11,73.47,73.73,72.6643600492,319183,0.0000,1.0
2020-08-11,72.92,73.42,72.51,72.72,71.6689578567,351174,0.0000,1.0
2020-08-10,71.1,71.89,70.88,71.81,70.7721103368,262473,0.0000,1.0
2020-08-07,70.08,70.95,69.71,70.82,69.7964190789,262298,0.0000,1.0
2020-08-06,70.49,70.83,70.26,70.38,69.3627785198,294188,0.0000,1.0
2020-08-05,69.69,70.57,69.69,70.38,69.3627785198,190845,0.0000,1.0
2020-08-04,69.25,70.11,69.12,69.4,68.3969427291,272877,0.0000,1.0
2020-08-03,69.27,69.85,69.11,69.5,68.4954974016,115916,0.0000,1.0
2020-07-31,69.44,69.56,68.62,69.35,68.3476653928,277095,0.0000,1.0
2020-07-30,68.78,69.59,67.96,69.58,68.5743411396,248768,0.0000,1.0
2020-07-29,69.36,70.13,69.01,69.88,68.8700051572,415092,0.0000,1.0
2020-07-28,69.52,69.56,68.85,69.27,68.2688216548,291244,0.0000,1.0
