timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.88,5.975,5.85,5.9,5.9,446058,0.0000,1.0
2020-12-10,5.92,5.98,5.85,5.89,5.89,442036,0.0000,1.0
2020-12-09,6.09,6.12,5.905,5.97,5.97,427062,0.0000,1.0
2020-12-08,5.91,6.08,5.9,6.06,6.06,400869,0.0000,1.0
2020-12-07,5.99,6.1,5.91,5.95,5.95,458637,0.0000,1.0
2020-12-04,6.04,6.12,6.0,6.09,6.09,542664,0.0000,1.0
2020-12-03,5.9,6.065,5.84,6.02,6.02,1064189,0.0000,1.0
2020-12-02,5.71,5.91,5.67,5.89,5.89,536541,0.0000,1.0
2020-12-01,5.75,5.83,5.68,5.72,5.72,463981,0.0000,1.0
2020-11-30,5.81,5.93,5.61,5.63,5.63,726470,0.0000,1.0
2020-11-27,5.91,5.93,5.8,5.86,5.86,210207,0.0000,1.0
2020-11-25,6.01,6.05,5.81,5.93,5.93,764083,0.0000,1.0
2020-11-24,5.95,6.13,5.88,6.04,6.04,742959,0.0000,1.0
2020-11-23,5.71,5.92,5.7,5.85,5.85,697121,0.0000,1.0
2020-11-20,5.63,5.73,5.63,5.68,5.68,430846,0.0000,1.0
2020-11-19,5.78,5.79,5.545,5.68,5.68,396025,0.0000,1.0
2020-11-18,5.79,5.98,5.79,5.8,5.8,692885,0.0000,1.0
2020-11-17,5.75,5.86,5.715,5.79,5.79,816780,0.0000,1.0
2020-11-16,5.62,5.94,5.62,5.79,5.79,777242,0.0000,1.0
2020-11-13,5.5,5.6,5.47,5.55,5.55,370615,0.0000,1.0
2020-11-12,5.5,5.52,5.39,5.47,5.47,508854,0.0000,1.0
2020-11-11,5.7,5.7,5.43,5.53,5.53,545642,0.0000,1.0
2020-11-10,5.3,5.74,5.29,5.68,5.68,1144166,0.0000,1.0
2020-11-09,5.41,5.48,5.23,5.24,5.24,1434045,0.0000,1.0
2020-11-06,5.24,5.25,5.1,5.15,5.15,485256,0.0000,1.0
2020-11-05,5.19,5.365,5.15,5.25,5.25,550812,0.0000,1.0
2020-11-04,5.18,5.255,5.09,5.22,5.22,345561,0.0000,1.0
2020-11-03,5.19,5.3,5.185,5.26,5.26,642869,0.0000,1.0
2020-11-02,5.19,5.2,5.06,5.1,5.1,951966,0.0000,1.0
2020-10-30,5.25,5.275,5.07,5.11,5.11,657791,0.0000,1.0
2020-10-29,5.4,5.4795,5.15,5.3,5.3,1288030,0.0000,1.0
2020-10-28,5.52,5.635,5.42,5.46,5.46,687443,0.0000,1.0
2020-10-27,5.64,5.715,5.59,5.61,5.61,392218,0.0000,1.0
2020-10-26,5.59,5.7,5.56,5.61,5.61,468318,0.0000,1.0
2020-10-23,5.7,5.795,5.62,5.67,5.67,473810,0.0000,1.0
2020-10-22,5.53,5.68,5.53,5.66,5.66,411780,0.0000,1.0
2020-10-21,5.58,5.6488,5.47,5.53,5.53,487432,0.0000,1.0
2020-10-20,5.61,5.68,5.57,5.59,5.59,435683,0.0000,1.0
2020-10-19,5.73,5.745,5.51,5.52,5.52,584418,0.0000,1.0
2020-10-16,5.8,5.84,5.68,5.69,5.69,376783,0.0000,1.0
2020-10-15,5.78,5.83,5.735,5.81,5.81,367391,0.0000,1.0
2020-10-14,5.87,5.94,5.8,5.81,5.81,346030,0.0000,1.0
2020-10-13,5.85,5.92,5.82,5.85,5.85,313335,0.0000,1.0
2020-10-12,5.9,5.93,5.82,5.9,5.9,304677,0.0000,1.0
2020-10-09,6.0,6.03,5.85,5.89,5.89,329984,0.0000,1.0
2020-10-08,5.77,6.0,5.71,5.97,5.97,552557,0.0000,1.0
2020-10-07,5.77,5.78,5.63,5.74,5.74,535831,0.0000,1.0
2020-10-06,5.81,5.92,5.74,5.74,5.74,527552,0.0000,1.0
2020-10-05,5.74,5.77,5.68,5.75,5.75,371962,0.0000,1.0
2020-10-02,5.44,5.725,5.41,5.69,5.69,553765,0.0000,1.0
2020-10-01,5.62,5.73,5.52,5.57,5.57,642920,0.0000,1.0
2020-09-30,5.74,5.81,5.605,5.62,5.62,624627,0.0000,1.0
2020-09-29,5.88,5.88,5.67,5.74,5.74,455877,0.1500,1.0
2020-09-28,5.85,6.06,5.8385,6.0,5.84719864177,778483,0.0000,1.0
