timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,104.04,105.97,104.04,105.28,105.28,65020,0.0000,1.0
2020-12-10,105.08,105.08,103.13,104.61,104.61,76378,0.0000,1.0
2020-12-09,104.25,105.46,103.42,104.49,104.49,85170,0.0000,1.0
2020-12-08,102.66,104.31,101.775,103.7,103.7,70792,0.0000,1.0
2020-12-07,104.11,104.9,102.67,103.17,103.17,101960,0.0000,1.0
2020-12-04,102.89,105.59,102.89,104.26,104.26,51769,0.0000,1.0
2020-12-03,103.58,103.96,101.96,102.36,102.36,64699,0.0000,1.0
2020-12-02,105.09,105.21,102.26,104.07,104.07,47354,0.0000,1.0
2020-12-01,104.89,106.45,103.42,104.53,104.53,66321,0.0000,1.0
2020-11-30,105.11,105.91,103.58,104.01,104.01,83019,0.0000,1.0
2020-11-27,106.79,106.79,105.52,105.92,105.92,29353,0.0000,1.0
2020-11-25,107.63,108.04,106.26,107.3,107.3,109451,0.0000,1.0
2020-11-24,105.37,108.84,104.8,107.63,107.63,78484,0.0000,1.0
2020-11-23,105.16,106.1,103.91,104.38,104.38,92810,0.0000,1.0
2020-11-20,104.61,106.78,103.8,105.06,105.06,230685,0.0000,1.0
2020-11-19,104.5,105.5983,102.54,104.61,104.61,92580,0.0000,1.0
2020-11-18,109.93,110.615,104.83,104.85,104.85,75109,0.0000,1.0
2020-11-17,107.92,110.035,106.86,108.86,108.86,84147,0.0000,1.0
2020-11-16,110.0,111.31,107.33,109.05,109.05,111908,0.0000,1.0
2020-11-13,105.72,110.0,105.67,109.55,109.55,65186,0.0000,1.0
2020-11-12,108.14,108.14,103.75,105.72,105.72,96587,0.0000,1.0
2020-11-11,109.4,109.4,107.02,108.97,108.97,101249,0.0000,1.0
2020-11-10,103.61,109.99,103.61,109.98,109.98,106010,0.0000,1.0
2020-11-09,101.06,106.04,100.18,102.74,102.74,98154,0.0000,1.0
2020-11-06,101.18,101.5,98.44,98.81,98.81,55357,0.0000,1.0
2020-11-05,98.81,104.57,98.81,100.83,100.83,58631,0.0000,1.0
2020-11-04,99.35,102.185,98.35,99.63,99.63,100309,0.0000,1.0
2020-11-03,100.49,102.025,99.5,100.1,100.1,145586,0.0000,1.0
2020-11-02,97.99,100.39,97.99,99.24,99.24,157988,0.0000,1.0
2020-10-30,96.51,97.26,95.21,97.21,97.21,107013,0.0000,1.0
2020-10-29,95.3,97.95,93.305,96.68,96.68,151460,0.0000,1.0
2020-10-28,94.52,97.15,94.22,95.81,95.81,353306,0.0000,1.0
2020-10-27,93.63,97.3,93.63,95.99,95.99,131190,0.0000,1.0
2020-10-26,93.37,94.03,92.79,93.74,93.74,70809,0.0000,1.0
2020-10-23,93.31,94.155,92.805,93.89,93.89,45690,0.0000,1.0
2020-10-22,91.17,92.83,89.83,92.82,92.82,94755,0.0000,1.0
2020-10-21,88.14,91.425,88.14,90.67,90.67,77172,0.0000,1.0
2020-10-20,87.93,88.58,86.745,88.16,88.16,58229,0.0000,1.0
2020-10-19,88.44,88.85,87.48,87.64,87.64,80724,0.0000,1.0
2020-10-16,88.05,89.5,86.84,88.27,88.27,87637,0.0000,1.0
2020-10-15,88.04,89.525,88.0,88.34,88.34,101263,0.0000,1.0
2020-10-14,89.61,89.81,88.16,89.25,89.25,74089,0.0000,1.0
2020-10-13,88.58,90.01,88.01,89.61,89.61,91389,0.0000,1.0
2020-10-12,88.68,89.86,88.34,89.39,89.39,89789,0.0000,1.0
2020-10-09,89.77,90.04,87.35,88.82,88.82,91327,0.0000,1.0
2020-10-08,87.17,89.06,86.09,89.04,89.04,117451,0.0000,1.0
2020-10-07,86.67,86.8,85.24,86.31,86.31,133583,0.0000,1.0
2020-10-06,84.61,87.46,83.65,86.47,86.47,186660,0.0000,1.0
2020-10-05,84.81,85.66,83.85,84.15,84.15,153717,0.0000,1.0
2020-10-02,83.03,85.38,82.95,85.25,85.25,179799,0.0000,1.0
2020-10-01,84.22,84.3761,82.43,83.8,83.8,246837,0.0000,1.0
2020-09-30,86.3,87.7,83.5,84.3,84.3,3359606,0.0000,1.0
2020-09-29,86.02,86.63,84.74,86.01,86.01,489251,0.0000,1.0
2020-09-28,84.79,89.1,83.78,86.56,86.56,1039720,0.0000,1.0
2020-09-25,74.88,76.57,74.88,76.41,76.41,58897,0.0000,1.0
