timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,7.86,8.2199,7.86,8.01,8.01,123132,0.0000,1.0
2020-12-10,7.71,8.03,7.65,8.01,8.01,102149,0.0000,1.0
2020-12-09,7.77,7.9173,7.64,7.8,7.8,60924,0.0000,1.0
2020-12-08,7.78,8.03,7.76,7.77,7.77,46462,0.0000,1.0
2020-12-07,7.93,7.93,7.77,7.85,7.85,56237,0.0000,1.0
2020-12-04,7.63,8.0985,7.57,8.0,8.0,152863,0.0000,1.0
2020-12-03,7.64,7.71,7.5,7.62,7.62,71443,0.0000,1.0
2020-12-02,7.2718,7.6,7.2718,7.52,7.52,42354,0.0000,1.0
2020-12-01,7.7,7.74,7.43,7.49,7.49,54540,0.0000,1.0
2020-11-30,7.78,7.8908,7.6,7.63,7.63,70720,0.0000,1.0
2020-11-27,7.8,7.835,7.67,7.75,7.75,53642,0.0000,1.0
2020-11-25,7.78,8.05,7.54,7.82,7.82,114826,0.0000,1.0
2020-11-24,7.78,7.84,7.51,7.69,7.69,188754,0.0000,1.0
2020-11-23,7.6,7.83,7.5516,7.69,7.69,152401,0.0000,1.0
2020-11-20,7.55,7.6,7.495,7.52,7.52,38196,0.0000,1.0
2020-11-19,7.58,7.76,7.5,7.6,7.6,41104,0.0000,1.0
2020-11-18,7.75,7.91,7.65,7.65,7.65,73607,0.0000,1.0
2020-11-17,7.8463,7.8463,7.6,7.71,7.71,57508,0.0000,1.0
2020-11-16,8.04,8.04,7.5,7.8,7.8,81890,0.0000,1.0
2020-11-13,7.65,7.8,7.53,7.72,7.72,64576,0.0000,1.0
2020-11-12,7.86,7.948,7.4,7.53,7.53,62456,0.0000,1.0
2020-11-11,7.95,7.95,7.5,7.86,7.86,63726,0.0000,1.0
2020-11-10,7.7,8.17,7.68,7.92,7.92,110203,0.0000,1.0
2020-11-09,7.6,7.9,7.34,7.56,7.56,192135,0.0000,1.0
2020-11-06,7.43,7.57,7.19,7.25,7.25,38099,0.0000,1.0
2020-11-05,7.25,7.6,7.25,7.44,7.44,114444,0.0000,1.0
2020-11-04,7.25,7.4,7.0,7.2,7.2,73545,0.0000,1.0
2020-11-03,7.4,7.457,7.17,7.29,7.29,68151,0.0000,1.0
2020-11-02,7.32,7.4999,7.01,7.46,7.46,321287,0.0000,1.0
2020-10-30,7.21,7.39,7.21,7.39,7.39,64949,0.1000,1.0
2020-10-29,7.22,7.35,7.07,7.26,7.16307076101,83188,0.0000,1.0
2020-10-28,7.21,7.39,7.21,7.22,7.12360480641,96928,0.0000,1.0
2020-10-27,7.22,7.47,7.05,7.28,7.18280373832,95456,0.0000,1.0
