timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,4.02,4.03,3.867,4.02,4.02,25815,0.0000,1.0
2020-12-10,4.05,4.05,3.9444,4.02,4.02,48765,0.0000,1.0
2020-12-09,4.1,4.13,3.94,4.03,4.03,69098,0.0000,1.0
2020-12-08,4.0244,4.13,3.9911,4.05,4.05,86662,0.0000,1.0
2020-12-07,4.01,4.21,4.0,4.06,4.06,74261,0.0000,1.0
2020-12-04,4.09,4.11,4.01,4.06,4.06,14826,0.0000,1.0
2020-12-03,4.04,4.1,3.94,4.09,4.09,19095,0.0000,1.0
2020-12-02,4.0,4.02,3.8933,3.94,3.94,26278,0.0000,1.0
2020-12-01,4.0,4.07,4.0,4.03,4.03,10338,0.0000,1.0
2020-11-30,4.05,4.08,3.99,3.99,3.99,37840,0.0000,1.0
2020-11-27,4.015,4.08,4.0,4.03,4.03,28996,0.0000,1.0
2020-11-25,4.0,4.02,3.9676,4.02,4.02,10205,0.0000,1.0
2020-11-24,3.99,4.02,3.83,4.02,4.02,39717,0.0000,1.0
2020-11-23,4.1,4.1,3.9432,4.02,4.02,40765,0.0000,1.0
2020-11-20,3.99,4.03,3.89,4.0,4.0,26413,0.0000,1.0
2020-11-19,3.86,4.0,3.77,3.93,3.93,23025,0.0000,1.0
2020-11-18,3.84,3.98,3.77,3.86,3.86,32519,0.0000,1.0
2020-11-17,3.72,3.92,3.63,3.9,3.9,56919,0.0000,1.0
2020-11-16,3.65,3.74,3.62,3.74,3.74,76136,0.0000,1.0
2020-11-13,3.83,3.83,3.39,3.49,3.49,149457,0.0000,1.0
2020-11-12,3.96,4.0,3.77,3.9,3.9,29195,0.0000,1.0
2020-11-11,3.9301,4.04,3.68,3.95,3.95,80717,0.0000,1.0
2020-11-10,4.06,4.15,3.92,4.05,4.05,30796,0.0000,1.0
2020-11-09,4.01,4.15,4.01,4.04,4.04,22458,0.0000,1.0
2020-11-06,4.04,4.08,3.89,4.01,4.01,21131,0.0000,1.0
2020-11-05,3.86,4.23,3.81,4.09,4.09,53751,0.0000,1.0
2020-11-04,3.81,3.94,3.81,3.88,3.88,53126,0.0000,1.0
2020-11-03,3.74,3.86,3.726,3.83,3.83,45776,0.0000,1.0
2020-11-02,3.73,3.96,3.6911,3.75,3.75,21469,0.0000,1.0
2020-10-30,3.72,3.92,3.65,3.75,3.75,29763,0.0000,1.0
2020-10-29,3.83,3.85,3.71,3.75,3.75,24177,0.0000,1.0
2020-10-28,3.77,3.83,3.61,3.69,3.69,100614,0.0000,1.0
2020-10-27,3.85,4.13,3.8,3.8,3.8,14486,0.0000,1.0
2020-10-26,3.94,3.99,3.77,3.88,3.88,31068,0.0000,1.0
2020-10-23,4.01,4.16,3.8,3.91,3.91,135100,0.0000,1.0
