timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,81.95,82.598,81.95,82.598,82.598,3529,0.0000,1.0
2020-12-10,82.05,82.9532,82.05,82.8026,82.8026,2380,0.0000,1.0
2020-12-09,83.41,83.5,82.6,82.9125,82.9125,18696,0.0000,1.0
2020-12-08,83.05,83.4637,83.05,83.365,83.365,6732,0.0000,1.0
2020-12-07,83.02,83.265,83.0,83.0,83.0,6730,0.0000,1.0
2020-12-04,83.02,83.25,82.92,83.2398,83.2398,17655,0.0000,1.0
2020-12-03,82.5526,82.68,82.3801,82.4384,82.4384,4450,0.0000,1.0
2020-12-02,82.05,82.71,82.05,82.54,82.54,54811,0.0000,1.0
2020-12-01,81.85,82.6784,81.85,82.22,82.22,9030,0.0000,1.0
2020-11-30,81.6975,81.6975,80.995,81.4135,81.4135,2936,0.0000,1.0
2020-11-27,81.72,81.72,81.59,81.59,81.59,2008,0.0000,1.0
2020-11-25,81.57,81.57,81.232,81.5433,81.5433,10560,0.0000,1.0
2020-11-24,80.85,81.66,80.85,81.66,81.66,4749,0.0000,1.0
2020-11-23,80.17,80.545,79.8,80.269,80.269,8398,0.0000,1.0
2020-11-20,80.0,80.285,79.9845,79.9914,79.9914,6874,0.0000,1.0
2020-11-19,79.8,80.32,79.72,80.17,80.17,9451,0.0000,1.0
2020-11-18,80.81,80.99,80.0148,80.0148,80.0148,8005,0.0000,1.0
2020-11-17,80.5,81.0847,80.37,80.9061,80.9061,5967,0.0000,1.0
2020-11-16,81.06,81.1399,80.67,81.1075,81.1075,5483,0.0000,1.0
2020-11-13,79.8165,80.391,79.73,80.265,80.265,6414,0.0000,1.0
2020-11-12,79.52,79.795,78.631,78.9583,78.9583,6420,0.0000,1.0
2020-11-11,79.33,79.805,78.81,79.7707,79.7707,51053,0.0000,1.0
2020-11-10,78.99,79.181,78.299,78.994,78.994,4248,0.0000,1.0
2020-11-09,81.12,82.34,78.85,78.87,78.87,12646,0.0000,1.0
2020-11-06,78.8239,78.91,78.53,78.8046,78.8046,11833,0.0000,1.0
2020-11-05,78.74,79.31,78.74,79.0045,79.0045,19828,0.0000,1.0
2020-11-04,76.61,78.3638,76.57,77.793,77.793,6247,0.0000,1.0
2020-11-03,74.94,76.11,74.94,75.8504,75.8504,6274,0.0000,1.0
2020-11-02,74.33,74.5849,73.765,74.3224,74.3224,12083,0.0000,1.0
2020-10-30,73.1687,73.2468,72.72,73.2468,73.2468,12877,0.0000,1.0
2020-10-29,73.15,74.6116,73.15,74.3187,74.3187,12159,0.0000,1.0
2020-10-28,74.15,74.2612,73.3743,73.3743,73.3743,58860,0.0000,1.0
2020-10-27,76.09,76.3067,75.9262,75.9262,75.9262,20032,0.0000,1.0
2020-10-26,76.94,77.0748,75.57,76.23,76.23,15622,0.0000,1.0
2020-10-23,77.42,77.6184,77.02,77.6184,77.6184,8937,0.0000,1.0
2020-10-22,77.05,77.49,77.05,77.3685,77.3685,6577,0.0000,1.0
2020-10-21,77.44,77.6346,77.1811,77.2682,77.2682,8016,0.0000,1.0
2020-10-20,77.45,78.12,77.45,77.4752,77.4752,3602,0.0000,1.0
2020-10-19,78.85,78.85,77.0749,77.0749,77.0749,5993,0.0000,1.0
2020-10-16,78.76,79.1295,78.6,78.6,78.6,8686,0.0000,1.0
2020-10-15,78.17,78.6216,78.155,78.6216,78.6216,5297,0.0000,1.0
2020-10-14,79.4368,79.4368,78.7424,78.77,78.77,4004,0.0000,1.0
2020-10-13,79.6,79.6564,79.07,79.15,79.15,18719,0.0000,1.0
2020-10-12,78.58,79.8635,76.14,79.52,79.52,82426,0.0000,1.0
2020-10-09,78.44,78.44,78.099,78.2734,78.2734,2331,0.0000,1.0
2020-10-08,77.595,77.7534,77.53,77.7264,77.7264,5193,0.0000,1.0
2020-10-07,76.55,77.102,76.55,77.0754,77.0754,5263,0.0000,1.0
2020-10-06,77.1237,77.2094,75.6466,75.75,75.75,22415,0.0000,1.0
2020-10-05,76.779,77.0472,76.55,77.0472,77.0472,3253,0.0000,1.0
2020-10-02,76.05,76.17,75.55,75.8479,75.8479,6760,0.0000,1.0
2020-10-01,76.848,76.848,76.15,76.42,76.42,17254,0.0000,1.0
2020-09-30,75.82,76.7352,75.6728,76.2716,76.2716,5785,0.0000,1.0
2020-09-29,76.112,76.112,75.535,75.6391,75.6391,7897,0.0000,1.0
2020-09-28,75.5825,76.05,75.5825,75.8218,75.8218,7232,0.0000,1.0
2020-09-25,73.879,74.775,73.82,74.775,74.775,9542,0.0000,1.0
2020-09-24,73.09,74.18,73.09,73.54,73.54,5027,0.0000,1.0
2020-09-23,75.54,75.54,73.3232,73.3232,73.3232,10727,0.2160,1.0
2020-09-22,74.8,75.37,74.7201,75.37,75.1486532143,3935,0.0000,1.0
2020-09-21,74.1153,74.41,73.52,74.41,74.1914725445,13783,0.0000,1.0
2020-09-18,75.87,76.0791,75.041,75.3118,75.0906241362,12196,0.0000,1.0
2020-09-17,75.35,76.3675,75.35,76.0125,75.7892663189,8274,0.0000,1.0
2020-09-16,77.25,77.3501,76.6093,76.6093,76.3843136353,10163,0.0000,1.0
2020-09-15,76.9,77.3503,76.78,76.78,76.5545123232,10003,0.0000,1.0
2020-09-14,76.36,76.8553,76.36,76.637,76.4119322859,5420,0.0000,1.0
2020-09-11,76.2,76.22,74.935,75.5079,75.2861482293,11503,0.0000,1.0
2020-09-10,77.34,77.45,75.63,75.7616,75.5391031626,26131,0.0000,1.0
2020-09-09,76.39,77.4934,76.39,76.87,76.644248011,15953,0.0000,1.0
2020-09-08,75.73,76.4891,75.4,75.545,75.3231392739,8793,0.0000,1.0
2020-09-04,78.36,78.505,75.93,77.48,77.2524565616,31948,0.0000,1.0
2020-09-03,80.67,80.69,77.82,78.3674,78.1372504433,8612,0.0000,1.0
2020-09-02,80.61,81.45,80.315,81.43,81.1908561927,13975,0.0000,1.0
2020-09-01,79.7723,80.15,79.72,80.15,79.9146152996,29014,0.0000,1.0
2020-08-31,79.6536,79.84,79.47,79.47,79.2366123251,10582,0.0000,1.0
2020-08-28,79.87,79.87,79.4,79.6519,79.4179781208,9527,0.0000,1.0
2020-08-27,79.28,79.5555,78.955,79.16,78.9275227338,9584,0.0000,1.0
2020-08-26,78.6571,79.3176,78.6571,79.2767,79.043880009,6263,0.0000,1.0
2020-08-25,78.34,78.53,78.18,78.5,78.2694610233,8686,0.0000,1.0
2020-08-24,78.1668,78.3124,78.05,78.3124,78.0824119674,7151,0.0000,1.0
2020-08-21,77.54,77.595,77.37,77.56,77.3322216174,5895,0.0000,1.0
2020-08-20,76.71,77.575,76.71,77.54,77.3122803534,3646,0.0000,1.0
2020-08-19,77.68,77.8,77.2861,77.2861,77.0591260075,1755,0.0000,1.0
2020-08-18,77.665,77.82,77.48,77.6234,77.3954354241,3508,0.0000,1.0
2020-08-17,77.36,77.66,77.36,77.5418,77.3140750672,5593,0.0000,1.0
2020-08-14,76.88,77.4,76.88,77.37,77.1427796098,45385,0.0000,1.0
2020-08-13,77.2786,77.345,76.94,77.1484,76.9218304052,7426,0.0000,1.0
2020-08-12,76.57,77.2507,76.57,77.0934,76.8669919293,17171,0.0000,1.0
2020-08-11,76.95,77.0534,76.01,76.0816,75.8581633859,8150,0.0000,1.0
2020-08-10,76.265,76.7591,76.265,76.7591,76.5336737023,7239,0.0000,1.0
2020-08-07,76.2386,76.4401,76.2386,76.4401,76.2156105422,60726,0.0000,1.0
2020-08-06,75.7208,76.3674,75.7208,76.3516,76.1273704492,41190,0.0000,1.0
2020-08-05,75.82,75.82,75.5706,75.6539,75.4317194562,3335,0.0000,1.0
2020-08-04,75.01,75.3,75.01,75.3,75.0788587905,9843,0.0000,1.0
