timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.23,17.3795,17.2,17.21,17.21,117164,0.0000,1.0
2020-12-10,17.25,17.35,17.13,17.23,17.23,118552,0.0000,1.0
2020-12-09,17.4,17.43,17.2,17.28,17.28,121995,0.0000,1.0
2020-12-08,17.35,17.5975,17.21,17.28,17.28,105339,0.0000,1.0
2020-12-07,17.83,17.83,17.35,17.35,17.35,160578,0.0000,1.0
2020-12-04,17.69,17.75,17.57,17.66,17.66,103371,0.0000,1.0
2020-12-03,17.44,17.57,17.3,17.51,17.51,126040,0.0000,1.0
2020-12-02,17.31,17.5367,17.295,17.35,17.35,110387,0.0000,1.0
2020-12-01,17.52,17.52,17.28,17.29,17.29,151710,0.0000,1.0
2020-11-30,17.4,17.45,17.2174,17.28,17.28,144163,0.0000,1.0
2020-11-27,17.32,17.41,17.26,17.32,17.32,47773,0.0000,1.0
2020-11-25,17.13,17.37,17.1135,17.31,17.31,85772,0.0000,1.0
2020-11-24,17.46,17.46,17.1,17.15,17.15,153670,0.0000,1.0
2020-11-23,17.0,17.3,17.0,17.22,17.22,113228,0.0000,1.0
2020-11-20,17.02,17.19,16.82,16.91,16.91,89867,0.0000,1.0
2020-11-19,16.89,17.2788,16.8,17.02,17.02,84773,0.0000,1.0
2020-11-18,17.25,17.25,16.85,16.9,16.9,184228,0.0000,1.0
2020-11-17,16.7,17.2099,16.553,17.08,17.08,214383,0.0000,1.0
2020-11-16,16.15,16.72,16.08,16.66,16.66,564340,0.0000,1.0
2020-11-13,15.73,15.82,15.6,15.63,15.63,96054,0.0000,1.0
2020-11-12,15.66,15.8,15.57,15.6,15.6,67722,0.0000,1.0
2020-11-11,15.63,15.6999,15.6,15.63,15.63,80753,0.0000,1.0
2020-11-10,15.41,15.74,15.41,15.58,15.58,161645,0.0000,1.0
2020-11-09,15.36,15.65,15.08,15.38,15.38,172111,0.0000,1.0
2020-11-06,15.19,15.36,15.01,15.18,15.18,77642,0.0000,1.0
2020-11-05,15.26,15.45,15.15,15.3,15.3,108473,0.0000,1.0
2020-11-04,15.0,15.45,14.99,15.26,15.26,259450,0.0000,1.0
