timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,32.55,33.24,32.49,32.91,32.91,1744004,0.0000,1.0
2020-12-10,32.29,32.64,32.14,32.55,32.55,2241600,0.0000,1.0
2020-12-09,32.23,32.54,31.84,32.39,32.39,1302337,0.0000,1.0
2020-12-08,32.6,32.7,32.07,32.07,32.07,1055330,0.0000,1.0
2020-12-07,32.59,32.98,32.41,32.55,32.55,1457705,0.0000,1.0
2020-12-04,32.7,33.06,32.35,32.75,32.75,778876,0.0000,1.0
2020-12-03,32.3,32.74,32.2788,32.57,32.57,941336,0.0000,1.0
2020-12-02,32.54,32.86,32.06,32.23,32.23,792870,0.0000,1.0
2020-12-01,32.76,32.88,32.48,32.59,32.59,1092726,0.0000,1.0
2020-11-30,31.94,32.63,31.77,32.53,32.53,1541453,0.0000,1.0
2020-11-27,32.66,32.779,31.72,31.87,31.87,262637,0.0000,1.0
2020-11-25,32.14,32.69,31.98,32.69,32.69,1110806,0.0000,1.0
2020-11-24,32.43,32.65,31.99,32.08,32.08,1445882,0.0000,1.0
2020-11-23,33.22,33.46,32.14,32.24,32.24,884242,0.0000,1.0
2020-11-20,33.19,33.35,32.88,33.18,33.18,959861,0.0000,1.0
2020-11-19,32.76,33.28,32.43,33.26,33.26,778840,0.0000,1.0
2020-11-18,33.85,34.05,32.96,32.99,32.99,755194,0.0000,1.0
2020-11-17,33.76,34.69,33.555,33.84,33.84,1539580,0.0000,1.0
2020-11-16,34.59,34.69,33.02,33.91,33.91,2058812,0.0000,1.0
2020-11-13,33.72,34.165,33.56,34.0,34.0,1398768,0.0000,1.0
2020-11-12,34.04,34.04,33.3,33.55,33.55,1455797,0.0000,1.0
2020-11-11,33.33,33.81,33.05,33.7,33.7,1891190,0.0000,1.0
2020-11-10,31.24,33.33,31.16,33.22,33.22,2536840,0.0000,1.0
2020-11-09,35.25,35.771,31.23,31.24,31.24,3024652,0.0000,1.0
