timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,19.61,19.93,19.6,19.65,19.65,243322,0.0000,1.0
2020-12-10,19.53,19.86,19.1,19.83,19.83,271121,0.0000,1.0
2020-12-09,19.93,19.93,19.58,19.75,19.75,299635,0.0000,1.0
2020-12-08,19.5,19.8,19.5,19.76,19.76,222376,0.0000,1.0
2020-12-07,19.5,19.78,19.38,19.69,19.69,254368,0.0000,1.0
2020-12-04,19.49,19.81,19.31,19.77,19.77,221003,0.0000,1.0
2020-12-03,19.4,19.54,19.02,19.25,19.25,193532,0.0000,1.0
2020-12-02,19.29,19.6,19.19,19.42,19.42,278455,0.0000,1.0
2020-12-01,19.4,19.59,19.09,19.29,19.29,439558,0.0000,1.0
2020-11-30,19.67,19.8502,18.91,18.99,18.99,419680,0.0000,1.0
2020-11-27,20.2,20.2,19.71,19.99,19.99,159039,0.0000,1.0
2020-11-25,20.52,20.52,20.02,20.3,20.3,395715,0.0000,1.0
2020-11-24,20.36,21.04,20.36,20.76,20.76,617245,0.0000,1.0
2020-11-23,20.2,20.25,19.92,20.13,20.13,300211,0.0000,1.0
2020-11-20,19.68,20.24,19.67,19.9,19.9,342996,0.0000,1.0
2020-11-19,20.17,20.22,19.87,20.15,20.15,271930,0.0000,1.0
2020-11-18,21.09,21.11,20.255,20.26,20.26,314205,0.0000,1.0
2020-11-17,20.73,20.95,20.31,20.94,20.94,356261,0.0000,1.0
2020-11-16,20.8,21.14,20.33,21.04,21.04,375464,0.0000,1.0
2020-11-13,19.84,20.26,19.82,20.13,20.13,312563,0.0000,1.0
2020-11-12,19.7,20.29,19.29,19.56,19.56,356776,0.0000,1.0
2020-11-11,21.02,21.02,19.81,20.06,20.06,316627,0.0000,1.0
2020-11-10,20.86,21.34,20.48,20.98,20.98,634089,0.0000,1.0
2020-11-09,19.302,21.09,18.1,20.53,20.53,756748,0.0000,1.0
2020-11-06,17.61,17.9,17.3801,17.75,17.75,564850,0.0000,1.0
2020-11-05,16.76,17.315,16.76,17.145,17.145,263555,0.0000,1.0
2020-11-04,17.82,17.82,16.645,16.73,16.73,400502,0.0000,1.0
2020-11-03,18.1,18.51,18.07,18.27,18.27,461381,0.0000,1.0
2020-11-02,17.77,18.0,17.435,18.0,18.0,345684,0.0000,1.0
2020-10-30,17.34,17.67,17.34,17.5,17.5,550485,0.0000,1.0
2020-10-29,17.04,17.48,16.86,17.4,17.4,336206,0.0000,1.0
2020-10-28,17.34,17.67,17.08,17.1,17.1,413799,0.0000,1.0
2020-10-27,18.19,18.3027,17.71,17.71,17.71,282267,0.0000,1.0
2020-10-26,18.35,18.35,17.83,18.27,18.27,361295,0.0000,1.0
2020-10-23,18.5,18.93,18.27,18.5,18.5,334140,0.0000,1.0
2020-10-22,17.66,18.39,17.66,18.33,18.33,357692,0.0000,1.0
2020-10-21,17.86,18.18,17.81,17.84,17.84,198580,0.0000,1.0
2020-10-20,17.81,18.12,17.71,17.81,17.81,244116,0.0000,1.0
2020-10-19,17.96,18.1,17.59,17.6,17.6,207550,0.0000,1.0
2020-10-16,17.74,18.01,17.53,17.87,17.87,285178,0.0000,1.0
2020-10-15,17.09,17.9,17.09,17.86,17.86,267630,0.0000,1.0
2020-10-14,17.66,17.79,17.25,17.27,17.27,239803,0.0000,1.0
2020-10-13,18.19,18.35,17.56,17.6,17.6,274681,0.0000,1.0
2020-10-12,17.79,18.35,17.2795,18.26,18.26,330458,0.0000,1.0
2020-10-09,18.0,18.07,17.84,17.9,17.9,237829,0.0000,1.0
2020-10-08,17.84,17.98,17.65,17.89,17.89,332248,0.0000,1.0
2020-10-07,17.55,17.87,17.48,17.68,17.68,512316,0.0000,1.0
2020-10-06,17.36,17.86,17.2,17.34,17.34,589009,0.1800,1.0
2020-10-05,17.09,17.43,16.97,17.36,17.1816438356,353168,0.0000,1.0
2020-10-02,16.26,17.03,16.26,16.89,16.7164726027,336849,0.0000,1.0
2020-10-01,16.59,16.8,16.26,16.54,16.3700684932,339169,0.0000,1.0
2020-09-30,16.64,16.81,16.44,16.63,16.4591438356,760327,0.0000,1.0
2020-09-29,16.58,16.6,16.26,16.55,16.3799657534,339195,0.0000,1.0
2020-09-28,16.32,16.725,16.28,16.67,16.4987328767,520655,0.0000,1.0
2020-09-25,15.8,16.11,15.8,16.07,15.9048972603,503093,0.0000,1.0
2020-09-24,15.82,16.15,15.57,15.99,15.8257191781,382859,0.0000,1.0
2020-09-23,16.15,17.35,15.77,15.77,15.6079794521,588289,0.0000,1.0
2020-09-22,16.41,16.82,16.025,16.115,15.9494349315,666274,0.0000,1.0
2020-09-21,16.82,17.31,16.11,16.355,16.1869691781,735065,0.0000,1.0
2020-09-18,17.14,17.28,16.83,17.22,17.0430821918,2560576,0.0000,1.0
2020-09-17,16.97,17.13,16.935,17.01,16.835239726,547268,0.0000,1.0
2020-09-16,16.9,17.426,16.81,17.09,16.9144178082,676793,0.0000,1.0
2020-09-15,17.26,17.26,16.85,16.9,16.726369863,387274,0.0000,1.0
2020-09-14,17.08,17.36,16.99,17.16,16.9836986301,406093,0.0000,1.0
2020-09-11,17.29,17.33,17.0,17.08,16.9045205479,339932,0.0000,1.0
2020-09-10,17.4,17.47,17.01,17.15,16.9738013699,487094,0.0000,1.0
2020-09-09,17.67,18.3,17.29,17.35,17.1717465753,414471,0.0000,1.0
2020-09-08,18.31,18.315,17.46,17.64,17.4587671233,491714,0.0000,1.0
2020-09-04,18.54,18.69,18.15,18.51,18.3198287671,404543,0.0000,1.0
2020-09-03,18.18,18.73,18.11,18.18,17.9932191781,339325,0.0000,1.0
2020-09-02,18.04,18.33,17.96,18.08,17.8942465753,410719,0.0000,1.0
2020-09-01,18.11,18.34,17.97,18.11,17.9239383562,420851,0.0000,1.0
2020-08-31,18.29,18.5,18.17,18.21,18.0229109589,485970,0.0000,1.0
2020-08-28,18.69,18.69,18.29,18.42,18.2307534247,269224,0.0000,1.0
2020-08-27,18.31,18.69,18.29,18.55,18.3594178082,361998,0.0000,1.0
2020-08-26,18.53,18.61,18.24,18.26,18.0723972603,301986,0.0000,1.0
2020-08-25,18.93,19.03,18.52,18.635,18.4435445205,268317,0.0000,1.0
2020-08-24,18.37,18.74,18.08,18.69,18.4979794521,308428,0.0000,1.0
2020-08-21,18.05,18.31,17.97,18.18,17.9932191781,358127,0.0000,1.0
2020-08-20,18.32,18.815,18.15,18.22,18.0328082192,307174,0.0000,1.0
2020-08-19,18.48,18.78,18.38,18.58,18.389109589,323571,0.0000,1.0
2020-08-18,18.88,18.88,18.315,18.37,18.1812671233,313513,0.0000,1.0
2020-08-17,19.04,19.27,18.77,18.88,18.6860273973,282895,0.0000,1.0
2020-08-14,18.84,19.27,18.76,19.125,18.928510274,290658,0.0000,1.0
2020-08-13,19.08,19.2,18.91,19.01,18.8146917808,303257,0.0000,1.0
2020-08-12,19.87,19.87,19.12,19.24,19.0423287671,366753,0.0000,1.0
2020-08-11,19.54,19.815,19.3,19.43,19.2303767123,442481,0.0000,1.0
2020-08-10,19.14,19.63,18.97,19.24,19.0423287671,343651,0.0000,1.0
2020-08-07,18.1,19.06,18.05,19.05,18.8542808219,524544,0.0000,1.0
2020-08-06,18.19,18.355,18.01,18.25,18.0625,274048,0.0000,1.0
2020-08-05,18.03,18.33,17.92,18.285,18.097140411,549654,0.0000,1.0
2020-08-04,17.94,18.14,17.68,17.955,17.7705308219,428231,0.0000,1.0
2020-08-03,18.11,18.29,17.77,18.04,17.8546575342,521272,0.0000,1.0
2020-07-31,17.97,18.08,17.62,18.07,17.8843493151,720340,0.0000,1.0
2020-07-30,17.98,18.18,17.76,18.03,17.844760274,502781,0.0000,1.0
2020-07-29,17.85,18.36,17.75,18.34,18.1515753425,654850,0.0000,1.0
2020-07-28,17.96,18.35,17.86,17.89,17.7061986301,640134,0.0000,1.0
2020-07-27,18.58,18.59,17.96,18.14,17.953630137,647544,0.0000,1.0
2020-07-24,18.82,19.15,18.67,18.68,18.4880821918,690814,0.0000,1.0
2020-07-23,19.0,19.35,18.395,18.91,18.7157191781,640852,0.0000,1.0
2020-07-22,18.31,18.37,17.88,18.02,17.8348630137,363703,0.0000,1.0
2020-07-21,17.79,18.44,17.46,18.44,18.2505479452,572731,0.0000,1.0
2020-07-20,17.71,17.82,17.45,17.54,17.3597945205,361971,0.0000,1.0
2020-07-17,18.01,18.19,17.71,17.74,17.557739726,503034,0.0000,1.0
2020-07-16,17.88,18.32,17.69,18.15,17.9635273973,395300,0.0000,1.0
2020-07-15,17.85,18.21,17.7,18.06,17.8744520548,563617,0.0000,1.0
2020-07-14,17.67,17.81,17.18,17.44,17.2608219178,437951,0.0000,1.0
2020-07-13,17.52,18.02,17.24,17.73,17.5478424658,802727,0.0000,1.0
2020-07-10,16.73,17.32,16.73,17.27,17.0925684932,725611,0.0000,1.0
2020-07-09,17.07,17.15,16.62,16.7,16.5284246575,598947,0.0000,1.0
2020-07-08,17.51,17.64,16.92,17.22,17.0430821918,844878,0.1800,1.0
