timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.21,17.21,16.9,16.98,16.98,3721,0.0000,1.0
2020-12-10,17.16,17.16,16.75,16.92,16.92,15054,0.0000,1.0
2020-12-09,16.93,17.0,16.85,16.93,16.93,12835,0.0000,1.0
2020-12-08,16.5,17.0,16.5,16.93,16.93,27788,0.0000,1.0
2020-12-07,16.75,16.93,16.75,16.84,16.84,13394,0.0000,1.0
2020-12-04,16.76,17.14,16.76,17.14,17.14,15513,0.0000,1.0
2020-12-03,16.72,16.95,16.72,16.86,16.86,2440,0.0000,1.0
2020-12-02,16.91,16.98,16.76,16.86,16.86,10490,0.0000,1.0
2020-12-01,17.0,17.0,16.8,16.92,16.92,7016,0.0000,1.0
2020-11-30,16.73,16.95,16.5,16.79,16.79,10817,0.0000,1.0
2020-11-27,16.84,17.0,16.5,16.87,16.87,5431,0.0000,1.0
2020-11-25,16.6,17.0,16.5,16.98,16.98,10502,0.0000,1.0
2020-11-24,16.34,17.06,16.0701,17.0,17.0,51425,0.0000,1.0
2020-11-23,15.958,15.958,15.66,15.91,15.91,7056,0.0000,1.0
2020-11-20,15.8,15.95,15.7001,15.91,15.91,7234,0.0000,1.0
2020-11-19,15.99,16.0,15.96,16.0,16.0,4238,0.0000,1.0
2020-11-18,16.1,16.1,15.86,15.86,15.86,6693,0.0000,1.0
2020-11-17,16.29,16.29,15.66,15.96,15.96,18921,0.0000,1.0
2020-11-16,15.54,16.32,15.54,16.3,16.3,16265,0.0000,1.0
2020-11-13,14.2701,15.17,14.2701,15.11,15.11,8116,0.0000,1.0
2020-11-12,14.735,14.9725,14.21,14.85,14.85,7196,0.0000,1.0
2020-11-11,14.93,14.93,14.48,14.85,14.85,11296,0.0000,1.0
2020-11-10,14.52,15.25,14.52,14.85,14.85,19128,0.0000,1.0
2020-11-09,14.11,15.0,14.11,14.33,14.33,28628,0.0000,1.0
2020-11-06,13.56,13.68,13.27,13.31,13.31,8414,0.0000,1.0
2020-11-05,13.4,13.6,13.1,13.38,13.38,14038,0.0000,1.0
2020-11-04,13.66,13.78,13.19,13.38,13.38,7818,0.0000,1.0
2020-11-03,13.75,14.05,13.75,14.0,14.0,23112,0.0000,1.0
2020-11-02,13.51,13.69,13.43,13.69,13.69,5149,0.0000,1.0
2020-10-30,13.05,13.56,12.9,13.46,13.46,20347,0.0000,1.0
2020-10-29,13.09,13.5,12.8,13.09,13.09,24931,0.0000,1.0
2020-10-28,13.05,13.32,12.84,13.17,13.17,10990,0.0000,1.0
2020-10-27,13.48,13.61,13.2,13.33,13.33,8605,0.0000,1.0
2020-10-26,13.505,13.75,13.13,13.73,13.73,5893,0.1000,1.0
2020-10-23,14.0,14.335,13.91,13.91,13.8094215474,12923,0.0000,1.0
2020-10-22,13.65,14.0,13.65,13.91,13.8094215474,7545,0.0000,1.0
2020-10-21,13.52,13.62,13.52,13.58,13.4818076645,4283,0.0000,1.0
2020-10-20,13.48,13.58,13.39,13.58,13.4818076645,2505,0.0000,1.0
2020-10-19,13.04,13.32,13.04,13.32,13.2236876356,1991,0.0000,1.0
2020-10-16,13.2,13.71,13.18,13.39,13.2931814895,11472,0.0000,1.0
2020-10-15,13.0,13.5,13.0,13.5,13.4023861171,3873,0.0000,1.0
2020-10-14,13.53,13.58,13.01,13.5,13.4023861171,10138,0.0000,1.0
2020-10-13,13.83,13.83,13.64,13.65,13.5513015184,3928,0.0000,1.0
2020-10-12,14.0,14.0,13.93,13.93,13.8292769342,9206,0.0000,1.0
2020-10-09,13.75,14.25,13.75,14.0,13.8987707881,5416,0.0000,1.0
2020-10-08,14.15,14.15,13.92,14.02,13.918626175,6667,0.0000,1.0
2020-10-07,14.07,14.165,14.0,14.1,13.9980477223,11979,0.0000,1.0
2020-10-06,13.96,14.715,13.91,13.91,13.8094215474,11529,0.0000,1.0
2020-10-05,13.865,14.225,13.5914,14.0,13.8987707881,6062,0.0000,1.0
2020-10-02,12.71,13.27,12.71,13.06,12.9655676067,5975,0.0000,1.0
2020-10-01,13.1,13.18,12.93,12.93,12.8365075922,7859,0.0000,1.0
2020-09-30,12.8,13.1,12.8,13.1,13.0052783803,13705,0.0000,1.0
2020-09-29,12.795,12.85,12.78,12.85,12.7570860448,5077,0.0000,1.0
2020-09-28,12.5601,13.0,12.5601,12.85,12.7570860448,6699,0.0000,1.0
2020-09-25,12.66,12.95,12.26,12.5,12.4096167751,22185,0.0000,1.0
2020-09-24,12.38,12.54,12.08,12.41,12.3202675343,10667,0.0000,1.0
2020-09-23,12.75,12.75,12.15,12.44,12.3500506146,22099,0.0000,1.0
2020-09-22,12.8,12.82,12.5,12.65,12.5585321764,24360,0.0000,1.0
2020-09-21,12.82,12.99,12.5,12.7,12.6081706435,38723,0.0000,1.0
2020-09-18,13.07,13.12,12.641,13.12,13.0251337672,36804,0.0000,1.0
