timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,51.01,52.41,51.0,52.28,52.28,215293,0.0000,1.0
2020-12-10,50.92,51.31,50.42,51.2,51.2,151394,0.0000,1.0
2020-12-09,50.15,50.89,50.0,50.84,50.84,221926,0.0000,1.0
2020-12-08,49.79,50.12,49.25,49.92,49.92,158979,0.0000,1.0
2020-12-07,49.46,49.9,49.0405,49.82,49.82,158220,0.0000,1.0
2020-12-04,48.99,49.57,48.9,49.46,49.46,172393,0.0000,1.0
2020-12-03,49.5,50.14,48.97,49.1,49.1,144114,0.0000,1.0
2020-12-02,49.56,49.91,48.88,49.62,49.62,156499,0.0000,1.0
2020-12-01,49.96,50.33,49.13,49.46,49.46,200017,0.0000,1.0
2020-11-30,50.18,50.18,49.115,49.48,49.48,251547,0.0000,1.0
2020-11-27,50.68,50.77,49.985,50.36,50.36,72230,0.0000,1.0
2020-11-25,51.16,51.35,50.36,50.98,50.98,114194,0.0000,1.0
2020-11-24,51.22,51.85,50.92,51.16,51.16,312770,0.0000,1.0
2020-11-23,50.75,50.96,50.25,50.53,50.53,216094,0.0000,1.0
2020-11-20,49.72,50.74,49.72,50.34,50.34,230864,0.0000,1.0
2020-11-19,50.29,50.29,49.38,50.04,50.04,136499,0.0000,1.0
2020-11-18,52.11,52.17,50.1,50.23,50.23,172845,0.0000,1.0
2020-11-17,52.69,52.74,51.16,51.98,51.98,274964,0.0000,1.0
2020-11-16,53.0,53.55,52.19,53.52,53.52,211359,0.0000,1.0
2020-11-13,51.99,52.45,51.27,52.38,52.38,174798,0.0000,1.0
2020-11-12,52.57,52.57,50.55,51.53,51.53,213146,0.0000,1.0
2020-11-11,53.45,53.45,51.78,53.17,53.17,171681,0.0000,1.0
2020-11-10,51.22,53.67,50.97,53.35,53.35,381141,0.0000,1.0
2020-11-09,48.3,51.43,48.3,50.63,50.63,335536,0.0000,1.0
2020-11-06,46.92,47.21,46.02,46.66,46.66,194364,0.2125,1.0
2020-11-05,45.75,46.83,45.45,46.01,45.8014102085,127829,0.0000,1.0
2020-11-04,45.88,46.845,45.15,45.48,45.2738130034,156244,0.0000,1.0
2020-11-03,46.31,46.76,45.8,46.54,46.3290074137,171436,0.0000,1.0
2020-11-02,44.85,45.88,44.61,45.73,45.5226796096,220067,0.0000,1.0
2020-10-30,45.44,45.665,44.26,44.57,44.3679385567,521144,0.0000,1.0
2020-10-29,45.55,46.46,44.5,45.38,45.1742663609,215993,0.0000,1.0
2020-10-28,46.78,47.06,45.64,45.72,45.5127249453,177401,0.0000,1.0
2020-10-27,47.32,47.89,46.99,47.3,47.0855618966,164321,0.0000,1.0
2020-10-26,47.87,48.1,47.16,47.34,47.1253805536,185206,0.0000,1.0
2020-10-23,47.68,48.22,47.53,48.18,47.9615723505,158165,0.0000,1.0
2020-10-22,46.7,47.7,46.7,47.55,47.3344285029,201576,0.0000,1.0
2020-10-21,46.28,46.96,46.155,46.69,46.4783273775,160633,0.0000,1.0
2020-10-20,45.97,46.27,45.46,46.16,45.9507301723,250071,0.0000,1.0
2020-10-19,46.33,46.63,45.6,45.66,45.4529969598,150803,0.0000,1.0
2020-10-16,45.72,46.46,45.038,46.27,46.060231479,323256,0.0000,1.0
2020-10-15,45.06,45.79,45.06,45.71,45.5027702811,197824,0.0000,1.0
2020-10-14,45.57,46.04,45.14,45.36,45.1543570324,188012,0.0000,1.0
2020-10-13,45.87,46.36,45.26,45.72,45.5127249453,206566,0.0000,1.0
2020-10-12,44.9,46.59,44.9,46.43,46.219506107,219597,0.0000,1.0
2020-10-09,44.92,45.19,44.27,44.93,44.7263064697,171255,0.0000,1.0
2020-10-08,44.98,45.56,44.57,45.01,44.8059437837,191776,0.0000,1.0
2020-10-07,45.12,45.14,44.26,44.63,44.4276665422,209138,0.0000,1.0
2020-10-06,45.14,45.7,44.78,45.02,44.8158984479,228333,0.0000,1.0
2020-10-05,45.2,45.2,44.4,44.83,44.6267598272,132023,0.0000,1.0
2020-10-02,44.19,45.12,44.05,44.9,44.6964424769,187384,0.0000,1.0
2020-10-01,43.46,44.65,43.45,44.64,44.4376212065,243303,0.0000,1.0
2020-09-30,43.83,43.935,42.95,43.45,43.2530161609,382307,0.0000,1.0
2020-09-29,43.62,43.85,42.82,43.44,43.2430614966,291317,0.0000,1.0
2020-09-28,42.96,43.98,42.86,43.55,43.3525628033,243208,0.0000,1.0
2020-09-25,42.03,42.775,42.01,42.73,42.536280335,175299,0.0000,1.0
2020-09-24,41.71,42.56,41.622,42.23,42.0385471225,208954,0.0000,1.0
2020-09-23,42.94,43.07,41.62,41.66,41.4711312603,207132,0.0000,1.0
2020-09-22,42.89,43.25,42.16,42.87,42.6756456344,319750,0.0000,1.0
2020-09-21,41.48,42.92,41.34,42.79,42.5960083204,359238,0.0000,1.0
2020-09-18,42.65,42.65,41.19,41.85,41.6602698811,667549,0.0000,1.0
2020-09-17,43.0,43.0,41.91,42.27,42.0783657795,307321,0.0000,1.0
2020-09-16,43.19,43.77,43.09,43.19,42.9941948904,286251,0.0000,1.0
2020-09-15,43.94,44.05,43.07,43.19,42.9941948904,160161,0.0000,1.0
2020-09-14,43.91,44.06,43.62,43.75,43.5516560883,236627,0.0000,1.0
2020-09-11,44.6,44.65,43.59,43.71,43.5118374313,267003,0.0000,1.0
2020-09-10,45.03,45.04,44.24,44.26,44.059343965,232114,0.0000,1.0
2020-09-09,45.27,45.85,44.42,44.92,44.7163518054,219729,0.0000,1.0
2020-09-08,45.99,45.99,44.67,45.16,44.9552637474,291088,0.0000,1.0
2020-09-04,46.34,46.55,45.2,45.88,45.6719995733,261833,0.0000,1.0
2020-09-03,46.21,46.88,45.56,45.95,45.7416822231,202765,0.0000,1.0
2020-09-02,44.78,46.26,44.78,45.96,45.7516368873,174591,0.0000,1.0
2020-09-01,45.24,45.24,44.43,44.86,44.6566238199,244597,0.0000,1.0
2020-08-31,46.05,46.34,45.31,45.34,45.1344477039,292335,0.0000,1.0
2020-08-28,45.0,46.2,44.09,46.05,45.8412288655,307230,0.0000,1.0
2020-08-27,46.5,47.195,46.3,46.7,46.4882820417,251955,0.0000,1.0
2020-08-26,47.21,47.21,46.095,46.25,46.0403221505,215550,0.0000,1.0
2020-08-25,47.19,47.68,47.05,47.41,47.1950632034,196087,0.0000,1.0
2020-08-24,46.68,47.21,46.215,47.12,46.9063779402,159812,0.0000,1.0
2020-08-21,46.85,47.36,46.4,46.63,46.418599392,290947,0.0000,1.0
2020-08-20,47.0,47.45,46.8,47.11,46.8964232759,216179,0.0000,1.0
2020-08-19,48.26,48.32,47.12,47.2,46.9860152541,190400,0.0000,1.0
2020-08-18,48.07,48.34,47.68,48.16,47.941663022,181139,0.0000,1.0
2020-08-17,48.52,48.66,48.05,48.24,48.021300336,162282,0.0000,1.0
2020-08-14,48.15,48.64,47.9,48.44,48.220393621,143215,0.0000,1.0
2020-08-13,48.41,48.74,48.01,48.37,48.1507109713,187525,0.0000,1.0
2020-08-12,48.39,49.38,48.2,48.63,48.4095322417,303521,0.0000,1.0
2020-08-11,49.04,49.36,47.7,47.93,47.7127057443,160084,0.0000,1.0
2020-08-10,49.1,49.93,48.78,48.98,48.7579454904,237624,0.0000,1.0
2020-08-07,46.54,48.895,46.54,48.82,48.5986708624,222755,0.2125,1.0
2020-08-06,46.99,47.14,46.52,46.96,46.5445079019,209971,0.0000,1.0
2020-08-05,46.65,46.98,46.2,46.91,46.4949502913,251961,0.0000,1.0
2020-08-04,46.74,46.84,45.95,46.65,46.237250716,254427,0.0000,1.0
2020-08-03,46.72,47.01,46.01,46.98,46.5643309462,288998,0.0000,1.0
2020-07-31,47.91,48.52,46.52,46.87,46.4553042028,961058,0.0000,1.0
2020-07-30,48.83,50.185,47.63,48.04,47.6149522915,299131,0.0000,1.0
2020-07-29,49.45,50.29,48.98,49.38,48.9430962563,308378,0.0000,1.0
2020-07-28,49.12,49.57,48.91,48.95,48.5169008049,315921,0.0000,1.0
2020-07-27,49.82,50.06,48.93,49.25,48.8142464687,241215,0.0000,1.0
2020-07-24,50.55,50.78,49.03,49.72,49.2800880086,227739,0.0000,1.0
2020-07-23,50.03,50.84,49.95,50.54,50.0928328229,218999,0.0000,1.0
2020-07-22,49.08,50.265,48.98,50.02,49.5774336724,229794,0.0000,1.0
2020-07-21,48.86,49.7,48.86,49.67,49.230530398,238600,0.0000,1.0
2020-07-20,49.12,49.33,48.21,48.55,48.1204399199,152299,0.0000,1.0
2020-07-17,48.44,49.39,48.43,49.32,48.8836271236,174222,0.0000,1.0
2020-07-16,47.93,48.6,47.7,48.28,47.8528288225,198272,0.0000,1.0
2020-07-15,48.17,48.99,47.8,48.0,47.575306203,252412,0.0000,1.0
2020-07-14,47.05,47.83,47.05,47.47,47.0499955303,152390,0.0000,1.0
2020-07-13,47.59,48.04,46.72,46.95,46.5345963798,239573,0.0000,1.0
2020-07-10,47.03,48.03,46.8,47.99,47.5653946809,222600,0.0000,1.0
2020-07-09,47.51,47.51,45.68,46.71,46.2967198488,200313,0.0000,1.0
