timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,1.115,1.15,1.015,1.0301,1.0301,248295,0.0000,1.0
2020-12-10,1.16,1.16,1.11,1.13,1.13,62080,0.0000,1.0
2020-12-09,1.1497,1.17,1.13,1.14,1.14,78295,0.0000,1.0
2020-12-08,1.18,1.19,1.137,1.16,1.16,122121,0.0000,1.0
2020-12-07,1.19,1.19,1.18,1.185,1.185,58333,0.0000,1.0
2020-12-04,1.19,1.19,1.18,1.18,1.18,29862,0.0000,1.0
2020-12-03,1.19,1.2,1.18,1.18,1.18,186590,0.0000,1.0
2020-12-02,1.18,1.19,1.18,1.189,1.189,44620,0.0000,1.0
2020-12-01,1.19,1.19,1.18,1.18,1.18,83092,0.0000,1.0
2020-11-30,1.19,1.2,1.18,1.18,1.18,83854,0.0000,1.0
2020-11-27,1.19,1.1901,1.18,1.18,1.18,100849,0.0000,1.0
2020-11-25,1.19,1.2,1.18,1.2,1.2,156975,0.0000,1.0
2020-11-24,1.19,1.2,1.18,1.19,1.19,66821,0.0000,1.0
2020-11-23,1.2,1.2,1.18,1.18,1.18,85455,0.0000,1.0
2020-11-20,1.19,1.2,1.19,1.2,1.2,29761,0.0000,1.0
2020-11-19,1.19,1.2,1.19,1.195,1.195,48286,0.0000,1.0
2020-11-18,1.195,1.2,1.19,1.19,1.19,17354,0.0000,1.0
2020-11-17,1.19,1.2,1.19,1.195,1.195,15592,0.0000,1.0
2020-11-16,1.19,1.2,1.183,1.2,1.2,222577,0.0000,1.0
2020-11-13,1.19,1.2,1.19,1.2,1.2,50331,0.0000,1.0
2020-11-12,1.19,1.199,1.185,1.1901,1.1901,34077,0.0000,1.0
2020-11-11,1.18,1.195,1.18,1.19,1.19,28456,0.0000,1.0
2020-11-10,1.2,1.2,1.18,1.19,1.19,35780,0.0000,1.0
2020-11-09,1.19,1.2,1.18,1.1901,1.1901,42649,0.0000,1.0
2020-11-06,1.19,1.2,1.1847,1.1901,1.1901,43110,0.0000,1.0
2020-11-05,1.19,1.2,1.185,1.195,1.195,73741,0.0000,1.0
2020-11-04,1.19,1.2,1.19,1.19,1.19,54307,0.0000,1.0
2020-11-03,1.195,1.2,1.1901,1.1905,1.1905,18175,0.0000,1.0
2020-11-02,1.2,1.2,1.19,1.1906,1.1906,27111,0.0000,1.0
2020-10-30,1.2,1.2,1.17,1.195,1.195,224387,0.0000,1.0
2020-10-29,1.18,1.2,1.18,1.2,1.2,159545,0.0000,1.0
2020-10-28,1.18,1.1899,1.18,1.18,1.18,20281,0.0000,1.0
2020-10-27,1.18,1.19,1.17,1.18,1.18,106348,0.0000,1.0
2020-10-26,1.18,1.19,1.17,1.17,1.17,61459,0.0000,1.0
2020-10-23,1.18,1.19,1.18,1.18,1.18,84901,0.0000,1.0
2020-10-22,1.18,1.19,1.17,1.1801,1.1801,71324,0.0000,1.0
2020-10-21,1.19,1.19,1.17,1.18,1.18,361026,0.0000,1.0
2020-10-20,1.17,1.25,1.1637,1.18,1.18,1039086,0.0000,1.0
2020-10-19,1.18,1.19,1.17,1.1801,1.1801,9160,0.0000,1.0
2020-10-16,1.18,1.19,1.17,1.18,1.18,113487,0.0000,1.0
2020-10-15,1.18,1.18,1.16,1.17,1.17,49315,0.0000,1.0
2020-10-14,1.17,1.18,1.1601,1.18,1.18,30447,0.0000,1.0
2020-10-13,1.17,1.17,1.16,1.1617,1.1617,36514,0.0000,1.0
2020-10-12,1.16,1.17,1.16,1.1607,1.1607,4382,0.0000,1.0
2020-10-09,1.16,1.17,1.16,1.16,1.16,11236,0.0000,1.0
2020-10-08,1.17,1.17,1.16,1.16,1.16,52385,0.0000,1.0
2020-10-07,1.16,1.165,1.15,1.165,1.165,68156,0.0000,1.0
2020-10-06,1.16,1.17,1.15,1.16,1.16,84398,0.0000,1.0
2020-10-05,1.15,1.165,1.15,1.1607,1.1607,36042,0.0000,1.0
2020-10-02,1.1638,1.17,1.16,1.17,1.17,28118,0.0000,1.0
2020-10-01,1.15,1.17,1.15,1.17,1.17,50157,0.0000,1.0
2020-09-30,1.13,1.135,1.13,1.13,1.13,59591,0.0000,1.0
2020-09-29,1.13,1.14,1.13,1.14,1.14,21992,0.0000,1.0
2020-09-28,1.13,1.14,1.13,1.14,1.14,7796,0.0000,1.0
2020-09-25,1.12,1.135,1.12,1.13,1.13,51970,0.0000,1.0
2020-09-24,1.12,1.13,1.11,1.12,1.12,74417,0.0000,1.0
2020-09-23,1.13,1.1305,1.12,1.12,1.12,72083,0.0000,1.0
2020-09-22,1.16,1.16,1.13,1.14,1.14,94809,0.0000,1.0
2020-09-21,1.16,1.16,1.14,1.16,1.16,153441,0.0000,1.0
2020-09-18,1.15,1.16,1.15,1.16,1.16,29958,0.0000,1.0
2020-09-17,1.14,1.16,1.14,1.155,1.155,43571,0.0000,1.0
2020-09-16,1.14,1.16,1.14,1.15,1.15,18201,0.0000,1.0
2020-09-15,1.14,1.17,1.14,1.16,1.16,26675,0.0000,1.0
2020-09-14,1.14,1.15,1.14,1.14,1.14,35776,0.0000,1.0
2020-09-11,1.14,1.16,1.12,1.1599,1.1599,98642,0.0000,1.0
2020-09-10,1.13,1.1457,1.11,1.13,1.13,56020,0.0000,1.0
2020-09-09,1.15,1.15,1.12,1.14,1.14,29408,0.0000,1.0
2020-09-08,1.16,1.16,1.12,1.14,1.14,102649,0.0000,1.0
2020-09-04,1.16,1.1699,1.15,1.15,1.15,64488,0.0000,1.0
2020-09-03,1.16,1.17,1.16,1.17,1.17,50317,0.0000,1.0
2020-09-02,1.16,1.167,1.16,1.16,1.16,76566,0.0000,1.0
2020-09-01,1.18,1.18,1.16,1.16,1.16,52605,0.0000,1.0
2020-08-31,1.16,1.1797,1.16,1.16,1.16,24646,0.0000,1.0
2020-08-28,1.1601,1.18,1.16,1.18,1.18,39142,0.0000,1.0
2020-08-27,1.16,1.17,1.15,1.165,1.165,115098,0.0000,1.0
2020-08-26,1.17,1.17,1.16,1.1635,1.1635,81910,0.0000,1.0
2020-08-25,1.14,1.165,1.14,1.16,1.16,54043,0.0000,1.0
2020-08-24,1.16,1.17,1.15,1.16,1.16,44451,0.0000,1.0
2020-08-21,1.15,1.17,1.15,1.15,1.15,129914,0.0000,1.0
2020-08-20,1.16,1.17,1.155,1.17,1.17,63876,0.0000,1.0
2020-08-19,1.16,1.18,1.16,1.16,1.16,45263,0.0000,1.0
2020-08-18,1.16,1.17,1.16,1.16,1.16,41698,0.0000,1.0
2020-08-17,1.16,1.17,1.16,1.165,1.165,64720,0.0000,1.0
2020-08-14,1.15,1.18,1.13,1.17,1.17,521115,0.0000,1.0
2020-08-13,1.17,1.17,1.16,1.16,1.16,107535,0.0000,1.0
2020-08-12,1.16,1.17,1.16,1.16,1.16,129022,0.0000,1.0
2020-08-11,1.16,1.18,1.16,1.16,1.16,51523,0.0000,1.0
2020-08-10,1.17,1.1759,1.16,1.17,1.17,60394,0.0000,1.0
2020-08-07,1.18,1.18,1.16,1.1702,1.1702,94465,0.0000,1.0
2020-08-06,1.17,1.18,1.17,1.18,1.18,46891,0.0000,1.0
2020-08-05,1.16,1.18,1.16,1.1795,1.1795,97240,0.0000,1.0
2020-08-04,1.16,1.17,1.15,1.17,1.17,129863,0.0000,1.0
2020-08-03,1.16,1.17,1.15,1.16,1.16,138193,0.0000,1.0
2020-07-31,1.16,1.17,1.15,1.16,1.16,142222,0.0000,1.0
2020-07-30,1.16,1.17,1.15,1.17,1.17,71685,0.0000,1.0
2020-07-29,1.15,1.17,1.15,1.16,1.16,64136,0.0000,1.0
2020-07-28,1.16,1.17,1.16,1.16,1.16,80992,0.0000,1.0
2020-07-27,1.16,1.17,1.15,1.15,1.15,53826,0.0000,1.0
2020-07-24,1.16,1.17,1.15,1.16,1.16,73035,0.0000,1.0
2020-07-23,1.16,1.17,1.15,1.15,1.15,119414,0.0000,1.0
2020-07-22,1.15,1.17,1.15,1.16,1.16,110891,0.0000,1.0
2020-07-21,1.18,1.18,1.15,1.17,1.17,69292,0.0000,1.0
2020-07-20,1.17,1.17,1.15,1.16,1.16,75247,0.0000,1.0
2020-07-17,1.16,1.17,1.15,1.16,1.16,54374,0.0000,1.0
2020-07-16,1.16,1.17,1.16,1.16,1.16,78659,0.0000,1.0
2020-07-15,1.17,1.17,1.16,1.17,1.17,61917,0.0000,1.0
2020-07-14,1.16,1.17,1.15,1.16,1.16,154959,0.0000,1.0
2020-07-13,1.17,1.18,1.16,1.17,1.17,108223,0.0000,1.0
2020-07-10,1.15,1.18,1.15,1.16,1.16,51595,0.0000,1.0
2020-07-09,1.15,1.175,1.1408,1.16,1.16,203559,0.0000,1.0
2020-07-08,1.16,1.17,1.14,1.165,1.165,354787,0.0000,1.0
2020-07-07,1.16,1.17,1.16,1.16,1.16,52790,0.0000,1.0
2020-07-06,1.17,1.18,1.16,1.17,1.17,101924,0.0000,1.0
2020-07-02,1.17,1.17,1.16,1.16,1.16,138830,0.0000,1.0
2020-07-01,1.15,1.17,1.15,1.17,1.17,144095,0.0000,1.0
2020-06-30,1.15,1.16,1.14,1.15,1.15,69965,0.0000,1.0
2020-06-29,1.17,1.17,1.14,1.15,1.15,144079,0.0000,1.0
2020-06-26,1.15,1.16,1.15,1.15,1.15,165695,0.0000,1.0
2020-06-25,1.15,1.16,1.14,1.15,1.15,175851,0.0000,1.0
2020-06-24,1.16,1.18,1.15,1.16,1.16,441966,0.0000,1.0
2020-06-23,1.17,1.28,1.14,1.16,1.16,1646865,0.0000,1.0
2020-06-22,1.15,1.16,1.14,1.16,1.16,156011,0.0000,1.0
2020-06-19,1.15,1.17,1.15,1.15,1.15,286776,0.0000,1.0
2020-06-18,1.14,1.17,1.14,1.14,1.14,144456,0.0000,1.0
2020-06-17,1.16,1.18,1.14,1.16,1.16,515731,0.0000,1.0
2020-06-16,1.15,1.16,1.14,1.15,1.15,481573,0.0000,1.0
2020-06-15,1.07,1.17,1.05,1.14,1.14,1237438,0.0000,1.0
2020-06-12,1.17,1.2,0.952,1.0488,1.0488,1244142,0.0000,1.0
2020-06-11,0.95,1.04,0.92,0.92,0.92,344999,0.0000,1.0
2020-06-10,0.95,1.1,0.9,1.02,1.02,1494892,0.0000,1.0
2020-06-09,0.96,0.97,0.9122,0.92,0.92,292344,0.0000,1.0
2020-06-08,0.9,1.05,0.87511,0.98,0.98,1720215,0.0000,1.0
2020-06-05,0.88,0.92,0.8771,0.8999,0.8999,100950,0.0000,1.0
2020-06-04,0.89,0.9091,0.8701,0.888,0.888,96047,0.0000,1.0
2020-06-03,0.9079,0.9079,0.87,0.892149,0.892149,98102,0.0000,1.0
2020-06-02,0.902,0.9269,0.9,0.901,0.901,78972,0.0000,1.0
2020-06-01,0.94,0.94,0.9,0.929,0.929,78037,0.0000,1.0
2020-05-29,0.91,0.9353,0.9,0.9061,0.9061,77956,0.0000,1.0
2020-05-28,0.939899,0.939899,0.912,0.912,0.912,31422,0.0000,1.0
2020-05-27,0.92,0.938999,0.903,0.9253,0.9253,57966,0.0000,1.0
2020-05-26,0.949,0.949,0.9001,0.906,0.906,98350,0.0000,1.0
2020-05-22,0.9552,0.9552,0.9,0.93005,0.93005,64679,0.0000,1.0
2020-05-21,0.95001,0.989,0.936,0.96,0.96,43008,0.0000,1.0
2020-05-20,0.9599,1.03,0.92,0.9699,0.9699,196907,0.0000,1.0
2020-05-19,0.98,0.98,0.9301,0.9416,0.9416,83866,0.0000,1.0
2020-05-18,0.901,0.97,0.901,0.9551,0.9551,113751,0.0000,1.0
2020-05-15,0.9103,0.9498,0.892,0.9085,0.9085,104129,0.0000,1.0
2020-05-14,0.891,0.934,0.891,0.9102,0.9102,41971,0.0000,1.0
2020-05-13,0.92,0.97,0.8905,0.9149,0.9149,117023,0.0000,1.0
2020-05-12,0.9452,0.975,0.9264,0.9343,0.9343,65928,0.0000,1.0
2020-05-11,0.9404,0.978899,0.92,0.959,0.959,77949,0.0000,1.0
2020-05-08,1.08,1.08,0.8999,0.9221,0.9221,167797,0.0000,1.0
2020-05-07,0.9253,0.9598,0.9009,0.957,0.957,32767,0.0000,1.0
2020-05-06,0.89,0.97,0.89,0.9234,0.9234,44303,0.0000,1.0
2020-05-05,0.9548,0.9548,0.886,0.89,0.89,25144,0.0000,1.0
2020-05-04,0.94,0.94,0.8816,0.92,0.92,52010,0.0000,1.0
2020-05-01,0.95,0.9693,0.9105,0.95,0.95,17398,0.0000,1.0
2020-04-30,1.05,1.05,0.95,0.9799,0.9799,54771,0.0000,1.0
