timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,26.15,26.32,26.01,26.2,26.2,319916,0.0000,1.0
2020-12-10,26.09,26.3573,26.0401,26.31,26.31,319259,0.0000,1.0
2020-12-09,26.4,26.565,26.11,26.29,26.29,344765,0.0000,1.0
2020-12-08,25.86,26.245,25.76,26.24,26.24,257381,0.0000,1.0
2020-12-07,26.04,26.07,25.8101,25.96,25.96,222353,0.0000,1.0
2020-12-04,25.61,26.13,25.57,26.11,26.11,264672,0.0000,1.0
2020-12-03,25.4,25.62,25.3001,25.47,25.47,377444,0.0000,1.0
2020-12-02,25.05,25.37,25.05,25.28,25.28,296899,0.0000,1.0
2020-12-01,25.18,25.43,24.98,25.13,25.13,319896,0.0000,1.0
2020-11-30,25.35,25.425,24.81,24.86,24.86,353667,0.0000,1.0
2020-11-27,25.7,25.7,25.285,25.47,25.47,166053,0.0000,1.0
2020-11-25,25.82,25.82,25.4415,25.6,25.6,357928,0.0000,1.0
2020-11-24,25.41,26.0441,25.41,25.9,25.9,633106,0.0000,1.0
2020-11-23,24.78,25.255,24.78,25.11,25.11,454605,0.0650,1.0
2020-11-20,24.64,24.7299,24.52,24.64,24.5763813307,530538,0.0000,1.0
2020-11-19,24.69,24.8,24.41,24.76,24.6960714995,334885,0.0000,1.0
2020-11-18,25.15,25.26,24.68,24.68,24.6162780536,642900,0.0000,1.0
2020-11-17,24.78,25.16,24.57,25.08,25.015245283,409523,0.0000,1.0
2020-11-16,24.78,25.08,24.7,25.04,24.9753485601,605576,0.0000,1.0
2020-11-13,23.9,24.39,23.9,24.28,24.2173108242,475092,0.0000,1.0
2020-11-12,24.09,24.09,23.49,23.72,23.6587567031,730303,0.0000,1.0
2020-11-11,24.63,24.63,24.05,24.3,24.2372591857,456947,0.0000,1.0
2020-11-10,23.87,24.575,23.8,24.45,24.3868718967,957331,0.0000,1.0
2020-11-09,23.68,24.38,23.63,23.7,23.6388083416,1170888,0.0000,1.0
2020-11-06,22.8,22.8467,22.395,22.41,22.3521390268,426555,0.0000,1.0
2020-11-05,22.24,22.81,22.24,22.7,22.6413902681,483494,0.0000,1.0
2020-11-04,22.47,22.51,22.0001,22.12,22.0628877855,821671,0.0000,1.0
2020-11-03,22.42,22.79,22.404,22.66,22.6014935452,600381,0.0000,1.0
2020-11-02,21.85,22.12,21.77,22.12,22.0628877855,560940,0.0000,1.0
2020-10-30,21.7,21.8667,21.44,21.62,21.5641787488,583280,0.0000,1.0
2020-10-29,21.45,21.86,21.21,21.77,21.7137914598,637279,0.0000,1.0
2020-10-28,21.72,21.86,21.51,21.51,21.4544627607,601520,0.0000,1.0
2020-10-27,22.49,22.51,22.145,22.15,22.0928103277,452903,0.0600,1.0
2020-10-26,22.71,22.76,22.3,22.57,22.4509108103,533487,0.0000,1.0
2020-10-23,22.95,23.07,22.7679,22.99,22.8686947066,452899,0.0000,1.0
2020-10-22,22.57,22.8745,22.52,22.87,22.7493278791,936994,0.0000,1.0
2020-10-21,22.66,22.72,22.49,22.49,22.3713329253,333065,0.0000,1.0
2020-10-20,22.64,22.84,22.56,22.6,22.4807525172,993350,0.0000,1.0
2020-10-19,22.77,22.89,22.45,22.49,22.3713329253,308680,0.0000,1.0
2020-10-16,22.83,22.93,22.65,22.76,22.6399082872,296316,0.0000,1.0
2020-10-15,22.31,22.85,22.23,22.81,22.6896444653,355310,0.0000,1.0
2020-10-14,22.68,22.85,22.54,22.55,22.431016339,352453,0.0000,1.0
2020-10-13,22.81,22.86,22.6,22.65,22.5304886953,293490,0.0000,1.0
2020-10-12,22.76,23.0299,22.68,22.97,22.8488002354,282827,0.0000,1.0
2020-10-09,22.93,23.0,22.697,22.72,22.6001193447,319330,0.0000,1.0
2020-10-08,22.59,22.795,22.52,22.75,22.6299610516,477519,0.0000,1.0
2020-10-07,22.27,22.51,22.23,22.42,22.3017022759,321765,0.0000,1.0
2020-10-06,22.22,22.67,22.05,22.05,21.9336545577,539040,0.0000,1.0
2020-10-05,21.8,22.105,21.8,22.09,21.9734435002,279675,0.0000,1.0
2020-10-02,20.9,21.7158,20.9,21.63,21.5158706613,297724,0.0000,1.0
2020-10-01,21.13,21.26,20.92,21.26,21.1478229431,383273,0.0000,1.0
2020-09-30,21.06,21.4,20.93,21.08,20.9687727018,452657,0.0000,1.0
2020-09-29,21.13,21.1899,20.805,21.01,20.8991420525,336412,0.0000,1.0
2020-09-28,20.83,21.25,20.83,21.17,21.0582978225,272051,0.0000,1.0
2020-09-25,20.32,20.68,20.2863,20.6,20.4913053917,415867,0.0000,1.0
2020-09-24,20.32,20.74,20.1,20.43,20.3222023861,753753,0.0000,1.0
2020-09-23,20.86,21.0825,20.28,20.28,20.1729938517,479415,0.0000,1.0
2020-09-22,20.95,21.16,20.742,20.9,20.7897224606,409852,0.0450,1.0
2020-09-21,21.38,21.38,20.75,20.95,20.7946853926,436346,0.0000,1.0
2020-09-18,21.99,22.03,21.55,21.74,21.5788286604,308535,0.0000,1.0
2020-09-17,21.64,21.9687,21.58,21.9,21.7376424868,471935,0.0000,1.0
2020-09-16,21.83,22.17,21.74,21.91,21.747568351,306534,0.0000,1.0
2020-09-15,21.97,21.972,21.71,21.72,21.5589769321,233230,0.0000,1.0
2020-09-14,21.58,21.88,21.5206,21.82,21.6582355736,268644,0.0000,1.0
2020-09-11,21.59,21.7,21.28,21.43,21.2711268718,371604,0.0000,1.0
2020-09-10,21.93,21.98,21.53,21.54,21.3803113774,437178,0.0000,1.0
2020-09-09,21.93,22.02,21.7,21.9,21.7376424868,297098,0.0000,1.0
2020-09-08,22.12,22.14,21.71,21.75,21.5887545246,281902,0.0000,1.0
2020-09-04,22.52,22.58,22.0,22.31,22.1446029169,338053,0.0000,1.0
2020-09-03,22.6,22.87,22.16,22.24,22.0751218679,649376,0.0000,1.0
2020-09-02,22.54,22.71,22.43,22.63,22.4622305697,377964,0.0000,1.0
2020-09-01,22.27,22.5,22.13,22.48,22.3133426075,359041,0.0000,1.0
2020-08-31,22.66,22.69,22.34,22.36,22.1942322377,305174,0.0000,1.0
2020-08-28,22.52,22.7299,22.52,22.67,22.5019340263,429979,0.0000,1.0
2020-08-27,22.57,22.86,22.54,22.65,22.482082298,359865,0.0000,1.0
2020-08-26,22.73,22.74,22.47,22.52,22.3530460641,338436,0.0000,1.0
2020-08-25,22.82,22.8319,22.5575,22.73,22.5614892112,453186,0.0750,1.0
2020-08-24,22.48,22.81,22.33,22.81,22.5664358214,567597,0.0000,1.0
2020-08-21,22.4,22.45,22.19,22.32,22.0816680199,477842,0.0000,1.0
2020-08-20,22.38,22.5945,22.38,22.48,22.2399595469,431939,0.0000,1.0
2020-08-19,22.68,22.86,22.58,22.61,22.3685714126,289340,0.0000,1.0
2020-08-18,23.01,23.0249,22.63,22.66,22.4180375148,430332,0.0000,1.0
2020-08-17,23.09,23.09,22.871,23.02,22.7741934506,364061,0.0000,1.0
2020-08-14,22.82,23.22,22.765,23.06,22.8137663324,314646,0.0000,1.0
2020-08-13,23.11,23.23,22.9,22.94,22.6950476871,645235,0.0000,1.0
2020-08-12,23.38,23.48,23.0701,23.24,22.9918443003,335539,0.0000,1.0
2020-08-11,23.41,23.62,23.04,23.11,22.8632324346,492796,0.0000,1.0
2020-08-10,22.81,23.26,22.81,23.15,22.9028053163,418243,0.0000,1.0
2020-08-07,22.21,22.77,22.1462,22.76,22.5169697192,339066,0.0000,1.0
2020-08-06,22.32,22.43,22.2139,22.26,22.0223086973,380091,0.0000,1.0
2020-08-05,22.17,22.38,22.1,22.37,22.1311341221,314634,0.0000,1.0
2020-08-04,21.72,21.97,21.68,21.95,21.7156188637,295549,0.0000,1.0
2020-08-03,21.64,21.81,21.5,21.8,21.5672205571,357273,0.0000,1.0
2020-07-31,21.59,21.64,21.15,21.52,21.2902103848,342583,0.0000,1.0
2020-07-30,21.58,21.679,21.38,21.64,21.4089290301,210460,0.0000,1.0
2020-07-29,21.53,21.9,21.5,21.88,21.6463663206,383941,0.0000,1.0
2020-07-28,21.43,21.65,21.43,21.45,21.2209578417,232758,0.0550,1.0
2020-07-27,21.51,21.6,21.27,21.58,21.2949672273,215105,0.0000,1.0
2020-07-24,21.73,21.77,21.431,21.46,21.1765522103,324693,0.0000,1.0
2020-07-23,21.63,21.89,21.58,21.77,21.482457671,291663,0.0000,1.0
2020-07-22,21.58,21.75,21.5,21.65,21.3640426539,290729,0.0000,1.0
2020-07-21,21.35,21.81,21.35,21.7,21.4133822444,251798,0.0000,1.0
2020-07-20,21.36,21.36,21.07,21.12,20.8410429954,223999,0.0000,1.0
2020-07-17,21.52,21.65,21.35,21.43,21.1469484561,234603,0.0000,1.0
2020-07-16,21.44,21.66,21.31,21.49,21.2061559646,330913,0.0000,1.0
2020-07-15,21.24,21.66,21.24,21.56,21.2752313912,389297,0.0000,1.0
2020-07-14,20.52,20.85,20.46,20.83,20.554873371,235468,0.0000,1.0
2020-07-13,20.82,21.02,20.53,20.56,20.2884395827,482259,0.0000,1.0
2020-07-10,20.12,20.64,20.12,20.63,20.3575150093,337340,0.0000,1.0
2020-07-09,20.67,20.73,19.97,20.09,19.8246474327,586794,0.0000,1.0
2020-07-08,20.67,20.83,20.36,20.69,20.4167225178,301665,0.0000,1.0
2020-07-07,20.87,20.97,20.63,20.66,20.3871187635,273759,0.0000,1.0
2020-07-06,21.34,21.48,20.95,21.05,20.7719675688,236092,0.0000,1.0
2020-07-02,21.23,21.44,20.88,20.93,20.6535525518,426351,0.0000,1.0
2020-07-01,21.22,21.35,20.77,20.8,20.5252696167,279782,0.0000,1.0
2020-06-30,20.84,21.21,20.78,21.18,20.9002505039,274579,0.0000,1.0
2020-06-29,20.47,20.975,20.4001,20.93,20.6535525518,364465,0.0000,1.0
2020-06-26,20.56,20.58,20.06,20.2,19.9331945316,482161,0.0000,1.0
2020-06-25,20.18,20.71,20.14,20.71,20.436458354,330381,0.0000,1.0
2020-06-24,20.71,20.77,20.07,20.32,20.0516095486,542694,0.0000,1.0
2020-06-23,21.31,21.39,20.95,20.98,20.7028921422,280603,0.0600,1.0
2020-06-22,20.96,21.15,20.71,21.13,20.791450141,322510,0.0000,1.0
2020-06-19,21.62,21.71,20.88,21.05,20.7127319199,299397,0.0000,1.0
2020-06-18,21.12,21.6,21.06,21.37,21.0276048042,290699,0.0000,1.0
2020-06-17,21.86,21.88,21.29,21.33,20.9882456936,371129,0.0000,1.0
2020-06-16,22.14,22.18,21.37,21.82,21.4703947977,282644,0.0000,1.0
2020-06-15,20.15,21.52,20.04,21.28,20.9390468055,632366,0.0000,1.0
2020-06-12,21.09,21.13,20.27,20.83,20.4962568119,1880001,0.0000,1.0
2020-06-11,21.04,21.2,20.21,20.29,19.9649088197,508041,0.0000,1.0
2020-06-10,22.93,22.93,22.08,22.1,21.7459085715,350196,0.0000,1.0
2020-06-09,23.14,23.25,22.75,22.99,22.6216487809,605258,0.0000,1.0
2020-06-08,23.32,23.56,23.24,23.54,23.1628365508,329720,0.0000,1.0
2020-06-05,22.79,23.33,22.79,22.98,22.6118090033,630349,0.0000,1.0
2020-06-04,21.56,22.05,21.39,22.01,21.6573505728,445313,0.0000,1.0
2020-06-03,21.19,21.86,21.19,21.71,21.3621572437,488845,0.0000,1.0
2020-06-02,20.84,21.09,20.78,20.92,20.5848148106,483743,0.0000,1.0
2020-06-01,20.6,20.98,20.54,20.71,20.3781794803,496532,0.0000,1.0
2020-05-29,20.62,20.72,20.27,20.56,20.2305828158,525128,0.0000,1.0
2020-05-28,21.57,21.57,20.73,20.82,20.4864170343,493518,0.0000,1.0
2020-05-27,20.96,21.43,20.64,21.38,21.0374445818,807749,0.0000,1.0
2020-05-26,20.32,20.64,20.27,20.49,20.1617043724,451896,0.1000,1.0
2020-05-22,19.69,19.78,19.4,19.71,19.3000093822,441428,0.0000,1.0
2020-05-21,19.57,19.8,19.49,19.67,19.2608414281,575851,0.0000,1.0
2020-05-20,19.4,19.79,19.38,19.65,19.241257451,496253,0.0000,1.0
2020-05-19,19.53,19.64,19.1,19.1,18.7026980822,650402,0.0000,1.0
2020-05-18,19.04,19.72,19.0,19.63,19.221673474,530950,0.0000,1.0
2020-05-15,18.0,18.36,17.99,18.27,17.8899630346,473843,0.0000,1.0
2020-05-14,17.68,18.14,17.18,18.12,17.7430832068,754599,0.0000,1.0
2020-05-13,18.57,18.71,17.77,18.05,17.6745392871,613755,0.0000,1.0
2020-05-12,19.65,19.66,18.76,18.79,18.3991464379,746832,0.0000,1.0
2020-05-11,19.78,19.82,19.35,19.6,19.1922975084,392355,0.0000,1.0
2020-05-08,19.39,20.05,19.39,20.02,19.6035610265,485932,0.0000,1.0
2020-05-07,19.21,19.41,19.1,19.14,18.7418660363,441529,0.0000,1.0
2020-05-06,19.47,19.57,18.93,18.94,18.5460262658,522840,0.0000,1.0
2020-05-05,19.82,20.1,19.35,19.38,18.9768737609,456108,0.0000,1.0
2020-05-04,19.41,19.61,19.14,19.51,19.1041696117,378533,0.0000,1.0
2020-05-01,20.01,20.02,19.38,19.63,19.221673474,365462,0.0000,1.0
2020-04-30,20.81,20.86,20.32,20.42,19.9952405675,708625,0.0000,1.0
2020-04-29,20.79,21.44,20.68,21.2,20.7590156724,916721,0.0000,1.0
2020-04-28,20.01,20.37,19.8,20.17,19.7504408543,601262,0.0000,1.0
2020-04-27,18.84,19.74,18.78,19.61,19.202089497,516578,0.0000,1.0
2020-04-24,18.62,18.82,18.38,18.69,18.3012265527,514703,0.0000,1.0
2020-04-23,18.37,18.86,18.37,18.53,18.1445547363,545358,0.0000,1.0
2020-04-22,18.57,18.58,18.22,18.31,17.9291309887,796873,0.0000,1.0
2020-04-21,17.96,18.35,17.83,18.21,17.8312111035,638124,0.0250,1.0
2020-04-20,18.44,18.86,18.28,18.5,18.0903430444,633741,0.0000,1.0
2020-04-17,18.52,18.98,18.52,18.83,18.4130356501,572690,0.0000,1.0
2020-04-16,18.26,18.35,17.66,17.94,17.5427434712,643833,0.0000,1.0
2020-04-15,18.53,18.59,18.05,18.21,17.806764694,698910,0.0000,1.0
2020-04-14,19.4,19.59,18.99,19.18,18.7552853833,772367,0.0000,1.0
2020-04-13,19.51,19.57,18.81,18.99,18.569492671,589306,0.0000,1.0
2020-04-09,19.0,19.69,19.0,19.61,19.1757636271,663253,0.0000,1.0
2020-04-08,18.07,18.72,17.91,18.57,18.1587929911,2030078,0.0000,1.0
2020-04-07,18.28,18.8,17.71,17.85,17.4547363969,1161546,0.0000,1.0
2020-04-06,17.16,17.78,17.16,17.7,17.3080579398,932396,0.0000,1.0
2020-04-03,16.99,17.13,16.2,16.54,16.1737445381,595756,0.0000,1.0
2020-04-02,16.78,17.58,16.62,17.07,16.6920084199,521267,0.0000,1.0
2020-04-01,17.12,17.4,16.72,16.87,16.4964371437,617925,0.0000,1.0
2020-03-31,17.98,18.19,17.66,18.02,17.6209719816,739507,0.0000,1.0
2020-03-30,17.84,18.1,17.42,18.08,17.6796433645,913411,0.0000,1.0
2020-03-27,17.89,18.27,17.52,17.75,17.3569507588,934129,0.0000,1.0
2020-03-26,17.55,18.61,17.55,18.52,18.109900172,1233496,0.0000,1.0
2020-03-25,17.4,18.23,16.91,17.46,17.0733724084,908586,0.0000,1.0
2020-03-24,16.68,17.27,16.25,17.27,16.887579696,897074,0.0000,1.0
2020-03-23,16.48,16.55,15.49,15.92,15.567473582,1127350,0.0000,1.0
2020-03-20,17.37,17.73,16.38,16.44,16.0759589,800327,0.0000,1.0
2020-03-19,16.08,17.51,15.75,17.24,16.8582440046,848612,0.0000,1.0
2020-03-18,17.21,17.72,15.99,16.65,16.28130874,837047,0.0000,1.0
2020-03-17,17.46,18.49,16.83,18.49,18.0805644806,902543,0.0000,1.0
2020-03-16,16.81,18.23,16.64,17.15,16.7702369303,1114702,0.0000,1.0
2020-03-13,18.57,19.52,17.96,19.52,19.0877565528,988400,0.0000,1.0
2020-03-12,18.78,19.14,17.71,17.71,17.3178365036,1000153,0.0000,1.0
2020-03-11,20.99,21.22,20.12,20.29,19.840705966,768203,0.0000,1.0
2020-03-10,21.72,21.8,20.62,21.65,21.1705906438,652905,0.0000,1.0
2020-03-09,21.6,21.89,20.97,20.98,20.5154268687,709060,0.0000,1.0
2020-03-06,23.13,23.66,22.93,23.4,22.8818393102,382549,0.0000,1.0
2020-03-05,24.18,24.27,23.52,23.79,23.2632032987,315482,0.0000,1.0
2020-03-04,24.53,24.73,24.16,24.73,24.1823882966,354698,0.0000,1.0
2020-03-03,24.66,25.11,23.89,24.12,23.5858959044,357480,0.0000,1.0
2020-03-02,24.16,24.66,23.69,24.64,24.0943812224,465766,0.0000,1.0
2020-02-28,23.79,24.26,23.61,24.01,23.4783317025,733194,0.0000,1.0
2020-02-27,25.03,25.46,24.47,24.47,23.9281456376,805306,0.0000,1.0
2020-02-26,26.0,26.11,25.45,25.45,24.8864448908,324199,0.0000,1.0
2020-02-25,26.93,26.93,25.78,25.89,25.3167016983,421754,0.0600,1.0
2020-02-24,26.88,27.02,26.78,26.9,26.2435173675,265864,0.0000,1.0
2020-02-21,27.82,27.82,27.56,27.65,26.9752139483,257868,0.0000,1.0
2020-02-20,27.62,27.91,27.6,27.88,27.1996008998,238282,0.0000,1.0
2020-02-19,27.69,27.75,27.57,27.66,26.9849699027,326001,0.0000,1.0
2020-02-18,27.64,27.68,27.38,27.53,26.8581424954,208618,0.0000,1.0
2020-02-14,27.82,27.87,27.6,27.68,27.0044818116,318054,0.0000,1.0
2020-02-13,27.65,27.83,27.63,27.8,27.1215532645,177663,0.0000,1.0
2020-02-12,27.78,27.89,27.73,27.78,27.1020413557,264638,0.0000,1.0
2020-02-11,27.57,27.81,27.51,27.64,26.9654579939,152940,0.0000,1.0
2020-02-10,27.3,27.46,27.3,27.42,26.7508269969,189002,0.0000,1.0
2020-02-07,27.57,27.58,27.25,27.33,26.6630234072,174839,0.0000,1.0
2020-02-06,27.96,28.0,27.66,27.67,26.9947258572,261396,0.0000,1.0
2020-02-05,27.51,27.86,27.51,27.82,27.1410651733,192881,0.0000,1.0
2020-02-04,27.33,27.43,27.25,27.28,26.6142436351,172860,0.0000,1.0
2020-02-03,26.93,27.17,26.93,27.05,26.3898566836,345468,0.0000,1.0
2020-01-31,27.3,27.3,26.7,26.77,26.1166899601,286656,0.0000,1.0
2020-01-30,27.26,27.43,27.12,27.43,26.7605829513,246533,0.0000,1.0
2020-01-29,27.7,27.73,27.43,27.43,26.7605829513,188947,0.0000,1.0
2020-01-28,27.65,27.77,27.6,27.62,26.9459460851,221531,0.0000,1.0
2020-01-27,27.5,27.68,27.45,27.51,26.8386305866,226639,0.0000,1.0
2020-01-24,28.32,28.32,27.73,27.9,27.2191128086,257933,0.0000,1.0
2020-01-23,28.25,28.36,27.93,28.26,27.5703271675,470126,0.0000,1.0
2020-01-22,28.46,28.47,28.26,28.32,27.6288628939,152155,0.0000,1.0
2020-01-21,28.66,28.66,28.37,28.37,27.677642666,239842,0.0250,1.0
2020-01-17,28.91,28.98,28.72,28.77,28.0431688502,263824,0.0000,1.0
2020-01-16,28.67,28.95,28.67,28.87,28.1406424993,317012,0.0000,1.0
2020-01-15,28.38,28.61,28.33,28.51,27.7897373625,258429,0.0000,1.0
2020-01-14,28.27,28.55,28.22,28.42,27.7020110783,460428,0.0000,1.0
2020-01-13,28.07,28.34,27.97,28.32,27.6045374291,216108,0.0000,1.0
2020-01-10,28.19,28.19,27.95,28.05,27.3413585765,230656,0.0000,1.0
2020-01-09,28.42,28.42,28.16,28.21,27.4973164151,461032,0.0000,1.0
2020-01-08,28.35,28.44,28.26,28.3,27.5850426993,283703,0.0000,1.0
2020-01-07,28.42,28.42,28.22,28.3,27.5850426993,123811,0.0000,1.0
2020-01-06,28.31,28.54,28.2,28.5,27.7799899975,156668,0.0000,1.0
2020-01-03,28.31,28.47,28.25,28.44,27.7215058081,249338,0.0000,1.0
2020-01-02,28.86,28.86,28.33,28.51,27.7897373625,570544,0.0000,1.0
2019-12-31,28.5,28.77,28.5,28.68,27.955442566,101403,0.0000,1.0
2019-12-30,28.62,28.68,28.5,28.6,27.8774636467,476736,0.0000,1.0
2019-12-27,28.75,28.75,28.51,28.58,27.8579689168,113433,0.0000,1.0
2019-12-26,28.72,28.73,28.61,28.65,27.9262004712,113647,0.0000,1.0
2019-12-24,28.66,28.67,28.59,28.64,27.9164531063,67753,0.0000,1.0
2019-12-23,28.65,28.65,28.5,28.64,27.9164531063,145493,0.1600,1.0
2019-12-20,28.76,28.88,28.7,28.79,27.9067598934,176389,0.0000,1.0
2019-12-19,28.68,28.71,28.61,28.69,27.8098277646,133597,0.0000,1.0
2019-12-18,28.59,28.72,28.52,28.7,27.8195209775,154319,0.0000,1.0
2019-12-17,28.43,28.54,28.4,28.54,27.6644295713,184350,0.0000,1.0
2019-12-16,28.44,28.57,28.38,28.41,27.5384178038,169664,0.0000,1.0
2019-12-13,28.46,28.5,28.17,28.27,27.4027128234,160673,0.0000,1.0
2019-12-12,28.32,28.68,28.28,28.47,27.5965770811,225683,0.0000,1.0
2019-12-11,28.4,28.41,28.26,28.33,27.4608721008,162047,0.0000,1.0
2019-12-10,28.33,28.41,28.28,28.34,27.4705653136,214888,0.0000,1.0
2019-12-09,28.39,28.47,28.33,28.37,27.4996449523,132933,0.0000,1.0
2019-12-06,28.35,28.59,28.35,28.44,27.5674974425,232007,0.0000,1.0
2019-12-05,28.14,28.21,28.07,28.16,27.2960874817,161826,0.0000,1.0
2019-12-04,28.02,28.26,28.02,28.04,27.1797689271,165090,0.0000,1.0
2019-12-03,27.79,27.92,27.64,27.92,27.0634503725,250963,0.0000,1.0
2019-12-02,28.28,28.3,28.01,28.05,27.18946214,168149,0.0000,1.0
2019-11-29,28.39,28.4,28.23,28.23,27.3639399719,68731,0.0000,1.0
2019-11-27,28.3,28.44,28.3,28.41,27.5384178038,167801,0.0000,1.0
2019-11-26,28.14,28.33,28.13,28.17,27.3057806946,172191,0.0000,1.0
2019-11-25,27.75,28.2,27.75,28.13,27.2670078431,270953,0.0550,1.0
2019-11-22,27.72,27.77,27.62,27.69,26.7881301109,205945,0.0000,1.0
2019-11-21,27.88,27.88,27.58,27.66,26.759107218,500982,0.0000,1.0
2019-11-20,27.91,28.0,27.69,27.84,26.9332445752,171685,0.0000,1.0
2019-11-19,28.09,28.11,27.95,27.99,27.0783590395,147016,0.0000,1.0
2019-11-18,28.05,28.07,27.97,28.06,27.1460791228,152551,0.0000,1.0
2019-11-15,28.17,28.2,28.01,28.12,27.2041249085,120638,0.0000,1.0
2019-11-14,27.93,28.15,27.93,28.04,27.1267305276,154469,0.0000,1.0
2019-11-13,27.98,28.02,27.84,27.97,27.0590104442,149417,0.0000,1.0
2019-11-12,28.24,28.33,28.11,28.12,27.2041249085,144386,0.0000,1.0
2019-11-11,28.08,28.24,28.08,28.23,27.3105421824,108612,0.0000,1.0
2019-11-08,28.21,28.33,28.12,28.27,27.3492393728,115840,0.0000,1.0
2019-11-07,28.42,28.52,28.21,28.3,27.3782622657,158491,0.0000,1.0
2019-11-06,28.29,28.31,28.13,28.21,27.2911935871,156585,0.0000,1.0
2019-11-05,28.35,28.55,28.33,28.38,27.4556566467,186349,0.0000,1.0
2019-11-04,28.25,28.33,28.19,28.32,27.3976108609,184777,0.0000,1.0
2019-11-01,27.86,28.1,27.81,28.09,27.1751020157,227909,0.0000,1.0
2019-10-31,27.93,27.93,27.53,27.74,26.836501599,184004,0.0000,1.0
2019-10-30,28.04,28.04,27.78,27.97,27.0590104442,167027,0.0000,1.0
2019-10-29,27.88,28.14,27.86,28.08,27.1654277181,241164,0.0000,1.0
2019-10-28,27.85,28.04,27.85,27.95,27.039661849,253504,0.0000,1.0
2019-10-25,27.64,27.86,27.6,27.77,26.8655244918,254098,0.0000,1.0
2019-10-24,27.87,27.87,27.54,27.67,26.7687815156,154409,0.0000,1.0
2019-10-23,27.62,27.78,27.57,27.78,26.8751987894,254029,0.0000,1.0
