timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,10.16,10.16,10.149,10.149,10.149,1625,0.0000,1.0
2020-12-10,10.16,10.1998,10.16,10.1681,10.1681,2369,0.0000,1.0
2020-12-09,10.14,10.2,10.1076,10.1639,10.1639,1367,0.0000,1.0
2020-12-08,9.9601,9.975,9.95,9.975,9.975,13466,0.0000,1.0
2020-12-07,10.1097,10.13,10.01,10.014,10.014,938,0.0000,1.0
2020-12-04,10.24,10.24,10.18,10.18,10.18,2436,0.0000,1.0
2020-12-03,10.1526,10.23,10.1526,10.22,10.22,1527,0.0000,1.0
2020-12-02,10.27,10.32,10.2165,10.2165,10.2165,702,0.0000,1.0
2020-12-01,10.33,10.37,10.29,10.29,10.29,673,0.0000,1.0
2020-11-30,10.53,10.54,10.51,10.53,10.53,950,0.0000,1.0
2020-11-27,10.47,10.47,10.47,10.47,10.47,110,0.0000,1.0
2020-11-25,10.33,10.37,10.25,10.3551,10.3551,3451,0.0000,1.0
2020-11-24,10.37,10.4501,10.345,10.355,10.355,10279,0.0000,1.0
2020-11-23,10.37,10.37,10.18,10.3,10.3,5573,0.0000,1.0
2020-11-20,9.97,10.4,9.97,10.2,10.2,1520,0.0000,1.0
2020-11-19,10.21,10.3,10.05,10.3,10.3,19308,0.0000,1.0
2020-11-18,10.4,10.4,10.2,10.21,10.21,1706,0.0000,1.0
2020-11-17,10.0,10.435,10.0,10.435,10.435,888,0.0000,1.0
2020-11-16,10.02,10.22,9.92,10.13,10.13,22629,0.0000,1.0
2020-11-13,9.89,9.935,9.89,9.925,9.925,403,0.0000,1.0
2020-11-12,9.96,10.06,9.96,10.0,10.0,2354,0.0000,1.0
2020-11-11,10.08,10.08,10.055,10.055,10.055,604,0.0000,1.0
2020-11-10,9.96,10.15,9.96,10.0052,10.0052,5280,0.0000,1.0
2020-11-09,10.05,10.115,10.04,10.0449,10.0449,1219,0.0000,1.0
2020-11-06,9.6,9.6,9.57,9.57,9.57,1242,0.0000,1.0
2020-11-05,9.59,9.61,9.57,9.5857,9.5857,1063,0.0000,1.0
2020-11-04,9.86,9.86,9.82,9.84,9.84,451,0.0000,1.0
2020-11-03,9.84,9.84,9.8062,9.8157,9.8157,711,0.0000,1.0
2020-11-02,9.9,9.92,9.87,9.89,9.89,1761,0.0000,1.0
2020-10-30,9.93,10.03,9.93,10.03,10.03,1683,0.0000,1.0
2020-10-29,10.031,10.04,10.0187,10.0187,10.0187,781,0.0000,1.0
2020-10-28,10.0,10.0,9.96,10.0,10.0,844,0.0000,1.0
2020-10-27,9.8,9.83,9.8,9.83,9.83,337,0.0000,1.0
2020-10-26,9.82,9.86,9.82,9.86,9.86,965,0.0000,1.0
2020-10-23,9.85,9.91,9.85,9.91,9.91,298,0.0000,1.0
2020-10-22,9.81,9.98,9.81,9.85,9.85,4803,0.0000,1.0
2020-10-21,9.73,9.73,9.71,9.73,9.73,3829,0.0000,1.0
