timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,62.22,62.27,62.07,62.27,62.27,4268,0.0000,1.0
2020-12-10,62.11,62.5716,62.11,62.5111,62.5111,10254,0.0000,1.0
2020-12-09,62.7,62.7,62.11,62.4791,62.4791,20113,0.0000,1.0
2020-12-08,62.16,62.4342,62.16,62.4012,62.4012,5035,0.0000,1.0
2020-12-07,62.43,62.45,62.25,62.2767,62.2767,8625,0.0000,1.0
2020-12-04,62.9522,62.99,62.56,62.63,62.63,76032,0.0000,1.0
2020-12-03,62.47,62.695,62.4005,62.4005,62.4005,12292,0.0000,1.0
2020-12-02,62.05,62.39,62.05,62.33,62.33,13180,0.0000,1.0
2020-12-01,62.1,62.4092,62.09,62.3844,62.3844,10738,0.0000,1.0
2020-11-30,62.08,62.08,61.179,61.179,61.179,3068,0.0000,1.0
2020-11-27,62.39,62.5099,62.39,62.4386,62.4386,2131,0.0000,1.0
2020-11-25,61.92,62.2974,61.92,62.2133,62.2133,14017,0.0000,1.0
2020-11-24,61.8361,62.21,61.8165,62.18,62.18,22541,0.0000,1.0
2020-11-23,61.47,61.59,61.13,61.2907,61.2907,24856,0.0000,1.0
2020-11-20,61.09,61.22,61.001,61.16,61.16,13808,0.0000,1.0
2020-11-19,60.78,61.02,60.61,60.9854,60.9854,7447,0.0000,1.0
2020-11-18,61.185,61.2544,60.7649,60.7649,60.7649,7693,0.0000,1.0
2020-11-17,60.8104,61.12,60.8104,60.9758,60.9758,6269,0.0000,1.0
2020-11-16,60.8258,60.8276,60.61,60.8014,60.8014,6894,0.0000,1.0
2020-11-13,59.7551,59.9615,59.7551,59.9615,59.9615,5040,0.0000,1.0
2020-11-12,59.66,59.7518,59.105,59.18,59.18,12257,0.0000,1.0
2020-11-11,59.961,60.0717,59.961,60.0717,60.0717,1216,0.0000,1.0
2020-11-10,59.53,60.0,59.53,59.7385,59.7385,9632,0.0000,1.0
2020-11-09,59.91,59.91,59.09,59.09,59.09,8740,0.0000,1.0
2020-11-06,57.58,57.7209,57.58,57.638,57.638,3146,0.0000,1.0
2020-11-05,57.25,57.4049,57.0545,57.3158,57.3158,12493,0.0000,1.0
2020-11-04,55.93,56.61,55.82,56.2309,56.2309,6908,0.0000,1.0
2020-11-03,55.72,56.19,55.67,56.1426,56.1426,19984,0.0000,1.0
2020-11-02,54.69,54.69,54.375,54.59,54.59,20624,0.0000,1.0
2020-10-30,54.06,54.08,53.7748,54.08,54.08,7421,0.0000,1.0
2020-10-29,54.22,54.42,54.0,54.3897,54.3897,8488,0.0000,1.0
2020-10-28,54.6,54.6,54.1627,54.1627,54.1627,5267,0.0000,1.0
2020-10-27,56.19,56.19,55.7678,55.8099,55.8099,7861,0.0000,1.0
2020-10-26,56.57,56.57,55.99,56.23,56.23,17868,0.0000,1.0
2020-10-23,57.08,57.2345,56.9317,57.2345,57.2345,3275,0.0000,1.0
2020-10-22,56.87,57.025,56.69,56.9691,56.9691,6004,0.0000,1.0
2020-10-21,57.05,57.21,56.951,56.9734,56.9734,15490,0.0000,1.0
2020-10-20,56.86,57.1699,56.86,56.9047,56.9047,9284,0.0000,1.0
2020-10-19,57.04,57.08,56.6014,56.6014,56.6014,9966,0.0000,1.0
2020-10-16,56.6801,56.89,56.6801,56.7963,56.7963,3980,0.0000,1.0
2020-10-15,56.35,56.765,56.35,56.7576,56.7576,4262,0.0000,1.0
2020-10-14,57.57,57.692,57.38,57.4251,57.4251,7783,0.0000,1.0
2020-10-13,57.44,57.5529,57.4,57.4879,57.4879,3898,0.0000,1.0
2020-10-12,57.79,58.0847,57.78,58.04,58.04,13536,0.0000,1.0
2020-10-09,57.56,57.7999,57.56,57.72,57.72,7042,0.0000,1.0
2020-10-08,57.36,57.4891,57.36,57.4451,57.4451,7528,0.0000,1.0
2020-10-07,57.08,57.2233,57.08,57.1911,57.1911,3815,0.0000,1.0
2020-10-06,57.2013,57.24,56.652,56.7238,56.7238,1826,0.0000,1.0
2020-10-05,56.83,57.0887,56.81,57.0887,57.0887,8916,0.0000,1.0
2020-10-02,55.56,56.22,55.56,56.12,56.12,14678,0.0000,1.0
2020-10-01,56.128,56.2599,55.98,56.22,56.22,3093,0.0000,1.0
2020-09-30,55.82,56.17,55.69,55.934,55.934,4767,0.0000,1.0
2020-09-29,56.02,56.0879,55.861,55.9819,55.9819,3202,0.0000,1.0
2020-09-28,56.117,56.16,56.0598,56.16,56.16,6697,0.0000,1.0
2020-09-25,54.8,55.32,54.69,55.32,55.32,7456,0.0000,1.0
2020-09-24,55.02,55.51,54.89,55.13,55.13,49565,0.0000,1.0
2020-09-23,55.9,55.9613,55.19,55.3,55.3,10807,0.0000,1.0
2020-09-22,55.71,55.79,55.325,55.7872,55.7872,4799,0.4850,1.0
2020-09-21,56.47,56.47,55.87,56.3591,55.8733510245,7865,0.0000,1.0
2020-09-18,57.85,58.0,57.63,57.754,57.2562286315,21420,0.0000,1.0
2020-09-17,57.78,58.0695,57.78,58.0695,57.5690093936,3800,0.0000,1.0
2020-09-16,58.22,58.37,57.96,57.96,57.4604531545,7783,0.0000,1.0
2020-09-15,58.17,58.17,57.93,58.0042,57.5042722026,10170,0.0000,1.0
2020-09-14,57.91,57.98,57.7216,57.79,57.291918354,7973,0.0000,1.0
2020-09-11,57.4,57.5779,57.121,57.4229,56.9279823231,8291,0.0000,1.0
2020-09-10,57.71,57.8299,56.85,56.85,56.3600200454,13838,0.0000,1.0
2020-09-09,57.3,57.52,57.3,57.4852,56.9897453705,16465,0.0000,1.0
2020-09-08,56.56,56.8912,56.51,56.5235,56.0363340904,4535,0.0000,1.0
2020-09-04,57.29,57.38,56.4501,57.2,56.7070034582,11972,0.0000,1.0
2020-09-03,57.93,57.93,56.82,56.9594,56.4684771464,7087,0.0000,1.0
2020-09-02,57.7171,58.16,57.692,58.158,57.656746628,6403,0.0000,1.0
2020-09-01,57.46,57.571,57.2816,57.396,56.9013141693,8329,0.0000,1.0
2020-08-31,57.81,57.81,57.6267,57.6387,57.1419223816,7754,0.0000,1.0
2020-08-28,57.65,57.81,57.59,57.7822,57.2841855808,4698,0.0000,1.0
2020-08-27,57.67,57.67,57.1,57.3244,56.8303312769,9354,0.0000,1.0
2020-08-26,57.72,58.01,57.72,57.95,57.4505393427,5958,0.0000,1.0
2020-08-25,57.94,57.94,57.3773,57.6773,57.1801896951,14634,0.0000,1.0
2020-08-24,57.65,57.65,57.33,57.52,57.0242454356,28272,0.0000,1.0
2020-08-21,56.69,56.9482,56.69,56.9482,56.4573736772,3078,0.0000,1.0
2020-08-20,56.83,57.1881,56.82,57.1881,56.6952060222,5756,0.0000,1.0
2020-08-19,57.77,57.7855,57.2738,57.2738,56.7801673892,6831,0.0000,1.0
2020-08-18,57.88,57.88,57.69,57.7123,57.2148880364,7335,0.0000,1.0
2020-08-17,57.48,57.65,57.48,57.58,57.0837283063,5661,0.0000,1.0
2020-08-14,57.2,57.4122,57.2,57.26,56.766486329,5008,0.0000,1.0
2020-08-13,57.72,57.885,57.42,57.5254,57.0295988939,5500,0.0000,1.0
2020-08-12,57.67,57.9128,57.67,57.76,57.2621769186,5043,0.0000,1.0
2020-08-11,57.32,57.32,56.56,56.56,56.0725195034,11035,0.0000,1.0
2020-08-10,56.14,56.2503,56.0797,56.2503,55.7654887522,3169,0.0000,1.0
2020-08-07,55.74,55.9744,55.7112,55.9744,55.4919666848,3737,0.0000,1.0
2020-08-06,55.87,56.21,55.851,56.1825,55.6982731082,10887,0.0000,1.0
2020-08-05,56.13,56.3813,56.03,56.03,55.5470874784,21128,0.0000,1.0
2020-08-04,55.14,55.6909,55.14,55.6909,55.2109101205,8546,0.0000,1.0
2020-08-03,54.72,55.18,54.72,55.1304,54.6552409694,6153,0.0000,1.0
2020-07-31,54.81,54.81,54.02,54.29,53.8220842263,6328,0.0000,1.0
2020-07-30,54.93,55.3559,54.63,55.3559,54.8787974254,4475,0.0000,1.0
2020-07-29,55.78,56.1607,55.78,56.0635,55.5802987479,8021,0.0000,1.0
2020-07-28,55.73,55.98,55.7148,55.7148,55.2346041306,2754,0.0000,1.0
2020-07-27,55.94,56.12,55.94,56.05,55.566915102,2282,0.0000,1.0
2020-07-24,55.5216,55.62,55.4,55.55,55.0712245123,11105,0.0000,1.0
2020-07-23,56.01,56.14,55.57,55.6763,55.1964359552,15268,0.0000,1.0
2020-07-22,55.981,56.1855,55.981,56.1855,55.7012472518,7552,0.0000,1.0
2020-07-21,55.82,56.08,55.82,55.83,55.3488112425,5223,0.0000,1.0
2020-07-20,55.67,55.85,55.58,55.83,55.3488112425,3681,0.0000,1.0
2020-07-17,55.33,55.57,55.26,55.57,55.0910521359,5581,0.0000,1.0
2020-07-16,55.26,55.48,55.25,55.32,54.843206841,17377,0.0000,1.0
2020-07-15,55.68,55.7,55.42,55.52,55.0414830769,3953,0.0000,1.0
2020-07-14,54.3,55.06,54.3,55.06,54.5854477344,7200,0.0000,1.0
2020-07-13,54.81,55.06,54.15,54.16,53.693204673,7871,0.0000,1.0
2020-07-10,54.2,54.43,54.2,54.43,53.9608775914,7557,0.0000,1.0
2020-07-09,54.45,54.54,53.66,53.95,53.4850146253,5757,0.0000,1.0
2020-07-08,54.34,54.76,54.34,54.76,54.2880333806,10700,0.0000,1.0
2020-07-07,54.66,54.73,54.29,54.29,53.8220842263,10055,0.0000,1.0
2020-07-06,55.08,55.08,54.87,55.05,54.5755339226,19143,0.0000,1.0
2020-07-02,54.11,54.52,54.03,54.03,53.5643251197,4414,0.0000,1.0
2020-07-01,53.36,53.62,53.36,53.61,53.1479450244,4961,0.0000,1.0
2020-06-30,53.53,53.59,53.38,53.55,53.0884621536,2291,0.0000,1.0
2020-06-29,53.21,53.41,52.965,53.3622,52.9022807681,7295,0.0000,1.0
2020-06-26,53.63,53.63,52.94,53.02,52.5630301286,167809,0.0000,1.0
2020-06-25,52.95,53.67,52.95,53.61,53.1479450244,86944,0.0000,1.0
2020-06-24,53.82,53.89,53.04,53.07,52.6125991875,5901,0.0000,1.0
2020-06-23,54.86,54.96,54.48,54.5,54.030274274,34437,0.5750,1.0
2020-06-22,54.52,54.98,54.52,54.93,53.8880248002,7766,0.0000,1.0
2020-06-19,55.3,55.3,54.34,54.37,53.338647522,4796,0.0000,1.0
2020-06-18,54.65,54.95,54.6,54.7,53.6623877038,24838,0.0000,1.0
2020-06-17,55.28,55.28,54.89,54.96,53.9174557258,7979,0.0000,1.0
2020-06-16,55.34,55.36,54.69,54.97,53.9272660343,4829,0.0000,1.0
2020-06-15,53.0,54.22,52.99,54.19,53.1620619683,3590,0.0000,1.0
2020-06-12,54.56,54.56,53.46,54.18,53.1522516598,7346,0.0000,1.0
2020-06-11,54.58,54.79,53.15,53.17,52.1614104975,17284,0.0000,1.0
2020-06-10,56.53,56.53,56.19,56.32,55.251657687,5129,0.0000,1.0
2020-06-09,56.22,56.65,56.22,56.52,55.4478638577,17655,0.0000,1.0
2020-06-08,57.03,57.36,56.84,57.36,56.2719297749,11841,0.0000,1.0
2020-06-05,56.73,56.92,56.6,56.71,55.63425972,7169,0.0000,1.0
2020-06-04,55.6,55.96,55.6,55.78,54.7219010259,3935,0.0000,1.0
2020-06-03,55.53,56.16,55.48,56.07,55.0063999735,7153,0.0000,1.0
2020-06-02,54.51,54.82,54.51,54.82,53.7801114063,9022,0.0000,1.0
2020-06-01,53.23,53.97,53.23,53.97,52.9462351805,4088,0.0000,1.0
2020-05-29,52.87,52.87,52.36,52.82,51.8180496986,6583,0.0000,1.0
2020-05-28,53.21,53.62,53.12,53.12,52.1123589548,19529,0.0000,1.0
2020-05-27,52.3,52.74,52.22,52.74,51.7395672303,10979,0.0000,1.0
2020-05-26,52.03,52.21,51.95,51.96,50.9743631643,6761,0.0000,1.0
2020-05-22,49.95,50.1,49.92,50.08,49.1300251592,11429,0.0000,1.0
2020-05-21,50.67,50.67,50.25,50.27,49.3164210214,5738,0.0000,1.0
2020-05-20,50.71,50.86,50.59,50.66,49.6990230544,16876,0.0000,1.0
2020-05-19,50.03,50.3,49.82,49.83,48.8847674457,15633,0.0000,1.0
2020-05-18,49.71,50.52,49.71,50.4,49.4439550324,41197,0.0000,1.0
2020-05-15,48.46,48.63,48.35,48.62,47.6977201126,13938,0.0000,1.0
2020-05-14,47.85,48.54,47.7,48.54,47.6192376443,8182,0.0000,1.0
2020-05-13,49.57,49.68,48.96,49.16,48.2274767736,13607,0.0000,1.0
2020-05-12,50.23,50.26,49.59,49.59,48.6493200408,37854,0.0000,1.0
2020-05-11,49.94,50.25,49.94,50.2,49.2477488616,15691,0.0000,1.0
2020-05-08,49.88,50.11,49.88,50.01,49.0613529994,19968,0.0000,1.0
2020-05-07,49.11,49.36,49.0,49.13,48.198045848,19648,0.0000,1.0
2020-05-06,48.86,48.86,48.49,48.49,47.5701861016,25771,0.0000,1.0
2020-05-05,49.06,49.26,48.76,48.86,47.9331675175,11434,0.0000,1.0
2020-05-04,48.37,48.78,48.37,48.78,47.8546850492,5522,0.0000,1.0
2020-05-01,49.2,49.2,48.66,48.76,47.8350644321,9542,0.0000,1.0
2020-04-30,50.14,50.28,49.74,49.93,48.9828705311,10788,0.0000,1.0
2020-04-29,50.56,50.94,50.53,50.62,49.6597818202,28413,0.0000,1.0
2020-04-28,49.95,49.95,49.42,49.42,48.4825447956,12916,0.0000,1.0
2020-04-27,48.78,49.0,48.77,48.94,48.0116499858,19304,0.0000,1.0
2020-04-24,48.22,48.26,47.87,48.26,47.3445490052,13657,0.0000,1.0
2020-04-23,47.97,48.53,47.73,47.78,46.8736541954,20793,0.0000,1.0
2020-04-22,47.85,47.85,47.52,47.52,46.6185861734,29432,0.0000,1.0
2020-04-21,47.02,47.33,46.59,46.9,46.010347044,19142,0.0000,1.0
2020-04-20,47.81,48.36,47.68,47.68,46.77555111,14442,0.0000,1.0
2020-04-17,48.23,48.45,47.95,48.45,47.5309448674,32629,0.0000,1.0
2020-04-16,47.15,47.34,46.83,47.29,46.392949077,16228,0.0000,1.0
2020-04-15,47.69,47.71,47.39,47.42,46.520483088,31460,0.0000,1.0
2020-04-14,49.04,49.31,48.95,49.18,48.2470973907,17735,0.0000,1.0
2020-04-13,48.57,48.68,48.06,48.37,47.4524623991,21035,0.0000,1.0
2020-04-09,48.47,48.99,48.41,48.79,47.8644953577,27557,0.0000,1.0
2020-04-08,47.31,47.81,46.88,47.65,46.7461201844,16942,0.0000,1.0
2020-04-07,48.42,48.42,47.09,47.16,46.265415066,9976,0.0000,1.0
2020-04-06,45.56,46.54,45.56,46.29,45.4119182232,35976,0.0000,1.0
2020-04-03,44.51,44.51,43.74,43.98,43.1457369509,21576,0.0000,1.0
2020-04-02,44.59,45.42,44.59,45.29,44.4308873694,40431,0.0000,1.0
2020-04-01,45.19,45.55,44.65,44.65,43.8030276229,9093,0.0000,1.0
2020-03-31,46.26,47.07,46.26,46.86,45.9711058099,203667,0.0000,1.0
2020-03-30,46.51,47.07,46.24,47.04,46.1476913636,31656,0.0000,1.0
2020-03-27,46.33,47.21,46.02,46.57,45.6866068623,21087,0.0000,1.0
2020-03-26,46.21,48.07,45.96,47.99,47.0796706747,41591,0.0000,1.0
2020-03-25,44.97,46.27,44.45,45.46,44.5976626145,27448,0.0000,1.0
2020-03-24,43.68,44.51,43.44,44.1,43.2634606533,83359,0.1484,1.0
2020-03-23,41.38,41.54,40.63,40.88,39.970057017,48722,0.0000,1.0
2020-03-20,42.88,43.52,41.38,41.4,40.4784823998,43014,0.0000,1.0
2020-03-19,40.99,42.48,40.81,41.74,40.8109143808,51845,0.0000,1.0
2020-03-18,41.33,42.06,39.79,41.16,40.2438245308,50191,0.0000,1.0
2020-03-17,42.56,43.8,41.88,43.61,42.6392902767,42431,0.0000,1.0
2020-03-16,41.47,43.29,41.3,41.79,40.8598014369,51008,0.0000,1.0
2020-03-13,47.74,47.74,45.1,47.32,46.2667098347,40625,0.0000,1.0
2020-03-12,46.63,46.89,44.31,45.1,44.0961245466,109924,0.0000,1.0
2020-03-11,52.28,52.28,50.55,50.86,49.7279134022,37133,0.0000,1.0
2020-03-10,53.86,54.0,52.05,53.71,52.5144755964,33859,0.0000,1.0
2020-03-09,52.66,53.51,51.77,51.8,50.6469900557,87628,0.0000,1.0
2020-03-06,56.22,56.75,56.06,56.6,55.3401474354,19325,0.0000,1.0
2020-03-05,57.71,57.94,57.16,57.41,56.1321177432,12951,0.0000,1.0
2020-03-04,58.59,59.31,58.2,59.31,57.9898258727,25138,0.0000,1.0
2020-03-03,58.59,59.03,57.41,57.8,56.5134367803,16022,0.0000,1.0
2020-03-02,57.36,58.14,57.09,58.14,56.8458687614,20985,0.0000,1.0
2020-02-28,56.92,57.81,56.47,57.81,56.5232141916,20695,0.0000,1.0
2020-02-27,58.92,59.38,57.97,57.97,56.6796527709,40127,0.0000,1.0
2020-02-26,60.55,60.64,59.92,59.96,58.6253576012,12401,0.0000,1.0
2020-02-25,61.17,61.17,59.83,59.9,58.566693134,30306,0.0000,1.0
2020-02-24,61.05,61.37,60.99,61.0,59.6422083668,31516,0.0000,1.0
2020-02-21,63.64,63.64,63.45,63.53,62.1158934023,5811,0.0000,1.0
2020-02-20,63.92,64.06,63.59,63.88,62.4581027946,29778,0.0000,1.0
2020-02-19,64.28,64.29,64.17,64.19,62.761202542,5657,0.0000,1.0
2020-02-18,64.09,64.19,64.02,64.05,62.6243187851,34051,0.0000,1.0
2020-02-14,64.68,64.68,64.41,64.48,63.0447474671,15605,0.0000,1.0
2020-02-13,64.38,64.67,64.24,64.5,63.0643022895,5894,0.0000,1.0
2020-02-12,64.97,65.05,64.84,64.92,63.4749535602,45247,0.0000,1.0
2020-02-11,64.68,64.82,64.54,64.68,63.2402956912,9576,0.0000,1.0
2020-02-10,64.06,64.23,64.04,64.23,62.8003121869,5285,0.0000,1.0
2020-02-07,64.19,64.26,64.02,64.08,62.6536510188,44970,0.0000,1.0
2020-02-06,64.89,64.89,64.73,64.78,63.3380698033,15496,0.0000,1.0
2020-02-05,64.87,64.88,64.6859,64.88,63.4358439154,10222,0.0000,1.0
