timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,6.88,6.89,6.38,6.58,6.58,144035,0.0000,1.0
2020-12-10,6.98,7.15,6.25,6.85,6.85,649789,0.0000,1.0
2020-12-09,6.44,6.4875,5.865,6.2,6.2,144276,0.0000,1.0
2020-12-08,5.83,6.5,5.77,6.35,6.35,314708,0.0000,1.0
2020-12-07,5.75,5.99,5.72,5.79,5.79,196843,0.0000,1.0
2020-12-04,5.1,5.93,5.1,5.69,5.69,246028,0.0000,1.0
2020-12-03,5.1,5.14,4.8,5.1,5.1,184990,0.0000,1.0
2020-12-02,5.12,5.25,5.01,5.14,5.14,81745,0.0000,1.0
2020-12-01,5.6,5.6,5.06,5.19,5.19,274899,0.0000,1.0
2020-11-30,5.97,6.04,5.3,5.6,5.6,511675,0.0000,1.0
2020-11-27,5.61,6.0,5.5,5.75,5.75,485505,0.0000,1.0
2020-11-25,5.964,6.1,5.38,5.58,5.58,1089143,0.0000,1.0
2020-11-24,4.3,5.35,4.27,5.22,5.22,742012,0.0000,1.0
2020-11-23,4.32,4.4099,4.16,4.16,4.16,106760,0.0000,1.0
2020-11-20,4.22,4.37,4.18,4.245,4.245,109669,0.0000,1.0
2020-11-19,4.32,4.33,4.16,4.27,4.27,24318,0.0000,1.0
2020-11-18,4.5,4.5831,4.26,4.32,4.32,84371,0.0000,1.0
2020-11-17,4.25,4.54,4.13,4.45,4.45,209189,0.0000,1.0
2020-11-16,4.25,4.35,4.15,4.19,4.19,83439,0.0000,1.0
2020-11-13,4.19,4.225,4.0731,4.18,4.18,25509,0.0000,1.0
2020-11-12,4.25,4.26,4.05,4.26,4.26,51206,0.0000,1.0
2020-11-11,4.305,4.33,4.2,4.22,4.22,33241,0.0000,1.0
2020-11-10,4.21,4.27,4.18,4.23,4.23,28765,0.0000,1.0
2020-11-09,4.34,4.38,4.07,4.2,4.2,59306,0.0000,1.0
2020-11-06,4.4,4.41,4.22,4.32,4.32,23419,0.0000,1.0
2020-11-05,4.24,4.5,4.24,4.31,4.31,4780,0.0000,1.0
2020-11-04,4.57,4.6,4.05,4.58,4.58,320015,0.0000,1.0
2020-11-03,4.29,4.58,4.17,4.58,4.58,33001,0.0000,1.0
2020-11-02,4.45,4.5096,4.1248,4.4,4.4,26248,0.0000,1.0
2020-10-30,4.29,4.48,4.1514,4.39,4.39,59023,0.0000,1.0
2020-10-29,4.06,4.3531,3.9001,4.13,4.13,37121,0.0000,1.0
2020-10-28,4.2322,4.24,4.01,4.14,4.14,19144,0.0000,1.0
2020-10-27,4.2,4.38,4.2,4.25,4.25,12002,0.0000,1.0
2020-10-26,4.33,4.3708,4.1527,4.29,4.29,19906,0.0000,1.0
2020-10-23,4.38,4.49,4.17,4.31,4.31,10664,0.0000,1.0
2020-10-22,4.33,4.46,4.2,4.21,4.21,83220,0.0000,1.0
2020-10-21,4.301,4.601,4.26,4.32,4.32,39584,0.0000,1.0
2020-10-20,4.52,4.55,4.3,4.31,4.31,34739,0.0000,1.0
2020-10-19,4.65,4.65,4.44,4.575,4.575,48268,0.0000,1.0
2020-10-16,4.74,4.74,4.56,4.6,4.6,15804,0.0000,1.0
2020-10-15,4.55,4.75,4.46,4.67,4.67,31094,0.0000,1.0
2020-10-14,4.655,4.97,4.655,4.75,4.75,33015,0.0000,1.0
2020-10-13,4.3,4.7299,4.16,4.66,4.66,120266,0.0000,1.0
2020-10-12,4.71,4.71,4.325,4.37,4.37,21853,0.0000,1.0
2020-10-09,5.01,5.01,4.61,4.68,4.68,65509,0.0000,1.0
2020-10-08,4.63,4.86,4.4801,4.86,4.86,61901,0.0000,1.0
2020-10-07,4.15,4.66,4.15,4.6,4.6,139769,0.0000,1.0
2020-10-06,4.21,4.3353,4.1,4.19,4.19,28680,0.0000,1.0
2020-10-05,4.4,4.63,4.21,4.21,4.21,63333,0.0000,1.0
2020-10-02,4.75,4.75,4.32,4.32,4.32,111788,0.0000,1.0
2020-10-01,4.0641,4.9,4.05,4.75,4.75,142121,0.0000,1.0
2020-09-30,4.0,4.25,3.96,4.24,4.24,20820,0.0000,1.0
2020-09-29,4.21,4.49,4.06,4.06,4.06,16486,0.0000,1.0
2020-09-28,4.25,4.38,4.09,4.09,4.09,30326,0.0000,1.0
2020-09-25,4.0,4.27,3.87,4.1,4.1,30406,0.0000,1.0
2020-09-24,3.9976,4.0,3.769,3.91,3.91,23079,0.0000,1.0
2020-09-23,4.4,4.4,3.93,3.94,3.94,17607,0.0000,1.0
2020-09-22,4.45,4.4813,4.25,4.25,4.25,3351,0.0000,1.0
2020-09-21,4.1001,4.46,4.1001,4.37,4.37,32299,0.0000,1.0
2020-09-18,4.33,4.605,4.31,4.38,4.38,48378,0.0000,1.0
2020-09-17,4.36,4.575,4.3377,4.41,4.41,28630,0.0000,1.0
2020-09-16,4.39,4.55,4.16,4.43,4.43,27020,0.0000,1.0
2020-09-15,4.2,4.59,4.2,4.31,4.31,21946,0.0000,1.0
2020-09-14,4.07,4.4,4.07,4.25,4.25,18657,0.0000,1.0
2020-09-11,4.02,4.43,4.02,4.08,4.08,20635,0.0000,1.0
2020-09-10,4.43,4.43,3.97,4.07,4.07,34903,0.0000,1.0
2020-09-09,4.15,4.5,4.15,4.17,4.17,26320,0.0000,1.0
2020-09-08,4.25,4.35,4.13,4.13,4.13,13377,0.0000,1.0
2020-09-04,4.5,4.59,4.06,4.3,4.3,32387,0.0000,1.0
2020-09-03,4.47,4.61,4.4,4.5,4.5,63541,0.0000,1.0
2020-09-02,4.63,4.67,4.47,4.65,4.65,22162,0.0000,1.0
2020-09-01,4.82,4.82,4.51,4.68,4.68,58714,0.0000,1.0
2020-08-31,4.57,4.88,4.47,4.75,4.75,36758,0.0000,1.0
2020-08-28,4.28,4.54,4.24,4.54,4.54,19286,0.0000,1.0
2020-08-27,4.25,4.34,3.9,4.25,4.25,36173,0.0000,1.0
2020-08-26,4.47,4.53,4.1507,4.3,4.3,48661,0.0000,1.0
2020-08-25,4.5,4.64,4.45,4.55,4.55,25413,0.0000,1.0
2020-08-24,4.46,5.02,4.19,4.43,4.43,81162,0.0000,1.0
2020-08-21,5.29,5.29,5.02,5.04,5.04,34141,0.0000,1.0
2020-08-20,5.05,5.3,5.05,5.24,5.24,48811,0.0000,1.0
2020-08-19,5.16,5.1883,5.09,5.15,5.15,7722,0.0000,1.0
2020-08-18,5.3499,5.35,5.15,5.15,5.15,54435,0.0000,1.0
2020-08-17,5.34,5.35,5.2,5.35,5.35,112697,0.0000,1.0
2020-08-14,5.25,5.35,5.132,5.35,5.35,55158,0.0000,1.0
2020-08-13,5.39,5.49,5.3,5.37,5.37,29097,0.0000,1.0
2020-08-12,5.33,5.3978,5.16,5.3,5.3,55381,0.0000,1.0
2020-08-11,5.57,5.705,5.35,5.4,5.4,73867,0.0000,1.0
2020-08-10,5.25,5.76,5.25,5.72,5.72,99744,0.0000,1.0
2020-08-07,5.69,5.7,5.45,5.45,5.45,110499,0.0000,1.0
2020-08-06,5.05,5.75,5.05,5.59,5.59,945320,0.0000,1.0
2020-08-05,5.8,6.0,5.58,5.8,5.8,46878,0.0000,1.0
2020-08-04,5.95,6.28,5.8,5.86,5.86,7688,0.0000,1.0
2020-08-03,6.05,6.16,5.71,6.09,6.09,54871,0.0000,1.0
2020-07-31,5.96,6.22,5.81,5.95,5.95,29413,0.0000,1.0
2020-07-30,5.99,6.02,5.84,5.9,5.9,6021,0.0000,1.0
2020-07-29,5.95,6.2,5.95,5.98,5.98,9347,0.0000,1.0
2020-07-28,6.1501,6.1501,5.8,5.95,5.95,31564,0.0000,1.0
2020-07-27,5.96,6.275,5.96,6.22,6.22,20045,0.0000,1.0
2020-07-24,5.9,6.1899,5.9,6.02,6.02,14828,0.0000,1.0
2020-07-23,6.545,6.8988,6.1,6.1,6.1,26057,0.0000,1.0
2020-07-22,6.44,6.77,6.2801,6.5,6.5,6906,0.0000,1.0
2020-07-21,6.62,6.94,6.3,6.6,6.6,11308,0.0000,1.0
2020-07-20,7.0,7.0,6.49,6.53,6.53,16335,0.0000,1.0
2020-07-17,6.35,7.55,6.18,6.8,6.8,118500,0.0000,1.0
2020-07-16,6.3,6.44,5.95,6.35,6.35,8500,0.0000,1.0
2020-07-15,6.4,6.45,6.11,6.3,6.3,21800,0.0000,1.0
2020-07-14,5.59,6.0,5.41,5.9,5.9,31100,0.0000,1.0
2020-07-13,6.11,6.22,5.8,5.8,5.8,27200,0.0000,1.0
2020-07-10,6.58,6.58,6.12,6.15,6.15,30400,0.0000,1.0
2020-07-09,6.99,6.99,6.45,6.7,6.7,32600,0.0000,1.0
2020-07-08,7.28,7.28,6.92,6.92,6.92,106100,0.0000,1.0
2020-07-07,7.1,7.13,6.39,6.75,6.75,20000,0.0000,1.0
2020-07-06,7.33,7.33,7.1,7.1,7.1,54100,0.0000,1.0
2020-07-02,6.83,7.34,6.75,7.15,7.15,95600,0.0000,1.0
2020-07-01,6.8,7.0,6.8,6.91,6.91,18500,0.0000,1.0
2020-06-30,6.7,6.97,6.57,6.93,6.93,24300,0.0000,1.0
2020-06-29,6.45,6.89,6.4,6.72,6.72,46500,0.0000,1.0
2020-06-26,6.57,6.77,6.28,6.72,6.72,38422,0.0000,1.0
2020-06-25,6.99,6.99,6.56,6.86,6.86,13988,0.0000,1.0
2020-06-24,6.99,7.0,6.4,6.9,6.9,50539,0.0000,1.0
2020-06-23,7.0,7.4,6.77,6.95,6.95,95305,0.0000,1.0
2020-06-22,7.45,7.6513,6.71,7.13,7.13,135890,0.0000,1.0
2020-06-19,6.0,8.8,5.9365,7.32,7.32,706758,0.0000,1.0
2020-06-18,6.08,6.08,5.5,6.0,6.0,80566,0.0000,1.0
2020-06-17,4.91,6.06,4.91,5.96,5.96,221164,0.0000,1.0
2020-06-16,5.19,5.2,4.825,5.01,5.01,56044,0.0000,1.0
2020-06-15,4.54,5.2276,4.54,4.86,4.86,78436,0.0000,1.0
2020-06-12,4.53,4.7,4.5,4.68,4.68,40902,0.0000,1.0
2020-06-11,4.65,4.65,4.45,4.59,4.59,56948,0.0000,1.0
2020-06-10,4.68,4.7,4.6,4.645,4.645,7632,0.0000,1.0
2020-06-09,4.6,4.77,4.515,4.65,4.65,28136,0.0000,1.0
2020-06-08,4.85,4.9125,4.6,4.68,4.68,16020,0.0000,1.0
2020-06-05,4.7,4.91,4.7,4.74,4.74,32153,0.0000,1.0
2020-06-04,4.75,4.986,4.74,4.83,4.83,34368,0.0000,1.0
2020-06-03,4.645,5.0,4.59,4.99,4.99,107543,0.0000,1.0
2020-06-02,4.64,4.7,4.56,4.67,4.67,50900,0.0000,1.0
2020-06-01,4.69,4.74,4.5,4.64,4.64,60709,0.0000,1.0
2020-05-29,4.7499,4.75,4.5986,4.62,4.62,20365,0.0000,1.0
2020-05-28,4.39,4.753,4.36,4.62,4.62,24491,0.0000,1.0
2020-05-27,4.99,4.99,4.46,4.46,4.46,122004,0.0000,1.0
2020-05-26,4.73,5.0,4.73,4.81,4.81,78801,0.0000,1.0
2020-05-22,4.75,4.9,4.58,4.7,4.7,49869,0.0000,1.0
2020-05-21,5.08,5.0999,4.5,4.66,4.66,51121,0.0000,1.0
2020-05-20,4.55,5.1,4.19,4.95,4.95,151716,0.0000,1.0
2020-05-19,4.93,4.94,4.5,4.565,4.565,83292,0.0000,1.0
2020-05-18,4.82,5.05,4.5684,4.91,4.91,182662,0.0000,1.0
2020-05-15,4.69,5.1,4.2401,4.5,4.5,227739,0.0000,1.0
2020-05-14,4.75,5.1,3.62,4.5,4.5,638119,0.0000,1.0
2020-05-13,3.94,4.0632,3.243,3.84,3.84,144858,0.0000,1.0
2020-05-12,3.92,4.3,3.9197,4.1092,4.1092,83824,0.0000,1.0
2020-05-11,3.85,4.04,3.82,3.82,3.82,14995,0.0000,1.0
2020-05-08,4.05,4.11,3.7501,3.9698,3.9698,34011,0.0000,1.0
2020-05-07,4.23,4.24,4.02,4.1,4.1,23119,0.0000,1.0
2020-05-06,4.04,4.23,4.01,4.1,4.1,13137,0.0000,1.0
2020-05-05,4.0958,4.0999,3.91,3.9999,3.9999,19685,0.0000,1.0
2020-05-04,3.9,4.105,3.9,4.0,4.0,59477,0.0000,1.0
2020-05-01,4.1796,4.2,3.73,3.9723,3.9723,42939,0.0000,1.0
2020-04-30,4.07,4.17,3.69,3.95,3.95,98888,0.0000,1.0
2020-04-29,3.625,3.99,3.5994,3.95,3.95,22613,0.0000,1.0
2020-04-28,3.95,3.99,3.715,3.78,3.78,12598,0.0000,1.0
2020-04-27,3.68,3.9,3.5823,3.8,3.8,21562,0.0000,1.0
2020-04-24,3.62,3.728,3.54,3.65,3.65,3129,0.0000,1.0
2020-04-23,3.73,3.73,3.62,3.65,3.65,5401,0.0000,1.0
2020-04-22,3.8719,3.8719,3.56,3.75,3.75,15241,0.0000,1.0
2020-04-21,3.26,3.8,3.0,3.6,3.6,6759,0.0000,1.0
2020-04-20,3.26,3.53,3.26,3.35,3.35,51823,0.0000,1.0
2020-04-17,3.64,3.64,3.21,3.455,3.455,15112,0.0000,1.0
2020-04-16,3.2,3.7569,3.2,3.55,3.55,31346,0.0000,1.0
2020-04-15,2.9554,3.15,2.88,3.14,3.14,36640,0.0000,1.0
2020-04-14,2.923,3.0,2.88,2.97,2.97,34690,0.0000,1.0
2020-04-13,2.96,3.0,2.9357,3.0,3.0,10292,0.0000,1.0
2020-04-09,3.0,3.0,2.8835,2.96,2.96,17689,0.0000,1.0
2020-04-08,3.0,3.0,2.9,2.95,2.95,20349,0.0000,1.0
2020-04-07,2.98,3.01,2.9,2.9,2.9,12386,0.0000,1.0
2020-04-06,2.85,3.2,2.82,2.82,2.82,14571,0.0000,1.0
2020-04-03,2.59,2.85,2.57,2.85,2.85,17443,0.0000,1.0
2020-04-02,2.55,2.67,2.55,2.6,2.6,10397,0.0000,1.0
2020-04-01,2.87,2.87,2.47,2.68,2.68,13102,0.0000,1.0
2020-03-31,2.6001,2.86,2.6001,2.8,2.8,6005,0.0000,1.0
2020-03-30,2.85,2.89,2.61,2.62,2.62,15190,0.0000,1.0
2020-03-27,2.99,3.07,2.72,2.81,2.81,59180,0.0000,1.0
2020-03-26,2.6,3.04,2.6,2.8299,2.8299,24444,0.0000,1.0
2020-03-25,2.226,2.72,2.226,2.64,2.64,32601,0.0000,1.0
2020-03-24,2.15,2.59,2.0108,2.25,2.25,77401,0.0000,1.0
2020-03-23,2.3,2.6641,1.87,2.31,2.31,75254,0.0000,1.0
2020-03-20,3.06,3.1099,2.5,2.61,2.61,27289,0.0000,1.0
2020-03-19,2.2001,2.8,2.2,2.8,2.8,45137,0.0000,1.0
2020-03-18,3.02,3.04,2.21,2.31,2.31,102320,0.0000,1.0
2020-03-17,3.06,3.17,2.93,3.04,3.04,24101,0.0000,1.0
2020-03-16,3.6,3.6,2.76,3.06,3.06,47646,0.0000,1.0
2020-03-13,3.97,3.97,3.5,3.6,3.6,70681,0.0000,1.0
2020-03-12,3.75,3.8985,3.48,3.6,3.6,103936,0.0000,1.0
2020-03-11,3.94,4.1153,3.85,4.0,4.0,17905,0.0000,1.0
2020-03-10,3.9812,4.19,3.785,4.09,4.09,12772,0.0000,1.0
2020-03-09,3.76,3.982,3.55,3.92,3.92,28383,0.0000,1.0
2020-03-06,4.02,4.1999,3.93,4.0,4.0,66445,0.0000,1.0
2020-03-05,4.13,4.25,4.0,4.14,4.14,56982,0.0000,1.0
2020-03-04,4.38,4.38,4.17,4.17,4.17,1814,0.0000,1.0
2020-03-03,4.48,4.48,4.17,4.37,4.37,26941,0.0000,1.0
2020-03-02,4.55,4.67,4.3,4.44,4.44,94814,0.0000,1.0
2020-02-28,4.26,4.52,4.03,4.52,4.52,93766,0.0000,1.0
2020-02-27,4.9,4.9,4.13,4.26,4.26,89713,0.0000,1.0
2020-02-26,4.85,5.06,4.55,5.06,5.06,108200,0.0000,1.0
2020-02-25,5.36,5.53,4.89,5.0,5.0,79816,0.0000,1.0
2020-02-24,5.46,5.785,5.14,5.4,5.4,201896,0.0000,1.0
