timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,5.24,5.24,5.07,5.15,5.15,55312,0.0000,1.0
2020-12-10,5.28,5.2973,5.13,5.19,5.19,94523,0.0000,1.0
2020-12-09,5.25,5.38,5.22,5.34,5.34,90573,0.0000,1.0
2020-12-08,5.42,5.42,5.2,5.25,5.25,122745,0.0000,1.0
2020-12-07,5.59,5.59,5.32,5.38,5.38,171713,0.0000,1.0
2020-12-04,5.26,5.5,5.26,5.31,5.31,193893,0.0000,1.0
2020-12-03,5.36,5.38,5.1701,5.25,5.25,127188,0.0000,1.0
2020-12-02,5.16,5.48,5.07,5.42,5.42,113925,0.0000,1.0
2020-12-01,5.57,5.57,5.09,5.25,5.25,102761,0.0000,1.0
2020-11-30,5.61,5.7,5.2,5.37,5.37,245285,0.0000,1.0
2020-11-27,5.73,5.8573,5.51,5.6,5.6,185325,0.0000,1.0
2020-11-25,5.37,5.9,5.35,5.66,5.66,399638,0.0000,1.0
2020-11-24,5.09,5.31,4.9,5.29,5.29,417368,0.0000,1.0
2020-11-23,5.1,5.12,4.95,5.02,5.02,174077,0.0000,1.0
2020-11-20,4.88,5.1898,4.86,5.12,5.12,198817,0.0000,1.0
2020-11-19,5.05,5.05,4.81,4.88,4.88,91029,0.0000,1.0
2020-11-18,5.08,5.18,4.9001,4.92,4.92,125781,0.0000,1.0
2020-11-17,4.77,5.15,4.7,5.09,5.09,353828,0.0000,1.0
2020-11-16,5.04,5.26,4.7,4.78,4.78,257269,0.0000,1.0
2020-11-13,5.07,5.23,5.0,5.09,5.09,118102,0.0000,1.0
2020-11-12,4.92,5.32,4.92,5.05,5.05,221492,0.0000,1.0
2020-11-11,4.79,5.075,4.64,4.91,4.91,232350,0.0000,1.0
2020-11-10,4.43,4.92,4.4,4.68,4.68,259804,0.0000,1.0
2020-11-09,4.57,4.76,4.35,4.42,4.42,360541,0.0000,1.0
2020-11-06,4.58,4.75,4.5101,4.61,4.61,250143,0.0000,1.0
2020-11-05,4.26,4.75,4.25,4.59,4.59,415138,0.0000,1.0
2020-11-04,4.49,4.5246,4.26,4.37,4.37,406832,0.0000,1.0
2020-11-03,4.78,4.81,4.44,4.53,4.53,314147,0.0000,1.0
2020-11-02,4.61,4.84,4.5,4.73,4.73,379509,0.0000,1.0
2020-10-30,4.71,5.14,4.56,4.59,4.59,583575,0.0000,1.0
2020-10-29,5.2,5.2,4.75,4.8,4.8,648555,0.0000,1.0
2020-10-28,5.82,5.84,5.19,5.23,5.23,960841,0.0000,1.0
2020-10-27,6.1,6.5798,5.65,5.94,5.94,5780164,0.0000,1.0
2020-10-26,5.54,7.62,4.94,6.82,6.82,118692805,0.0000,1.0
2020-10-23,4.29,4.29,4.02,4.04,4.04,761657,0.0000,1.0
2020-10-22,4.11,4.23,3.9,4.23,4.23,253013,0.0000,1.0
2020-10-21,4.16,4.27,3.92,4.05,4.05,261714,0.0000,1.0
2020-10-20,4.57,4.7,4.115,4.24,4.24,191754,0.0000,1.0
2020-10-19,4.18,4.72,4.18,4.56,4.56,628379,0.0000,1.0
2020-10-16,4.26,4.2658,4.15,4.18,4.18,46701,0.0000,1.0
2020-10-15,4.2,4.35,4.1,4.33,4.33,141175,0.0000,1.0
2020-10-14,4.26,4.4199,4.18,4.29,4.29,189265,0.0000,1.0
2020-10-13,4.27,4.42,4.16,4.26,4.26,143720,0.0000,1.0
2020-10-12,4.5,4.55,4.3,4.31,4.31,171749,0.0000,1.0
2020-10-09,4.6,4.7,4.54,4.56,4.56,108014,0.0000,1.0
2020-10-08,4.9,4.9025,4.445,4.57,4.57,231450,0.0000,1.0
2020-10-07,4.41,4.97,4.4,4.94,4.94,736230,0.0000,1.0
2020-10-06,4.52,4.61,4.3,4.42,4.42,109059,0.0000,1.0
2020-10-05,4.46,4.63,4.46,4.55,4.55,58389,0.0000,1.0
2020-10-02,4.5,4.69,4.417,4.48,4.48,95057,0.0000,1.0
2020-10-01,4.85,4.95,4.61,4.67,4.67,117495,0.0000,1.0
2020-09-30,4.65,4.66,4.46,4.56,4.56,70020,0.0000,1.0
2020-09-29,4.63,4.72,4.46,4.63,4.63,55008,0.0000,1.0
2020-09-28,4.48,4.71,4.2,4.63,4.63,102891,0.0000,1.0
2020-09-25,4.2,4.55,4.13,4.48,4.48,167965,0.0000,1.0
2020-09-24,4.09,4.4,3.79,4.28,4.28,310955,0.0000,1.0
2020-09-23,5.19,5.225,4.46,4.48,4.48,341463,0.0000,1.0
2020-09-22,5.35,5.45,5.18,5.25,5.25,222452,0.0000,1.0
2020-09-21,5.66,5.66,5.19,5.35,5.35,159486,0.0000,1.0
2020-09-18,5.59,5.74,5.5,5.5,5.5,109225,0.0000,1.0
2020-09-17,5.7,6.07,5.41,5.63,5.63,487755,0.0000,1.0
2020-09-16,5.6,5.7199,5.47,5.62,5.62,88933,0.0000,1.0
2020-09-15,5.46,5.68,5.46,5.57,5.57,137161,0.0000,1.0
2020-09-14,5.54,5.67,5.3,5.5,5.5,171507,0.0000,1.0
2020-09-11,5.65,5.77,5.51,5.57,5.57,256730,0.0000,1.0
2020-09-10,5.68,5.84,5.6178,5.69,5.69,175812,0.0000,1.0
2020-09-09,5.78,5.94,5.65,5.73,5.73,277969,0.0000,1.0
2020-09-08,5.59,6.15,5.55,5.93,5.93,278736,0.0000,1.0
2020-09-04,6.07,6.29,5.36,6.21,6.21,330833,0.0000,1.0
2020-09-03,6.46,6.541,6.02,6.15,6.15,301724,0.0000,1.0
2020-09-02,6.72,6.8431,6.3,6.6,6.6,320885,0.0000,1.0
2020-09-01,6.78,7.22,6.56,7.1,7.1,1256009,0.0000,1.0
2020-08-31,6.24,6.39,5.85,6.39,6.39,370134,0.0000,1.0
2020-08-28,6.22,6.22,5.5,5.91,5.91,304694,0.0000,1.0
2020-08-27,6.15,6.209,5.25,5.6,5.6,842755,0.0000,1.0
2020-08-26,6.54,6.6403,6.12,6.27,6.27,338149,0.0000,1.0
2020-08-25,6.24,6.45,6.18,6.4,6.4,208276,0.0000,1.0
2020-08-24,6.85,6.92,6.23,6.36,6.36,994750,0.0000,1.0
2020-08-21,7.27,7.364,6.8515,6.95,6.95,474174,0.0000,1.0
2020-08-20,7.14,7.27,7.04,7.18,7.18,264342,0.0000,1.0
2020-08-19,6.98,7.25,6.75,7.25,7.25,739198,0.0000,1.0
2020-08-18,7.36,7.46,6.92,7.04,7.04,470903,0.0000,1.0
2020-08-17,7.29,7.5827,7.14,7.49,7.49,770579,0.0000,1.0
2020-08-14,7.8,7.82,7.1713,7.25,7.25,666575,0.0000,1.0
2020-08-13,7.74,8.2399,7.52,7.75,7.75,891900,0.0000,1.0
2020-08-12,8.52,8.52,7.06,7.84,7.84,1160170,0.0000,1.0
2020-08-11,9.8,10.0,8.1201,8.6,8.6,1970365,0.0000,1.0
2020-08-10,10.0,10.55,9.62,10.46,10.46,1584129,0.0000,1.0
2020-08-07,8.75,9.58,8.75,9.4,9.4,1160327,0.0000,1.0
2020-08-06,8.99,9.0316,8.65,8.75,8.75,458641,0.0000,1.0
2020-08-05,8.64,9.155,8.5363,8.78,8.78,909531,0.0000,1.0
2020-08-04,7.99,8.44,7.95,8.42,8.42,392588,0.0000,1.0
2020-08-03,8.03,8.1999,7.86,7.99,7.99,290562,0.0000,1.0
2020-07-31,7.99,8.2,7.72,7.98,7.98,660039,0.0000,1.0
2020-07-30,7.75,7.88,7.52,7.84,7.84,426042,0.0000,1.0
2020-07-29,7.75,7.89,7.58,7.68,7.68,1051917,0.0000,1.0
2020-07-28,8.16,8.65,8.15,8.38,8.38,594672,0.0000,1.0
2020-07-27,8.06,8.6,7.89,8.24,8.24,969838,0.0000,1.0
2020-07-24,7.75,8.04,7.6001,7.9,7.9,346259,0.0000,1.0
2020-07-23,7.88,8.1,7.62,7.83,7.83,294257,0.0000,1.0
2020-07-22,7.65,7.8799,7.65,7.81,7.81,154672,0.0000,1.0
2020-07-21,7.97,7.97,7.642,7.77,7.77,240942,0.0000,1.0
2020-07-20,7.32,8.12,7.22,7.85,7.85,1157784,0.0000,1.0
2020-07-17,7.4,7.59,7.3,7.44,7.44,207454,0.0000,1.0
2020-07-16,7.18,7.58,7.11,7.53,7.53,286061,0.0000,1.0
2020-07-15,7.33,7.46,7.11,7.33,7.33,396556,0.0000,1.0
2020-07-14,7.32,7.43,6.91,7.33,7.33,497023,0.0000,1.0
2020-07-13,7.71,8.15,7.41,7.51,7.51,1340864,0.0000,1.0
2020-07-10,7.94,7.94,7.1,7.29,7.29,1454735,0.0000,1.0
2020-07-09,9.6,9.79,7.75,8.0,8.0,20494953,0.0000,1.0
2020-07-08,6.2,6.69,6.01,6.47,6.47,1100438,0.0000,1.0
2020-07-07,6.3,6.41,6.07,6.2,6.2,873540,0.0000,1.0
2020-07-06,6.31,6.33,6.069,6.19,6.19,463343,0.0000,1.0
2020-07-02,6.31,6.37,6.01,6.02,6.02,1679902,0.0000,1.0
2020-07-01,8.21,8.288,7.92,8.06,8.06,223112,0.0000,1.0
2020-06-30,8.26,8.35,8.06,8.17,8.17,105867,0.0000,1.0
2020-06-29,8.56,8.705,8.23,8.35,8.35,186758,0.0000,1.0
2020-06-26,8.84,9.1,8.32,8.94,8.94,572320,0.0000,1.0
2020-06-25,8.62,8.89,8.12,8.74,8.74,437357,0.0000,1.0
2020-06-24,8.31,9.5,8.0,8.48,8.48,1732626,0.0000,1.0
2020-06-23,7.86,8.0,7.535,7.94,7.94,362153,0.0000,1.0
2020-06-22,8.2,8.2,7.65,7.85,7.85,384534,0.0000,1.0
2020-06-19,7.82,7.98,7.51,7.71,7.71,356156,0.0000,1.0
2020-06-18,7.9,7.93,7.6,7.78,7.78,339270,0.0000,1.0
2020-06-17,8.24,8.59,7.85,7.96,7.96,1385284,0.0000,1.0
2020-06-16,9.34,10.3799,9.01,10.0,10.0,365587,0.0000,1.0
2020-06-15,9.5,9.95,9.1,9.68,9.68,281185,0.0000,1.0
2020-06-12,8.31,9.67,8.31,9.08,9.08,269124,0.0000,1.0
2020-06-11,8.5,8.95,7.92,8.11,8.11,99106,0.0000,1.0
2020-06-10,10.15,10.15,9.2,9.33,9.33,110978,0.0000,1.0
2020-06-09,10.08,10.46,9.7,9.99,9.99,108859,0.0000,1.0
2020-06-08,8.98,10.4399,8.7,10.0,10.0,554234,0.0000,1.0
2020-06-05,8.59,8.9,8.25,8.77,8.77,179612,0.0000,1.0
2020-06-04,8.54,8.6399,7.93,8.21,8.21,107729,0.0000,1.0
2020-06-03,8.23,8.78,8.11,8.62,8.62,178259,0.0000,1.0
2020-06-02,8.05,8.2,7.6,8.06,8.06,147761,0.0000,1.0
2020-06-01,7.82,8.75,7.45,8.33,8.33,472032,0.0000,1.0
2020-05-29,7.08,8.23,7.0201,7.45,7.45,385982,0.0000,1.0
2020-05-28,7.58,7.58,7.045,7.3,7.3,59333,0.0000,1.0
2020-05-27,7.79,7.79,7.35,7.51,7.51,84253,0.0000,1.0
2020-05-26,8.01,8.4499,7.55,7.79,7.79,199513,0.0000,1.0
2020-05-22,7.5,7.7,7.24,7.45,7.45,181747,0.0000,1.0
2020-05-21,8.45,8.56,8.046,8.46,8.46,123699,0.0000,1.0
2020-05-20,8.88,8.9499,8.1301,8.3,8.3,117514,0.0000,1.0
2020-05-19,9.06,9.6,8.61,8.97,8.97,152938,0.0000,1.0
2020-05-18,8.54,9.72,8.54,9.17,9.17,235887,0.0000,1.0
