timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,36.99,37.0099,36.83,36.98,36.98,24986,0.0000,1.0
2020-12-10,36.9938,37.35,36.9938,37.26,37.26,24840,0.0000,1.0
2020-12-09,37.32,37.32,36.9,37.14,37.14,18978,0.0000,1.0
2020-12-08,36.84,37.08,36.84,37.05,37.05,13632,0.0000,1.0
2020-12-07,36.99,37.1,36.95,37.06,37.06,94091,0.0000,1.0
2020-12-04,37.12,37.195,37.0649,37.17,37.17,18006,0.0000,1.0
2020-12-03,36.96,37.035,36.87,36.92,36.92,23486,0.0000,1.0
2020-12-02,36.58,36.8,36.58,36.78,36.78,38146,0.0000,1.0
2020-12-01,36.34,36.605,36.34,36.58,36.58,39429,0.0000,1.0
2020-11-30,36.48,36.48,35.95,35.99,35.99,15354,0.0000,1.0
2020-11-27,36.7,36.75,36.66,36.745,36.745,72322,0.0000,1.0
2020-11-25,36.5404,36.75,36.53,36.72,36.72,39891,0.0000,1.0
2020-11-24,36.39,36.681,36.37,36.68,36.68,62507,0.0000,1.0
2020-11-23,36.1763,36.22,35.92,36.01,36.01,45873,0.0000,1.0
2020-11-20,35.91,36.03,35.86,35.9926,35.9926,15342,0.0000,1.0
2020-11-19,35.74,36.11,35.69,35.98,35.98,114959,0.0000,1.0
2020-11-18,35.93,36.0463,35.74,35.74,35.74,28118,0.0000,1.0
2020-11-17,35.77,35.9949,35.73,35.95,35.95,27923,0.0000,1.0
2020-11-16,35.75,35.8099,35.65,35.79,35.79,24812,0.0000,1.0
2020-11-13,35.17,35.47,35.17,35.35,35.35,18355,0.0000,1.0
2020-11-12,35.23,35.31,34.965,34.99,34.99,27544,0.0000,1.0
2020-11-11,35.57,35.66,35.47,35.61,35.61,30943,0.0000,1.0
2020-11-10,35.21,35.455,35.17,35.34,35.34,183074,0.0000,1.0
2020-11-09,35.2,35.2,34.68,34.68,34.68,18360,0.0000,1.0
2020-11-06,33.71,33.78,33.61,33.62,33.62,38839,0.0000,1.0
2020-11-05,33.57,33.6582,33.376,33.58,33.58,18845,0.0000,1.0
2020-11-04,32.83,33.2631,32.71,32.96,32.96,26496,0.0000,1.0
2020-11-03,32.65,32.95,32.64,32.81,32.81,32801,0.0000,1.0
2020-11-02,31.98,32.095,31.85,32.05,32.05,171449,0.0000,1.0
2020-10-30,31.55,31.55,31.34,31.54,31.54,46300,0.0000,1.0
2020-10-29,31.39,31.6506,31.23,31.61,31.61,43702,0.0000,1.0
2020-10-28,31.74,31.74,31.45,31.49,31.49,35968,0.0000,1.0
2020-10-27,32.85,32.875,32.62,32.67,32.67,141220,0.0000,1.0
2020-10-26,33.27,33.305,32.9,33.06,33.06,37955,0.0000,1.0
2020-10-23,33.57,33.62,33.39,33.62,33.62,49851,0.0000,1.0
2020-10-22,33.06,33.35,33.06,33.34,33.34,27796,0.0000,1.0
2020-10-21,33.42,33.5244,33.27,33.27,33.27,16282,0.0000,1.0
2020-10-20,33.43,33.505,33.36,33.38,33.38,99121,0.0000,1.0
2020-10-19,33.5,33.5,33.14,33.14,33.14,29183,0.0000,1.0
2020-10-16,33.25,33.415,33.25,33.33,33.33,27261,0.0000,1.0
2020-10-15,32.95,33.27,32.95,33.27,33.27,24852,0.0000,1.0
2020-10-14,33.82,33.89,33.6741,33.72,33.72,23081,0.0000,1.0
