timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,49.84,49.97,49.73,49.93,49.93,23197,0.0000,1.0
2020-12-10,49.89,50.2419,49.89,50.1,50.1,22647,0.0000,1.0
2020-12-09,50.18,50.18,49.701,49.98,49.98,13423,0.0000,1.0
2020-12-08,49.7499,49.989,49.72,49.925,49.925,17948,0.0000,1.0
2020-12-07,49.86,49.9899,49.65,49.76,49.76,30236,0.0000,1.0
2020-12-04,49.99,50.12,49.92,49.97,49.97,26649,0.0000,1.0
2020-12-03,49.66,49.96,49.66,49.7,49.7,26547,0.0000,1.0
2020-12-02,49.44,49.68,49.42,49.57,49.57,17016,0.0000,1.0
2020-12-01,49.27,49.58,49.26,49.51,49.51,24778,0.0000,1.0
2020-11-30,49.45,49.45,48.61,48.61,48.61,23192,0.0000,1.0
2020-11-27,49.55,49.65,49.53,49.6252,49.6252,10032,0.0000,1.0
2020-11-25,49.19,49.5099,49.1,49.42,49.42,14028,0.0000,1.0
2020-11-24,49.12,49.435,49.092,49.39,49.39,23136,0.0000,1.0
2020-11-23,48.99,49.04,48.6001,48.73,48.73,19211,0.0000,1.0
2020-11-20,48.77,48.9316,48.74,48.86,48.86,17691,0.0000,1.0
2020-11-19,48.49,48.71,48.435,48.71,48.71,35079,0.0000,1.0
2020-11-18,48.79,48.95,48.47,48.52,48.52,48205,0.0000,1.0
2020-11-17,48.65,48.9299,48.54,48.71,48.71,25280,0.0000,1.0
2020-11-16,48.78,48.81,48.56,48.805,48.805,31854,0.0000,1.0
2020-11-13,48.02,48.42,48.02,48.36,48.36,19357,0.0000,1.0
2020-11-12,48.15,48.2477,47.7876,47.8254,47.8254,20774,0.0000,1.0
2020-11-11,48.49,48.59,48.35,48.53,48.53,33521,0.0000,1.0
2020-11-10,48.03,48.36,47.98,48.09,48.09,36928,0.0000,1.0
2020-11-09,48.42,48.48,47.57,47.59,47.59,104404,0.0000,1.0
2020-11-06,46.81,46.9,46.64,46.64,46.64,27974,0.0000,1.0
2020-11-05,46.58,46.69,46.39,46.56,46.56,67883,0.0000,1.0
2020-11-04,45.5,46.065,45.32,45.71,45.71,25724,0.0000,1.0
2020-11-03,45.17,45.55,45.135,45.4852,45.4852,15308,0.0000,1.0
2020-11-02,44.23,44.38,44.09,44.33,44.33,29021,0.0000,1.0
2020-10-30,43.68,43.74,43.43,43.69,43.69,47114,0.0000,1.0
2020-10-29,43.68,43.99,43.51,43.85,43.85,65506,0.0000,1.0
2020-10-28,43.94,44.09,43.68,43.68,43.68,105026,0.0000,1.0
2020-10-27,45.36,45.36,45.0479,45.07,45.07,28529,0.0000,1.0
2020-10-26,45.79,45.79,45.27,45.5,45.5,45906,0.0000,1.0
2020-10-23,46.16,46.27,45.9501,46.22,46.22,89019,0.0000,1.0
2020-10-22,45.79,45.97,45.6714,45.87,45.87,320922,0.0000,1.0
2020-10-21,45.9869,46.21,45.83,45.83,45.83,330986,0.0000,1.0
2020-10-20,46.0,46.169,45.92,45.92,45.92,37526,0.0000,1.0
2020-10-19,46.08,46.115,45.67,45.67,45.67,40487,0.0000,1.0
2020-10-16,45.86,46.04,45.81,45.95,45.95,20558,0.0000,1.0
2020-10-15,45.45,45.78,45.45,45.78,45.78,23830,0.0000,1.0
2020-10-14,46.53,46.5953,46.27,46.32,46.32,18558,0.0000,1.0
2020-10-13,46.54,46.54,46.35,46.36,46.36,27334,0.0000,1.0
2020-10-12,46.78,46.93,46.682,46.9,46.9,15802,0.0000,1.0
2020-10-09,46.6,46.7,46.51,46.6754,46.6754,9910,0.0000,1.0
2020-10-08,46.29,46.48,46.28,46.4,46.4,25348,0.0000,1.0
2020-10-07,46.08,46.219,46.0729,46.19,46.19,14108,0.0000,1.0
2020-10-06,46.27,46.3,45.68,45.73,45.73,66422,0.0000,1.0
2020-10-05,45.89,46.21,45.89,46.15,46.15,34965,0.0000,1.0
2020-10-02,45.01,45.6096,45.01,45.56,45.56,25450,0.0000,1.0
2020-10-01,45.63,45.645,45.35,45.49,45.49,48481,0.0000,1.0
2020-09-30,45.5,45.7207,45.2615,45.4722,45.4722,27391,0.0000,1.0
2020-09-29,45.58,45.64,45.382,45.49,45.49,15482,0.0000,1.0
2020-09-28,45.48,45.68,45.4462,45.6,45.6,39571,0.0000,1.0
2020-09-25,44.55,45.02,44.4387,45.02,45.02,79696,0.0000,1.0
2020-09-24,44.81,45.12,44.6099,44.88,44.88,98677,0.0000,1.0
2020-09-23,45.54,45.54,44.84,44.95,44.95,22555,0.0000,1.0
2020-09-22,45.42,45.48,45.02,45.3932,45.3932,40228,0.3800,1.0
2020-09-21,45.72,45.87,45.35,45.75,45.3701926018,89456,0.0000,1.0
2020-09-18,47.08,47.15,46.79,46.97,46.5800644045,15732,0.0000,1.0
2020-09-17,47.06,47.37,46.99,47.29,46.8974078282,21516,0.0000,1.0
2020-09-16,47.38,47.5,47.17,47.17,46.7784040443,20400,0.0000,1.0
2020-09-15,47.48,47.48,47.19,47.22,46.8279889542,20093,0.0000,1.0
2020-09-14,47.13,47.2,46.94,46.97,46.5800644045,17010,0.0000,1.0
2020-09-11,46.754,46.949,46.6254,46.85,46.4610606206,17941,0.0000,1.0
2020-09-10,47.07,47.14,46.41,46.42,46.0346303951,58001,0.0000,1.0
2020-09-09,46.87,47.11,46.82,46.96,46.5701474225,19372,0.0000,1.0
2020-09-08,46.02,46.4299,46.0,46.0,45.6181171515,27447,0.0000,1.0
2020-09-04,46.75,46.75,45.9,46.6519,46.2646052074,35241,0.0000,1.0
2020-09-03,47.2,47.2889,46.2787,46.42,46.0346303951,23475,0.0000,1.0
2020-09-02,47.04,47.4,46.96,47.35,46.9569097201,258062,0.0000,1.0
2020-09-01,46.6695,46.9655,46.6695,46.8,46.4114757107,19912,0.0000,1.0
2020-08-31,47.09,47.18,46.88,46.88,46.4908115666,40342,0.0000,1.0
2020-08-28,47.2,47.24,46.97,47.21,46.8180719722,58213,0.0000,1.0
2020-08-27,47.34,47.34,46.7484,46.89,46.5007285486,34769,0.0000,1.0
2020-08-26,47.17,47.431,47.17,47.4047,47.0111556116,25904,0.0000,1.0
2020-08-25,47.47,47.47,46.9758,47.18,46.7883210263,27673,0.0000,1.0
2020-08-24,47.24,47.24,47.0,47.19,46.7982380083,23134,0.0000,1.0
2020-08-21,46.29,46.5899,46.18,46.52,46.133800215,35948,0.0000,1.0
2020-08-20,46.59,46.905,46.59,46.855,46.4660191116,27588,0.0000,1.0
2020-08-19,47.35,47.44,46.965,46.97,46.5800644045,21483,0.0000,1.0
2020-08-18,47.41,47.41,47.12,47.26,46.8676568822,31290,0.0000,1.0
2020-08-17,47.12,47.22,47.12,47.2,46.8081549903,26295,0.0000,1.0
2020-08-14,46.86,47.0039,46.7911,46.905,46.5156040216,19438,0.0000,1.0
2020-08-13,47.41,47.4605,47.06,47.15,46.7585700803,18588,0.0000,1.0
2020-08-12,47.36,47.61,47.34,47.4228,47.029105349,29914,0.0000,1.0
2020-08-11,46.92,47.06,46.33,46.33,45.9453775572,26588,0.0000,1.0
2020-08-10,45.98,46.14,45.8842,46.14,45.7569548994,51366,0.0000,1.0
2020-08-07,45.68,45.93,45.59,45.93,45.5486982776,27674,0.0000,1.0
2020-08-06,45.93,46.162,45.8393,46.1142,45.7313690858,60298,0.0000,1.0
2020-08-05,46.2882,46.41,46.02,46.063,45.6805941381,56981,0.0000,1.0
2020-08-04,45.41,45.92,45.41,45.92,45.5387812956,71294,0.0000,1.0
2020-08-03,45.15,45.59,45.15,45.59,45.21152089,23600,0.0000,1.0
2020-07-31,45.4297,45.4297,44.57,44.79,44.4181623308,34295,0.0000,1.0
2020-07-30,45.5,45.82,45.075,45.77,45.3900265658,20940,0.0000,1.0
2020-07-29,46.3,46.5179,46.096,46.49,46.104049269,26696,0.0000,1.0
2020-07-28,46.05,46.245,46.05,46.08,45.6974530074,17989,0.0000,1.0
2020-07-27,46.26,46.4197,46.14,46.34,45.9552945392,29040,0.0000,1.0
2020-07-24,45.805,45.95,45.69,45.77,45.3900265658,64541,0.0000,1.0
2020-07-23,46.17,46.326,45.85,45.92,45.5387812956,32565,0.0000,1.0
