timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,2.65,2.848,2.65,2.72,2.72,95008,0.0000,1.0
2020-12-10,2.66,2.68,2.5192,2.61,2.61,72055,0.0000,1.0
2020-12-09,2.75,2.92,2.53,2.66,2.66,290490,0.0000,1.0
2020-12-08,2.46,2.75,2.46,2.73,2.73,217523,0.0000,1.0
2020-12-07,2.59,2.65,2.41,2.45,2.45,153296,0.0000,1.0
2020-12-04,2.38,2.56,2.3601,2.53,2.53,140967,0.0000,1.0
2020-12-03,2.5,2.51,2.3,2.37,2.37,94289,0.0000,1.0
2020-12-02,2.21,2.43,2.12,2.42,2.42,147252,0.0000,1.0
2020-12-01,2.44,2.505,2.08,2.25,2.25,346455,0.0000,1.0
2020-11-30,2.57,2.7,2.42,2.43,2.43,221940,0.0000,1.0
2020-11-27,2.34,2.5,2.34,2.5,2.5,188484,0.0000,1.0
2020-11-25,2.25,2.55,2.2,2.25,2.25,402189,0.0000,1.0
2020-11-24,1.99,2.38,1.99,2.23,2.23,407082,0.0000,1.0
2020-11-23,1.89,2.04,1.89,2.02,2.02,220449,0.0000,1.0
2020-11-20,1.98,2.0797,1.9,1.91,1.91,148342,0.0000,1.0
2020-11-19,1.84,2.05,1.84,1.98,1.98,324512,0.0000,1.0
2020-11-18,1.79,2.0187,1.745,1.8,1.8,374552,0.0000,1.0
2020-11-17,1.88,1.9172,1.63,1.76,1.76,370269,0.0000,1.0
2020-11-16,1.87,2.18,1.87,1.93,1.93,504331,0.0000,1.0
2020-11-13,1.73,2.03,1.6989,1.9,1.9,568793,0.0000,1.0
2020-11-12,1.61,1.7781,1.61,1.67,1.67,345883,0.0000,1.0
2020-11-11,1.51,2.0,1.45,1.71,1.71,1251011,0.0000,1.0
2020-11-10,1.32,1.5,1.3,1.49,1.49,283696,0.0000,1.0
2020-11-09,1.33,1.35,1.23,1.33,1.33,165265,0.0000,1.0
2020-11-06,1.29,1.32,1.2,1.3,1.3,320411,0.0000,1.0
2020-11-05,1.1,1.47,1.09,1.32,1.32,2814628,0.0000,1.0
2020-11-04,0.9411,1.03,0.9411,0.9948,0.9948,141718,0.0000,1.0
2020-11-03,0.95,1.01,0.9305,0.968,0.968,104182,0.0000,1.0
2020-11-02,0.9,1.09,0.8802,0.968,0.968,969501,0.0000,1.0
2020-10-30,0.93,0.93516,0.8801,0.906,0.906,8975,0.0000,1.0
2020-10-29,0.9045,0.9363,0.880101,0.8827,0.8827,18769,0.0000,1.0
2020-10-28,0.9094,0.9097,0.8502,0.89,0.89,39015,0.0000,1.0
2020-10-27,0.94,0.94,0.918,0.9398,0.9398,50842,0.0000,1.0
2020-10-26,0.93,0.94,0.93,0.9302,0.9302,33085,0.0000,1.0
2020-10-23,0.9001,0.93,0.9001,0.9177,0.9177,43934,0.0000,1.0
2020-10-22,0.86,0.906,0.86,0.89,0.89,71940,0.0000,1.0
2020-10-21,0.882,0.91,0.85,0.85,0.85,15945,0.0000,1.0
2020-10-20,0.9,0.91,0.8517,0.8858,0.8858,36502,0.0000,1.0
2020-10-19,0.88,0.9,0.85,0.8592,0.8592,45051,0.0000,1.0
2020-10-16,0.89,0.9,0.86,0.88,0.88,44030,0.0000,1.0
2020-10-15,0.8242,0.899,0.8242,0.8582,0.8582,47287,0.0000,1.0
2020-10-14,0.8651,0.9069,0.82,0.85,0.85,36538,0.0000,1.0
2020-10-13,0.91,0.91,0.86,0.86515,0.86515,30712,0.0000,1.0
2020-10-12,0.86,0.8997,0.86,0.8952,0.8952,27014,0.0000,1.0
2020-10-09,0.92,0.93,0.86,0.86,0.86,30493,0.0000,1.0
2020-10-08,0.84,0.93,0.8,0.8984,0.8984,64598,0.0000,1.0
2020-10-07,0.888,0.888,0.8101,0.86,0.86,28933,0.0000,1.0
2020-10-06,0.895049,0.9359,0.875,0.875,0.875,54844,0.0000,1.0
2020-10-05,0.91,0.9385,0.89,0.8901,0.8901,66701,0.0000,1.0
2020-10-02,0.88,0.915,0.88,0.915,0.915,42099,0.0000,1.0
2020-10-01,0.9149,0.9149,0.78,0.852,0.852,149396,0.0000,1.0
2020-09-30,0.8118,0.9298,0.8118,0.899,0.899,81253,0.0000,1.0
2020-09-29,0.8354,0.85,0.77,0.8118,0.8118,37066,0.0000,1.0
2020-09-28,0.81,0.8476,0.81,0.835422,0.835422,58802,0.0000,1.0
2020-09-25,0.78,0.8543,0.76,0.8499,0.8499,132672,0.0000,1.0
2020-09-24,0.81,0.81,0.78,0.782,0.782,40906,0.0000,1.0
2020-09-23,0.8184,0.8184,0.79,0.8034,0.8034,37587,0.0000,1.0
2020-09-22,0.7989,0.84,0.7989,0.8184,0.8184,61320,0.0000,1.0
2020-09-21,0.8389,0.84,0.8,0.8149,0.8149,26173,0.0000,1.0
2020-09-18,0.84,0.84,0.81,0.84,0.84,139377,0.0000,1.0
2020-09-17,0.852,0.888,0.8201,0.83,0.83,88612,0.0000,1.0
2020-09-16,0.8852,0.8852,0.8401,0.842,0.842,44336,0.0000,1.0
2020-09-15,0.88,0.88,0.81,0.8794,0.8794,47874,0.0000,1.0
2020-09-14,0.89,0.891,0.84,0.8401,0.8401,140435,0.0000,1.0
