timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,20.18,20.52,19.9,20.39,20.39,51387,0.0000,1.0
2020-12-10,22.0,22.0,20.365,20.55,20.55,46423,0.0000,1.0
2020-12-09,22.25,22.325,21.82,22.0,22.0,15583,0.0000,1.0
2020-12-08,22.0,22.38,21.95,22.38,22.38,16200,0.0000,1.0
2020-12-07,21.85,22.23,21.82,22.045,22.045,15223,0.0000,1.0
2020-12-04,21.5,21.98,21.46,21.805,21.805,25275,0.0000,1.0
2020-12-03,21.0458,21.5,20.77,21.21,21.21,15345,0.0000,1.0
2020-12-02,21.0,21.35,21.0,21.1,21.1,42581,0.0000,1.0
2020-12-01,20.8,21.245,20.55,20.77,20.77,11850,0.0000,1.0
2020-11-30,20.79,20.84,20.43,20.61,20.61,6021,0.0000,1.0
2020-11-27,21.235,21.24,20.55,20.65,20.65,7643,0.0000,1.0
2020-11-25,20.93,21.24,20.457,21.06,21.06,40505,0.0000,1.0
2020-11-24,20.7,20.95,20.7,20.95,20.95,18712,0.0000,1.0
2020-11-23,20.66,20.7,20.54,20.54,20.54,5829,0.0000,1.0
2020-11-20,20.29,20.6,20.29,20.55,20.55,4374,0.0000,1.0
2020-11-19,20.57,20.57,20.27,20.46,20.46,6255,0.0000,1.0
2020-11-18,20.62,20.71,20.4,20.7,20.7,21436,0.0000,1.0
2020-11-17,20.21,20.74,19.94,20.43,20.43,9076,0.0000,1.0
2020-11-16,20.0,20.61,20.0,20.5,20.5,29204,0.0000,1.0
2020-11-13,19.39,19.9,19.38,19.75,19.75,4233,0.0000,1.0
2020-11-12,19.7,19.85,19.06,19.23,19.23,7834,0.0975,1.0
2020-11-11,19.86,20.03,19.86,19.99,19.8891579356,10941,0.0000,1.0
2020-11-10,19.62,20.49,19.62,20.07,19.9687543655,22060,0.0000,1.0
2020-11-09,19.14,20.23,19.14,19.44,19.3419324796,18021,0.0000,1.0
2020-11-06,19.14,19.14,18.74,18.74,18.6454637175,5265,0.0000,1.0
2020-11-05,19.55,19.55,19.33,19.42,19.3220333721,6524,0.0000,1.0
2020-11-04,19.54,19.54,19.09,19.52,19.4215289096,7672,0.0000,1.0
2020-11-03,19.85,20.04,19.28,19.74,19.640419092,17347,0.0000,1.0
2020-11-02,19.63,19.76,18.94,19.75,19.6503686457,7169,0.0000,1.0
2020-10-30,19.16,19.66,19.16,19.26,19.1628405122,7915,0.0000,1.0
2020-10-29,18.59,19.49,18.3,19.49,19.3916802484,6740,0.0000,1.0
2020-10-28,19.01,19.9399,18.25,18.93,18.8345052386,36079,0.0000,1.0
2020-10-27,19.55,20.0,19.08,19.24,19.1429414047,21194,0.0000,1.0
2020-10-26,20.0,20.0,19.415,19.76,19.6603181995,11398,0.0000,1.0
2020-10-23,19.95,20.38,19.92,20.25,20.1478463329,23158,0.0000,1.0
2020-10-22,19.56,19.875,19.49,19.75,19.6503686457,9486,0.0000,1.0
2020-10-21,19.7,19.825,19.4,19.7,19.600620877,9414,0.0000,1.0
2020-10-20,19.75,20.0,19.49,19.69,19.5906713232,11805,0.0000,1.0
2020-10-19,19.89,19.89,19.57,19.7,19.600620877,4832,0.0000,1.0
2020-10-16,19.65,19.925,19.02,19.89,19.7896623981,7601,0.0000,1.0
2020-10-15,19.25,19.935,19.25,19.84,19.7399146294,5944,0.0000,1.0
2020-10-14,19.41,19.8598,19.41,19.8,19.7001164144,15414,0.0000,1.0
2020-10-13,19.13,19.57,18.98,19.57,19.4712766783,7718,0.0000,1.0
2020-10-12,19.1123,19.23,19.1123,19.23,19.132991851,8374,0.0000,1.0
2020-10-09,18.92,19.1382,18.82,19.1,19.0036476523,11921,0.0000,1.0
