timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,14.42,14.66,14.38,14.47,14.47,72597,0.0000,1.0
2020-12-10,14.57,14.64,14.38,14.53,14.53,80999,0.0000,1.0
2020-12-09,14.67,14.81,14.35,14.6,14.6,108924,0.0000,1.0
2020-12-08,14.4,14.64,14.39,14.49,14.49,89533,0.0000,1.0
2020-12-07,14.54,14.64,14.27,14.57,14.57,134779,0.0000,1.0
2020-12-04,14.34,14.62,14.085,14.57,14.57,97746,0.0000,1.0
2020-12-03,14.29,14.34,14.05,14.18,14.18,51733,0.0000,1.0
2020-12-02,13.98,14.23,13.93,14.2,14.2,109574,0.0000,1.0
2020-12-01,13.94,14.1,13.79,14.01,14.01,143749,0.0000,1.0
2020-11-30,14.22,14.32,13.63,13.645,13.645,372668,0.0000,1.0
2020-11-27,14.6,14.6,14.14,14.38,14.38,91620,0.0000,1.0
2020-11-25,14.84,14.85,14.48,14.62,14.62,92417,0.0000,1.0
2020-11-24,14.63,15.28,14.62,15.03,15.03,164335,0.0000,1.0
2020-11-23,14.48,14.5,14.29,14.33,14.33,98799,0.0000,1.0
2020-11-20,14.13,14.29,13.79,14.25,14.25,124321,0.0000,1.0
2020-11-19,14.1,14.34,13.95,14.33,14.33,139318,0.0000,1.0
2020-11-18,14.56,14.68,14.17,14.18,14.18,94813,0.0000,1.0
2020-11-17,14.3,14.55,14.12,14.47,14.47,120340,0.0000,1.0
2020-11-16,14.08,14.54,13.93,14.54,14.54,143542,0.0000,1.0
2020-11-13,13.43,13.78,13.43,13.64,13.64,94090,0.0000,1.0
2020-11-12,13.41,13.5,13.09,13.36,13.36,158655,0.0000,1.0
2020-11-11,13.97,13.97,13.37,13.66,13.66,102336,0.0000,1.0
2020-11-10,13.67,14.11,13.575,13.97,13.97,163444,0.0000,1.0
2020-11-09,12.8,13.96,12.8,13.54,13.54,274668,0.0000,1.0
2020-11-06,12.19,12.2,11.7,11.78,11.78,115343,0.0000,1.0
2020-11-05,11.92,12.27,11.81,12.06,12.06,135285,0.0000,1.0
2020-11-04,12.49,12.49,11.87,11.93,11.93,195019,0.0000,1.0
2020-11-03,13.05,13.05,12.75,12.84,12.84,319904,0.0000,1.0
2020-11-02,12.64,12.865,12.47,12.71,12.71,154009,0.0000,1.0
2020-10-30,12.29,12.59,12.29,12.45,12.45,222493,0.0000,1.0
2020-10-29,11.77,12.52,11.71,12.385,12.385,208339,0.0000,1.0
2020-10-28,11.59,11.98,11.41,11.8,11.8,152734,0.0000,1.0
2020-10-27,11.78,11.955,11.55,11.59,11.59,99598,0.0000,1.0
2020-10-26,12.45,12.49,11.74,11.84,11.84,315183,0.0000,1.0
2020-10-23,12.35,12.64,12.35,12.55,12.55,111967,0.0000,1.0
2020-10-22,11.87,12.38,11.87,12.34,12.34,141912,0.0000,1.0
2020-10-21,11.77,11.94,11.77,11.87,11.87,92727,0.0000,1.0
2020-10-20,11.75,11.985,11.75,11.81,11.81,125203,0.0000,1.0
2020-10-19,11.82,11.85,11.61,11.66,11.66,121289,0.0000,1.0
2020-10-16,11.59,11.88,11.52,11.76,11.76,67348,0.0000,1.0
2020-10-15,11.23,11.67,11.16,11.62,11.62,136819,0.0000,1.0
2020-10-14,11.48,11.68,11.34,11.36,11.36,104457,0.0000,1.0
2020-10-13,11.78,11.78,11.49,11.55,11.55,113269,0.0000,1.0
2020-10-12,11.66,11.95,11.65,11.9,11.9,71333,0.0000,1.0
2020-10-09,11.76,11.84,11.57,11.68,11.68,86120,0.0000,1.0
2020-10-08,11.64,11.75,11.4,11.7,11.7,143712,0.0000,1.0
2020-10-07,11.28,11.57,11.28,11.53,11.53,127522,0.0000,1.0
2020-10-06,11.33,11.65,11.16,11.17,11.17,112353,0.0000,1.0
2020-10-05,10.83,11.25,10.78,11.2,11.2,135571,0.0000,1.0
2020-10-02,10.31,10.83,10.264,10.78,10.78,78281,0.0000,1.0
2020-10-01,10.35,10.53,10.25,10.5,10.5,101677,0.0000,1.0
2020-09-30,10.3,10.47,10.24,10.35,10.35,138885,0.0000,1.0
2020-09-29,10.32,10.38,10.05,10.24,10.24,90033,0.0000,1.0
2020-09-28,10.09,10.52,10.09,10.38,10.38,98596,0.0000,1.0
2020-09-25,9.88,10.1,9.88,9.97,9.97,102180,0.0000,1.0
2020-09-24,9.86,10.2,9.75,10.01,10.01,109418,0.0000,1.0
2020-09-23,10.11,10.445,9.83,9.83,9.83,125363,0.0000,1.0
2020-09-22,10.28,10.42,10.03,10.11,10.11,184359,0.0000,1.0
2020-09-21,10.66,10.67,10.17,10.24,10.24,220610,0.0000,1.0
2020-09-18,11.03,11.03,10.72,10.78,10.78,459838,0.0000,1.0
2020-09-17,10.97,11.04,10.93,10.95,10.95,77910,0.0000,1.0
2020-09-16,10.96,11.12,10.91,11.1,11.1,153425,0.0800,1.0
2020-09-15,11.18,11.245,11.02,11.05,10.9709302326,159331,0.0000,1.0
2020-09-14,11.15,11.35,11.145,11.18,11.1,131620,0.0000,1.0
2020-09-11,11.2,11.25,11.1,11.11,11.0305008945,120151,0.0000,1.0
2020-09-10,11.2,11.31,11.13,11.19,11.1099284436,124265,0.0000,1.0
2020-09-09,11.29,11.29,11.0529,11.14,11.0602862254,132877,0.0000,1.0
2020-09-08,11.47,11.47,11.2,11.2,11.1198568873,215425,0.0000,1.0
2020-09-04,11.88,11.93,11.54,11.555,11.4723166369,152470,0.0000,1.0
2020-09-03,11.68,11.94,11.58,11.61,11.5269230769,123356,0.0000,1.0
2020-09-02,11.59,11.71,11.53,11.595,11.5120304114,79360,0.0000,1.0
2020-09-01,11.6,11.77,11.53,11.63,11.5467799642,117981,0.0000,1.0
2020-08-31,11.73,11.76,11.54,11.64,11.5567084079,167781,0.0000,1.0
2020-08-28,11.76,11.76,11.545,11.66,11.5765652952,78341,0.0000,1.0
2020-08-27,11.4,11.73,11.4,11.62,11.5368515206,89538,0.0000,1.0
2020-08-26,11.53,11.6,11.4,11.42,11.3382826476,93867,0.0000,1.0
2020-08-25,11.82,12.21,11.57,11.62,11.5368515206,81672,0.0000,1.0
2020-08-24,11.41,11.76,11.34,11.75,11.665921288,96494,0.0000,1.0
2020-08-21,11.47,11.5,11.28,11.36,11.2787119857,105876,0.0000,1.0
2020-08-20,11.51,11.63,11.45,11.48,11.3978533095,83241,0.0000,1.0
2020-08-19,11.57,11.86,11.57,11.69,11.6063506261,116167,0.0000,1.0
2020-08-18,11.96,11.96,11.535,11.6,11.5169946333,85544,0.0000,1.0
2020-08-17,12.14,12.14,11.86,11.95,11.864490161,81899,0.0000,1.0
2020-08-14,11.97,12.49,11.9,12.26,12.1722719141,89912,0.0000,1.0
2020-08-13,12.46,12.46,11.92,12.09,12.0034883721,338815,0.0000,1.0
2020-08-12,12.95,12.95,12.35,12.56,12.4701252236,88640,0.0000,1.0
2020-08-11,12.74,13.0,12.63,12.67,12.5793381038,125460,0.0000,1.0
2020-08-10,12.24,12.76,12.24,12.49,12.4006261181,121077,0.0000,1.0
2020-08-07,11.52,12.21,11.52,12.21,12.1226296959,104191,0.0000,1.0
2020-08-06,11.53,11.76,11.52,11.61,11.5269230769,81737,0.0000,1.0
2020-08-05,11.57,11.63,11.4,11.57,11.4872093023,363352,0.0000,1.0
