timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,20.89,20.911,20.8435,20.85,20.85,6342,0.0000,1.0
2020-12-10,20.94,20.94,20.76,20.77,20.77,9293,0.0000,1.0
2020-12-09,20.73,20.93,20.73,20.81,20.81,26013,0.0000,1.0
2020-12-08,20.91,20.91,20.84,20.85,20.85,46748,0.0000,1.0
2020-12-07,20.85,20.95,20.831,20.92,20.92,300503,0.0000,1.0
2020-12-04,20.76,20.79,20.74,20.77,20.77,49735,0.0000,1.0
2020-12-03,20.831,20.94,20.831,20.92,20.92,34130,0.0000,1.0
2020-12-02,21.03,21.03,20.95,20.9691,20.9691,39700,0.0000,1.0
2020-12-01,21.0526,21.0526,20.94,20.94,20.94,6298,0.0000,1.0
2020-11-30,21.07,21.46,21.07,21.46,21.46,134253,0.0000,1.0
2020-11-27,21.0471,21.0471,21.01,21.01,21.01,4840,0.0000,1.0
2020-11-25,21.251,21.251,21.12,21.1463,21.1463,1045,0.0000,1.0
2020-11-24,21.25,21.25,21.12,21.12,21.12,3592,0.0000,1.0
2020-11-23,21.411,21.479,21.36,21.4652,21.4652,17961,0.0000,1.0
2020-11-20,21.46,21.49,21.4012,21.4212,21.4212,30319,0.0000,1.0
2020-11-19,21.6,21.6325,21.4925,21.4925,21.4925,20752,0.0000,1.0
2020-11-18,21.44,21.619,21.44,21.619,21.619,2121,0.0000,1.0
2020-11-17,21.501,21.55,21.46,21.52,21.52,5006,0.0000,1.0
2020-11-16,21.49,21.59,21.49,21.5403,21.5403,3839,0.0000,1.0
2020-11-13,21.91,21.91,21.736,21.736,21.736,16366,0.0000,1.0
2020-11-12,21.8935,22.13,21.8784,22.07,22.07,26097,0.0000,1.0
2020-11-11,21.791,21.82,21.75,21.75,21.75,10150,0.0000,1.0
2020-11-10,21.93,21.96,21.86,21.93,21.93,7409,0.0000,1.0
2020-11-09,21.67,22.13,21.67,22.12,22.12,194488,0.0000,1.0
2020-11-06,22.75,22.8,22.735,22.8,22.8,6913,0.0000,1.0
2020-11-05,22.87,22.9802,22.83,22.8587,22.8587,152899,0.0000,1.0
2020-11-04,23.52,23.54,23.27,23.41,23.41,24867,0.0000,1.0
2020-11-03,23.8452,23.8452,23.5895,23.66,23.66,18028,0.0000,1.0
2020-11-02,24.33,24.4,24.3045,24.32,24.32,18351,0.0000,1.0
2020-10-30,24.75,24.7524,24.63,24.6537,24.6537,6277,0.0000,1.0
2020-10-29,24.6483,24.739,24.47,24.49,24.49,17118,0.0000,1.0
2020-10-28,24.46,24.63,24.44,24.62,24.62,32262,0.0000,1.0
2020-10-27,23.84,23.9359,23.84,23.9277,23.9277,141108,0.0000,1.0
2020-10-26,23.581,23.83,23.571,23.721,23.721,23838,0.0000,1.0
2020-10-23,23.311,23.44,23.3101,23.32,23.32,21831,0.0000,1.0
2020-10-22,23.595,23.61,23.4692,23.4692,23.4692,1912,0.0000,1.0
2020-10-21,23.34,23.47,23.34,23.4691,23.4691,2925,0.0000,1.0
2020-10-20,23.3,23.35,23.3,23.34,23.34,3575,0.0000,1.0
2020-10-19,23.26,23.5001,23.25,23.5001,23.5001,27142,0.0000,1.0
2020-10-16,23.303,23.39,23.303,23.39,23.39,851,0.0000,1.0
2020-10-15,23.69,23.69,23.481,23.5193,23.5193,29555,0.0000,1.0
2020-10-14,23.095,23.23,23.095,23.22,23.22,2372,0.0000,1.0
2020-10-13,23.17,23.23,23.15,23.1816,23.1816,7357,0.0000,1.0
2020-10-12,23.0281,23.03,22.93,22.9572,22.9572,53349,0.0000,1.0
2020-10-09,23.15,23.15,23.07,23.08,23.08,26590,0.0000,1.0
2020-10-08,23.3,23.32,23.2651,23.2651,23.2651,6367,0.0000,1.0
2020-10-07,23.44,23.441,23.3988,23.4051,23.4051,4794,0.0000,1.0
2020-10-06,23.427,23.6706,23.37,23.61,23.61,140187,0.0000,1.0
2020-10-05,23.485,23.498,23.38,23.38,23.38,28826,0.0000,1.0
2020-10-02,23.83,23.83,23.7,23.72,23.72,67944,0.0000,1.0
2020-10-01,23.7223,23.77,23.71,23.7165,23.7165,22247,0.0000,1.0
2020-09-30,23.8,23.9,23.7193,23.83,23.83,14560,0.0000,1.0
2020-09-29,23.68,23.78,23.64,23.715,23.715,14921,0.0000,1.0
2020-09-28,23.75,23.75,23.7,23.7115,23.7115,148678,0.0000,1.0
2020-09-25,24.36,24.39,24.07,24.08,24.08,42818,0.0000,1.0
2020-09-24,24.295,24.295,23.99,24.14,24.14,77462,0.0000,1.0
2020-09-23,23.882,24.13,23.88,24.13,24.13,41541,0.0000,1.0
2020-09-22,23.95,24.065,23.92,23.93,23.93,11185,0.0000,1.0
2020-09-21,23.89,24.16,23.89,23.925,23.925,128619,0.0000,1.0
2020-09-18,23.231,23.315,23.2309,23.3,23.3,7378,0.0000,1.0
2020-09-17,23.19,23.23,23.131,23.15,23.15,188012,0.0000,1.0
2020-09-16,23.09,23.1822,23.04,23.1822,23.1822,61029,0.0000,1.0
2020-09-15,23.07,23.18,23.07,23.18,23.18,1230,0.0000,1.0
2020-09-14,23.22,23.33,23.22,23.2996,23.2996,6319,0.0000,1.0
2020-09-11,23.4,23.5,23.38,23.45,23.45,28476,0.0000,1.0
2020-09-10,23.39,23.66,23.38,23.66,23.66,14589,0.0000,1.0
2020-09-09,23.415,23.43,23.3333,23.415,23.415,1897,0.0000,1.0
2020-09-08,23.8513,23.8513,23.675,23.85,23.85,25099,0.0000,1.0
2020-09-04,23.52,23.88,23.481,23.5473,23.5473,25854,0.0000,1.0
2020-09-03,23.1601,23.6996,23.16,23.6001,23.6001,25950,0.0000,1.0
2020-09-02,23.275,23.275,23.0825,23.0825,23.0825,3798,0.0000,1.0
2020-09-01,23.47,23.48,23.38,23.4,23.4,19847,0.0000,1.0
2020-08-31,23.33,23.42,23.28,23.42,23.42,14182,0.0000,1.0
2020-08-28,23.25,23.345,23.25,23.2623,23.2623,8434,0.0000,1.0
2020-08-27,23.399,23.403,23.3099,23.403,23.403,5703,0.0000,1.0
2020-08-26,23.27,23.27,23.17,23.1841,23.1841,10988,0.0000,1.0
2020-08-25,23.22,23.3404,23.21,23.3149,23.3149,11037,0.0000,1.0
2020-08-24,23.26,23.42,23.26,23.3486,23.3486,43116,0.0000,1.0
2020-08-21,23.77,23.8,23.646,23.646,23.646,11754,0.0000,1.0
2020-08-20,23.65,23.65,23.4895,23.5068,23.5068,18990,0.0000,1.0
2020-08-19,23.215,23.45,23.215,23.4399,23.4399,24832,0.0000,1.0
2020-08-18,23.3304,23.35,23.3,23.339,23.339,10703,0.0000,1.0
2020-08-17,23.38,23.38,23.32,23.34,23.34,18317,0.0000,1.0
2020-08-14,23.472,23.56,23.472,23.5278,23.5278,7309,0.0000,1.0
2020-08-13,23.28,23.41,23.26,23.37,23.37,4756,0.0000,1.0
2020-08-12,23.33,23.33,23.1701,23.2702,23.2702,17467,0.0000,1.0
2020-08-11,23.45,23.795,23.45,23.7889,23.7889,161963,0.0000,1.0
2020-08-10,23.92,23.9301,23.8965,23.8965,23.8965,8321,0.0000,1.0
2020-08-07,24.09,24.1,23.9695,23.9695,23.9695,284533,0.0000,1.0
2020-08-06,23.93,24.01,23.86,23.86,23.86,5872,0.0000,1.0
2020-08-05,23.77,23.915,23.7301,23.89,23.89,25380,0.0000,1.0
2020-08-04,24.1,24.1,23.9811,23.9811,23.9811,24203,0.0000,1.0
2020-08-03,24.33,24.36,24.1,24.1,24.1,144938,0.0000,1.0
2020-07-31,24.3,24.7058,24.3,24.6189,24.6189,69275,0.0000,1.0
2020-07-30,24.2782,24.44,24.0475,24.0475,24.0475,20481,0.0000,1.0
2020-07-29,23.87,23.87,23.715,23.7494,23.7494,5313,0.0000,1.0
2020-07-28,23.93,23.98,23.851,23.98,23.98,14836,0.0000,1.0
