timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,60.27,60.56,60.1101,60.54,60.54,7474,0.0000,1.0
2020-12-10,60.05,60.82,60.05,60.5167,60.5167,4730,0.0000,1.0
2020-12-09,60.89,60.89,60.07,60.23,60.23,4755,0.0000,1.0
2020-12-08,59.88,60.74,59.82,60.542,60.542,2319,0.0000,1.0
2020-12-07,60.19,60.2,59.9801,60.005,60.005,3323,0.0000,1.0
2020-12-04,59.255,59.75,59.255,59.75,59.75,9235,0.0000,1.0
2020-12-03,58.9749,59.3601,58.9749,59.1569,59.1569,5731,0.0000,1.0
2020-12-02,58.41,58.76,57.9601,58.58,58.58,22242,0.0000,1.0
2020-12-01,59.16,59.29,58.86,59.15,59.15,13228,0.0000,1.0
2020-11-30,59.25,59.25,58.66,58.85,58.85,14038,0.0000,1.0
2020-11-27,59.7,60.16,59.53,60.16,60.16,4442,0.0000,1.0
2020-11-25,59.03,59.42,59.03,59.2675,59.2675,5246,0.0000,1.0
2020-11-24,58.87,59.3499,58.7001,59.3004,59.3004,8245,0.0000,1.0
2020-11-23,58.1579,58.3699,58.05,58.2486,58.2486,11618,0.0000,1.0
2020-11-20,57.4001,57.785,57.4001,57.5778,57.5778,4119,0.0000,1.0
2020-11-19,57.18,57.5,57.18,57.46,57.46,2800,0.0000,1.0
2020-11-18,57.18,57.4933,56.92,57.0045,57.0045,2335,0.0000,1.0
2020-11-17,57.03,57.4,56.86,57.143,57.143,13467,0.0000,1.0
2020-11-16,57.0,57.0,56.645,56.84,56.84,6666,0.0000,1.0
2020-11-13,56.55,56.65,56.16,56.2081,56.2081,11905,0.0000,1.0
2020-11-12,56.5,56.58,55.97,56.14,56.14,183186,0.0000,1.0
2020-11-11,56.15,57.1829,56.15,57.07,57.07,5806,0.0000,1.0
2020-11-10,55.84,56.065,55.58,55.58,55.58,5373,0.0000,1.0
2020-11-09,57.0,57.55,56.63,56.63,56.63,8450,0.0000,1.0
2020-11-06,55.97,56.28,55.54,56.28,56.28,167020,0.0000,1.0
2020-11-05,55.98,56.215,55.87,55.92,55.92,4173,0.0000,1.0
2020-11-04,54.42,55.6138,54.42,55.25,55.25,2507,0.0000,1.0
2020-11-03,53.7482,54.01,53.49,53.8212,53.8212,2611,0.0000,1.0
2020-11-02,53.33,53.9,53.1581,53.27,53.27,14013,0.0000,1.0
2020-10-30,53.14,53.235,52.36,52.37,52.37,5567,0.0000,1.0
2020-10-29,52.88,53.5244,52.785,53.21,53.21,3367,0.0000,1.0
2020-10-28,53.2,53.44,52.705,52.8861,52.8861,3577,0.0000,1.0
2020-10-27,54.4629,54.4629,54.15,54.15,54.15,3600,0.0000,1.0
2020-10-26,54.61,54.61,54.05,54.18,54.18,5268,0.0000,1.0
2020-10-23,54.91,55.1482,54.59,54.68,54.68,3248,0.0000,1.0
2020-10-22,55.0,55.0,54.46,54.46,54.46,3795,0.0000,1.0
2020-10-21,55.35,55.5282,55.02,55.02,55.02,42717,0.0000,1.0
2020-10-20,55.54,55.78,55.14,55.181,55.181,8419,0.0000,1.0
2020-10-19,55.84,56.23,55.03,55.19,55.19,25823,0.0000,1.0
2020-10-16,55.98,56.03,55.7549,55.7549,55.7549,2443,0.0000,1.0
2020-10-15,55.46,55.97,55.24,55.8963,55.8963,2767,0.0000,1.0
2020-10-14,56.74,56.74,55.695,56.1775,56.1775,4723,0.0000,1.0
2020-10-13,55.9,56.41,55.6401,56.2105,56.2105,197558,0.0000,1.0
2020-10-12,56.3,56.39,56.0748,56.0748,56.0748,2184,0.0000,1.0
2020-10-09,55.95,56.488,55.74,55.93,55.93,11095,0.0000,1.0
2020-10-08,55.26,55.59,55.1,55.59,55.59,6302,0.0000,1.0
2020-10-07,54.445,55.26,54.333,55.26,55.26,165020,0.0000,1.0
2020-10-06,54.4,54.55,53.63,53.98,53.98,32657,0.0000,1.0
2020-10-05,53.7,54.5799,53.7,54.54,54.54,4628,0.0000,1.0
2020-10-02,52.71,52.95,52.47,52.587,52.587,4315,0.0000,1.0
2020-10-01,52.7,53.085,52.67,52.98,52.98,58829,0.0000,1.0
2020-09-30,52.05,52.79,51.82,52.43,52.43,26849,0.0000,1.0
