timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,59.21,60.5,59.16,60.37,60.37,1408046,0.0000,1.0
2020-12-10,59.93,60.34,58.935,59.46,59.46,1523010,0.0000,1.0
2020-12-09,60.89,60.955,59.2,60.03,60.03,1418865,0.0000,1.0
2020-12-08,60.19,60.82,59.78,60.72,60.72,1118804,0.0000,1.0
2020-12-07,59.78,60.83,59.72,60.33,60.33,1181012,0.0000,1.0
2020-12-04,59.81,60.26,59.31,59.97,59.97,677682,0.0000,1.0
2020-12-03,58.88,59.83,58.82,59.49,59.49,943468,0.0000,1.0
2020-12-02,58.98,59.565,58.36,58.74,58.74,1175089,0.0000,1.0
2020-12-01,59.1,59.47,58.6,59.12,59.12,996454,0.0000,1.0
2020-11-30,58.57,59.05,57.97,58.59,58.59,2076690,0.0000,1.0
2020-11-27,59.97,59.97,58.45,58.71,58.71,525644,0.0000,1.0
2020-11-25,59.81,59.91,58.84,59.89,59.89,1085232,0.0000,1.0
2020-11-24,59.74,60.88,59.48,59.67,59.67,1077415,0.0000,1.0
2020-11-23,60.5,60.75,59.23,59.35,59.35,869310,0.0000,1.0
2020-11-20,60.75,61.09,59.96,60.31,60.31,853906,0.0000,1.0
2020-11-19,60.76,61.13,59.79,60.72,60.72,888198,0.0000,1.0
2020-11-18,63.32,63.55,60.73,60.76,60.76,1186255,0.0000,1.0
2020-11-17,63.51,63.8049,62.22,63.07,63.07,1407457,0.0000,1.0
2020-11-16,63.67,64.1,61.58,64.02,64.02,1357545,0.0000,1.0
2020-11-13,61.59,62.88,61.22,62.61,62.61,737482,0.0000,1.0
2020-11-12,62.71,62.71,60.66,61.38,61.38,740714,0.0000,1.0
2020-11-11,62.31,63.06,60.79,62.44,62.44,948732,0.0000,1.0
2020-11-10,58.25,62.1,57.93,62.06,62.06,1989200,0.0000,1.0
2020-11-09,63.31,64.85,58.17,58.18,58.18,1714453,0.0000,1.0
2020-11-06,61.78,62.55,61.19,61.54,61.54,688812,0.0000,1.0
2020-11-05,62.01,62.53,61.18,61.62,61.62,781692,0.0000,1.0
2020-11-04,62.26,62.49,61.32,61.66,61.66,733260,0.0000,1.0
2020-11-03,60.75,62.14,60.305,61.93,61.93,655540,0.0000,1.0
2020-11-02,59.53,60.86,59.2,60.17,60.17,690701,0.0000,1.0
2020-10-30,59.31,59.61,58.39,59.19,59.19,785023,0.0000,1.0
2020-10-29,59.08,60.34,58.79,59.36,59.36,705131,0.0000,1.0
2020-10-28,59.24,60.05,58.77,58.79,58.79,1315079,0.0000,1.0
2020-10-27,61.88,62.17,60.16,60.16,60.16,595747,0.0000,1.0
2020-10-26,62.05,62.16,61.01,61.92,61.92,1439943,0.0000,1.0
2020-10-23,62.17,62.64,61.81,62.27,62.27,623726,0.0000,1.0
