timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,34.05,34.41,33.79,33.81,33.81,58969,0.0000,1.0
2020-12-10,34.1,34.43,34.1,34.41,34.41,22504,0.0000,1.0
2020-12-09,34.35,34.53,33.92,34.24,34.24,11706,0.0000,1.0
2020-12-08,34.27,34.38,34.201,34.3378,34.3378,5293,0.0000,1.0
2020-12-07,34.61,34.62,34.24,34.3,34.3,17097,0.0000,1.0
2020-12-04,34.4,34.525,34.3,34.45,34.45,318875,0.0000,1.0
2020-12-03,34.2,34.51,34.12,34.37,34.37,330702,0.0000,1.0
2020-12-02,33.605,34.2,33.6,34.0864,34.0864,341491,0.0000,1.0
2020-12-01,34.0,34.0,33.402,33.99,33.99,181798,0.0000,1.0
2020-11-30,33.27,33.48,33.14,33.4,33.4,33568,0.0000,1.0
2020-11-27,33.2,33.55,33.12,33.55,33.55,4406,0.0000,1.0
2020-11-25,32.87,33.25,32.87,33.0965,33.0965,2112,0.0000,1.0
2020-11-24,32.14,32.93,32.14,32.93,32.93,5921,0.0000,1.0
2020-11-23,31.64,32.06,31.46,32.06,32.06,18628,0.0000,1.0
2020-11-20,31.74,31.83,31.41,31.83,31.83,13190,0.0000,1.0
2020-11-19,31.43,31.72,31.3888,31.48,31.48,15777,0.0000,1.0
2020-11-18,31.38,31.77,31.38,31.76,31.76,11459,0.0000,1.0
2020-11-17,30.67,31.46,30.64,31.46,31.46,266041,0.0000,1.0
2020-11-16,30.48,30.65,30.15,30.65,30.65,314330,0.0000,1.0
2020-11-13,30.58,30.72,30.38,30.5879,30.5879,158572,0.0000,1.0
2020-11-12,30.2,30.34,29.92,29.93,29.93,158313,0.0000,1.0
2020-11-11,29.93,30.32,29.93,30.32,30.32,156332,0.0000,1.0
2020-11-10,30.58,30.58,29.69,29.89,29.89,18181,0.0000,1.0
2020-11-09,31.3,32.21,31.06,31.9487,31.9487,4562,0.0000,1.0
2020-11-06,30.4556,30.8477,30.4,30.8477,30.8477,51828,0.0000,1.0
2020-11-05,30.3,30.4459,30.3,30.4459,30.4459,561,0.0000,1.0
2020-11-04,30.01,30.14,29.57,29.57,29.57,1234,0.0000,1.0
2020-11-03,29.84,30.22,29.84,30.18,30.18,9560,0.0000,1.0
2020-11-02,29.42,29.93,29.42,29.7,29.7,7298,0.0000,1.0
