timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,19.74,19.75,19.61,19.75,19.75,50687,0.0000,1.0
2020-12-10,19.89,19.89,19.82,19.8725,19.8725,2497,0.0000,1.0
2020-12-09,19.93,19.93,19.75,19.77,19.77,10174,0.0000,1.0
2020-12-08,19.81,19.86,19.76,19.84,19.84,8437,0.0000,1.0
2020-12-07,19.88,19.95,19.8209,19.8251,19.8251,5988,0.0000,1.0
2020-12-04,20.04,20.05,19.98,19.99,19.99,4277,0.0000,1.0
2020-12-03,19.89,19.99,19.87,19.91,19.91,17671,0.0000,1.0
2020-12-02,19.58,19.77,19.57,19.76,19.76,18310,0.0000,1.0
2020-12-01,19.55,19.78,19.55,19.78,19.78,527270,0.0000,1.0
2020-11-30,19.48,19.48,19.19,19.2,19.2,16863,0.0000,1.0
2020-11-27,19.5312,19.55,19.5037,19.5234,19.5234,1442,0.0000,1.0
2020-11-25,19.37,19.49,19.355,19.44,19.44,4904,0.0000,1.0
2020-11-24,19.22,19.47,19.22,19.4613,19.4613,6336,0.0000,1.0
2020-11-23,19.0,19.07,18.93,19.02,19.02,4837,0.0000,1.0
2020-11-20,18.83,18.84,18.771,18.8,18.8,2024,0.0000,1.0
2020-11-19,18.7405,18.8871,18.7,18.8871,18.8871,2225,0.0000,1.0
2020-11-18,18.9896,19.0,18.84,18.84,18.84,7151,0.0000,1.0
2020-11-17,18.83,18.94,18.81,18.89,18.89,3309,0.0000,1.0
2020-11-16,18.89,18.94,18.83,18.93,18.93,29278,0.0000,1.0
2020-11-13,18.46,18.63,18.46,18.63,18.63,2116,0.0000,1.0
2020-11-12,18.43,18.43,18.21,18.23,18.23,3754,0.0000,1.0
2020-11-11,18.56,18.58,18.5,18.5,18.5,4887,0.0000,1.0
2020-11-10,18.38,18.555,18.38,18.49,18.49,10103,0.0000,1.0
2020-11-09,18.05,18.05,17.81,17.81,17.81,6140,0.0000,1.0
2020-11-06,17.125,17.125,17.05,17.05,17.05,5408,0.0000,1.0
2020-11-05,16.98,17.08,16.94,17.07,17.07,12968,0.0000,1.0
2020-11-04,16.59,16.74,16.58,16.58,16.58,81006,0.0000,1.0
2020-11-03,16.3,16.655,16.3,16.46,16.46,3109,0.0000,1.0
2020-11-02,15.95,15.96,15.9,15.94,15.94,26450,0.0000,1.0
2020-10-30,15.93,15.93,15.75,15.795,15.795,4377,0.0000,1.0
2020-10-29,15.84,16.02,15.84,15.96,15.96,26334,0.0000,1.0
2020-10-28,16.07,16.07,15.92,16.01,16.01,4898,0.0000,1.0
2020-10-27,16.75,16.76,16.54,16.54,16.54,2705,0.0000,1.0
2020-10-26,16.935,16.96,16.8,16.8649,16.8649,2977,0.0000,1.0
2020-10-23,17.13,17.2,17.06,17.16,17.16,10686,0.0000,1.0
2020-10-22,16.83,16.95,16.83,16.9345,16.9345,2924,0.0000,1.0
2020-10-21,17.0,17.02,16.93,16.93,16.93,3951,0.0000,1.0
2020-10-20,17.28,17.3,17.17,17.1806,17.1806,4758,0.0000,1.0
2020-10-19,17.21,17.21,16.92,16.92,16.92,52243,0.0000,1.0
2020-10-16,17.08,17.14,17.025,17.025,17.025,3119,0.0000,1.0
2020-10-15,16.99,17.05,16.98,17.05,17.05,2846,0.0000,1.0
2020-10-14,17.58,17.58,17.41,17.41,17.41,3064,0.0000,1.0
2020-10-13,17.66,17.66,17.491,17.5423,17.5423,4509,0.0000,1.0
2020-10-12,17.86,17.91,17.86,17.9,17.9,2391,0.0000,1.0
2020-10-09,17.9,17.93,17.9,17.9,17.9,4942,0.0000,1.0
2020-10-08,17.69,17.77,17.69,17.77,17.77,1751,0.0000,1.0
2020-10-07,17.52,17.57,17.47,17.57,17.57,12051,0.0000,1.0
2020-10-06,17.62,17.65,17.3912,17.3912,17.3912,6949,0.0000,1.0
2020-10-05,17.38,17.41,17.34,17.41,17.41,7056,0.0000,1.0
2020-10-02,16.86,17.13,16.86,17.1013,17.1013,9733,0.0000,1.0
2020-10-01,17.14,17.14,17.01,17.09,17.09,191407,0.0000,1.0
2020-09-30,17.13,17.13,16.9316,17.05,17.05,23795,0.0000,1.0
2020-09-29,17.06,17.07,17.01,17.02,17.02,1036,0.0000,1.0
2020-09-28,17.05,17.05,16.99,16.99,16.99,1629,0.0000,1.0
2020-09-25,16.52,16.6857,16.47,16.6857,16.6857,2981,0.0000,1.0
2020-09-24,16.64,16.78,16.58,16.69,16.69,5638,0.0000,1.0
2020-09-23,17.05,17.06,16.7801,16.7937,16.7937,5732,0.0000,1.0
2020-09-22,17.23,17.29,16.98,17.08,17.08,17788,0.0000,1.0
2020-09-21,17.17,17.2552,17.125,17.2552,17.2552,2170,0.0000,1.0
2020-09-18,17.86,17.91,17.79,17.8353,17.8353,2424,0.0000,1.0
2020-09-17,17.76,17.95,17.76,17.95,17.95,1776,0.0000,1.0
2020-09-16,17.72,17.88,17.7111,17.75,17.75,2325,0.0000,1.0
2020-09-15,17.67,17.67,17.576,17.59,17.59,1099,0.0000,1.0
2020-09-14,17.61,17.61,17.5501,17.5501,17.5501,1150,0.0000,1.0
2020-09-11,17.55,17.56,17.48,17.56,17.56,3451,0.0000,1.0
2020-09-10,17.62,17.68,17.39,17.39,17.39,3131,0.0000,1.0
2020-09-09,17.54,17.6999,17.54,17.6332,17.6332,4706,0.0000,1.0
2020-09-08,17.3,17.32,17.2,17.2,17.2,116986,0.0000,1.0
2020-09-04,17.58,17.64,17.33,17.58,17.58,36433,0.0000,1.0
2020-09-03,17.84,17.84,17.54,17.6086,17.6086,7435,0.0000,1.0
2020-09-02,17.74,17.92,17.74,17.92,17.92,24333,0.0000,1.0
2020-09-01,17.64,17.74,17.56,17.57,17.57,3460,0.0000,1.0
2020-08-31,17.84,17.84,17.63,17.63,17.63,29297,0.0000,1.0
2020-08-28,17.7908,17.8637,17.7908,17.8637,17.8637,2240,0.0000,1.0
2020-08-27,17.79,17.81,17.6,17.7055,17.7055,19401,0.0000,1.0
2020-08-26,17.76,17.865,17.76,17.85,17.85,1247,0.0000,1.0
2020-08-25,17.74,17.74,17.58,17.7,17.7,3886,0.0000,1.0
2020-08-24,17.62,17.66,17.55,17.66,17.66,13809,0.0000,1.0
2020-08-21,17.3,17.3402,17.245,17.3402,17.3402,2577,0.0000,1.0
2020-08-20,17.43,17.5766,17.43,17.545,17.545,3260,0.0000,1.0
2020-08-19,17.71,17.75,17.54,17.54,17.54,63062,0.0000,1.0
2020-08-18,18.07,18.1,17.91,17.97,17.97,8187,0.0000,1.0
2020-08-17,17.88,17.9309,17.88,17.9209,17.9209,12433,0.0000,1.0
2020-08-14,17.87,17.87,17.7501,17.83,17.83,24022,0.0000,1.0
2020-08-13,17.93,18.0043,17.84,17.89,17.89,7269,0.0000,1.0
2020-08-12,17.87,17.95,17.87,17.95,17.95,64072,0.0000,1.0
2020-08-11,17.68,17.7276,17.53,17.5325,17.5325,3649,0.0000,1.0
2020-08-10,17.39,17.39,17.35,17.39,17.39,12153,0.0000,1.0
2020-08-07,17.26,17.3808,17.26,17.3808,17.3808,2612,0.0000,1.0
2020-08-06,17.36,17.46,17.3233,17.45,17.45,4235,0.0000,1.0
2020-08-05,17.66,17.67,17.5451,17.5451,17.5451,39076,0.0000,1.0
2020-08-04,17.33,17.5,17.33,17.5,17.5,2781,0.0000,1.0
2020-08-03,17.21,17.38,17.21,17.3416,17.3416,15509,0.0000,1.0
2020-07-31,17.63,17.63,17.05,17.2,17.2,14044,0.0000,1.0
2020-07-30,17.64,17.86,17.58,17.86,17.86,3021,0.0000,1.0
2020-07-29,17.67,17.93,17.67,17.89,17.89,1584,0.0000,1.0
2020-07-28,17.78,17.84,17.7326,17.7326,17.7326,3740,0.0000,1.0
2020-07-27,17.67,17.7,17.62,17.67,17.67,4703,0.0000,1.0
2020-07-24,17.53,17.62,17.53,17.5821,17.5821,9048,0.0000,1.0
2020-07-23,17.81,17.81,17.62,17.69,17.69,12590,0.0000,1.0
2020-07-22,17.85,17.91,17.77,17.88,17.88,4680,0.0000,1.0
2020-07-21,17.95,17.95,17.91,17.91,17.91,1211,0.0000,1.0
2020-07-20,17.6,17.73,17.6,17.73,17.73,1243,0.0000,1.0
2020-07-17,17.56,17.62,17.53,17.61,17.61,1800,0.0000,1.0
2020-07-16,17.44,17.55,17.44,17.5,17.5,9000,0.0000,1.0
2020-07-15,17.65,17.65,17.51,17.55,17.55,6600,0.0000,1.0
2020-07-14,17.16,17.45,17.16,17.45,17.45,4800,0.0000,1.0
2020-07-13,17.39,17.43,17.12,17.16,17.16,10600,0.0000,1.0
2020-07-10,17.04,17.29,17.04,17.27,17.27,5000,0.0000,1.0
2020-07-09,17.2,17.22,16.94,17.01,17.01,7000,0.0000,1.0
2020-07-08,17.16,17.25,17.15,17.25,17.25,4600,0.0000,1.0
2020-07-07,17.18,17.2,17.12,17.12,17.12,1700,0.0000,1.0
2020-07-06,17.12,17.27,17.12,17.27,17.27,30400,0.0000,1.0
2020-07-02,16.92,16.92,16.74,16.75,16.75,4700,0.0000,1.0
2020-07-01,16.55,16.69,16.55,16.67,16.67,63800,0.0000,1.0
2020-06-30,16.4,16.6,16.4,16.53,16.53,3900,0.0000,1.0
2020-06-29,16.43,16.56,16.43,16.56,16.56,7500,0.0000,1.0
2020-06-26,16.41,16.46,16.37,16.42,16.42,4691,0.0000,1.0
2020-06-25,16.49,16.77,16.49,16.77,16.77,3670,0.0000,1.0
2020-06-24,16.8,16.8,16.395,16.5,16.5,7286,0.0000,1.0
2020-06-23,17.14,17.14,17.07,17.11,17.11,4718,0.0000,1.0
2020-06-22,16.79,16.94,16.79,16.93,16.93,18911,0.0000,1.0
2020-06-19,17.0,17.0214,16.6,16.68,16.68,18839,0.0000,1.0
2020-06-18,16.93,16.99,16.8998,16.99,16.99,9956,0.0000,1.0
2020-06-17,17.05,17.09,16.99,17.02,17.02,3738,0.0000,1.0
2020-06-16,17.32,17.36,17.0,17.12,17.12,40711,0.0000,1.0
2020-06-15,16.53,16.92,16.53,16.86,16.86,10527,0.1498,1.0
2020-06-12,16.895,16.895,16.47,16.73,16.5827089563,4502,0.0000,1.0
2020-06-11,16.85,16.85,16.27,16.36,16.215966439,33658,0.0000,1.0
2020-06-10,17.61,17.61,17.385,17.3902,17.2370965506,7230,0.0000,1.0
2020-06-09,17.54,17.66,17.54,17.62,17.4648733897,2923,0.0000,1.0
2020-06-08,17.8163,17.97,17.695,17.97,17.8117919871,4189,0.0000,1.0
2020-06-05,17.83,17.84,17.68,17.75,17.5937288687,8398,0.0000,1.0
2020-06-04,17.45,17.66,17.44,17.5,17.3459298706,6420,0.0000,1.0
2020-06-03,17.09,17.46,17.08,17.41,17.2567222313,14343,0.0000,1.0
2020-06-02,16.65,16.735,16.64,16.73,16.5827089563,39629,0.0000,1.0
2020-06-01,16.25,16.53,16.25,16.53,16.3844697578,25057,0.0000,1.0
2020-05-29,16.11,16.1298,15.99,16.1298,15.9877931215,5803,0.0000,1.0
2020-05-28,16.25,16.36,16.16,16.17,16.0276392004,10925,0.0000,1.0
2020-05-27,15.98,16.05,15.782,16.05,15.9086956813,14318,0.0000,1.0
2020-05-26,15.42,15.665,15.42,15.5745,15.4373819868,16842,0.0000,1.0
2020-05-22,14.62,14.6999,14.62,14.6852,14.5559113906,14716,0.0000,1.0
2020-05-21,14.77,14.77,14.6389,14.64,14.5111093317,7494,0.0000,1.0
2020-05-20,14.8862,14.94,14.84,14.9,14.7688202898,4108,0.0000,1.0
2020-05-19,14.84,14.84,14.655,14.6685,14.5393584175,18500,0.0000,1.0
2020-05-18,14.8,15.12,14.8,15.12,14.9868834082,18446,0.0000,1.0
2020-05-15,14.51,14.61,14.51,14.6,14.471461492,3003,0.0000,1.0
2020-05-14,14.27,14.5,14.17,14.5,14.3723418928,5808,0.0000,1.0
2020-05-13,14.91,14.91,14.68,14.78,14.6498767707,4347,0.0000,1.0
2020-05-12,15.18,15.2,15.0,15.0,14.8679398891,2216,0.0000,1.0
2020-05-11,15.11,15.25,15.11,15.2,15.0661790876,4248,0.0000,1.0
2020-05-08,15.17,15.19,15.13,15.18,15.0463551677,10174,0.0000,1.0
2020-05-07,15.0,15.15,15.0,15.05,14.9174996887,23116,0.0000,1.0
2020-05-06,14.95,14.96,14.84,14.84,14.7093485303,2827,0.0000,1.0
2020-05-05,14.92,14.945,14.8531,14.8531,14.7223331978,13806,0.0000,1.0
2020-05-04,14.91,14.97,14.77,14.97,14.8382040093,18103,0.0000,1.0
2020-05-01,15.45,15.45,15.1801,15.2,15.0661790876,6822,0.0000,1.0
2020-04-30,15.38,15.64,15.38,15.5,15.3635378854,13013,0.0000,1.0
2020-04-29,15.71,15.8599,15.71,15.84,15.7005445229,4063,0.0000,1.0
2020-04-28,15.37,15.41,15.33,15.3645,15.2292308284,8697,0.0000,1.0
2020-04-27,15.04,15.1799,15.04,15.16,15.0265312479,2424,0.0000,1.0
2020-04-24,14.66,14.78,14.64,14.74,14.610228931,7048,0.0000,1.0
2020-04-23,14.67,14.9,14.65,14.65,14.5210212917,3954,0.0000,1.0
2020-04-22,14.65,14.68,14.56,14.57,14.4417256123,50216,0.0000,1.0
2020-04-21,14.68,14.72,14.52,14.68,14.5507571714,12203,0.0000,1.0
2020-04-20,14.87,15.032,14.822,14.94,14.8084681295,10776,0.0000,1.0
2020-04-17,14.93,15.17,14.86,15.1364,15.0031390225,57226,0.0000,1.0
2020-04-16,14.77,14.78,14.44,14.67,14.5408452115,65370,0.0000,1.0
2020-04-15,14.68,14.77,14.61,14.65,14.5210212917,100291,0.0000,1.0
2020-04-14,15.29,15.37,15.22,15.25,15.1157388872,6555,0.0000,1.0
2020-04-13,15.46,15.46,15.21,15.35,15.2148584865,4978,0.0000,1.0
2020-04-09,15.3,15.47,15.19,15.47,15.3338020056,6535,0.0000,1.0
2020-04-08,15.04,15.21,15.04,15.15,15.016619288,6737,0.0000,1.0
2020-04-07,15.09,15.09,14.875,14.875,14.74404039,5419,0.0000,1.0
2020-04-06,14.52,14.7999,14.52,14.58,14.4516375722,8841,0.0000,1.0
2020-04-03,14.2,14.2,14.03,14.14,14.0155113354,2021,0.0000,1.0
2020-04-02,14.12,14.4,14.12,14.3,14.1741026943,3469,0.0000,1.0
2020-04-01,14.16,14.22,14.06,14.06,13.936215656,204913,0.0000,1.0
2020-03-31,14.4,14.56,14.385,14.48,14.3525179729,6506,0.0000,1.0
2020-03-30,14.14,14.35,14.09,14.35,14.2236624939,5148,0.0000,1.0
2020-03-27,14.05,14.4,14.01,14.27,14.1443668145,9265,0.0000,1.0
2020-03-26,14.15,14.87,14.15,14.79,14.6597887306,5566,0.0000,1.0
2020-03-25,13.93,14.35,13.76,14.16,14.0353352553,11603,0.0000,1.0
2020-03-24,13.71,13.91,13.52,13.91,13.7875362571,11353,0.0000,1.0
2020-03-23,13.07,13.27,12.84,12.91,12.7963402645,25385,0.0000,1.0
2020-03-20,13.29,13.52,12.97,13.03,12.9152837836,9345,0.0000,1.0
2020-03-19,12.23,12.78,12.23,12.55,12.4395097072,18392,0.0000,1.0
2020-03-18,12.42,12.54,12.135,12.54,12.4295977473,13578,0.0000,1.0
2020-03-17,12.11,12.55,11.94,12.47,12.3602140278,64166,0.0000,1.0
2020-03-16,12.41,12.89,12.4,12.51,12.3998618675,22268,0.0000,1.0
2020-03-13,14.5,14.5,13.66,14.42,14.2930462134,50629,0.0000,1.0
2020-03-12,14.17,14.17,13.45,13.75,13.6289448983,42639,0.0000,1.0
2020-03-11,16.12,16.12,15.58,15.65,15.5122172843,27337,0.0000,1.0
2020-03-10,16.49,16.55,15.96,16.48,16.3349099581,38127,0.0000,1.0
2020-03-09,16.15,16.58,15.81,15.81,15.6708086431,54847,0.0000,1.0
2020-03-06,17.13,17.34,17.03,17.22,17.0683949927,28715,0.0000,1.0
2020-03-05,17.54,17.56,17.32,17.43,17.2765461511,19014,0.0000,1.0
2020-03-04,17.7422,18.0,17.62,18.0,17.8415278669,25115,0.0000,1.0
2020-03-03,17.78,17.96,17.42,17.5,17.3459298706,65815,0.0000,1.0
2020-03-02,17.36,17.63,17.23,17.55,17.3954896702,81434,0.0000,1.0
2020-02-28,16.83,17.28,16.76,17.28,17.1278667522,63965,0.0000,1.0
2020-02-27,17.62,17.9,17.49,17.49,17.3360179107,43753,0.0000,1.0
2020-02-26,18.47,18.55,18.27,18.27,18.1091507849,17083,0.0000,1.0
2020-02-25,18.74,18.76,18.34,18.34,18.1785345044,56064,0.0000,1.0
2020-02-24,18.79,18.93,18.79,18.81,18.6443966209,31657,0.0000,1.0
2020-02-21,19.65,19.67,19.6231,19.67,19.4968251745,19290,0.0000,1.0
2020-02-20,19.92,19.92,19.72,19.81,19.6355926135,25714,0.0000,1.0
2020-02-19,19.85,19.864,19.81,19.86,19.6851524131,13273,0.0000,1.0
2020-02-18,19.87,19.93,19.87,19.9,19.7248002528,9828,0.0000,1.0
2020-02-14,20.02,20.02,19.96,19.96,19.7842720124,12144,0.0000,1.0
2020-02-13,19.89,20.0,19.83,19.96,19.7842720124,11139,0.0000,1.0
2020-02-12,20.04,20.08,20.04,20.07,19.8933035716,2872,0.0000,1.0
2020-02-11,19.96,19.985,19.95,19.95,19.7743600525,10524,0.0000,1.0
2020-02-10,19.74,19.84,19.74,19.8399,19.6652293737,6121,0.0000,1.0
2020-02-07,19.78,19.82,19.77,19.77,19.5959447738,11377,0.0000,1.0
2020-02-06,20.07,20.14,20.06,20.11,19.9329514113,40974,0.0000,1.0
2020-02-05,20.09,20.11,20.02,20.09,19.9131274914,66754,0.0000,1.0
2020-02-04,19.76,19.87,19.76,19.82,19.6455045734,38190,0.0000,1.0
2020-02-03,19.37,19.54,19.35,19.36,19.1895544168,54215,0.0000,1.0
2020-01-31,19.45,19.45,19.27,19.28,19.1102587374,11522,0.0000,1.0
2020-01-30,19.34,19.47,19.31,19.47,19.298585976,534184,0.0000,1.0
2020-01-29,19.5,19.58,19.47,19.47,19.298585976,6566,0.0000,1.0
2020-01-28,19.39,19.51,19.39,19.49,19.3184098959,7866,0.0000,1.0
2020-01-27,19.32,19.33,19.26,19.26,19.0904348176,11282,0.0000,1.0
2020-01-24,19.86,19.86,19.65,19.68,19.5067371345,6421,0.0000,1.0
2020-01-23,19.66,19.81,19.64,19.81,19.6355926135,8262,0.0000,1.0
2020-01-22,19.84,19.877,19.83,19.84,19.6653284933,5964,0.0000,1.0
2020-01-21,19.95,19.95,19.88,19.9,19.7248002528,9006,0.0000,1.0
2020-01-17,19.93,19.9333,19.9032,19.93,19.7545361326,4135,0.0000,1.0
2020-01-16,19.84,19.915,19.83,19.915,19.7396681927,6296,0.0000,1.0
