timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,43.47,43.6,43.29,43.53,43.53,501000,0.0000,1.0
2020-12-10,43.52,43.76,43.41,43.49,43.49,973255,0.0000,1.0
2020-12-09,43.71,43.72,43.355,43.56,43.56,1617626,0.0000,1.0
2020-12-08,43.04,43.45,43.04,43.44,43.44,770397,0.0000,1.0
2020-12-07,43.27,43.38,43.17,43.21,43.21,703131,0.0000,1.0
2020-12-04,43.19,43.315,43.15,43.25,43.25,865621,0.0000,1.0
2020-12-03,43.14,43.2319,42.95,43.01,43.01,793815,0.0000,1.0
2020-12-02,43.18,43.335,43.15,43.19,43.19,976872,0.0000,1.0
2020-12-01,42.84,43.26,42.84,43.23,43.23,2962267,0.0000,1.0
2020-11-30,43.33,43.4,42.51,42.53,42.53,1326099,0.0000,1.0
2020-11-27,42.87,43.13,42.86,43.07,43.07,619101,0.0000,1.0
2020-11-25,42.79,42.93,42.73,42.88,42.88,802687,0.0000,1.0
2020-11-24,42.53,42.84,42.52,42.84,42.84,1030195,0.0000,1.0
2020-11-23,42.81,42.82,42.42,42.55,42.55,544883,0.0000,1.0
2020-11-20,42.7,42.91,42.65,42.86,42.86,744005,0.0000,1.0
2020-11-19,42.74,42.96,42.62,42.94,42.94,835761,0.0000,1.0
2020-11-18,43.08,43.14,42.74,42.76,42.76,732717,0.0000,1.0
2020-11-17,43.18,43.205,43.0,43.09,43.09,777584,0.0000,1.0
2020-11-16,42.96,43.1,42.91,43.07,43.07,715326,0.0000,1.0
2020-11-13,42.63,42.83,42.59,42.82,42.82,872004,0.0000,1.0
2020-11-12,42.65,42.72,42.28,42.31,42.31,1299986,0.0000,1.0
2020-11-11,42.63,42.68,42.4,42.56,42.56,1976265,0.0000,1.0
2020-11-10,42.15,42.24,41.92,42.01,42.01,4487145,0.0000,1.0
2020-11-09,42.82,42.82,42.1,42.11,42.11,2454127,0.0000,1.0
2020-11-06,42.55,42.71,42.45,42.52,42.52,928445,0.0000,1.0
2020-11-05,42.2,42.34,42.05,42.21,42.21,1539047,0.0000,1.0
2020-11-04,41.26,42.08,41.19,41.65,41.65,1530864,0.0000,1.0
2020-11-03,40.45,40.95,40.38,40.78,40.78,1445938,0.0000,1.0
2020-11-02,39.5,39.635,39.345,39.61,39.61,1313937,0.0000,1.0
2020-10-30,38.9,38.97,38.63,38.93,38.93,2038710,0.0000,1.0
2020-10-29,39.01,39.26,38.79,39.06,39.06,1094750,0.0000,1.0
2020-10-28,39.37,39.5,39.06,39.14,39.14,1738134,0.0000,1.0
2020-10-27,40.79,40.83,40.445,40.52,40.52,898965,0.0000,1.0
2020-10-26,41.02,41.06,40.7,40.95,40.95,1750225,0.0000,1.0
2020-10-23,41.4,41.45,41.16,41.44,41.44,730596,0.0000,1.0
2020-10-22,41.09,41.28,40.895,41.19,41.19,1561738,0.0000,1.0
2020-10-21,41.49,41.6,41.1,41.13,41.13,860586,0.0000,1.0
2020-10-20,41.79,41.91,41.63,41.67,41.67,575520,0.0000,1.0
2020-10-19,41.75,41.78,41.235,41.31,41.31,773354,0.0000,1.0
2020-10-16,41.38,41.71,41.37,41.42,41.42,1598899,0.0000,1.0
